"","GEOID","count_in_range_buprenorphine","time_to_nearest_buprenorphine","buprenorphine_score"
"1","01001",30,8,0.733333333333333
"2","01002",14,18,0.333333333333333
"3","01003",16,20,0.266666666666667
"4","01005",4,25,0.122222222222222
"5","01007",16,18,0.388888888888889
"6","01008",2,18,0.266666666666667
"7","01009",20,7,0.766666666666667
"8","01010",14,15,0.5
"9","01011",0,34,0
"10","01012",4,18,0.322222222222222
"11","01013",36,8,0.722222222222222
"12","01020",36,0,0.9
"13","01022",34,8,0.7
"14","01026",0,32,0
"15","01027",32,9,0.655555555555556
"16","01028",38,6,0.766666666666667
"17","01029",2,27,0.0666666666666667
"18","01030",30,11,0.633333333333333
"19","01031",8,13,0.444444444444444
"20","01032",4,20,0.266666666666667
"21","01033",34,13,0.566666666666667
"22","01034",2,28,0.0444444444444444
"23","01035",10,13,0.5
"24","01036",30,16,0.444444444444444
"25","01037",2,23,0.155555555555556
"26","01038",16,13,0.522222222222222
"27","01039",4,9,0.633333333333333
"28","01040",38,0,1
"29","01050",6,23,0.211111111111111
"30","01053",10,0,0.911111111111111
"31","01054",8,26,0.133333333333333
"32","01056",34,6,0.744444444444444
"33","01057",28,11,0.633333333333333
"34","01060",36,0,0.911111111111111
"35","01062",10,7,0.755555555555556
"36","01063",38,1,0.877777777777778
"37","01066",16,14,0.477777777777778
"38","01068",4,23,0.188888888888889
"39","01069",40,0,1
"40","01070",0,38,0
"41","01071",4,16,0.322222222222222
"42","01072",0,34,0
"43","01073",30,15,0.488888888888889
"44","01074",8,24,0.155555555555556
"45","01075",36,7,0.766666666666667
"46","01077",30,13,0.5
"47","01079",28,4,0.866666666666667
"48","01080",32,6,0.8
"49","01081",10,21,0.3
"50","01082",8,0,0.8
"51","01083",14,16,0.466666666666667
"52","01084",2,27,0.0666666666666667
"53","01085",30,0,0.833333333333333
"54","01086",28,6,0.655555555555556
"55","01088",16,11,0.588888888888889
"56","01089",36,0,0.922222222222222
"57","01092",16,12,0.6
"58","01093",16,13,0.511111111111111
"59","01094",4,22,0.222222222222222
"60","01095",32,11,0.633333333333333
"61","01096",4,16,0.411111111111111
"62","01097",22,9,0.544444444444444
"63","01098",0,31,0
"64","01103",40,0,1
"65","01104",36,3,0.888888888888889
"66","01105",40,0,0.988888888888889
"67","01106",42,7,0.755555555555556
"68","01107",36,0,0.977777777777778
"69","01108",36,0,0.966666666666667
"70","01109",36,0,0.955555555555556
"71","01118",38,3,0.877777777777778
"72","01119",34,7,0.766666666666667
"73","01128",38,8,0.722222222222222
"74","01129",34,7,0.755555555555556
"75","01151",36,0,0.933333333333333
"76","01199",36,1,0.944444444444445
"77","01201",6,0,1
"78","01220",10,11,0.633333333333333
"79","01222",4,12,0.522222222222222
"80","01223",0,37,0
"81","01224",10,14,0.533333333333333
"82","01225",10,20,0.333333333333333
"83","01226",6,10,0.666666666666667
"84","01229",8,16,0.333333333333333
"85","01230",4,0,0.711111111111111
"86","01235",6,21,0.3
"87","01236",2,10,0.444444444444444
"88","01237",6,15,0.5
"89","01238",8,21,0.3
"90","01240",8,13,0.566666666666667
"91","01242",8,18,0.4
