ZCTA,time_to_nearest_naltrexone/vivitrol,count_in_range_naltrexone/vivitrol,naltrexone/vivitrol_score
99403,0,3,1.7999999999999998
99402,21,2,0.4
99401,56,0,0.0
99371,96,0,0.0
99363,29,3,0.1
99362,0,2,2.0
99361,26,2,0.26666666666666666
99360,24,2,0.4
99359,80,0,0.0
99357,62,0,0.0
99356,65,0,0.0
99354,0,5,2.0
99353,11,5,1.5333333333333334
99352,0,5,2.2
99350,13,3,0.8999999999999999
99349,66,0,0.0
99348,53,0,0.0
99347,39,0,0.0
99346,12,4,0.7333333333333333
99345,42,0,0.0
99344,47,0,0.0
99343,43,0,0.0
99341,63,0,0.0
99338,10,5,2.0
99337,10,5,2.0
99336,0,5,3.0
99335,70,0,0.0
99333,87,0,0.0
99330,38,0,0.0
99329,16,2,0.9333333333333333
99328,46,0,0.0
99326,49,0,0.0
99324,7,2,1.5333333333333334
99323,77,0,0.0
99322,81,0,0.0
99321,52,0,0.0
99320,17,6,0.8666666666666666
99301,12,5,1.7999999999999998
99224,5,23,2.2666666666666666
99223,0,22,2.333333333333333
99218,12,18,1.7999999999999998
99217,11,22,1.6333333333333333
99216,0,22,3.0
99212,0,23,2.466666666666667
99208,0,18,3.0
99207,0,23,2.466666666666667
99206,7,16,2.3000000000000003
99205,0,22,3.0
99204,0,23,2.6
99203,6,23,2.2333333333333334
99202,0,23,2.7666666666666666
99201,0,23,2.566666666666667
99185,87,0,0.0
99181,60,0,0.0
99180,33,0,0.0
99179,25,2,0.26666666666666666
99176,49,0,0.0
99174,39,0,0.0
99173,51,0,0.0
99171,66,0,0.0
99170,46,0,0.0
99169,57,0,0.0
99167,122,0,0.0
99166,192,0,0.0
99164,6,2,1.2666666666666666
99163,0,2,1.4333333333333333
99161,23,2,0.4
99160,152,0,0.0
99159,67,0,0.0
99158,44,0,0.0
99157,178,0,0.0
99156,0,1,1.0
99155,119,0,0.0
99154,71,0,0.0
99153,112,0,0.0
99152,100,0,0.0
99151,130,0,0.0
99150,999,0,0.0
99149,56,0,0.0
99148,50,0,0.0
99147,105,0,0.0
99146,999,0,0.0
99144,79,0,0.0
99143,65,0,0.0
99141,123,0,0.0
99140,135,0,0.0
99139,86,0,0.0
99138,121,0,0.0
99137,81,0,0.0
