ZCTA,time_to_nearest_dialysis,count_in_range_dialysis
99403,0,2
99402,21,2
99401,56,0
99371,65,0
99363,24,3
99362,0,2
99361,26,1
99360,24,1
99359,80,0
99357,37,0
99356,75,0
99354,12,4
99353,12,4
99352,0,4
99350,20,2
99349,67,0
99348,53,0
99347,39,0
99346,12,3
99345,42,0
99344,0,1
99343,37,0
99341,57,0
99338,10,4
99337,0,4
99336,0,4
99335,64,0
99333,81,0
99330,33,0
99329,16,2
99328,46,0
99326,40,0
99324,7,2
99323,77,0
99322,81,0
99321,52,0
99320,17,3
99301,0,4
99224,5,6
99223,10,6
99218,0,5
99217,15,7
99216,0,7
99212,8,8
99208,0,4
99207,8,6
99206,0,6
99205,9,6
99204,0,6
99203,6,6
99202,0,8
99201,5,6
99185,32,0
99181,37,0
99180,50,0
99179,25,2
99176,60,0
99174,54,0
99173,36,0
99171,81,0
99170,47,0
99169,57,0
99167,53,0
99166,93,0
99164,16,2
99163,17,2
99161,25,2
99160,55,0
99159,67,0
99158,58,0
99157,79,0
99156,39,0
99155,40,0
99154,78,0
99153,88,0
99152,75,0
99151,33,0
99150,93,0
99149,61,0
99148,23,1
99147,72,0
99146,65,0
99144,81,0
99143,79,0
99141,30,2
99140,61,0
99139,61,0
99138,83,0
99137,77,0
99136,106,0
99135,41,0
99134,76,0
99133,5,1
99131,64,0
99130,41,0
99129,104,0
99128,57,0
99126,46,0
99125,88,0
99124,16,1
99123,0,1
99122,66,0
99121,102,0
99119,69,0
99118,120,0
99117,46,0
99116,16,1
99115,36,0
99114,0,2
99113,33,0
99111,40,0
99110,11,2
99109,43,0
99105,99,0
99103,47,0
99102,33,0
99101,43,0
99040,70,0
99039,48,0
99037,6,6
99036,19,4
99034,62,0
99033,57,0
99032,46,0
99031,23,2
99030,29,2
99029,40,0
99027,12,7
99026,30,2
99025,16,7
99023,17,3
99022,22,2
99021,14,6
99020,15,5
99019,13,8
99018,45,0
99017,54,0
99016,9,7
99013,53,0
99012,34,0
99011,24,2
99009,22,1
99008,53,0
99006,0,2
99005,15,4
99004,22,2
99003,21,2
99001,15,5
98953,0,3
98952,44,0
98951,0,4
98950,48,0
98948,11,4
98947,29,1
98946,23,1
98944,0,2
98943,38,0
98942,16,2
98941,42,0
98940,65,0
98939,9,4
98938,13,2
98937,38,0
98936,16,4
98935,15,1
98934,12,1
98933,23,1
98932,12,3
98930,13,2
98929,86,0
98926,0,1
98925,55,0
98923,25,2
98922,35,0
98921,7,5
98908,8,3
98903,0,3
98902,0,3
98901,6,4
98862,78,0
98860,57,0
98859,113,0
98858,49,0
98857,31,0
98856,62,0
98855,41,0
98853,54,0
98852,130,0
98851,31,0
98850,24,2
98849,16,1
98848,43,0
98847,29,1
98846,56,0
98845,38,0
98844,77,0
98843,48,0
98841,0,1
98840,14,1
98837,0,1
98836,15,2
98834,81,0
98833,111,0
98832,63,0
98831,76,0
98830,81,0
98829,25,1
98828,18,2
98827,84,0
98826,41,0
98824,38,0
98823,29,1
98822,51,0
98821,27,1
98819,37,0
98817,60,0
98816,65,0
98815,22,2
98814,72,0
98813,50,0
98812,45,0
98811,47,0
98802,0,2
98801,0,2
98686,6,15
98685,9,11
98684,0,17
98683,8,18
98682,8,18
98675,23,2
98674,25,4
98673,21,1
98672,29,1
98671,26,1
98670,61,0
98665,0,16
98664,11,22
98663,6,17
98662,0,18
98661,9,18
98660,8,17
98651,24,1
98650,46,0
98649,47,0
98648,39,0
98647,55,0
98645,34,0
98644,6,1
98643,55,0
98642,14,7
98641,22,1
98640,15,1
98639,39,0
98638,39,0
98635,27,1
98632,0,1
98631,0,1
98629,22,4
98628,44,0
98626,15,1
98625,29,1
98624,11,1
98621,54,0
98620,47,0
98619,75,0
98617,13,1
98616,58,0
98614,23,1
98613,51,0
98612,37,0
98611,22,1
98610,47,0
98607,16,5
98606,14,5
98605,21,1
98604,0,5
98603,41,0
98602,53,0
98601,22,2
98597,32,0
98596,22,1
98595,38,0
98593,32,0
98592,31,0
98591,29,1
98590,60,0
98589,24,1
98588,18,1
98587,75,0
98586,55,0
98585,38,0
98584,0,1
98583,26,1
98582,31,0
98581,41,0
98580,27,1
98579,17,2
98577,46,0
98576,36,0
98575,65,0
98572,37,0
98571,56,0
98570,26,1
98569,44,0
98568,29,1
98565,11,2
98564,47,0
98563,46,0
98562,62,0
98560,51,0
98559,38,0
98558,31,0
98557,33,0
98555,51,0
98552,47,0
98550,15,1
98548,36,0
98547,44,0
98546,22,2
98544,10,2
98542,27,1
98541,49,0
98538,33,0
98537,41,0
98536,51,0
98535,46,0
98533,43,0
98532,0,2
98531,0,2
98530,18,1
98528,0,4
98527,50,0
98526,64,0
98524,17,1
98520,0,1
98516,0,8
98513,15,3
98512,0,4
98506,0,4
98503,14,4
98502,0,4
98501,15,4
98499,0,19
98498,8,13
98467,9,17
98466,10,17
98465,6,17
98447,5,19
98446,8,15
98445,0,18
98444,0,20
98443,8,19
98439,9,17
98438,8,19
98433,13,13
98430,11,13
98424,0,23
98422,13,19
98421,7,21
98418,5,21
98416,4,17
98409,0,19
98408,5,18
98407,11,17
98406,7,17
98405,0,18
98404,0,21
98403,4,18
98402,3,21
98396,19,2
98394,36,0
98392,12,1
98391,0,18
98390,10,21
98388,11,12
98387,16,9
98385,14,6
98383,15,4
98382,24,1
98381,96,0
98380,31,0
98377,88,0
98376,36,0
98375,12,11
98374,9,18
98373,0,18
98372,11,20
98371,9,20
98370,0,3
98368,0,1
98367,15,5
98366,0,5
98365,27,2
98364,17,1
98363,22,1
98362,0,1
98361,101,0
98360,17,4
98359,18,7
98358,25,1
98357,127,0
98356,56,0
98355,60,0
98354,5,23
98353,11,1
98351,47,0
98350,107,0
98349,39,0
98346,16,1
98345,15,3
98342,17,1
98340,35,0
98339,12,1
98338,0,6
98337,4,5
98336,71,0
98335,0,9
98333,17,1
98332,12,9
98331,116,0
98330,44,0
98329,20,6
98328,18,1
98327,15,13
98326,96,0
98325,18,1
98323,33,0
98321,13,7
98320,59,0
98315,15,3
98314,8,5
98312,10,5
98311,9,3
98310,0,4
98305,78,0
98304,65,0
98303,47,0
98297,171,0
98296,12,10
98295,43,0
98294,14,1
98292,26,2
98290,18,6
98288,58,0
98286,34,0
98284,16,2
98283,78,0
98282,38,0
98281,999,0
98280,19,1
98279,28,1
98278,9,3
98277,0,3
98276,31,0
98275,10,10
98274,0,2
98273,10,3
98272,0,6
98271,12,5
98270,0,6
98267,74,0
98266,44,0
98264,26,1
98263,25,1
98262,35,0
98261,52,0
98260,46,0
98258,13,6
98257,22,2
98256,36,0
98255,29,1
98253,36,0
98252,22,3
98251,26,1
98250,59,0
98249,42,0
98248,18,1
98247,31,0
98245,0,1
98244,38,0
98243,23,1
98241,48,0
98240,26,1
98239,22,2
98238,13,3
98237,43,0
98236,40,0
98235,14,2
98233,0,3
98232,11,2
98230,30,1
98229,29,1
98226,9,1
98225,0,2
98224,68,0
98223,0,3
98222,75,0
98221,0,4
98220,33,0
98208,8,10
98207,5,8
98205,9,8
98204,0,11
98203,0,10
98201,0,10
98199,16,12
98198,10,23
98195,5,17
98188,0,22
98178,6,21
98177,6,12
98174,6,19
98168,0,22
98166,8,21
98164,5,19
98158,6,21
98155,0,14
98154,5,19
98148,7,21
98146,7,21
98144,6,19
98136,2,10
98134,7,24
98133,0,15
98126,0,13
98125,7,15
98122,0,17
98121,8,17
98119,12,16
98118,0,22
98117,10,12
98116,7,10
98115,5,17
98112,0,17
98110,19,1
98109,9,16
98108,5,24
98107,11,14
98106,3,22
98105,0,17
98104,6,24
98103,7,17
98102,5,17
98101,4,19
98092,11,17
98087,6,12
98077,18,5
98075,22,5
98074,22,5
98072,12,11
98070,38,0
98068,37,0
98065,0,2
98059,0,19
98058,11,15
98057,0,22
98056,6,21
98055,8,22
98053,23,5
98052,12,14
98051,26,1
98050,20,2
98047,11,21
98045,14,2
98043,0,14
98042,17,13
98040,13,16
98039,8,16
98038,22,11
98037,10,14
98036,5,14
98034,0,17
98033,9,18
98032,0,15
98031,12,16
98030,12,14
98029,16,10
98028,9,14
98027,18,9
98026,9,13
98024,14,2
98023,6,22
98022,0,2
98021,8,13
98020,9,12
98019,21,1
98014,21,2
98012,0,10
98011,9,14
98010,17,1
98008,14,11
98007,8,17
98006,0,14
98005,7,16
98004,0,17
98003,0,24
98002,8,23
98001,0,24
97920,112,0
97918,37,0
97914,0,2
97913,27,1
97911,121,0
97910,118,0
97909,62,0
97908,95,0
97907,38,0
97906,84,0
97905,62,0
97904,176,0
97903,68,0
97901,47,0
97886,24,1
97885,127,0
97884,130,0
97883,80,0
97882,9,2
97880,85,0
97877,148,0
97876,87,0
97875,11,2
97874,165,0
97873,999,0
97870,129,0
97869,999,0
97868,26,1
97867,93,0
97865,999,0
97864,173,0
97862,0,2
97859,37,0
97857,150,0
97856,129,0
97850,60,0
97848,999,0
97846,160,0
97845,999,0
97844,23,1
97843,103,0
97842,266,0
97841,77,0
97840,145,0
97839,58,0
97838,0,1
97837,131,0
97836,89,0
97835,47,0
97834,152,0
97833,102,0
97830,114,0
97828,140,0
97827,89,0
97826,21,1
97825,999,0
97824,80,0
97823,111,0
97820,999,0
97819,111,0
97818,34,0
97817,185,0
97814,85,0
97813,21,1
97812,90,0
97810,35,0
97801,0,1
97761,31,0
97760,25,1
97759,31,0
97758,999,0
97756,0,3
97754,34,0
97753,18,1
97752,97,0
97751,142,0
97750,103,0
97741,0,1
97739,42,0
97738,999,0
97737,56,0
97736,999,0
97735,98,0
97734,19,2
97733,76,0
97732,999,0
97731,106,0
97730,54,0
97722,999,0
97721,999,0
97720,999,0
97712,77,0
97711,95,0
97710,999,0
97707,35,0
97702,0,3
97701,0,3
97641,149,0
97640,208,0
97639,75,0
97638,122,0
97637,999,0
97636,214,0
97635,999,0
97634,15,1
97633,23,1
97632,39,0
97630,136,0
97627,25,1
97626,80,0
97625,34,0
97624,52,0
97623,42,0
97622,75,0
97621,60,0
97620,999,0
97604,103,0
97603,0,1
97601,15,1
97544,35,0
97543,24,1
97541,46,0
97540,17,2
97539,35,0
97538,38,0
97537,28,2
97536,65,0
97535,12,2
97534,65,0
97532,25,1
97531,39,0
97530,23,2
97527,0,2
97526,0,2
97525,21,4
97524,24,2
97523,52,0
97522,68,0
97520,25,2
97504,0,2
97503,20,2
97502,13,2
97501,0,2
97499,47,0
97498,37,0
97497,29,1
97496,22,1
97495,20,1
97494,23,1
97493,40,0
97492,59,0
97490,41,0
97489,34,0
97488,45,0
97487,18,4
97486,49,0
97484,88,0
97481,33,0
97480,47,0
97479,27,1
97478,9,4
97477,0,4
97476,75,0
97473,60,0
97471,0,1
97470,15,1
97469,43,0
97467,38,0
97466,80,0
97465,82,0
97463,62,0
97462,32,0
97461,32,0
97459,14,2
97458,50,0
97457,30,1
97456,32,0
97455,19,4
97454,30,2
97453,24,1
97452,28,2
97451,45,0
97450,64,0
97449,33,0
97448,18,4
97447,61,0
97446,27,2
97444,84,0
97443,45,0
97442,40,0
97441,30,1
97439,0,1
97438,27,2
97437,23,2
97436,63,0
97435,49,0
97434,57,0
97431,31,0
97430,60,0
97429,63,0
97426,18,4
97424,29,2
97423,32,0
97420,0,2
97419,32,0
97417,41,0
97416,43,0
97415,39,0
97414,59,0
97413,76,0
97412,53,0
97411,44,0
97410,50,0
97408,10,4
97406,134,0
97405,13,4
97404,0,4
97403,8,4
97402,0,4
97401,5,4
97396,32,0
97394,30,1
97392,22,5
97391,16,1
97390,73,0
97389,15,3
97388,13,2
97386,25,1
97385,24,5
97384,34,0
97383,25,5
97381,20,5
97380,26,1
97378,23,2
97377,24,2
97376,21,1
97375,36,0
97374,26,1
97373,19,2
97371,24,8
97370,17,1
97369,15,1
97368,22,1
97367,0,1
97366,13,1
97365,0,1
97364,12,1
97362,14,5
97361,23,3
97360,46,0
97358,38,0
97357,40,0
97355,0,1
97352,22,6
97351,17,6
97350,84,0
97348,30,1
97347,40,0
97346,51,0
