"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"1","Four County Mental Health Center",NA,"1601 West 4th Street",NA,"Coffeyville","KS","67337",NA,"buprenorphine","20125","Montgomery","SAMHSA",c(-95.64145, 37.0402928),-95.64145,37.0402928
"2","Four County Mental Health Center",NA,"3751 West Main Street",NA,"Independence","KS","67301",NA,"buprenorphine","20125","Montgomery","SAMHSA",c(-95.7566357, 37.2256576),-95.7566357,37.2256576
"3","Center for Therapeutic Interventions","Bartlesville","4100 SE Adams Road","Suite E-108","Bartlesville","OK","74006",NA,"buprenorphine","40147","Washington","SAMHSA",c(-95.9301563, 36.7455475),-95.9301563,36.7455475
"4","Oklahoma Treatment Services LLC","Bartlesville Rightway Medical","610 West Hensley Boulevard",NA,"Bartlesville","OK","74003",NA,"buprenorphine","40147","Washington","SAMHSA",c(-95.9840426, 36.7535489),-95.9840426,36.7535489
"5","Grand Lake Mental Health Center Inc",NA,"410 West Main Street",NA,"Barnsdall","OK","74002",NA,"buprenorphine","40113","Osage","SAMHSA",c(-96.1618624, 36.5618247),-96.1618624,36.5618247
"6","Human Skills and Resources Inc",NA,"408 East Will Rogers Boulevard",NA,"Claremore","OK","74017",NA,"buprenorphine","40131","Rogers","SAMHSA",c(-95.606269, 36.308598),-95.606269,36.308598
"7","Comm Health Center of SE KS Pittsburg","Substance Use and Addiction Servs","3011 North Michigan Street",NA,"Pittsburg","KS","66762",NA,"buprenorphine","20037","Crawford","SAMHSA",c(-94.6964362, 37.4377089),-94.6964362,37.4377089
"8","Brookhaven Hospital",NA,"201 South Garnett Road",NA,"Tulsa","OK","74128",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.84952, 36.1581377),-95.84952,36.1581377
"9","Tulsa VA Outpatient Clinic",NA,"10159 East 11th Street","Suite 100","Tulsa","OK","74128",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.8621572, 36.1492361),-95.8621572,36.1492361
"10","Family Self Help Center Inc","DBA Lafayette House/CSTAR","1809 South Connor Avenue",NA,"Joplin","MO","64804",NA,"buprenorphine","29097","Jasper","SAMHSA",c(-94.5226731, 37.0717182),-94.5226731,37.0717182
"11","Preferred Family Healthcare Inc","Joplin Adolescent CSTAR","5620 West Wildwood Ranch Parkway",NA,"Joplin","MO","64804","4520","buprenorphine","29097","Jasper","SAMHSA",c(-94.513281, 37.084227),-94.513281,37.084227
"12","Ozark Center","New Directions","305 Virginia Avenue",NA,"Joplin","MO","64803",NA,"buprenorphine","29097","Jasper","SAMHSA",c(-94.5118951, 37.0883955),-94.5118951,37.0883955
"13","Human Skills and Resources Inc",NA,"2140 South Harvard Avenue",NA,"Tulsa","OK","74114",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.9403068180975, 36.1317997471104),-95.9403068180975,36.1317997471104
"14","BHG Joplin Treatment Center",NA,"2919 East 4th Street",NA,"Joplin","MO","64801",NA,"buprenorphine","29097","Jasper","SAMHSA",c(-94.4782005, 37.0873982),-94.4782005,37.0873982
"15","Tulsa Rightway Medical",NA,"3445 South Sheridan Road East",NA,"Tulsa","OK","74145",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.9003227, 36.1124236),-95.9003227,36.1124236
"16","12 and 12 Inc",NA,"6333 East Skelly Drive",NA,"Tulsa","OK","74135",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.9079909, 36.1077825),-95.9079909,36.1077825
"17","Counseling and Recovery Servs of OK",NA,"401 East Broadway Court","Suite E","Sand Springs","OK","74063",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-96.1051421, 36.1411391),-96.1051421,36.1411391
"18","CREOKS Behavioral Health Services",NA,"4103 South Yale Avenue","Suite B","Tulsa","OK","74135",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.922256, 36.1041138),-95.922256,36.1041138
"19","Center for Therapeutic Interventions",NA,"7477 East 46 Place",NA,"Tulsa","OK","74145",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.891838, 36.0969347),-95.891838,36.0969347
"20","Mission Treatment Centers Inc","Substance Abuse Treatment","5550 South Garnett Road","Suite 200","Tulsa","OK","74146",NA,"buprenorphine","40143","Tulsa","SAMHSA",c(-95.8522, 36.0841317),-95.8522,36.0841317
"21","Family Self Help Center Inc","Lafayette House","118 West Spring Street",NA,"Neosho","MO","64850",NA,"buprenorphine","29145","Newton","SAMHSA",c(-94.368675, 36.869741),-94.368675,36.869741
"22","Human Skills and Resources Inc",NA,"2 North Water Street",NA,"Sapulpa","OK","74066",NA,"buprenorphine","40037","Creek","SAMHSA",c(-96.1129056984237, 35.9986827752815),-96.1129056984237,35.9986827752815
"23","Oklahoma Treatment Services","Rightway Medical of Ponca City","827 East Hubbard Road",NA,"Ponca City","OK","74601","1073","buprenorphine","40071","Kay","SAMHSA",c(-97.0672289, 36.753023),-97.0672289,36.753023
"24","Grand Lake Mental Health Center Inc",NA,"207 North Highway 59","Suite 1","Kansas","OK","74347",NA,"buprenorphine","40041","Delaware","SAMHSA",c(-94.7796679, 36.2061403),-94.7796679,36.2061403
"25","Grand Lake Mental Health Center Inc","Kay County Clinic","110 North 4th Street",NA,"Ponca City","OK","74601",NA,"buprenorphine","40071","Kay","SAMHSA",c(-97.0800352, 36.7042218),-97.0800352,36.7042218
"26","Comm Mental Health Consultants Inc",NA,"815 South Ash Street",NA,"Nevada","MO","64772",NA,"buprenorphine","29217","Vernon","SAMHSA",c(-94.3596507799948, 37.8311030012854),-94.3596507799948,37.8311030012854
"27","Compass Health Inc","Pathways Comm Behavioral Hlthcare","320 North Mac Boulevard",NA,"Nevada","MO","64772",NA,"buprenorphine","29217","Vernon","SAMHSA",c(-94.3286598, 37.8384313),-94.3286598,37.8384313
