ID,address,city,state,zip,Longitude,Latitude,Match Score
1,Seattle King County Department of Public Health 2124 4th Avenue,Seattle,WA,98121,-122.34228783396176,47.61439944040706,95.74
2,"850 North Main Street Ext. Building 2, Suite C2",Wallingford,CT,6492,-72.80742733726844,41.48036930522485,100
3,Blue Mountain Psychiatry 1101 I Ave.,La Grande,OR,97850,-118.09539995067536,45.31946745948845,95.11
4,2351 Boulevar Luis A Ferre ,Ponce,PR,716,-66.58915819999999,18.007159900000033,85
5,CleanSlate 4925 South Scatterfield Road,Anderson,IN,46383,-85.65300722011771,40.064747338947136,97
6,Journey Pure 6858 Swinnea 1B Rutland Place,Southaven,MS,38671,-89.97832199999993,34.96861680000006,85
7,Instituto de Medicina General & Esp. Ave. Roberto Clemente--Bloque 30 A-10,Villa Carolina,PR,985,-65.9652890331407,18.391206269248617,95.79
8,"Pain/HIV &amp;amp; Integrative Medicine 2020 Wellness Way, Suite 503",Las Vegas,NV,89106,-115.16888544669789,36.161631641984854,99.09
9,Boston Health Care for the Homeless 780 Albany Street,Boston,MA,2118,-71.07302999942306,42.333819926712614,98.88
10,Transitions Buprenorphine Clinic of Sacr 3647 40th Street,Sacramento,CA,95817,-121.46047599681675,38.54146035785854,94.63
11,"PsychAccess & Recovery Solutions, LLC 3636 University Boulevard S, Suite B2",Jacksonville,FL,32216,-81.6023613519979,30.288355476357214,99.23
12,P.O. Box 1257 ,Volcano,HI,96785,-155.22008499999998,19.436330000000055,98
13,2835 North Sheffield Street Suite 200,Chicago,IL,60657,-87.65388539417354,41.93390386269144,98.06
14,73 Main St Box 39 Rm 28,Montpelier,VT,5602,-72.57545320902734,44.25991422229437,100
15,Pathway Healthcare 1 Medical Plaza Drive,Vicksburg,MS,39180,-90.88245499999994,32.31813000000005,100
16,Bourbon Family Medicine 8 Linville Drive,Paris,KY,40361,-84.23905269227707,38.22160846848835,95.53
17,Family Health Services 95 East Chautauqua Street,Mayville,NY,14750,-79.49827600247139,42.25920410000672,95.61
18,VAMC Martinsburg 501 Butler Avenue,Martinsburg,WV,25401,-77.91069010217242,39.41706024405898,95.83
19,Central City Concern Health Services 727 West Burnside St,Portland,OR,97209,-122.67801951741707,45.522993605361734,95
20,# 57 Heraclio Mendoza ,Cayey,PR,736,-66.16489859999996,18.112088200000073,85
21,4515 Southlake Parkway Suite 2,Birmingham,AL,35242,-86.773782459448,33.36057700373238,98.84
22,62 Medical Drive ,Linden,TN,37096,-87.84013874262584,35.61410745401594,100
23,Professional Assistance Prgm. New Jersey 742 Alexander Road,Princeton,NJ,8022,-74.63670386289841,40.320984746974325,94.09
24,"Wellness & Suboxone Center 7515 Pearl Road, Suite 205",Middleburg Heights,OH,44130,-81.81313855657957,41.36094273597039,99.34
25,Adult & Child Psychiatry 189 West Street,Milford,MA,1757,-71.54309258402469,42.14284161671196,95.65
26,HCMC Addiction 701 Park Avenue South,Minneapolis,MN,55415,-93.26267420554157,44.97272852834984,97.35
27,"Mass Medical Group 200 Central Street, Suite # 2",Lowell,MA,1810,-71.3082047511396,42.6427471230937,99.2
28,Umpqua health- Newton Creek 3031 NE Stephens st,Roseburg,OR,97471,-123.3527908659632,43.244713384265204,95.28
29,"OPG-HC PCP Parks Hall 24 West Green Drive, 2nd Floor Parks Hall",Athens,OH,45701,-82.1071486464269,39.32498604027791,95.87
30,Adult & Child Psychiatry 105 East Main Street,Milford,MA,1757,-71.50875259726716,42.148131519625025,96
31,"Iulia Circiumaru Rheumatology & Internal Medicine, LLC 260 Maple Avenue Rear",Barrington,RI,2806,-71.31661909228033,41.73892168409133,94.25
32,Wayne County Behavioral Health 1519 Nye Road,Lyons,NY,14489,-77.02992799999998,43.06052600000004,94.92
33,Quest Medical Center 8 Maple Avenue,Bay Shore,NY,11706,-73.2474458093045,40.72112662751276,96
34,140 Route 17 North Suite 250,Paramus,NJ,7436,-74.07040092817977,40.92966263691412,99.65
35,152 Simsbury Road Riverdale Farms Building 9; 2nd Floor,Avon,CT,6001,-72.82914282651976,41.820500968593414,97.5
36,"Division of General Internal Medicine Montefiore Hospital, 200 Lothrop Street, 9S COR",Pittsburgh,PA,15213,-79.96103676965507,40.44200941940869,93.71
37,"140 West Lamberth Road, Suite C ",Sherman,TX,75092,-96.61808298743239,33.661378404899125,100
38,Center of Excellence in Co-Occurring Medicine 12655 SW Center Street #150,Beaverton,OR,97005,-122.80638995711058,45.493679240110254,98.99
39,3601 Mc Knight East Drive ,Pittsburgh,PA,15237,-80.00679248944232,40.537629751738905,100
40,Healing Hearts Counseling Center 680 Park Avenue West,Mansfield,OH,44906,-82.54040899999995,40.75951700000007,100
41,"AA Spine and Pain 4100 Lake Otis Parkway, Suite 216",Anchorage,AK,99508,-149.8382474714142,61.18300498052639,99.51
42,1425-A S.E. 17th Street ,Fort Lauderdale,FL,33316,-80.12910108867398,26.100530011053444,99.74
43,Loma Linda VHA 11201 Benton Street  #M116,Loma Linda,CA,92357,-117.25234263375243,34.05018274321893,97.07
44,"225 Water Street, Suite A140 ",Plymouth,MA,2360,-70.66999113684054,41.96534417195494,100
45,SaVida Health 40 Lambert Street,Staunton,VA,24401,-79.06885266260656,38.16421583209376,97.14
46,ReVIDA Recovery Center 3114 Browns Mill Road,Johnson City,TN,37604,-82.39459799999997,36.360554000000036,100
47,243 North Galen Hall Road ,Wernersville,PA,19565,-76.09692037424331,40.30952178605643,100
48,We Care Daily Clinics 3320 Auburn Way N,Auburn,WA,98002,-122.2222724753533,47.33655699404727,96
49,400 South Oyster Bay Road Suite 205,Hicksville,NY,11801,-73.50313836406141,40.78380524217327,100
50,2301 West I-44 Service Road Suite 300,Oklahoma City,OK,73112,-97.55205574331444,35.51267255354346,100
51,1389  Highway 15 North ,Jackson,KY,41339,-83.40043857392219,37.5679674704954,100
52,MEDSPA  M.D. 310 North Eutaw Street,Baltimore,MD,21201,-76.62121162592499,39.2932777196603,98.14
53,"266 Main Street Suite 41A, building 3",Medfield,MA,20522043,-71.28975509260304,42.19296904382901,99.67
54,828 Creswell Lane ,Opelousas,LA,70508-6870,-92.07636396958915,30.519484887123834,97.43
55,Westbank Medical &amp; Amp; Walk 6621 Westbank Expressway,Marrero,LA,70072,-90.12105827691083,29.89335158369188,95.9
56,Compass Health Network 1800 Community Drive,Clinton,MO,64735,-93.77396829999998,38.371785000000045,85
57,POB 5629 ,ORACLE,AZ,85623,-110.78339989999995,32.608822700000076,98
58,4716 West Urbana Suite 200,Broken Arrow,OK,74012,-95.8503859843362,36.03432746419437,98.84
59,CleanSlate Centers 1985 Main Street,Springfield,MA,1106,-72.59770447974918,42.10741001279439,95.63
60,100 Emerson Ln Suite 1503,Bridgeville,PA,15017,-80.12123413389583,40.34971066766863,100
61,Boston Health Care for the Homeless Prg 780 Albany Street,Boston,MA,2118,-71.07302999942306,42.333819926712614,98.39
62,"5000 New Point Road, #3201 ",Williamsburg,VA,23188-9423,-76.75253115443164,37.30970573951936,100
63,Co-occurring Disorders in Adolescents & Young Adults (CODA) clinic at Johns Hopkins Bayview 5500 East Lombard Street,Baltimore,MD,21224,0,0,0
64,"Aurora Behavioral Health Services 1220 Dewey Avenue, Building 11",Wauwatosa,WI,53213,-88.00935299999998,43.04652800000008,96.76
65,Chestnut Ridge Center 930 Chestnut Ridge Road,Morgantown,WV,26505,-79.95241912228535,39.65600004030084,96.61
66,2407 W. Cervantes ,Pensacola,FL,32505,-87.24476850116795,30.420778208633937,98.84
67,Full Circle 4977 Northcutt Place,Dayton,OH,45414,-84.20462025525264,39.819392515262045,97.56
68,"Crossroads Treatment Center/Accesible Recovery Services 2100 Corporate Drive, Suite 350",Wexford,PA,15090,-80.08890412752002,40.609947177865656,98.89
69,"Rural Health Clinic in Clearleak, CA 15230 Lakeshore Drive",Clearlake,CA,95422,-122.62745200429684,38.94993371414854,95.38
