Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID
Lighthouse of Tallapoosa County Inc,Substance Abuse Re)rnbilitation Program,,36 Franklin Street,,,Alexander City,AL,35010,(205)234-4894 Hotline: (800)762-3790,,,SA/TX/HH/RR/SS/OA/,9238AL35010
Anniston fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RR/CJ/SS/OA/,4683AL36201
Calhoun/Cleburne Mental Health Center,New Directions,,407 South Nobcl Street,,,Anniston,AL,36201,(256)236-8003 Hotline: (256)236-3403,,,SA/TX/OP/AD/DD/DU/PI/MI/SS/,0694AL36201
Alcoholism Recovery Services Inc,,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552,,,SA/TX/DT/OP/RR/HV/OW/MD/SS/OA/,3164AL35211
Aletheia I-louse,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/HH/OP/RR/PW/MD/PI/MI/OA/,0804AL35204
Birmingham Health Care for the,Homeless,,712 25th Street North,,,Birmingham,AL,35203,(205)439-7216 Intake: (205)323-5311,,,TX/OP/PH/DD/SS/OA/,7395AL35203
Birmingham Metro Treatment Center,Limited Partnership,,139 Citation Court,,,Birmingham,AL,35209,(205)941-1799,www.methadonetreatment.com,,SA/TX/DT/ML/OP/,4867AL35209
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Intake: (205)942-3200 Hotline: (800)293-7191 (800)648-1945,www.bradfordhealth.com,,SA/TX/OP/AD/PI/MI/SS/OA/,4046AL35209
Department of Veterans Affairs,Medical Center,,1717 I Ith Avenue South,,,Birmingham,AL,35205,(205)939-2135,,,MH-SA/TX/OP/DD/OW/,4893AL35205
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,,SA/TX/HH/OP/RR/DD/HV/OW/MC/SS/,1901AL35205
Hill Crest Behavioral Health Services,Chemical Dependency Track,,6869 5th Avenue South,,,Birmingham,AL,35212,(205)833-9000,,,TX/DT/OP/HI/AD/DD/CJ/MC/PI/MI/OA/,6785AL35212
Jefferson County Economic Opportunity,Alcoholism Outreach/ Aftercare Program,,730 8th Avenue West,Suite 200,,Birmingham,AL,35204,(205)787-3040 Hotline: (205)787-3040,,,SA/TX/OP/AD/CJ/MC/SS/OA/,8292AL35204
Jefferson County Economic Opportunity,Community Substance Abuse Program,,730 8th Avenue West,Suite 200,,Birmingham,AL,35204,(205)787-3040 Intake: (205)428-7362,,,SA/TX/OP/MD/MC/SS/OA/,8292AL35204
Oakmont Center,,,2008 21st Ensley Street,,,Birmingham,AL,35218,(205)787-7100,,,SA/TX/OP/PH/OW/CJ/MD/MC/PI/MI/SS/OA/,5756AL35218
Saint Annes Home Inc,,,2772 Hanover Circle,,,Birmingham,AL,35205,(205)933-2402,,,SA/TX/HH/OP/RR/DD/HV/PW/OW/CJ/SS/OA/,0615AL35205
