Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,,SA/TX/HH/RR/MN/SF/,6152AL35010,-85.95092163698332,32.94535931336939,100.0
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RR/MN/SF/AH/,3680AL36201,-85.82789030197445,33.672922506776054,100.0
Calhoun/Cleburne Mental Health Center,New Directions,,407 South Noble Street,,,Anniston,AL,36201,(256)236-8003 Hotlines: (256)236-8003 (256)236-3403,,,SA/TX/OP/AD/CO/DU/CJ/SF/MD/PI/MI/SS/,0710AL36201,-85.82876304351556,33.64172709527452,100.0
Bridge Inc,Recovery Center for Teens/Ashville,,474 10th Street,,,Ashville,AL,35953,(205)594-3111,www.bridgeinc.org,,SA/TX/OP/AD/CO/,1075AL35953,-86.24645010859075,33.83125825032185,100.0
Northwest Alabama Treatment Center,,,709 Memorial Drive,,,Bessemer,AL,35020,(205)425-1200,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/GL/SE/PW/WO/SF/AH/,6405AL35020,-86.98828593491591,33.3731077160985,99.51
Alcohol and Drug Abuse,Treatment Centers Inc,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552 Intake: (205)923-6552x10,,,SA/TX/DT/RR/SF/MD/SS/,5319AL35211,-86.8776602236915,33.47431863354241,100.0
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/OP/RR/HV/MN/DU/CJ/SF/MD/PA/AH/,0542AL35204,-86.83880519462637,33.5364827663802,100.0
Birmingham Healthcare,,,712 25th Street North,,,Birmingham,AL,35203,(205)323-5311 Intake: (205)323-5311x258,birminghamhealthcare.org,,GH/TX/OP/,5440AL35203,-86.80299525633802,33.52380065509877,100.0
Birmingham Metro Treatment Center,Limited Partnership,,139 Citation Court,Building A Suite 101,,Birmingham,AL,35209,(205)941-1739 Intake: (205)941-1799,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SP/,2291AL35209,-86.84611954113743,33.44757235769535,100.0
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Hotline: (800)293-7191,www.bradfordhealth.com,,SA/TX/OP/PH/AD/SF/PI/MI/,0352AL35209,-86.82185049486422,33.47609107078793,100.0
Department of Veterans Affairs,Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101 Intake: (205)933-8101x5510,,,GH/TX/OP/CO/SF/PI/SP/,5587AL35233,-86.80095784682842,33.504708438880954,99.89
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,,SA/TX/HH/RR/CO/HV/WO/MN/CJ/SF/SS/PA/SP/AH/,1605AL35205,-86.80074528176368,33.49721556226586,100.0
Hill Crest Behavioral Health Services,Chemical Dependency Track,,6869 5th Avenue South,,,Birmingham,AL,35212,(205)833-9000,,,MH/TX/DT/RR/HI/AD/CO/SF/MD/MC/PI/MI/,9326AL35212,-86.73057500586397,33.54924115517593,100.0
Jefferson County Economic Opportunity,Community Substance Abuse Program,,228 2nd Avenue North,,,Birmingham,AL,35204,(205)787-3040 Intake: (205)787-3040x221,www.jcceo.org,,SA/TX/OP/AD/HV/SE/SF/MD/,1350AL35204,-86.8308704285095,33.504160094775386,100.0
Oakmont Center,,,2008 21st Street Ensley,,,Birmingham,AL,35218,(205)787-7100,,,SA/TX/OP/AD/CJ/SF/MD/,1493AL35218,-86.88076395161484,33.50786944385658,100.0
Saint Annes Home Inc,,,2772 Hanover Circle,,,Birmingham,AL,35205,(205)933-2402,,,SA/TX/HH/RR/CO/HV/GL/SE/PW/WO/SF/SP/,3900AL35205,-86.78654742743194,33.504850176863734,99.55
Tri County Treatment Center,,,500 Gene Reed Road,Suite 220,,Birmingham,AL,35215,(205)836-3345,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,9882AL35215,-86.69546698531856,33.59730533491705,100.0
University of Alabama in Birmingham,Hospital Center for Psychiatric Med,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)934-7008 Intake: (800)782-1133 Hotline: (800)782-1133,www.main.uab.edu,,MH-SA/TX/DT/OP/PH/RR/SF/MD/MC/PI/MI/,0640AL35294,-86.80453989505979,33.50508138437197,99.52
University of Alabama in Birmingham,UAB Substance Abuse Programs,,401 Beacon Parkway West,Suite 270,,Birmingham,AL,35209,(205)917-3786 Intake: (205)917-3733x104,,,SA/TX/MM/OP/AD/SF/MD/MC/PI/,2643AL35209,-86.82401847412059,33.474769999028396,100.0
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,,,Cullman,AL,35055,(256)775-8301,www.bridgeinc.org,,SA/TX/OP/AD/CO/,9513AL35055,-86.88227496430383,34.196379987614414,100.0
Bridge Inc,Recovery Center for Teens/Decatur,,410 Johnston Street SE,,,Decatur,AL,35601,(256)353-6497,www.bridgeinc.org,,SA/TX/OP/AD/CO/,1992AL35601,-86.98186563653026,34.60283653559301,100.0
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,801 Church Street NE,Suite 10,,Decatur,AL,35601,(256)353-9116 Intake: (256)355-5904 Hotline: (256)355-6091,www.mhcnca.org,,SA/TX/OP/CO/PW/WO/CJ/SF/MD/PI/SS/AH/,5560AL35601,-86.97657799673112,34.60776241245103,100.0
West Alabama Mental Health Center,,,1215 Walnut Avenue South,,,Demopolis,AL,36732,(334)624-4520 Intake: (800)239-2901 Hotline: (800)239-2901,,,MH-SA/TX/OP/CO/DU/CJ/SF/MD/,9263AL36732,-87.83852899120225,32.503330174601736,99.89
Bradford Health Services,Dothan Outreach,,1609 West Main Street,,,Dothan,AL,36301,(334)671-1677 Hotline: (334)671-1677,www.bradfordhealth.com,,SA/TX/OP/PH/AD/CO/DU/SF/PI/MI/,1812AL36301,-85.41342698289706,31.226375015092263,100.0
Spectra Care,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)671-1919 Hotlines: (334)794-0300 (800)951-4357,,,SA/TX/RR/SF/MD/PI/SS/,0433AL36303,-85.46066747301337,31.250740537071014,100.0
Baldwin County Mental Health Center,,,372 South Greeno Road,,,Fairhope,AL,36532,(251)990-8961 Intake: (800)738-2871 Hotline: (800)738-2871,,,MH-SA/TX/OP/AD/CJ/SF/MD/MC/PI/MI/PA/AH/,9108AL36532,-87.88619470218504,30.51438598451874,99.89
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431x205 Intake: (256)764-3431 Hotline: (256)764-3431,www.rcmh.org,,MH-SA/TX/OP/AD/CO/SF/MD/MC/PI/MI/SS/SP/AH/,3136AL35630,-87.68471101656769,34.79534349627563,100.0
Bridge Inc,Recovery Center/Fort Payne,,100 7th Street NE,,,Fort Payne,AL,35967,(256)845-7767,www.bridgeinc.org,,SA/TX/OP/AD/SP/AH/,2872AL35967,-85.71774005933308,34.44614004867035,100.0
Alcohol and Drug Abuse,Prevention and Control Office (ADAPCO),,6th Avenue,Building 132,,Fort Rucker,AL,36362,(334)255-2789 Intake: (334)255-1040,,,SA/TX/OP/,6108AL36362,-85.7187528934878,31.326609107707647,100.0
Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324 Intake: (256)546-6324x208,www.bridgeinc.org,,SA/TX/OP/PH/RR/AD/SF/MD/PI/,3453AL35904,-85.97860622498159,34.07195402964593,100.0
