Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,,SA/TX/HH/RL/CO/MN/SF/
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,,SA/TX/HH/RL/SF/
Calhoun Cleburne Mental Health Center,New Directions,,407 Noble Street,,,Anniston,AL,36201,(256)236-8003 Hotlines: (256)236-8003 (256)236-3403,,,SA/TX/OP/AD/CO/DU/SF/MD/SI/PI/MI/SS/
Bridge Inc,Recovery Center for Teens/Ashville,,474 10th Street,,,Ashville,AL,35953,(205)594-3111,www.bridgeinc.org,,SA/TX/OP/AD/SF/MD/SI/PI/MI/PA/AH/
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200 Hotline: (205)805-3381,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/PW/WN/BC/SF/PI/AH/
Alcohol and Drug Abuse Trt Centers Inc,,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552,,,SA/TX/DT/RS/RL/CO/WN/SF/MD/SI/SS/PA/AH/
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,,SA/TX/RL/OP/SF/MD/PA/
Aletheia House,Men Only,,135 Finley Avenue West,,,Birmingham,AL,35204,(205)328-3600 Intake: (205)324-6502,,,SA/TX/RL/OP/CO/HV/GL/SE/MN/CJ/SF/
Aletheia House,Transitional Housing and Men of Honor,,1001 22nd Avenue West,,,Birmingham,AL,35204,(205)251-2721 Intake: (205)324-6502,,,SA/TX/HH/OP/CO/MN/CJ/SF/MD/MC/
Aletheia House,Women Only,,4246 5th Avenue South,,,Birmingham,AL,35222,(205)595-1114 Intake: (205)324-6502,,,SA/TX/RL/OP/WN/PA/
Birmingham Healthcare,,,712 25th Street North,,,Birmingham,AL,35203,(205)323-5311 Hotline: (205)941-4690,www.birminghamhealthcare.org,,SA/TX/OP/HV/SS/PA/
Birmingham Metro Treatment Center,Limited Partnership,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Bradford Health Services,Birmingham Regional Office Jefferson,,631 Beacon Parkway West,Suite 211,,Birmingham,AL,35209,(800)293-7191 Intake: (205)942-3200 Hotlines: (205)942-3200 (800)293-7191,www.bradfordhealth.com,,SA/TX/OP/AD/SF/SI/PI/MI/
Department of Veterans Affairs,Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101x6136 Intake: (205)933-8101x5508,,,GH/TX/HH/OP/CO/SE/WN/DU/SF/PI/MI/SP/AH/
Hill Crest Behavioral Health Services,Chemical Dependency Track,,6869 5th Avenue South,,,Birmingham,AL,35212,(205)833-9000 Intake: (205)838-2050 Hotline: (800)292-8553,,,MH/DT/HI/SF/MC/PI/SP/AH/F11/
Jefferson County Economic Opportunity,Community Substance Abuse Program,,228 2nd Avenue North,,,Birmingham,AL,35204,(205)787-3040,,,SA/TX/OP/SF/MD/MC/SS/PA/
Oakmont Center,,,2008 21st Street Ensley,,,Birmingham,AL,35218,(205)787-7100,,,SA/TX/OP/SF/MD/
Tri County Treatment Center,,,1101 East Park Drive,,,Birmingham,AL,35235,(205)836-3345 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
University of Alabama at Birmingham,(UAB)/Substance Abuse Programs,,401 Beacon Parkway West,Suite 270,,Birmingham,AL,35209,(205)917-3784,,,SA/TX/MM/OP/AD/PW/WN/SF/MD/SS/AH/
University of Alabama at Birmingham,Center for Psychiatric Medicine,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)934-7008 Intakes: (205)934-7008x1 (205)975-7352,www.main.uab.edu,,SA/TX/DT/HI/RS/OP/PH/CO/SF/MD/MC/SI/PI/MI/
Indian River MH Center and Subst Abuse,Intensive/Outpatient,,Highway 17,,,Carrollton,AL,35447,(205)391-0132 Intake: (205)562-3700,,,MH-SA/TX/OP/CO/SF/MD/PI/MI/SS/AH/
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,Suite 104,,Cullman,AL,35055,(256)775-8301,www.bridgeinc.org,,SA/TX/OP/AD/SF/MD/SI/PI/MI/PA/AH/
Cullman County Treatment Center,,,1912 Commerce Avenue,,,Cullman,AL,35055,(256)739-5595 Intake: (256)739-5573,,Methadone Clients Only,SA/TX/DT/MM/OP/HV/GL/PW/WN/SF/AH/
Lighthouse Inc,,,925 Convent Road NE,,,Cullman,AL,35055,(256)739-2777,,,SA/TX/HH/RL/MN/CJ/SF/
Bridge Inc,Recovery Center for Teens/Decatur,,2531 Highway 20 West,,,Decatur,AL,35602,(256)350-8434x207,www.bridgeinc.org,,SA/TX/OP/AD/SF/MD/SI/PI/MI/PA/AH/
