Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys
SpectraCare,Henry County/IOP,,219 Dothan Road,,,Abbeville,AL,36310,(334)673-2143,,MHF/SA/OP/ORT/SF/MD/SI/PI/MI/SS/PA/AH/YAD/ADLT/FEM/MALE/
Shelby County Treatment Center,,,750 Highway 31 South,,,Alabaster,AL,35007,(205)216-0200,,SAF/SA/MM/BU/NXN/VTRL/OP/OMB/OIT/ORT/CT/SF/MD/PI/SS/AH/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,,36 Franklin Street,,,Alexander City,AL,35010,(256)234-4894,,SAF/SA/HH/RES/RL/SF/MD/AH/MN/YAD/ADLT/MALE/
South Central Alabama CMHC,Covington Cnty Adult SA OP,,205 Academy Drive,,,Andalusia,AL,36420,(334)428-5050 Intake: (334)428-5040,,SAF/SA/OP/ORT/SF/MD/MC/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/
South Central Alabama CMHC,First Step,,205 Academy Drive,,,Andalusia,AL,36420,(334)428-5002 Intake: (334)428-5050,,SAF/SA/RES/RS/SF/MD/MC/PI/MI/SS/AH/YAD/ADLT/MALE/
Anniston Fellowship House Inc,,,106 East 22nd Street,,,Anniston,AL,36201,(256)236-7229,,SAF/SA/HH/RES/RL/CT/SF/CO/MN/YAD/ADLT/MALE/
Health Services Center Inc,CORE Calhoun County,,1302 Noble Street,Suite 1-F,,Anniston,AL,36201,(256)237-5993 Intake: (256)237-5994,,SAF/SA/OP/OIT/ORT/NP/CJ/YAD/ADLT/FEM/MALE/
Family Life Center,,,410 South Jefferson Street,,,Athens,AL,35611,(256)216-3917,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Family Life Center,,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458 Intake: (256)459-4494,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Rapha Treatment Center,,,677 West Covington Avenue,,,Attalla,AL,35954,(256)538-7458,,SAF/SA/HH/RES/RS/RL/SF/YAD/ADLT/MALE/
