GEOID,Y,X,POP,state
99929,56.393672109376546,-132.31478878844342,2338,2
99927,56.30759305761129,-133.58262045190196,94,2
99926,55.121319282916964,-131.57381111427804,1460,2
99925,55.55428909184854,-133.07774534914915,819,2
99923,55.935375116930636,-130.03781153075354,87,2
99922,55.210124688975974,-132.82886377371506,384,2
99921,55.51783468264883,-133.0478061399279,1920,2
99919,55.66381867952776,-132.51619436491976,531,2
99918,55.98504556011439,-132.78719428249948,231,2
99903,55.796045140509065,-132.1843074398828,31,2
99901,55.36660392252689,-131.68031667952172,13508,2
99841,57.78856740301714,-135.194537797767,133,2
99840,59.46616606356444,-135.31200604913423,968,2
99836,56.24880913811408,-134.65131433197277,52,2
99835,57.05495081831914,-135.3225862105732,8880,2
99833,56.78953239027953,-132.9741725600506,3202,2
99832,57.985843733701884,-136.22435824545474,104,2
99830,56.965924113959844,-133.95267712631977,561,2
99829,58.10864254881393,-135.43406626522415,777,2
99827,59.28267679405279,-135.61152803008682,2602,2
99826,58.4486590585225,-135.81868950953344,442,2
99825,58.19588707051302,-136.11802933818478,120,2
99824,58.27765580927309,-134.4019952441771,2111,2
99820,57.52119149634445,-134.51031878838208,479,2
99801,58.36438032924558,-134.53847753175057,29164,2
99791,70.49886055961008,-157.31419549984219,237,2
99790,65.4519876442308,-148.4616028591316,20,2
99789,70.21714262679886,-151.00261795083503,402,2
99788,66.6509817219834,-143.74395264618084,69,2
99786,67.08532272365987,-157.78709014188698,259,2
99785,65.3348481800477,-166.48825057538915,388,2
99784,64.68104806153245,-163.4030025204448,190,2
99783,65.61271729209021,-168.0833509943428,145,2
99782,70.64276726113695,-160.01498340248742,556,2
99781,67.04600532316954,-146.37903529768846,167,2
99780,63.28204736269057,-143.03063190372083,1535,2
99778,65.24219687014427,-166.37825994688978,254,2
99777,65.17409851423528,-152.06823000004147,246,2
99776,63.3812772501281,-143.40855878024877,124,2
99775,64.85837771358803,-147.82637135553506,1251,2
99774,66.01569904577931,-149.08587111261446,78,2
99773,66.88751779620695,-157.1535245045927,262,2
99772,66.18667452157655,-166.11963833141192,567,2
99771,64.35790971220567,-161.19974442690602,251,2
99770,66.59996997465575,-160.00287507419787,841,2
99769,63.68710474420315,-170.47545915783925,671,2
99768,64.74367803534706,-155.43574963571683,175,2
99767,65.50567527139529,-150.15006481677108,24,2
99766,68.35295754496917,-166.74597058549142,678,2
99765,64.7314989527062,-158.11219914569543,264,2
99764,62.94560601813815,-141.73826650449664,290,2
99763,66.83102316831398,-161.0421714265864,668,2
99762,64.5480464798336,-165.37963635575966,4038,2
99761,67.57999074421149,-162.98982518315677,514,2
99760,64.51193398594219,-149.00820585054709,785,2
99759,69.74424029135615,-163.00248083236988,189,2
99758,65.1498659152919,-149.3551840474463,210,2
99757,63.74046160739771,-152.62923029197194,17,2
99756,64.93568046382804,-150.6014414396036,119,2
99755,63.65944604307374,-148.8163543463002,217,2
99754,64.89519432071883,-157.69889370620302,96,2
99753,64.9330854661438,-161.15105345448708,332,2
99752,67.00542901048982,-162.60296287781688,3553,2
99751,66.91698771081407,-156.88584492572986,151,2
99750,67.72762525827564,-164.53890780705675,374,2
99749,66.97200493759766,-160.43262534783847,363,2
99748,64.32397355422745,-158.73209632846164,190,2
99747,70.12321892823262,-143.61107125008374,239,2
99746,65.6908946632343,-156.42787337543322,277,2
99745,66.04450876394381,-154.24253869010633,78,2
99744,64.33437359857079,-149.18335429081168,226,2
99743,63.901871809805726,-149.1445484185254,1069,2
99742,63.771081480990105,-171.7096054012367,681,2
99741,64.74421872190763,-156.86956645554082,470,2
99740,66.60134114104721,-145.1770967280146,585,2
99739,64.64498382582609,-162.2703788305017,330,2
99738,64.78070820705098,-141.23912076011126,187,2
99737,64.0298867219566,-145.53895698496942,5011,2
99736,66.08360286434342,-162.75575335626502,122,2
99734,70.28228309871135,-148.6397572832768,845,2
99733,65.81014867903771,-144.13922164626615,104,2
99732,64.06946337180007,-141.9234063069029,10,2
99730,65.67574519064884,-144.99733552586991,144,2
99729,63.35353093155379,-148.77960892195367,231,2
99727,65.97645488700154,-161.1355510099224,416,2
99726,66.93810538573355,-151.6025297283131,30,2
99724,66.36974172596932,-147.38434821702862,84,2
99723,71.29689970917394,-156.75085669412388,4213,2
99722,68.10067088483964,-145.59933530352404,152,2
99721,68.14488441216767,-151.73422900890517,324,2
99720,66.55482455928251,-152.66776932492218,208,2
99714,64.502872878997,-146.9272661828478,1385,2
99712,64.915851838489,-147.51263658692542,13866,2
99709,64.85412218264244,-147.8730550336019,29830,2
99706,64.001045835128,-144.7280331787826,13,2
99705,64.77955625743137,-147.3667228983909,22544,2
99704,64.29322033028757,-149.1673947371589,24,2
99703,64.83208780004279,-147.6596515215986,7065,2
99702,64.67970430714952,-147.0772762511076,2647,2
99701,64.85392388147251,-147.7247409870135,19019,2
99695,55.913895399129714,-159.49067623995364,7,2
99694,61.61321233509489,-149.76945405229353,1512,2
99693,60.8162591420376,-148.57508301378186,248,2
99692,53.886363933375904,-166.54018034141976,152,2
99691,62.999377174316656,-154.3385082688647,95,2
99690,60.479914771978244,-164.7264994657466,280,2
99689,59.547579392612036,-139.71661212798207,662,2
99688,61.824277024156,-150.00570352366717,2759,2
99686,61.11339217328632,-146.3438236288914,4005,2
99685,53.87414868003808,-166.4986271609551,4224,2
99684,63.880717022514496,-160.78503787457697,688,2
99683,62.35056084225828,-150.3225137666114,524,2
99682,60.84367693005106,-151.9940328285799,373,2
99681,60.594519711426045,-165.19550941815118,325,2
99680,60.3465531665566,-162.66762564931176,408,2
99679,61.09868812866975,-160.9595708637241,373,2
99678,59.06129750321827,-160.40036971793688,891,2
99677,60.87979277384113,-146.67593999246492,88,2
99676,62.26861631411274,-150.03163249816714,1546,2
99674,61.75456369366497,-148.60785316907192,1444,2
99672,60.53077153860063,-150.79803271046146,3704,2
99671,63.515787479747715,-162.26384636551984,556,2
99670,58.69613214394267,-157.0040427119819,79,2
99669,60.48436702106346,-151.07130507464032,14191,2
99668,61.69520874841625,-157.13914290753456,86,2
99667,61.85223872726003,-151.30658150855288,65,2
99666,62.519330037424965,-164.87286065597172,189,2
99665,62.64921362881588,-159.5267062536672,83,2
99664,60.13080419462138,-149.41676449218753,4932,2
99663,59.443795145015,-151.69139132317756,414,2
99662,61.841299876097786,-165.5858122361096,480,2
99661,55.32674068849961,-160.48378596236785,978,2
99660,57.13098822202996,-170.27510185977454,479,2
99659,63.4777793300372,-162.05493207173515,401,2
99658,62.05472682588968,-163.1921035336429,616,2
99657,61.780834359697025,-161.34931010144174,329,2
99656,61.79097998044484,-157.376677325317,25,2
99655,59.75072265214897,-161.90202805106063,669,2
99654,61.578643389241975,-149.4885938002779,52168,2
99653,60.17273350813458,-154.32254434474197,159,2
99652,61.54773053191303,-149.84613503335746,3703,2
99651,59.00914276886503,-161.8098112445855,61,2
99650,61.94027980315436,-162.88169744752997,568,2
99649,57.54761645961633,-157.52657233187418,80,2
99648,55.924437658752346,-159.15540474706637,113,2
99647,59.792229583984096,-154.12063576503274,44,2
99645,61.59954272932829,-149.1342460299397,25176,2
99644,57.92124773596365,-152.47720712900562,175,2
99643,57.21408879485711,-153.31747182684322,218,2
99641,60.89657392478222,-162.46058571676528,496,2
99640,60.01725762560382,-154.83226474306375,174,2
99639,60.045150672200286,-151.594880792816,1131,2
99638,52.93438748580205,-168.8735154900355,18,2
99637,60.53392656128002,-165.11208536482343,590,2
99636,59.469541765205705,-157.30402852683648,510,2
99634,60.686749410515226,-161.9884870642147,354,2
99633,58.75455611221739,-156.92539019686,544,2
99632,62.091812966896626,-163.72751147926115,813,2
99631,60.524727705531504,-149.43522308474982,228,2
99630,60.383000457128865,-166.22152966228091,191,2
99628,58.99245122354931,-159.0338937478337,443,2
99627,62.95702614344785,-155.65682384673474,406,2
99626,61.51310122910802,-160.36602902254498,282,2
99625,59.114578790036326,-156.85786722991682,72,2
99624,57.53291407755029,-153.9827468405764,90,2
99622,59.864649740652894,-163.1881878777747,321,2
99621,60.80553059547097,-161.4284794810871,723,2
99620,63.03279394443802,-163.5442894349169,577,2
99615,57.786134324628456,-152.45699831970384,12899,2
99614,59.937869013311605,-164.04933949165027,639,2
99613,58.800898195602215,-156.50129604413084,434,2
99612,55.05844267461792,-162.28088870041069,938,2
99611,60.59910726711501,-151.24261711117614,15122,2
99610,60.31579396351128,-151.25777636108484,2167,2
99609,60.877114643896896,-162.52293821340342,569,2
99607,61.557369731536724,-160.31129122020673,216,2
99606,59.63791073343084,-154.83081747138678,469,2
99605,60.88241007558037,-149.5960864430338,211,2
99604,61.525684225833,-166.11214629951306,1093,2
99603,59.66595115532446,-151.47509926419244,9840,2
99602,62.19409743411416,-159.80614432261615,178,2
99591,56.59373011306604,-169.56270979185345,102,2
99590,62.909889255053464,-160.07317297108767,194,2
99589,59.12413437142272,-161.57952077977802,243,2
99588,62.1288752364651,-145.9632285355104,980,2
99587,60.953584797897264,-149.08268999570487,2250,2
99586,62.50829898511968,-144.64325308997024,605,2
99585,61.88114050879096,-162.09243640671622,417,2
99583,54.86297800962547,-163.4135945817594,35,2
99581,62.780983853224285,-164.5460125174266,762,2
99580,59.358183805153395,-157.47855027973742,115,2
99579,58.208257874026025,-157.3840412900989,109,2
99578,60.21553529153675,-162.0243579987935,296,2
99577,61.31522264915414,-149.53113133636634,25771,2
99576,59.11015657687389,-158.42507552459602,2603,2
99575,61.85952061627189,-158.12550709157472,105,2
99574,60.52461841158001,-145.88746694932166,2348,2
99573,61.843444361350876,-145.19018297914576,1115,2
99572,60.49167341951607,-149.80018014024287,296,2
99571,55.47777046865586,-162.21535265857568,160,2
99569,58.83272939033567,-158.54378790219357,64,2
99568,60.21248841999504,-151.41664484013702,279,2
99567,61.40763412293617,-149.44841652810263,9211,2
99566,61.460186630719356,-143.70561364839241,192,2
99565,56.306843182577154,-158.5174576113274,78,2
99564,56.29411581931654,-158.3920608250773,91,2
99563,61.52860552241304,-165.5862754188631,938,2
99561,60.1538327072163,-164.25910758607387,418,2
