"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"01001",2018,55200,76.88,19.14,0.29,1.03,0.06,2.61,2.77,11.31,13.03,58.83,14.58,19.3
"01003",2018,208107,86.27,9.5,0.73,0.81,0,2.69,4.49,9.74,11.29,52.77,19.54,14
"01005",2018,25782,47.38,47.58,0.28,0.37,0,4.39,4.29,26.97,11.99,55.81,17.97,22.2
"01007",2018,22527,76.65,22.28,0.04,0.16,0,0.87,2.43,16.79,13.34,56.45,16.25,16.7
"01009",2018,57645,95.51,1.5,0.24,0.34,0.03,2.38,9.13,19.84,11.98,55.44,17.75,14.2
"01011",2018,10352,21.99,76.25,1.18,0.54,0,0.05,0.49,24.77,14.28,57.64,15.61,14.4
"01013",2018,20025,52,45.22,0.01,1.15,0,1.61,0.33,15.42,11.81,54.74,19.01,17.7
"01015",2018,115098,74.33,20.57,0.31,0.93,0.01,3.85,3.65,15.95,13.38,56.32,16.84,20.8
"01017",2018,33826,57.6,39.38,0.29,1.2,0,1.54,2.27,18.6,13.26,52.99,18.95,16.7
"01019",2018,25853,92.82,4.9,0.91,0.21,0,1.15,1.54,19.77,11.55,48.84,21.74,20
"01021",2018,43930,83.31,9.44,0.28,0.43,0,6.53,7.78,17.8,12.29,58.22,15.77,17.7
"01023",2018,13075,56.75,42.75,0.07,0.1,0,0.33,0.56,18.59,11.48,49.03,22.06,28.4
"01025",2018,24387,53.04,45.82,0.1,0.5,0,0.54,0.2,18.82,13.07,53.43,18.97,17.1
"01027",2018,13378,83.02,14.78,1.16,0.13,0,0.91,3.1,24.5,13.27,51.88,19.82,15.3
"01029",2018,14938,94.18,2.63,0.26,0.02,0,2.91,2.42,22.63,11.08,53.71,18.76,22.6
"01031",2018,51288,75.89,17.21,1.2,1.3,0,4.39,6.92,13.84,12.4,57.74,16.33,17.7
"01033",2018,54495,79.43,15.81,0.67,0.49,0.05,3.54,2.48,15.57,11.56,53.01,19.27,18.7
"01035",2018,12514,50.89,47.71,0.45,0.14,0,0.8,0.84,19.25,11.87,50.38,21.63,22.8
"01037",2018,10855,65.71,34.21,0.08,0,0,0,0.46,20.35,10.4,46.47,21.81,22.6
"01039",2018,37351,84.67,12.92,0.16,0.43,0.03,1.8,1.62,17.13,11.08,51.69,20.48,20.9
"01041",2018,13865,71.68,23.07,0.79,1.36,0,3.12,1.98,21.61,11.61,54.09,18.33,21.1
