"GEOID","totPop","pctWhite","pctBlack","pctAmInd","pctAsian","pctPacIs","pctOther","pctHisp","pctNoHS","pct15_24","pctUnder45","pctOver65","pctDisab"
"01",4864680,68.19,26.58,0.53,1.33,0.04,3.32,4.18,14.24,13.53,57.49,16.11,16.3
"02",738516,64.84,3.27,14.44,6.3,1.2,9.95,6.93,7.28,14.11,63.91,10.62,12
"04",6946685,77.22,4.39,4.46,3.29,0.2,10.43,31.14,13.23,13.77,59.22,16.67,12.9
"05",2990671,77,15.41,0.67,1.47,0.27,5.18,7.32,13.81,13.56,58.49,16.3,17.2
"06",39148760,60.1,5.79,0.76,14.32,0.39,18.64,38.88,17.07,13.78,61.35,13.58,10.6
"08",5531141,84.17,4.12,0.99,3.12,0.15,7.45,21.42,8.61,13.25,61.13,13.39,10.6
"09",3581504,76.36,10.56,0.27,4.43,0.03,8.34,15.69,9.51,13.76,55,16.41,11
"10",949495,68.97,22.11,0.36,3.87,0.05,4.64,9.09,10.22,12.72,55.41,17.6,12.3
"11",684498,40.97,46.94,0.29,3.9,0.05,7.84,10.92,9.41,13.37,66.68,11.94,11.8
"12",20598139,75.39,16.1,0.28,2.71,0.06,5.45,25.17,12.05,12.07,53.75,19.73,13.4
"13",10297484,59.04,31.46,0.33,3.91,0.06,5.21,9.4,13.32,13.98,61.21,13.13,12.3
"15",1422029,25.01,1.85,0.21,37.75,10.08,25.11,10.4,8.16,12.27,57.43,17.3,11.2
"16",1687809,90.49,0.68,1.35,1.41,0.16,5.91,12.39,9.43,13.87,60.9,15.04,13.3
"17",12821497,71.67,14.23,0.25,5.39,0.04,8.43,16.96,11.11,13.44,59.05,14.78,10.9
"18",6637426,83.59,9.33,0.22,2.18,0.04,4.62,6.78,11.42,14.1,59,15.01,13.8
"19",3132499,90.28,3.51,0.37,2.4,0.1,3.35,5.85,8.01,14.16,57.96,16.39,11.6
"20",2908776,84.59,5.84,0.83,2.87,0.07,5.8,11.71,9.27,14.36,60.08,15.05,13
"21",4440204,87.08,7.98,0.22,1.41,0.06,3.24,3.58,14.3,13.45,57.77,15.57,17.4
"22",4663616,62.21,32.23,0.56,1.71,0.03,3.26,5.04,15.19,13.53,60.08,14.51,15
"23",1332813,94.48,1.34,0.62,1.12,0.02,2.41,1.61,7.69,11.79,50.53,19.45,15.9
"24",6003435,56.19,29.78,0.26,6.23,0.05,7.48,9.81,9.96,12.89,58.02,14.58,10.9
"25",6830193,78.48,7.48,0.21,6.48,0.03,7.32,11.55,9.57,13.94,56.8,15.79,11.6
"26",9957488,78.52,13.81,0.53,3.06,0.03,4.05,5,9.47,13.92,56.25,16.28,14.3
"27",5527358,83.33,6.19,1.07,4.75,0.04,4.62,5.3,7.03,13,58.51,15.02,10.8
"28",2988762,58.59,37.67,0.46,0.95,0.02,2.31,3.03,16.08,14.22,59.59,15.04,16.3
"29",6090062,82.24,11.57,0.44,1.92,0.11,3.72,4.09,10.44,13.43,57.6,16.12,14.6
"30",1041732,88.86,0.44,6.46,0.76,0.07,3.4,3.75,6.81,13.24,55.71,17.65,13.6
"31",1904760,87.49,4.77,0.91,2.32,0.07,4.44,10.67,8.91,13.98,60.34,15.02,11.5
"32",2922849,66.21,8.93,1.23,8.03,0.66,14.94,28.45,13.7,12.3,59.39,14.99,12.8
"33",1343622,93.03,1.53,0.16,2.69,0.03,2.57,3.6,7.1,13.31,52.75,16.97,12.6
"34",8881845,67.91,13.47,0.21,9.37,0.04,9,19.91,10.46,12.7,56.65,15.5,10.4
"35",2092434,74.5,2.06,9.55,1.51,0.07,12.31,48.54,14.74,13.77,58.6,16.32,15.1
"36",19618453,63.79,15.64,0.41,8.31,0.04,11.81,18.89,13.52,13.16,57.7,15.64,11.5
"37",10155624,68.87,21.46,1.19,2.78,0.07,5.62,9.22,12.64,13.56,58.22,15.47,13.6
"38",752201,87.11,2.72,5.25,1.44,0.05,3.43,3.53,7.51,15.19,61.34,14.61,10.8
"39",11641879,81.51,12.35,0.2,2.15,0.03,3.75,3.7,9.9,13.29,56.72,16.26,14
