"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"00601",2018,17242,75.55,0.84,0.14,0.02,0,23.45,99.66,NA,13.52,55.09,17.42,NA
"00602",2018,38442,79.42,2.78,0,0,0,17.8,93.45,NA,13.52,53.54,17.21,NA
"00603",2018,48814,76.47,3.95,0.24,0.75,0.02,18.57,97.41,NA,13.17,54.94,19.81,NA
"00606",2018,6437,40.81,2.31,0.28,0,0,56.59,99.84,NA,14.57,53.32,17.99,NA
"00610",2018,27073,75.54,2.57,0,0,0,21.89,96.2,NA,13.65,53.55,19.26,NA
"00612",2018,60303,80.73,4.56,0.36,0.99,0,13.36,99.35,NA,13.49,53.33,20.99,NA
"00616",2018,10765,86.92,5.41,0.08,0,0,7.59,99.51,NA,15.74,54.59,20.19,NA
"00617",2018,23974,86.03,3.51,0,0.59,0,9.86,99.79,NA,13.56,57.94,18.24,NA
"00622",2018,6578,29.05,0.53,0,0,0,70.42,100,NA,10.6,39.86,31.5,NA
"00623",2018,42427,27.67,2.24,0.29,0.03,0,69.78,99.84,NA,13.57,54.54,20.26,NA
"00624",2018,22707,71.34,3.66,0.18,0.22,0,24.6,99.71,NA,13.82,58.06,15.68,NA
"00627",2018,32222,81.33,1.69,0.03,0,0,16.95,99.32,NA,14,54.56,18.5,NA
"00631",2018,1568,69.01,0,0,0,0,30.99,100,NA,11.1,48.02,27.74,NA
"00637",2018,22975,69.79,2.44,0.19,0,0,27.58,99.83,NA,13.48,53.73,21.43,NA
"00638",2018,16701,96.37,0.99,0,0,0,2.64,98.98,NA,12.51,53.95,19.38,NA
"00641",2018,27571,61.68,1.44,0.06,0.28,0,36.53,99.38,NA,13.68,52.42,19.74,NA
"00646",2018,37494,79.04,12.18,0,0.12,0,8.65,98.45,NA,13.74,58.07,16.2,NA
"00647",2018,5643,63.3,2.34,0,0,0,34.36,100,NA,12.25,46.87,28.94,NA
"00650",2018,14760,86.06,1.44,0,0.23,0,12.26,98.94,NA,15.16,58.37,17.59,NA
"00652",2018,3697,84.8,1.3,0,0.68,0,13.23,99.49,NA,13.42,56.13,19.94,NA
"00653",2018,11140,62.05,5.09,0.27,0,0,32.59,98.52,NA,13.52,57.05,18.82,NA
"00656",2018,18979,76.82,1.94,0.69,0.65,0,19.91,99.52,NA,13.53,55.61,19.17,NA
"00659",2018,40390,97.72,0.56,0,0.04,0,1.68,99.89,NA,13.18,54.72,18.72,NA
"00660",2018,16180,30.22,2.41,0,0,0,67.37,99.8,NA,12.3,48.74,26.07,NA
"00662",2018,40290,67.75,5.49,0.09,0,0,26.67,98.52,NA,13.2,55.06,18.85,NA
"00664",2018,14991,68.55,2.02,0.31,0.03,0,29.08,99.62,NA,14.89,58.96,15.46,NA
"00667",2018,23590,31.35,1.4,0.05,0,0,67.21,99.66,NA,13.15,50.58,23.05,NA
"00669",2018,25653,71.45,0.46,0.05,0,0,28.04,99.54,NA,13.49,54.45,18.88,NA
"00670",2018,8498,51.14,1.07,0,0,0,47.79,99.47,NA,13.05,54.8,19.03,NA
"00674",2018,39859,84.59,4.35,0.17,0.23,0,10.66,98.43,NA,13.91,54.43,19.61,NA
"00676",2018,36995,79.57,3.39,0.27,0.15,0,16.61,99.17,NA,14.33,57.46,16.1,NA
"00677",2018,14311,81.69,1.24,0,0.03,0,17.04,88.78,NA,11.67,49.28,23.11,NA
"00678",2018,26091,82.64,4.48,0.27,0.13,0,12.48,98.94,NA,13.7,55.2,18.1,NA
"00680",2018,46395,27.46,3.33,0.29,0.02,0,68.91,99.53,NA,17.87,51.92,24,NA
"00682",2018,32359,29.09,4.16,0.12,0.08,0,66.55,98.78,NA,21.15,59.32,19.58,NA
"00683",2018,30424,58.72,2.17,0.12,0,0,38.99,99.31,NA,14.44,51.5,23.28,NA
"00685",2018,38039,70.38,2.76,0,0.28,0,26.59,97.8,NA,12.85,51.8,21.77,NA
"00687",2018,31320,92.61,1.45,0.11,0.09,0,5.74,99.48,NA,14.95,59.02,14.59,NA
"00688",2018,12202,84.22,2.25,0.24,0.74,0,12.55,99.3,NA,13.79,54.51,17.35,NA
"00690",2018,5352,81.54,1.29,0,0.43,0,16.74,99.16,NA,17.68,47.93,23.02,NA
"00692",2018,35840,74.28,10.88,0.07,0.25,0,14.52,98.35,NA,13.95,58.19,16.38,NA
"00693",2018,54428,85.37,5.22,0.12,0,0.05,9.24,97.17,NA,13.66,55.31,18.95,NA
"00694",2018,69,100,0,0,0,0,0,100,NA,0,0,100,NA
"00698",2018,36312,77.59,3.58,0.42,0.01,0,18.4,99.74,NA,12.72,52.39,20.29,NA
"00703",2018,26320,63.17,7.89,1.06,0,0,27.88,99.03,NA,13.42,55.62,18.51,NA
"00704",2018,8274,58.75,30.99,0.51,0.18,0,9.57,99.67,NA,16.03,64.37,13.44,NA
"00705",2018,23176,75.97,12.05,0.08,0.09,0,11.81,99.59,NA,13.2,53.01,18.78,NA
"00707",2018,10964,25.6,72.78,0.07,0,0,1.54,98.84,NA,12.71,52.01,20.71,NA
"00714",2018,17998,60.69,18.95,0,0,0,20.36,99.79,NA,13.77,57.52,18.05,NA
