"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"00601",2018,3495,1.8,26.32,4.95,0.6
"00602",2018,11536,3.13,21.64,1.58,1.56
"00603",2018,12400,4.13,29.04,3.1,1.82
"00606",2018,1355,1.85,12.03,4.8,0
"00610",2018,8464,3.08,16.86,0.64,1.85
"00612",2018,15455,2.81,22.99,4.52,0.98
"00616",2018,3120,5.83,12.98,2.69,0
"00617",2018,5835,2.52,20.27,0,0
"00622",2018,1286,1.17,44.63,0,1.09
"00623",2018,10922,2.46,30.32,1.7,0.74
"00624",2018,5596,5.24,19.69,4.45,2.5
"00627",2018,8543,2.96,23.27,2.98,1.04
"00631",2018,394,8.88,33.5,1.78,0
"00637",2018,5698,3.23,15.97,5.21,0
"00638",2018,3209,2.52,11.84,1.99,0
"00641",2018,6168,5.03,21.69,4,1.01
"00646",2018,11617,3.53,38.67,3.37,0.72
"00647",2018,1104,4.08,33.51,0.54,0
"00650",2018,3950,2.33,24.41,3.39,1.34
"00652",2018,959,1.98,14.49,4.9,0
"00653",2018,2329,2.4,10.48,6.35,0.43
"00656",2018,4663,2.23,14.41,5.49,0.43
"00659",2018,12069,2.12,26.97,0.72,2.31
"00660",2018,4781,3.7,23.82,1.4,1.46
"00662",2018,10134,4.7,25.74,2.71,1.91
"00664",2018,3361,0,20.11,3.51,1.28
"00667",2018,4647,6.69,21.39,2.11,0.17
"00669",2018,6282,2.26,23.5,5.67,0.59
"00670",2018,2177,5.01,17.32,2.66,0
"00674",2018,11062,2.3,29.52,2.65,2.37
"00676",2018,9017,4.68,20.14,2.98,0.71
"00677",2018,4572,4.02,22.99,1.64,0.83
"00678",2018,7468,1.77,17.68,3.2,1.91
"00680",2018,11511,3.96,26,2,0.99
"00682",2018,7738,3.67,22.41,1.73,3.39
"00683",2018,7860,3.4,26.4,1.91,1.36
"00685",2018,8598,2.97,18.56,2.8,0
"00687",2018,8586,3.48,20.84,1.86,0.75
"00688",2018,3360,5.06,17.17,2.62,1.52
"00690",2018,1451,0,26.67,7.79,1.31
"00692",2018,9499,1.92,33.98,3.14,2.71
"00693",2018,14490,2.57,25,2.28,0.57
"00694",2018,0,NA,NA,NA,NA
"00698",2018,8918,3.06,21.8,4.68,0.53
"00703",2018,7519,3.87,19.08,1.96,0.65
"00704",2018,2296,2.18,18.07,0,2.92
"00705",2018,6466,2.3,18.65,1.3,0.51
"00707",2018,2183,4.12,20.98,6.23,0
"00714",2018,3701,2.54,8.92,5.32,1.35
"00715",2018,640,3.12,7.19,0,0
"00716",2018,7072,2.45,30.05,0.86,0.99
"00717",2018,3803,2.21,26.08,2.45,1.1
"00718",2018,6903,3.52,19.25,1.09,0.22
"00719",2018,7680,2.33,22.88,1.09,0.69
"00720",2018,4315,2.43,22.57,1.67,0.74
"00723",2018,4071,3.81,23.16,5.31,0.71
"00725",2018,26870,3.68,29.3,1.08,1.63
"00727",2018,21098,2.62,39.96,2.65,1.31
