"GEOID","year","essnWrkE","wrkPopE","essnWrkP"
"01",2018,840920,2076708,40.49
"02",2018,153725,351152,43.78
"04",2018,1221389,3045978,40.1
"05",2018,547011,1292263,42.33
"06",2018,7012957,18309012,38.3
"08",2018,1045817,2839374,36.83
"09",2018,639748,1810445,35.34
"10",2018,176164,450946,39.07
"11",2018,89558,369194,24.26
"12",2018,3811189,9253932,41.18
"13",2018,1813138,4721065,38.41
"15",2018,294473,677446,43.47
"16",2018,326632,768701,42.49
"17",2018,2339122,6225964,37.57
"18",2018,1265593,3164414,39.99
"19",2018,631049,1609481,39.21
"20",2018,557573,1428660,39.03
"21",2018,810321,1959442,41.35
"22",2018,897996,2031115,44.21
"23",2018,277373,665188,41.7
"24",2018,1103441,3051333,36.16
"25",2018,1265677,3570257,35.45
"26",2018,1767005,4598487,38.43
"27",2018,1081510,2931458,36.89
"28",2018,543397,1228537,44.23
"29",2018,1146756,2888094,39.71
"30",2018,221054,507249,43.58
"31",2018,384642,993836,38.7
"32",2018,598099,1370603,43.64
"33",2018,262552,724017,36.26
"34",2018,1566237,4390602,35.67
"35",2018,379485,882735,42.99
"36",2018,3644981,9445023,38.59
"37",2018,1831117,4665822,39.25
"38",2018,170834,400841,42.62
"39",2018,2186644,5549577,39.4
"40",2018,736367,1761328,41.81
"41",2018,760279,1934643,39.3
"42",2018,2477328,6151998,40.27
"44",2018,205690,527972,38.96
"45",2018,887991,2227307,39.87
"46",2018,180652,442773,40.8
"47",2018,1230100,3047809,40.36
"48",2018,5212424,12985624,40.14
"49",2018,502674,1452040,34.62
"50",2018,126746,328742,38.55
"51",2018,1473943,4118723,35.79
"53",2018,1336552,3513856,38.04
"54",2018,342567,742615,46.13
"55",2018,1140522,2964540,38.47
"56",2018,133717,290963,45.96
"72",2018,425324,1028500,41.35
