"GEOID","year","essnWrkE","wrkPopE","essnWrkP"
"01001020100",2018,423,931,45.44
"01001020200",2018,409,750,54.53
"01001020300",2018,728,1624,44.83
"01001020400",2018,800,1663,48.11
"01001020500",2018,1574,4607,34.17
"01001020600",2018,608,1333,45.61
"01001020700",2018,816,1488,54.84
"01001020801",2018,412,1347,30.59
"01001020802",2018,2115,5070,41.72
"01001020900",2018,1550,3169,48.91
"01001021000",2018,573,1110,51.62
"01001021100",2018,652,1032,63.18
"01003010100",2018,1046,1748,59.84
"01003010200",2018,876,1333,65.72
"01003010300",2018,2091,3711,56.35
"01003010400",2018,1137,2198,51.73
"01003010500",2018,1127,2123,53.09
"01003010600",2018,1001,1284,77.96
"01003010701",2018,1381,3894,35.46
"01003010703",2018,3760,10069,37.34
"01003010704",2018,1077,2688,40.07
"01003010705",2018,2092,5556,37.65
"01003010800",2018,1102,2924,37.69
"01003010903",2018,1126,2317,48.6
"01003010904",2018,1430,2749,52.02
"01003010905",2018,2064,4178,49.4
"01003010906",2018,1218,2022,60.24
"01003011000",2018,936,1721,54.39
"01003011101",2018,2084,4741,43.96
"01003011102",2018,753,1959,38.44
"01003011201",2018,769,1843,41.73
"01003011202",2018,968,2214,43.72
"01003011300",2018,975,2127,45.84
"01003011401",2018,2587,5509,46.96
"01003011403",2018,1926,5167,37.28
"01003011405",2018,610,1987,30.7
"01003011406",2018,603,1632,36.95
"01003011407",2018,871,2262,38.51
"01003011408",2018,63,248,25.4
"01003011501",2018,1203,2695,44.64
"01003011502",2018,2441,5607,43.53
"01003011601",2018,1425,2755,51.72
"01003011602",2018,1157,2118,54.63
"01003990000",2018,0,0,NA
"01005950100",2018,475,1065,44.6
"01005950200",2018,553,876,63.13
"01005950300",2018,453,635,71.34
"01005950400",2018,605,952,63.55
"01005950500",2018,853,1411,60.45
"01005950600",2018,481,817,58.87
"01005950700",2018,270,602,44.85
"01005950800",2018,488,960,50.83
"01005950900",2018,922,1402,65.76
"01007010001",2018,569,836,68.06
"01007010002",2018,1704,2422,70.36
"01007010003",2018,1148,2159,53.17
"01007010004",2018,1711,2682,63.8
"01009050101",2018,1705,2907,58.65
"01009050102",2018,1434,2714,52.84
"01009050200",2018,1194,1672,71.41
"01009050300",2018,715,1377,51.92
"01009050400",2018,799,1550,51.55
"01009050500",2018,1523,2550,59.73
"01009050601",2018,931,1655,56.25
"01009050602",2018,2030,4025,50.43
"01009050700",2018,1660,2896,57.32
"01011952100",2018,323,464,69.61
"01011952200",2018,1406,2107,66.73
"01011952500",2018,799,1369,58.36
"01013952700",2018,494,956,51.67
"01013952800",2018,349,604,57.78
"01013952900",2018,648,931,69.6
"01013953000",2018,534,795,67.17
"01013953100",2018,570,960,59.38
"01013953200",2018,846,1392,60.78
"01013953300",2018,498,823,60.51
"01013953400",2018,484,935,51.76
"01013953500",2018,334,489,68.3
"01015000200",2018,715,1035,69.08
"01015000300",2018,584,846,69.03
"01015000400",2018,499,784,63.65
"01015000500",2018,217,272,79.78
"01015000600",2018,327,489,66.87
"01015000700",2018,659,932,70.71
"01015000800",2018,186,283,65.72
"01015000900",2018,572,1483,38.57
"01015001000",2018,1454,2776,52.38
"01015001100",2018,1886,3418,55.18
"01015001201",2018,709,1212,58.5
"01015001202",2018,1140,1927,59.16
"01015001300",2018,585,806,72.58
"01015001400",2018,638,1338,47.68
"01015001500",2018,1116,2087,53.47
"01015001600",2018,773,1419,54.47
"01015001700",2018,1373,2662,51.58
"01015001800",2018,1543,2889,53.41
"01015002000",2018,1703,3283,51.87
"01015002101",2018,552,1281,43.09
"01015002102",2018,624,1625,38.4
"01015002103",2018,1325,2794,47.42
"01015002200",2018,786,1351,58.18
"01015002300",2018,705,1216,57.98
"01015002400",2018,1105,2041,54.14
"01015002501",2018,1937,3783,51.2
