"GEOID","totUnits","pctOcc","pctVacant","pctMoblie","pctLngterm","unitDens"
"01",2244462,82.88,17.12,13.29,26.54,44.3163616797399
"02",315386,80.37,19.63,4.71,21.31,0.552358543142055
"04",2970935,84.97,15.03,10.47,16.73,26.1548590912668
"05",1362040,84.59,15.41,12.27,21.68,26.1758040163027
"06",14084824,92.05,7.95,3.69,23.14,90.4072831245675
"08",2352202,89.85,10.15,4.13,17.91,22.69628771662
"09",1512305,90.42,9.58,0.78,29.97,312.28789042281
"10",428251,83.54,16.46,8.26,25.16,219.814988926612
"11",311545,90.3,9.7,0.07,21.43,5095.99316323527
"12",9348689,81.53,18.47,8.96,19.62,174.258762331817
"13",4241003,87.47,12.53,9.04,21.2,73.4817183189064
"15",539053,84.74,15.26,0.2,32.17,83.9333950322796
"16",711731,86.88,13.12,8.33,18.47,8.61193701783377
"17",5347268,90.33,9.67,2.46,26.47,96.3233373466063
"18",2870670,88.96,11.04,4.85,24.92,80.1281514741147
"19",1386722,90.63,9.37,3.73,24.69,24.8277236210251
"20",1266378,88.8,11.2,4.42,22.38,15.4891912388792
"21",1974406,87.55,12.45,12,25.59,49.9974286770664
"22",2045554,84.87,15.13,13.12,26.13,47.3467270645008
"23",739077,75.36,24.64,8.3,30.39,23.9613356564202
"24",2437740,89.94,10.06,1.42,26.36,251.032620032955
"25",2882739,90.26,9.74,0.82,29.79,369.524755501042
"26",4580939,85.34,14.66,5.28,28.54,80.9314794209374
"27",2420473,89.56,10.44,3.34,26.08,30.3983770986744
"28",1316108,84,16,15.2,28,28.0475685601527
"29",2775635,86.33,13.67,6.21,23.81,40.3755251974147
"30",505685,83.7,16.3,10.94,23.65,3.47441276103548
"31",830749,90.77,9.23,3.42,22.66,10.8146162453544
"32",1235096,87.11,12.89,5.32,12.76,11.2506741903606
"33",630955,83.7,16.3,5.63,28.72,70.4706685892338
"34",3605401,89.13,10.87,0.95,28.76,490.239075042201
"35",932818,83.15,16.85,16.96,26.7,7.6894558299375
"36",8287087,88.29,11.71,2.33,31.52,175.859933245572
"37",4573066,85.69,14.31,13.02,23.31,94.05890291162
"38",367684,85.65,14.35,7.28,21.62,5.32882713085652
"39",5188270,89.7,10.3,3.77,27.45,126.974971046923
"40",1723230,85.57,14.43,9.42,20.8,25.1215366505822
"41",1750539,90.93,9.07,8.06,19.82,18.2372022217249
"42",5673599,88.57,11.43,3.95,32.03,126.804091349
"44",467412,87.91,12.09,0.97,29.29,452.089837217697
"45",2256951,83.95,16.05,16.45,24.86,75.0723586887318
"46",387637,88.11,11.89,8.7,23.12,5.11329392928609
"47",2930530,87.6,12.4,9.32,24.05,71.0662810657752
"48",10769900,88.7,11.3,7.22,19.28,41.2235428330875
"49",1066131,89.82,10.18,3.47,19.26,12.9706810906279
"50",333013,77.95,22.05,6.87,31.35,36.1270551085455
"51",3491091,89.61,10.39,5.16,23.79,88.4229175610627
"53",3064381,91.39,8.61,6.39,19.99,46.1136914625616
"54",890715,82.48,17.52,15.08,33.22,37.0496622467096
"55",2681232,87.39,12.61,3.47,26.32,49.5002417399807
"56",274985,83.87,16.13,13.61,20.47,2.83232033450642
