GEOID,State,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
"01",AL,50646.3508042471,"4864680","378",0.00746351897022167,7.77029527122031e-05
"02",AK,570980.577589961,"738516","147",0.000257451839466184,0.000199047820223259
"04",AZ,113590.174186486,"6946685","298",0.00262346635291499,4.28981593378712e-05
"05",AR,52034.3137942085,"2990671","399",0.00766801694700948,0.000133414875792088
"06",CA,155793.023672587,"39148760","6054",0.0388592496460113,0.000154640913275414
"08",CO,103638.182127799,"5531141","1352",0.0130453851297084,0.000244434195403805
"09",CT,4842.66296061776,"3581504","1215",0.250895015796228,0.00033924295491503
"10",DE,1948.23384015444,"949495","258",0.132427635062302,0.000271723389801947
"11",DC,61.1352861003861,"684498","156",2.5517178367963,0.000227904245154843
"12",FL,53648.3151544402,"20598139","2137",0.039833496985844,0.000103747236582878
"13",GA,57715.0765799228,"10297484","999",0.0173091687510213,9.70139890481986e-05
"15",HI,6422.39003667954,"1422029","104",0.0161933484895865,7.31349360667047e-05
"16",ID,82644.7056598456,"1687809","120",0.00145199863732232,7.10980922604394e-05
"17",IL,55513.732676834,"12821497","1288",0.0232014663380307,0.000100456288372567
"18",IN,35825.9855891892,"6637426","913",0.0254842954069491,0.00013755332262838
"19",IA,55853.7714196911,"3132499","172",0.00307946975876658,5.49082377999163e-05
"20",KS,81758.8201003861,"2908776","659",0.00806029244540049,0.000226555774662607
"21",KY,39490.15083861,"4440204","602",0.0152443074340303,0.000135579356263811
"22",LA,43203.7043915058,"4663616","277",0.00641148725326573,5.93959708518026e-05
"23",ME,30844.5660374517,"1332813","55",0.00178313418101647,4.12661040971239e-05
"24",MD,9710.84952895753,"6003435","1095",0.11276047442963,0.000182395578531291
"25",MA,7801.2067042471,"6830193","1430",0.183304975013864,0.000209364508440684
"26",MI,56602.6845521236,"9957488","1302",0.0230024425573142,0.000130755869351788
"27",MN,79625.0731459459,"5527358","995",0.012496063873954,0.000180013670183838
"28",MS,46924.1387957529,"2988762","438",0.00933421499553751,0.000146548972450801
"29",MO,68745.4834687259,"6090062","572",0.00832054661831301,9.39235101383204e-05
"30",MT,145545.458982625,"1041732","115",0.000790131143931657,0.000110393076146264
"31",NE,76817.2426235521,"1904760","166",0.00216097316605718,8.71500871500871e-05
"32",NV,109779.732227799,"2922849","228",0.00207688610067737,7.80060824216372e-05
"33",NH,8953.44137683398,"1343622","124",0.0138494233424967,9.2287860722733e-05
"34",NJ,7354.37296525097,"8881845","1631",0.221772815671219,0.000183633017689455
"35",NM,121311.315212741,"2092434","98",0.000807838904624348,4.68354079507406e-05
"36",NY,47123.2238467181,"19618453","2972",0.0630686900723789,0.000151490028291222
"37",NC,48619.1722254826,"10155624","633",0.0130195552705899,6.23299956753027e-05
"38",ND,68999.0481903475,"752201","118",0.001710168518187,0.000156872963476518
"39",OH,40860.5724200772,"11641879","688",0.0168377474727188,5.90969894121044e-05
"40",OK,68595.7242173745,"3918137","560",0.0081637741475752,0.000142925068725264
"41",OR,95987.2560888031,"4081943","549",0.00571950925956348,0.000134494773689882
"42",PA,44743.027923166,"12791181","1033",0.023087395912809,8.07587665282823e-05
"44",RI,1033.89185405405,"1056611","218",0.210853774643051,0.00020632001748988
"45",SC,30063.6750918919,"4955925","631",0.0209887845737855,0.000127322346484259
"46",SD,75809.6454772201,"864289","94",0.00123994775873534,0.000108759917111059
"47",TN,41236.5745899614,"6651089","639",0.0154959524731125,9.60744924628132e-05
"48",TX,261256.050786486,"27885195","2584",0.00989068001380682,9.26656600393148e-05
"49",UT,82195.4523861004,"3045350","87",0.00105845271817875,2.85681448766152e-05
"50",VT,9217.82854980695,"624977","65",0.00705155228791507,0.000104003827340846
"51",VA,39481.7440579151,"8413774","445",0.0112710319824585,5.28894643473904e-05
"53",WA,66452.7367644788,"7294336","421",0.00633532974709687,5.77160141786723e-05
"54",WV,24041.1098505791,"1829054","68",0.0028284883860452,3.71776885756243e-05
"55",WI,54166.0385030888,"5778394","519",0.00958164957864519,8.98173437117649e-05
"56",WY,97088.2412733591,"581836","114",0.00117418956718996,0.000195931499597825
