GEOID,ZIPCODE,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
"01001","01001",11.5043783783784,"17621",6,0.521540565049264,0.000340502809148175
"01002","01002",55.0648088803089,"30066",6,0.108962513845128,0.000199560965875075
"01003","01003",0.71134555984556,"11238",0,0,0
"01005","01005",44.2619266409266,"4991",1,0.0225927806557646,0.000200360649168503
"01007","01007",52.6007915057915,"14967",4,0.0760444830865252,0.000267254626845727
"01008","01008",53.8017034749035,"1197",0,0,0
"01009","01009",0.812490733590734,"249",0,0,0
"01010","01010",34.7722756756757,"3739",0,0,0
"01011","01011",31.5948073359073,"1448",0,0,0
"01012","01012",13.1163938223938,"560",0,0,0
"01013","01013",5.63222084942085,"23065",5,0.88774927931211,0.000216778668978972
"01020","01020",12.524983011583,"30097",8,0.638723421229527,0.000265807223311293
"01022","01022",4.77257567567568,"2499",1,0.209530464880146,0.00040016006402561
"01026","01026",24.0053675675676,"954",0,0,0
"01027","01027",40.4995521235521,"17848",6,0.148149786488892,0.000336172120125504
"01028","01028",12.9361722007722,"16200",4,0.309210478796906,0.000246913580246914
"01029","01029",15.8495401544402,"651",0,0,0
"01030","01030",11.8188042471042,"11123",0,0,0
"01031","01031",8.11302084942085,"1197",0,0,0
"01032","01032",11.7635814671815,"533",0,0,0
"01033","01033",27.8143494208494,"6333",1,0.0359526654702341,0.000157903047528817
"01034","01034",71.6368764478764,"2179",0,0,0
"01035","01035",23.0830135135135,"5310",4,0.173287599457422,0.000753295668549906
"01036","01036",19.4799432432432,"5191",2,0.102669703655,0.000385282219225583
"01037","01037",14.1058135135135,"798",0,0,0
"01038","01038",9.98910810810811,"2867",1,0.100109037681583,0.000348796651552145
"01039","01039",13.2152806949807,"1042",0,0,0
"01040","01040",21.1647335907336,"40376",9,0.425235685647393,0.000222904695858926
"01050","01050",38.3262517374517,"2422",3,0.0782753299370638,0.00123864574731627
"01053","01053",5.13123629343629,"1702",0,0,0
"01054","01054",22.7902598455598,"1983",0,0,0
"01056","01056",27.1978957528958,"21336",2,0.0735351005890616,9.37382827146607e-05
"01057","01057",44.9492258687259,"8745",2,0.0444946483803969,0.000228702115494568
"01060","01060",10.9241563706564,"15779",6,0.549241497139014,0.000380252233981875
"01062","01062",18.1528073359073,"10495",1,0.0550878980587174,9.52834683182468e-05
"01063","01063",0.038803861003861,"592",0,0,0
"01066","01066",0.711245173745174,"9",0,0,0
"01068","01068",20.8207841698842,"1840",0,0,0
"01069","01069",28.0891227799228,"8698",4,0.142403877520129,0.000459875833524948
"01070","01070",20.5959694980695,"604",0,0,0
"01071","01071",15.5640274131274,"1270",1,0.0642507220950121,0.00078740157480315
"01072","01072",20.072616988417,"1536",0,0,0
"01073","01073",28.1521694980695,"6140",3,0.106563723275598,0.000488599348534202
"01074","01074",0.0850440154440154,"548",0,0,0
"01075","01075",17.7167335907336,"17763",1,0.056443813126085,5.62967967122671e-05
"01077","01077",30.8227922779923,"9727",3,0.0973305719009119,0.000308419862239128
"01079","01079",1.12481428571429,"658",0,0,0
"01080","01080",1.72672857142857,"2802",0,0,0
"01081","01081",14.515432046332,"1941",0,0,0
"01082","01082",46.124622007722,"10586",4,0.0867215778880602,0.000377857547704515
"01083","01083",15.7526579150579,"2986",1,0.0634813506007836,0.000334896182183523
"01084","01084",9.18911814671815,"174",0,0,0
"01085","01085",59.7043594594595,"41942",6,0.100495174126675,0.000143054694578227
"01086","01086",0.0371243243243243,"372",0,0,0
"01088","01088",5.1959,"416",0,0,0
"01089","01089",16.7266065637066,"28666",3,0.17935496889784,0.00010465359659527
"01092","01092",6.70874054054054,"1425",1,0.149059274830657,0.000701754385964912
"01093","01093",5.0426138996139,"283",0,0,0
"01094","01094",1.14181467181467,"282",0,0,0
"01095","01095",22.4947513513514,"14690",2,0.0889096291291013,0.000136147038801906
"01096","01096",31.6646092664093,"2695",2,0.0631619984056351,0.000742115027829314
"01097","01097",1.87356563706564,"59",0,0,0
"01098","01098",31.3630598455598,"1196",0,0,0
"01101","01101",0,,1,inf,
"01103","01103",0.460172200772201,"2389",1,2.17309954473984,0.000418585182084554
"01104","01104",5.21608996138996,"23876",6,1.15028690923903,0.000251298374937175
"01105","01105",1.2428722007722,"11957",4,3.21835181245086,0.000334532073262524
"01106","01106",9.27283127413127,"16022",3,0.323525783152035,0.00018724254150543
"01107","01107",1.50713745173745,"11582",1,0.663509488698051,8.63408737696426e-05
"01108","01108",3.72512277992278,"27850",3,0.805342582577154,0.000107719928186715
"01109","01109",5.44263783783784,"29903",5,0.918672185982949,0.000167207303615022
"01118","01118",3.59545637065637,"14980",4,1.11251523802242,0.000267022696929239
"01119","01119",3.54992393822394,"13626",1,0.281696176425771,7.33891090562161e-05
"01128","01128",1.11481891891892,"2672",0,0,0
"01129","01129",3.42674555984556,"6762",1,0.291822075066778,0.000147885241052943
"01151","01151",2.36880115830116,"8807",3,1.26646341314335,0.000340638128761213
"01199","01199",0.0109177606177606,"0",0,0,
"01201","01201",52.9368625482625,"44607",9,0.170013853612777,0.000201762055282803
"01220","01220",24.5910382239382,"8209",3,0.121995662512518,0.000365452552076989
"01222","01222",3.30747644787645,"810",0,0,0
"01223","01223",69.7692135135135,"2402",0,0,0
"01224","01224",0.278188030888031,"210",0,0,0
"01225","01225",25.109228957529,"3135",2,0.079651987856055,0.000637958532695375
"01226","01226",26.3643073359073,"6782",2,0.0758601382739938,0.000294898260100265
"01229","01229",0.733225868725869,"70",0,0,0
"01230","01230",91.5158208494208,"8542",5,0.0546353619908731,0.000585343011004449
"01235","01235",45.6504166023166,"2640",0,0,0
"01236","01236",4.80393011583012,"1140",1,0.208162894939865,0.00087719298245614
"01237","01237",61.8323525096525,"2580",1,0.0161727632770222,0.000387596899224806
"01238","01238",34.834361003861,"5903",5,0.143536435172323,0.000847026935456547
"01240","01240",21.3773138996139,"4441",3,0.140335685488259,0.000675523530736321
"01242","01242",0.497897683397683,"471",1,2.00844477358469,0.00212314225053079
"01243","01243",18.6333335907336,"257",0,0,0
"01244","01244",2.44988301158301,"74",0,0,0
"01245","01245",27.9850409266409,"809",0,0,0
"01247","01247",52.531766023166,"15573",5,0.0951805046454187,0.000321068516021319
"01253","01253",18.2870111969112,"672",0,0,0
"01254","01254",14.5808196911197,"1014",0,0,0
"01255","01255",51.7985216216216,"972",0,0,0
"01256","01256",35.8537478764479,"719",0,0,0
"01257","01257",36.2201386100386,"2003",1,0.0276089501138144,0.000499251123315027
"01258","01258",25.8271366795367,"489",0,0,0
"01259","01259",25.3134652509653,"528",0,0,0
"01260","01260",2.5110555984556,"481",0,0,0
"01262","01262",12.0374915057915,"1066",2,0.16614757310838,0.00187617260787992
"01264","01264",11.341794980695,"196",0,0,0
"01266","01266",26.0524972972973,"1369",1,0.0383840362245711,0.000730460189919649
"01267","01267",54.5263698841699,"7955",2,0.0366795002903841,0.000251414204902577
"01270","01270",31.8540629343629,"770",0,0,0
"01301","01301",25.4942945945946,"17713",5,0.196122312050953,0.000282278552475583
"01330","01330",33.3165814671815,"1367",0,0,0
"01331","01331",53.2251416988417,"13383",3,0.0563643403144812,0.000224164985429276
"01337","01337",37.2438803088803,"2498",0,0,0
"01338","01338",3.4515667953668,"127",0,0,0
"01339","01339",54.9273081081081,"1428",1,0.0182058803615826,0.000700280112044818
"01340","01340",43.7861370656371,"1808",0,0,0
"01341","01341",35.7153243243243,"1836",0,0,0
"01342","01342",17.8475714285714,"1439",1,0.0560300320972041,0.000694927032661571
"01343","01343",4.86749806949807,"45",0,0,0
"01344","01344",13.6108803088803,"1459",0,0,0
"01346","01346",21.3562760617761,"427",0,0,0
"01347","01347",0.578831274131274,"175",0,0,0
"01349","01349",7.68861351351351,"1292",0,0,0
"01350","01350",10.7103297297297,"91",0,0,0
"01351","01351",20.9197976833977,"2099",0,0,0
"01354","01354",13.7699486486486,"1608",1,0.0726219120721367,0.000621890547263682
"01355","01355",47.3625583011583,"949",0,0,0
"01360","01360",34.2629111969112,"2997",0,0,0
"01364","01364",39.2339023166023,"7785",4,0.101952642072704,0.000513808606294155
"01366","01366",40.377988030888,"1269",1,0.0247659690035825,0.000788022064617809
"01367","01367",26.5304436293436,"595",0,0,0
"01368","01368",41.8387054054054,"1170",0,0,0
"01370","01370",49.8227536679537,"4041",1,0.0200711507570327,0.000247463499133878
"01373","01373",24.169222007722,"4634",1,0.0413749354315378,0.000215796288303841
"01375","01375",14.2207818532819,"3659",2,0.140639243371731,0.000546597430992074
"01376","01376",2.75576872586873,"5123",2,0.72575030742811,0.000390396252195979
"01378","01378",34.0257652509653,"773",0,0,0
"01379","01379",30.2027814671815,"830",0,0,0
"01420","01420",30.320266023166,"40737",9,0.296831168734588,0.000220929376242728
"01430","01430",36.9478393822394,"6253",1,0.0270651820707193,0.000159923236846314
"01431","01431",23.6641305019305,"3215",0,0,0
"01432","01432",8.47080308880309,"7762",3,0.354157683580849,0.000386498325173924
"01434","01434",5.27763976833977,"1875",0,0,0
"01436","01436",9.58995984555984,"3392",0,0,0
"01438","01438",0.542071814671815,"711",0,0,0
"01440","01440",24.0328837837838,"20555",4,0.166438619517605,0.000194599854050109
"01450","01450",32.7780756756757,"11301",2,0.0610163946105043,0.000176975488894788
"01451","01451",19.1406532818533,"4625",1,0.0522448207631488,0.000216216216216216
"01452","01452",41.0537694980695,"4642",0,0,0
"01453","01453",28.4778401544402,"41579",9,0.316035203203314,0.000216455422208326
"01460","01460",16.515488030888,"9935",3,0.181647674860668,0.000301962757926522
"01462","01462",26.4200444015444,"11271",1,0.0378500499394143,8.87232721142756e-05
"01463","01463",22.5813749034749,"12083",1,0.0442842831437211,8.27609037490689e-05
"01464","01464",14.9774598455598,"7598",0,0,0
"01467","01467",1.88861467181467,"363",0,0,0
"01468","01468",21.4038030888031,"4024",2,0.0934413380510987,0.000497017892644135
"01469","01469",22.7825127413127,"7632",2,0.0877866292761155,0.000262054507337526
"01473","01473",35.4396976833977,"7665",1,0.0282169449901506,0.000130463144161774
"01474","01474",9.9305277992278,"1823",0,0,0
"01475","01475",42.8473316602317,"10798",0,0,0
"01501","01501",15.4604760617761,"16549",5,0.323405306539158,0.000302133059399359
"01503","01503",12.973850965251,"3144",0,0,0
"01504","01504",11.1097482625483,"9246",2,0.180022080855076,0.000216309755569976
"01505","01505",16.0566189189189,"4581",1,0.0622796122303019,0.000218292949137743
"01506","01506",15.5275644787645,"3431",1,0.064401600223113,0.00029146021568056
"01507","01507",42.179232046332,"13482",0,0,0
"01510","01510",5.65344980694981,"13899",3,0.530649444576671,0.000215842866393266
"01515","01515",9.8726722007722,"2159",1,0.101289699451561,0.000463177396943029
"01516","01516",36.7696042471042,"8794",1,0.0271963764766044,0.000113713895838071
"01518","01518",8.88274015444015,"3919",1,0.112577873788207,0.00025516713447308
"01519","01519",10.9160895752896,"6741",0,0,0
"01520","01520",18.0780799227799,"15645",1,0.0553156089734903,6.39181847235539e-05
"01521","01521",12.2862386100386,"2539",0,0,0
"01522","01522",16.3798343629344,"3176",0,0,0
"01523","01523",25.2020586872587,"7749",0,0,0
"01524","01524",15.9816374517375,"6902",1,0.0625718111188465,0.000144885540423066
"01525","01525",0.448814285714286,"400",0,0,0
"01527","01527",15.5778540540541,"13630",3,0.192581082708197,0.000220102714600147
"01529","01529",4.86367953667954,"3242",0,0,0
"01531","01531",20.7618683397683,"1298",0,0,0
"01532","01532",18.4713455598456,"14985",4,0.216551630580476,0.000266933600266934
"01534","01534",8.7583193050193,"6311",0,0,0
"01535","01535",21.26808996139,"4764",1,0.0470187967897163,0.000209907640638119
"01536","01536",8.33557528957529,"7786",2,0.239935449026687,0.000256871307474955
"01537","01537",6.98245096525097,"2289",0,0,0
"01540","01540",19.3452505791506,"11484",2,0.103384548668266,0.00017415534656914
"01541","01541",35.4322324324324,"3443",0,0,0
"01542","01542",4.02628030888031,"2314",1,0.248368201735585,0.000432152117545376
"01543","01543",35.115427027027,"8586",2,0.0569550243105594,0.000232937339855579
"01545","01545",20.745771042471,"36666",4,0.192810380091978,0.000109092892598047
"01550","01550",20.2388571428571,"16894",2,0.0988198091365972,0.000118385225523855
"01560","01560",3.56193861003861,"4401",0,0,0
"01561","01561",0.123272200772201,"294",0,0,0
"01562","01562",32.8359146718147,"11913",2,0.0609089169584406,0.00016788382439352
"01564","01564",30.6154579150579,"8052",0,0,0
"01566","01566",28.3479656370656,"5618",1,0.0352758999641398,0.000177999288002848
"01568","01568",21.4556517374517,"7762",1,0.0466077662070949,0.000128832775057975
"01569","01569",29.0773722007722,"13939",3,0.103173009558282,0.000215223473706866
"01570","01570",12.3572181467181,"16971",5,0.404621812177679,0.000294620234517707
"01571","01571",20.8315096525097,"11682",3,0.144012606385374,0.000256805341551104
"01581","01581",20.6013888030888,"18982",7,0.339782917885151,0.000368770414076494
"01583","01583",12.6182992277992,"7676",2,0.158499966112218,0.000260552371026576
"01585","01585",25.5474613899614,"4574",2,0.0782856648444091,0.000437254044599913
"01588","01588",8.60858416988417,"9775",4,0.46465248187889,0.00040920716112532
"01590","01590",32.0181868725869,"9385",1,0.0312322494705712,0.000106553010122536
"01602","01602",5.76800888030888,"23854",4,0.693480208335913,0.000167686761130209
"01603","01603",4.51214131274131,"19336",5,1.10812132276999,0.000258585022755482
"01604","01604",6.43805250965251,"37468",8,1.24261179727964,0.000213515533255044
"01605","01605",5.64110463320463,"28820",2,0.354540489858602,6.93962526023595e-05
"01606","01606",5.92813513513514,"19729",4,0.674748451041985,0.000202747224897359
"01607","01607",3.16268494208494,"8583",2,0.632374086140094,0.00023301875801002
"01608","01608",0.447530888030888,"3639",2,4.46896527924562,0.000549601538884309
"01609","01609",3.821038996139,"21142",2,0.523417845779883,9.45984296660675e-05
"01610","01610",2.12429073359073,"23040",6,2.82447214268928,0.000260416666666667
"01611","01611",3.44185019305019,"2241",1,0.290541407647319,0.000446229361892012
"01612","01612",15.3136185328185,"4870",1,0.0653013523784013,0.000205338809034908
"01701","01701",16.9670969111969,"32570",10,0.589376017142969,0.000307031010132023
"01702","01702",8.08937104247104,"39149",6,0.741714030485019,0.000153260619683772
"01718","01718",0.0464324324324324,"813",0,0,0
"01719","01719",10.2852613899614,"5794",2,0.194453006508132,0.000345184673800483
"01720","01720",19.7142698841699,"22684",4,0.202898713647616,0.000176335743255158
"01721","01721",12.3361764478764,"17576",3,0.243187183052689,0.000170687300864816
"01730","01730",13.7008583011583,"14053",3,0.218964384132516,0.000213477549277734
"01731","01731",0.792209652509652,"2061",0,0,0
"01740","01740",19.9434409266409,"5236",1,0.0501417986835048,0.000190985485103132
"01741","01741",15.2742671814672,"5186",0,0,0
"01742","01742",24.4355003861004,"19350",6,0.245544388500142,0.000310077519379845
"01745","01745",0.399049806949807,"588",0,0,0
"01746","01746",18.653549034749,"14634",2,0.107218202620545,0.000136668033347
"01747","01747",5.17540849420849,"5951",1,0.193221462831203,0.00016803898504453
"01748","01748",26.2250942084942,"17178",3,0.114394250642132,0.000174641983932937
"01749","01749",11.5266756756757,"19868",7,0.607286974749523,0.000352325347292128
"01752","01752",20.8645926640927,"39776",7,0.335496604831725,0.000175985518905873
"01754","01754",5.20929073359073,"10600",5,0.959823564417095,0.000471698113207547
"01756","01756",17.7721177606178,"6068",3,0.168803743054633,0.000494396835860251
"01757","01757",14.8950239382239,"28862",7,0.469955605914566,0.000242533434966392
"01760","01760",14.8170196911197,"35763",8,0.53991964421797,0.00022369488018343
"01770","01770",15.7881501930502,"4301",1,0.0633386424484479,0.000232504068821204
"01772","01772",13.6037837837838,"9486",3,0.22052688043867,0.000316255534471853
"01773","01773",13.6208691119691,"4775",0,0,0
"01775","01775",17.3226833976834,"7098",2,0.115455553512423,0.000281769512538743
"01776","01776",24.2392737451737,"18940",4,0.165021445858972,0.000211193241816262
"01778","01778",15.2063756756757,"13970",3,0.197285669115675,0.000214745884037223
"01801","01801",12.6629694980695,"40350",7,0.552792929104596,0.000173482032218092
"01803","01803",11.7105783783784,"27059",6,0.512357272726853,0.00022173768431945
"01810","01810",30.8276640926641,"35609",7,0.227068777542109,0.00019657951641439
"01821","01821",16.566322007722,"33016",7,0.422544002026347,0.000212018415313787
"01824","01824",17.7613393822394,"25955",3,0.1689061807467,0.000115584665767675
"01826","01826",20.6681316602317,"31101",5,0.241918335057865,0.000160766534838108
"01827","01827",16.4515760617761,"3345",0,0,0
"01830","01830",13.8240945945946,"26695",3,0.217012403920691,0.000112380595617157
"01832","01832",11.4000065637066,"23419",3,0.263157743220157,0.000128101114479696
"01833","01833",12.8591057915058,"8649",1,0.0777659050492111,0.000115620302925194
"01834","01834",8.88165328185328,"6749",2,0.225183300510766,0.000296340198547933
"01835","01835",7.8112166023166,"13166",2,0.256042061284903,0.000151906425641805
"01840","01840",0.498214671814672,"5560",2,4.01433380658041,0.000359712230215827
"01841","01841",3.08825598455598,"48827",6,1.94284412626586,0.000122882831220431
"01843","01843",3.37337413127413,"25454",7,2.0750737177664,0.000275005892983421
"01844","01844",22.212105019305,"50019",6,0.270122980005059,0.000119954417321418
"01845","01845",26.2832598455598,"30589",9,0.342423278272326,0.000294223413645428
"01850","01850",1.3596305019305,"16267",4,2.94197577527167,0.000245896600479498
"01851","01851",3.34456911196911,"30574",5,1.49496088512767,0.000163537646366194
"01852","01852",4.96995675675676,"34939",5,1.006044970754,0.000143106557142448
"01854","01854",3.9342555984556,"29561",5,1.27088845014614,0.000169141774635499
"01860","01860",8.49509034749035,"6839",1,0.117715051764626,0.000146220207632695
"01862","01862",9.24019073359073,"10223",6,0.649337245625059,0.000586911865401546
"01863","01863",4.6202111969112,"9131",0,0,0
"01864","01864",13.1604718146718,"15642",4,0.303940470853077,0.000255721774709117
"01867","01867",9.95543281853282,"25048",2,0.200895333880094,7.9846694346854e-05
"01876","01876",20.4644027027027,"30807",5,0.244326700985984,0.000162300775797708
"01879","01879",16.8008845559846,"12345",2,0.119041351265496,0.000162008910490077
"01880","01880",6.91177142857143,"26648",3,0.434042131022851,0.000112578805163615
"01886","01886",30.2438011583012,"24194",4,0.132258507423168,0.00016533024716872
"01887","01887",16.9836459459459,"23658",3,0.176640516974278,0.000126806999746386
"01890","01890",6.03239922779923,"22677",1,0.16577152178385,4.40975437668122e-05
"01901","01901",0.247613127413127,"1759",2,8.07711618884859,0.00113700966458215
"01902","01902",2.40307258687259,"49172",5,2.08066956750029,0.000101683885137883
"01904","01904",4.5230833976834,"17142",4,0.88435247558086,0.000233345000583362
"01905","01905",3.55796370656371,"25465",5,1.40529820210814,0.000196347928529354
"01906","01906",10.7978266409266,"28165",7,0.648278605758323,0.000248535416296822
"01907","01907",3.03490193050193,"14950",4,1.31799975471974,0.000267558528428094
"01908","01908",1.04590463320463,"3495",0,0,0
"01913","01913",12.2920528957529,"17378",4,0.325413503661546,0.000230176084704799
"01915","01915",15.0895934362934,"41731",8,0.530166702885343,0.000191704009010088
"01921","01921",23.5493038610039,"8270",0,0,0
"01922","01922",9.59269382239382,"3276",0,0,0
"01923","01923",13.2053405405405,"27457",4,0.302907750672537,0.000145682339658375
"01929","01929",13.9625803088803,"3713",2,0.14323999975334,0.000538647993536224
"01930","01930",26.1985922779923,"30049",8,0.305359918392267,0.000266231821358448
"01937","01937",0.0730548262548263,"174",0,0,0
"01938","01938",30.4258525096525,"13901",3,0.098600359646398,0.000215811812099849
"01940","01940",10.5423447876448,"13484",2,0.189711116481783,0.000148323939483833
"01944","01944",9.22940386100386,"5370",1,0.108349359835168,0.000186219739292365
"01945","01945",4.3864027027027,"20488",5,1.13988622087052,0.000244045294806716
"01949","01949",13.4458984555985,"9779",4,0.297488487899038,0.000409039779118519
"01950","01950",8.35000772200772,"17990",5,0.598801841442821,0.000277932184546971
"01951","01951",13.7793536679537,"3755",1,0.0725723443999901,0.000266311584553928
"01952","01952",15.3739409266409,"9227",3,0.195135392695663,0.000325132762544706
"01960","01960",16.0104938223938,"52564",11,0.687049389108432,0.0002092687010121
"01966","01966",6.98765366795367,"7212",0,0,0
"01969","01969",17.487511969112,"6298",2,0.114367327012132,0.000317561130517625
"01970","01970",8.1122332046332,"43155",8,0.986164943511596,0.000185378287568069
"01982","01982",14.1776579150579,"8020",2,0.141067023339294,0.000249376558603491
"01983","01983",11.9079200772201,"6551",0,0,0
"01984","01984",7.65865444015444,"5208",0,0,0
"01985","01985",13.4471791505792,"4581",0,0,0
"02019","02019",18.3438146718147,"17016",5,0.272571441079947,0.000293841090738129
"02021","02021",18.7868084942085,"23134",4,0.212915355007377,0.000172905679951586
"02025","02025",9.78620733590734,"8449",3,0.306553897442216,0.000355071606107232
"02026","02026",10.2461532818533,"25360",3,0.292792808918175,0.000118296529968454
"02030","02030",15.0968096525097,"5987",0,0,0
"02032","02032",2.33890308880309,"4455",1,0.42755084842431,0.000224466891133558
"02035","02035",19.8556135135135,"17535",2,0.100727182196552,0.000114057599087539
"02038","02038",26.6395162162162,"33022",5,0.187691096167743,0.000151414208709345
"02043","02043",22.1799003861004,"23298",3,0.135257595741053,0.000128766417718259
"02045","02045",2.66199768339768,"10424",2,0.751315454732954,0.000191864927091328
"02047","02047",0.239129343629344,"92",0,0,0
"02048","02048",20.1039077220077,"23761",4,0.19896629328542,0.000168343083203569
"02050","02050",29.0992019305019,"26152",4,0.137460814545817,0.000152951973080453
"02052","02052",14.4038505791506,"12748",5,0.347129399359186,0.000392218387197992
"02053","02053",11.5444494208494,"13244",4,0.346486857378919,0.000302023557837511
"02054","02054",12.0238061776062,"8202",2,0.166336679954548,0.000243842965130456
"02056","02056",14.8625108108108,"11317",2,0.134566765027698,0.000176725280551383
"02061","02061",20.944472972973,"10987",2,0.0954905861121847,0.000182033312096114
"02062","02062",10.3560980694981,"29201",6,0.579368789261649,0.000205472415328242
"02066","02066",16.9447791505792,"18101",5,0.295076138530204,0.000276227832716424
"02067","02067",22.6761633204633,"18377",1,0.0440991708283202,5.44158458943244e-05
"02071","02071",0.970424324324324,"1696",1,1.03047705517508,0.000589622641509434
"02072","02072",16.0882459459459,"28534",5,0.310785900265277,0.000175229550711432
"02081","02081",17.9230196911197,"19378",7,0.390559187047498,0.000361234389513882
"02090","02090",10.8963640926641,"15880",1,0.0917737321822096,6.29722921914358e-05
"02093","02093",21.7064023166023,"11734",2,0.092138714229501,0.000170444861087438
"02108","02108",0.13643166023166,"4082",3,21.9890309544428,0.000734933855952964
"02109","02109",0.173297297297297,"3853",2,11.5408608858391,0.00051907604464054
"02110","02110",0.181178378378378,"2449",2,11.0388447998091,0.000816659861167824
"02111","02111",0.270356756756757,"7926",2,7.3976327575176,0.000252334090335604
"02113","02113",0.100291891891892,"7531",2,19.9417915274334,0.000265568981542956
"02114","02114",0.448796138996139,"13516",9,20.0536484563594,0.000665877478543948
"02115","02115",0.707862548262548,"29108",5,7.06351821024085,0.000171774082726398
"02116","02116",0.630520077220077,"23118",2,3.17198463975623,8.65126741067566e-05
"02118","02118",1.09640386100386,"27830",4,3.64829069129474,0.000143729787998563
"02119","02119",1.59751274131274,"28199",7,4.38181168699025,0.000248235753040888
