geoid,sta,cntyname,nforeclose,nvacancy,fordq_num,fordq_rate,vac_rate,num_mort_tract,pct_lchl,pct_hcll,pct_hchl,ofheo_price_change,pct_unem_2008,unem_ch0708
72021030901,PR,Bayamon Municipio,10,10,29,9.2%,1.3%,316,20.7%,11.1%,2.2%,0.0%,9.6%,0.8%
72021030902,PR,Bayamon Municipio,6,6,21,6.9%,2.5%,299,20.3%,4.9%,2.4%,0.0%,9.6%,0.8%
72021030903,PR,Bayamon Municipio,17,11,34,16.6%,1.1%,206,17.2%,20.7%,6.9%,0.0%,9.6%,0.8%
72021030904,PR,Bayamon Municipio,12,10,30,11.0%,1.3%,276,14.4%,11.0%,3.0%,0.0%,9.6%,0.8%
72021031002,PR,Bayamon Municipio,12,9,62,5.6%,0.7%,"1,118",25.6%,3.6%,3.0%,0.0%,9.6%,0.8%
72021031004,PR,Bayamon Municipio,6,6,27,7.2%,,384,17.2%,4.7%,1.8%,0.0%,9.6%,0.8%
72021031005,PR,Bayamon Municipio,8,8,29,8.1%,2.3%,363,19.2%,8.6%,1.5%,0.0%,9.6%,0.8%
72021031011,PR,Bayamon Municipio,14,12,83,7.8%,1.9%,"1,058",13.9%,4.3%,2.1%,0.0%,9.6%,0.8%
72021031013,PR,Bayamon Municipio,15,15,87,7.4%,,"1,173",19.9%,6.9%,1.8%,0.0%,9.6%,0.8%
72021031021,PR,Bayamon Municipio,8,8,40,7.3%,1.1%,546,16.7%,5.2%,1.6%,0.0%,9.6%,0.8%
72021031023,PR,Bayamon Municipio,10,10,49,7.5%,,658,18.4%,3.9%,3.4%,0.0%,9.6%,0.8%
72021031031,PR,Bayamon Municipio,13,13,73,7.0%,,"1,042",18.7%,4.5%,2.3%,0.0%,9.6%,0.8%
72021031101,PR,Bayamon Municipio,8,8,42,7.8%,2.1%,538,20.3%,8.1%,1.7%,0.0%,9.6%,0.8%
72021031112,PR,Bayamon Municipio,10,10,51,8.2%,,628,15.9%,7.3%,1.4%,0.0%,9.6%,0.8%
72021031113,PR,Bayamon Municipio,10,9,51,8.0%,0.8%,640,19.7%,8.0%,1.9%,0.0%,9.6%,0.8%
72021031114,PR,Bayamon Municipio,4,4,22,5.6%,,401,24.5%,1.9%,3.8%,0.0%,9.6%,0.8%
72021031121,PR,Bayamon Municipio,11,8,51,10.0%,0.6%,509,17.0%,10.0%,3.0%,0.0%,9.6%,0.8%
72021031122,PR,Bayamon Municipio,11,13,59,8.1%,3.2%,731,26.5%,11.4%,2.3%,0.0%,9.6%,0.8%
72021031123,PR,Bayamon Municipio,10,13,32,9.2%,3.4%,342,20.5%,12.1%,1.5%,0.0%,9.6%,0.8%
72021031201,PR,Bayamon Municipio,13,13,14,11.5%,2.8%,123,14.8%,10.4%,4.3%,0.0%,9.6%,0.8%
72021031202,PR,Bayamon Municipio,3,3,14,4.7%,,297,25.2%,5.5%,0.0%,0.0%,9.6%,0.8%
72021031203,PR,Bayamon Municipio,5,5,20,6.1%,2.0%,332,26.7%,7.3%,1.7%,0.0%,9.6%,0.8%
72021031301,PR,Bayamon Municipio,13,13,72,6.9%,,"1,043",21.7%,5.1%,2.8%,0.0%,9.6%,0.8%
72021031302,PR,Bayamon Municipio,12,10,62,5.6%,1.3%,"1,100",24.5%,4.5%,2.0%,0.0%,9.6%,0.8%
72021031303,PR,Bayamon Municipio,17,17,113,8.7%,,"1,295",18.5%,6.9%,3.5%,0.0%,9.6%,0.8%
72021031401,PR,Bayamon Municipio,7,7,34,7.2%,1.8%,470,18.5%,6.5%,1.3%,0.0%,9.6%,0.8%
72021031402,PR,Bayamon Municipio,6,6,22,7.0%,1.3%,314,23.1%,5.4%,3.2%,0.0%,9.6%,0.8%
72021031403,PR,Bayamon Municipio,7,7,34,6.9%,,493,26.6%,7.0%,3.1%,0.0%,9.6%,0.8%
72021031501,PR,Bayamon Municipio,4,4,23,5.3%,1.0%,427,21.1%,3.2%,1.2%,0.0%,9.6%,0.8%
72021031502,PR,Bayamon Municipio,9,9,21,9.1%,4.4%,229,18.8%,9.2%,2.8%,0.0%,9.6%,0.8%
72021031503,PR,Bayamon Municipio,7,7,19,7.3%,4.7%,262,19.0%,7.1%,1.2%,0.0%,9.6%,0.8%
72021031611,PR,Bayamon Municipio,10,15,43,9.9%,5.0%,441,15.6%,9.5%,2.5%,0.0%,9.6%,0.8%
72021031612,PR,Bayamon Municipio,7,7,37,6.7%,0.9%,561,20.9%,4.3%,2.6%,0.0%,9.6%,0.8%
72021031621,PR,Bayamon Municipio,10,10,49,9.6%,1.3%,512,15.8%,7.6%,3.6%,0.0%,9.6%,0.8%
