fid,STATEFP,COUNTYFP,AFFGEOID,GEOID,NAME,Dummy_Segregated,Dummy_Blackbelt,Percent_Native_Reservations
"1","37","017",0500000US37017,"37017",Bladen,"0","1",0.013797
"2","37","167",0500000US37167,"37167",Stanly,"0","0",0
"3","39","153",0500000US39153,"39153",Summit,"0","0",0
"4","42","113",0500000US42113,"42113",Sullivan,"0","0",0
"5","48","459",0500000US48459,"48459",Upshur,"0","0",0
"6","48","049",0500000US48049,"48049",Brown,"0","0",0
"7","45","021",0500000US45021,"45021",Cherokee,"0","0",0
"8","01","043",0500000US01043,"01043",Cullman,"0","0",0.000573
"9","54","023",0500000US54023,"54023",Grant,"0","0",0
"10","46","055",0500000US46055,"46055",Haakon,"0","0",0.004515
"11","55","061",0500000US55061,"55061",Kewaunee,"0","0",0
"12","18","049",0500000US18049,"18049",Fulton,"0","0",0
"13","19","083",0500000US19083,"19083",Hardin,"0","0",0
"14","20","133",0500000US20133,"20133",Neosho,"0","0",0
"15","31","133",0500000US31133,"31133",Pawnee,"0","0",0
"16","01","059",0500000US01059,"01059",Franklin,"0","0",3.5e-05
"17","29","175",0500000US29175,"29175",Randolph,"0","0",0
"18","35","028",0500000US35028,"35028",Los Alamos,"0","0",0.037272
"19","37","105",0500000US37105,"37105",Lee,"0","0",0
"20","39","137",0500000US39137,"39137",Putnam,"0","0",0
"21","45","039",0500000US45039,"45039",Fairfield,"0","1",0
"22","48","021",0500000US48021,"48021",Bastrop,"0","0",0
"23","55","113",0500000US55113,"55113",Sawyer,"0","0",0.091572
"24","48","233",0500000US48233,"48233",Hutchinson,"0","0",0
"25","55","031",0500000US55031,"55031",Douglas,"0","0",0.000408
"26","48","095",0500000US48095,"48095",Concho,"0","0",0
"27","51","065",0500000US51065,"51065",Fluvanna,"0","0",0
"28","55","041",0500000US55041,"55041",Forest,"0","0",0.024859
"29","26","121",0500000US26121,"26121",Muskegon,"0","0",0
"30","27","005",0500000US27005,"27005",Becker,"0","0",0.304225
"31","40","077",0500000US40077,"40077",Latimer,"0","0",1
"32","22","073",0500000US22073,"22073",Ouachita,"1","0",0
"33","15","005",0500000US15005,"15005",Kalawao,"0","0",0.093075
"34","01","023",0500000US01023,"01023",Choctaw,"0","1",0
"35","12","123",0500000US12123,"12123",Taylor,"0","0",0
"36","18","127",0500000US18127,"18127",Porter,"1","0",0
"37","20","075",0500000US20075,"20075",Hamilton,"0","0",0
"38","26","139",0500000US26139,"26139",Ottawa,"1","0",0
"39","26","101",0500000US26101,"26101",Manistee,"0","0",0.001457
"40","36","005",0500000US36005,"36005",Bronx,"1","0",0
"41","40","025",0500000US40025,"40025",Cimarron,"0","0",0
"42","38","019",0500000US38019,"38019",Cavalier,"0","0",0.000219
"43","38","095",0500000US38095,"38095",Towner,"0","0",0
"44","05","145",0500000US05145,"05145",White,"0","0",0
"45","13","081",0500000US13081,"13081",Crisp,"0","1",0
"46","13","043",0500000US13043,"13043",Candler,"0","0",0
"47","18","015",0500000US18015,"18015",Carroll,"0","0",0
"48","19","141",0500000US19141,"19141",O'Brien,"0","0",0
"49","20","123",0500000US20123,"20123",Mitchell,"0","0",0
"50","17","023",0500000US17023,"17023",Clark,"0","0",0
"51","24","047",0500000US24047,"24047",Worcester,"0","0",0
"52","26","019",0500000US26019,"26019",Benzie,"0","0",0.000473
"53","31","135",0500000US31135,"31135",Perkins,"0","0",0
"54","20","189",0500000US20189,"20189",Stevens,"0","0",0
"55","46","105",0500000US46105,"46105",Perkins,"0","0",0.000434
"56","51","025",0500000US51025,"51025",Brunswick,"0","1",0
"57","51","141",0500000US51141,"51141",Patrick,"0","0",0
"58","01","109",0500000US01109,"01109",Pike,"0","1",0.168216
"59","13","013",0500000US13013,"13013",Barrow,"1","0",0
"60","18","125",0500000US18125,"18125",Pike,"0","0",0
"61","19","081",0500000US19081,"19081",Hancock,"0","0",0
"62","21","215",0500000US21215,"21215",Spencer,"1","0",0
"63","26","087",0500000US26087,"26087",Lapeer,"1","0",0
"64","27","009",0500000US27009,"27009",Benton,"0","0",0
"65","27","007",0500000US27007,"27007",Beltrami,"0","0",0.314402
"66","28","115",0500000US28115,"28115",Pontotoc,"0","0",0
"67","01","075",0500000US01075,"01075",Lamar,"0","0",0
"68","12","061",0500000US12061,"12061",Indian River,"0","0",0
"69","12","073",0500000US12073,"12073",Leon,"0","1",0
"70","26","149",0500000US26149,"26149",St. Joseph,"0","0",0
"71","26","031",0500000US26031,"26031",Cheboygan,"0","0",0
"72","31","165",0500000US31165,"31165",Sioux,"0","0",0
"73","39","051",0500000US39051,"39051",Fulton,"1","0",0
"74","37","007",0500000US37007,"37007",Anson,"0","1",0
"75","37","185",0500000US37185,"37185",Warren,"0","1",0.166927
"76","01","073",0500000US01073,"01073",Jefferson,"1","0",0
"77","08","047",0500000US08047,"08047",Gilpin,"1","0",0
"78","13","089",0500000US13089,"13089",DeKalb,"1","0",0
"79","17","093",0500000US17093,"17093",Kendall,"1","0",0
"80","19","019",0500000US19019,"19019",Buchanan,"0","0",0
"81","26","079",0500000US26079,"26079",Kalkaska,"0","0",0
"82","27","097",0500000US27097,"27097",Morrison,"0","0",2e-05
"83","01","079",0500000US01079,"01079",Lawrence,"0","0",0.55154
"84","05","059",0500000US05059,"05059",Hot Spring,"0","0",0
"85","35","011",0500000US35011,"35011",De Baca,"0","0",0
"86","17","009",0500000US17009,"17009",Brown,"0","0",0
"87","20","155",0500000US20155,"20155",Reno,"0","0",0
"88","31","151",0500000US31151,"31151",Saline,"0","0",0
"89","29","027",0500000US29027,"29027",Callaway,"0","0",0
"90","36","099",0500000US36099,"36099",Seneca,"0","0",0.114682
"91","28","019",0500000US28019,"28019",Choctaw,"0","1",0
"92","40","011",0500000US40011,"40011",Blaine,"0","0",1
"93","48","375",0500000US48375,"48375",Potter,"1","0",0
"94","48","455",0500000US48455,"48455",Trinity,"0","0",0
"95","55","107",0500000US55107,"55107",Rusk,"0","0",0
"96","72","145",0500000US72145,"72145",Vega Baja,"0","0",0
"97","53","069",0500000US53069,"53069",Wahkiakum,"0","0",0
"98","48","103",0500000US48103,"48103",Crane,"0","0",0
"99","47","117",0500000US47117,"47117",Marshall,"0","0",0
"100","48","381",0500000US48381,"48381",Randall,"1","0",0
"101","48","285",0500000US48285,"48285",Lavaca,"0","0",0
"102","29","097",0500000US29097,"29097",Jasper,"0","0",0
"103","17","187",0500000US17187,"17187",Warren,"0","0",0
"104","18","107",0500000US18107,"18107",Montgomery,"0","0",0
"105","28","081",0500000US28081,"28081",Lee,"0","0",0
"106","28","087",0500000US28087,"28087",Lowndes,"0","0",0
"107","39","113",0500000US39113,"39113",Montgomery,"1","0",0
"108","31","137",0500000US31137,"31137",Phelps,"0","0",0
"109","17","181",0500000US17181,"17181",Union,"0","0",0
"110","01","017",0500000US01017,"01017",Chambers,"0","1",0
"111","13","073",0500000US13073,"13073",Columbia,"0","1",0
"112","17","083",0500000US17083,"17083",Jersey,"1","0",0
"113","26","151",0500000US26151,"26151",Sanilac,"0","0",0
"114","29","031",0500000US29031,"29031",Cape Girardeau,"0","0",0
"115","37","055",0500000US37055,"37055",Dare,"0","0",0
"116","47","139",0500000US47139,"47139",Polk,"0","0",0
"117","22","063",0500000US22063,"22063",Livingston,"0","1",0
"118","21","069",0500000US21069,"21069",Fleming,"0","0",0
"119","29","117",0500000US29117,"29117",Livingston,"0","0",0
"120","29","085",0500000US29085,"29085",Hickory,"0","0",0
"121","39","173",0500000US39173,"39173",Wood,"1","0",0
"122","40","107",0500000US40107,"40107",Okfuskee,"0","0",1
"123","51","840",0500000US51840,"51840",Winchester,"0","0",0
"124","48","441",0500000US48441,"48441",Taylor,"0","0",0
"125","54","095",0500000US54095,"54095",Tyler,"0","0",0
"126","55","015",0500000US55015,"55015",Calumet,"0","0",0
