,GEOID,County Name,State,StateFIPS,population,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01
0,1001,Autauga County ,AL,1,55200,0.0,18.115942028985508,76.08695652173913,422.1014492753623,1001.8115942028984,1865.9420289855072,2632.246376811594,3257.246376811594,3936.594202898551,5105.072463768116,7679.347826086957
1,1003,Baldwin County ,AL,1,208107,0.0,11.052006900296481,84.09135685008192,140.31243542985098,337.8069935177577,1509.800246988328,2195.02467480671,2881.690668742521,3347.3165246724047,4349.204976286237,6642.256147078186
2,1005,Barbour County ,AL,1,25782,0.0,0.0,162.90435187340006,667.1321076720193,1264.4480645411527,2334.962376852068,2963.3077340780387,3483.050190055077,4115.274222325655,4611.744628035063,5883.950042665426
3,1007,Bibb County ,AL,1,22527,0.0,13.317352510320948,186.4429351444933,337.3729302614641,772.4064455986149,1633.5952412660363,2477.0275669196963,2983.086962311893,3897.545168020597,5344.697474142141,8230.123851378346
4,1009,Blount County ,AL,1,57645,0.0,8.673779165582442,67.65547749154307,109.28961748633881,378.17677161939463,1373.9266198282594,2260.386850550785,2834.591031312343,3634.3134703790442,5310.087605169572,8141.209124815682
5,1011,Bullock County ,AL,1,10352,0.0,19.319938176197837,135.23956723338486,2018.9335394126736,3545.208655332303,4279.36630602782,5399.922720247295,5911.901081916538,6327.279752704792,6771.638330757342,8578.052550231841
6,1013,Butler County ,AL,1,20025,0.0,4.993757802746567,324.5942571785268,2067.4157303370785,3031.210986267166,3780.274656679151,4349.56304619226,4589.263420724094,5113.607990012484,5922.596754057428,7600.499375780275
7,1015,Calhoun County ,AL,1,115098,0.0,9.55707310292099,80.80070896105927,142.48727171627658,241.53330205563958,1285.860744756642,2275.452223322733,3116.4746563797808,4250.2910563172245,5732.506212097517,8326.817147126796
8,1017,Chambers County ,AL,1,33826,0.0,133.0337610122391,857.3286820788742,1058.357476497369,1759.0019511618284,2545.379294034175,3077.514338083132,3491.397150121209,4115.177673978596,5401.170697096908,6994.6195234435045
9,1019,Cherokee County ,AL,1,25853,0.0,7.736046106834798,58.020345801260966,146.9848760298611,297.8377751131397,939.9296019804277,1612.9656132750551,2413.646385332457,3044.1341430394928,4065.2922291416858,5527.404943333462
10,1021,Chilton County ,AL,1,43930,0.0,29.592533576143865,118.37013430457546,234.46391987252446,498.5203733211928,1623.0366492146595,2761.211017527885,3664.9214659685854,4429.774641475074,5210.562258137947,6838.151604825859
11,1023,Choctaw County ,AL,1,13075,0.0,30.59273422562141,374.76099426386236,1170.1720841300191,1476.0994263862333,2110.8986615678773,2493.307839388145,2730.401529636711,3021.032504780115,3296.367112810708,3755.2581261950295
12,1025,Clarke County ,AL,1,24387,0.0,8.201090745069093,139.4185426661746,598.6796243900437,1094.8456144667239,2046.1721408947392,4080.0426456718737,4613.113544101366,5765.366793783574,6601.878049780621,9915.118710788534
13,1027,Clay County ,AL,1,13378,0.0,22.424876663178352,156.97413664224848,209.29884885633132,433.54761548811484,1524.891613096128,2833.009418448198,4440.125579309314,5800.568096875468,6936.7618478098375,8596.202720885036
14,1029,Cleburne County ,AL,1,14938,0.0,40.16601954746285,80.33203909492569,100.41504886865714,194.1357611460704,756.4600348105503,1412.5050207524434,2771.4553487749367,3949.6585888338464,5275.137233900121,6935.3327085285855
