,State,GEOID,population,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01
0,AK,02,738516,0.0,19.227748620205926,49.28803167433068,63.09951307757719,129.58419316575402,424.6353498096182,717.1137795254268,1076.0768893294119,2114.375314820532,3510.282783311397,6119.298701720748
1,AL,01,4864680,0.0,22.73530838616312,149.93791986317703,375.0709193616024,800.9159903631894,1836.6881274821772,2623.3174638414043,3201.526102436337,3987.579861368066,5198.69755050692,7518.418477679929
2,AR,05,2990671,0.0,20.46363508389923,105.126909646698,242.5208255939888,685.1639648761097,1391.5940603296049,2026.301121052767,2770.3147554512016,3725.384704636518,5243.204618629064,7577.36307337049
3,AZ,04,6946685,0.014395355482507125,20.355032652265074,114.60142499623922,289.6777383744908,1210.534233234989,2548.006711114726,2912.7850190414565,3155.634666031352,3562.4618073224847,4853.235752016969,7633.381965642605
4,CA,06,39148760,0.056195905055485794,25.92930146446529,133.4192960390061,294.2264327145993,605.3499523356552,1295.6246890067528,1829.5930701253367,2100.7766274078667,2387.684820668649,3181.8146986009265,5855.411512395284
5,CO,08,5531141,0.0,57.890406337498895,281.4066754038633,480.24449204965117,596.8388800791737,854.2360427984028,1044.1787689013897,1287.1846875716965,1986.660618487216,4289.964764955368,6095.198079383621
6,CT,09,3581504,0.0,94.15039045049231,792.7675077285968,1186.5964689694608,1294.5120262325547,1383.971649899037,1477.0051911152414,1608.6258733761015,1984.2501920980685,3297.497364235808,5166.628321509623
7,DC,11,684498,0.0,85.61018439790912,680.4987012379876,1293.9409611131075,1514.248398096123,1783.0585334069642,2052.4530385771764,2243.6880750564646,2537.480021855433,3168.015100117166,4273.496781583
8,DE,10,949495,0.0,38.75744474694443,515.4318874770273,1005.7978188405417,1207.7999357553226,1543.5573647043955,1816.333945939684,2137.5573331086525,2636.664753368896,3817.924265004028,6100.927335057057
9,FL,12,20598139,0.0,36.682925578859326,168.54435247766799,275.48119759751114,771.0890775132648,2327.5258022096077,3058.591846574101,3434.29569049903,3910.4843403571554,4880.872975951857,6409.826635309139
