,State,GEOID,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01
0,AK,02,0.0,11.857142857142858,3.5714285714285716,8.285714285714286,28.428571428571427,114.0,65.0,116.71428571428571,372.85714285714283,0.0,259.2857142857143
1,AL,01,0.0,102.85714285714286,181.14285714285714,436.0,985.4285714285714,1602.7142857142858,1482.0,726.5714285714286,1375.4285714285713,2290.714285714286,3331.8571428571427
2,AR,05,0.0,45.57142857142857,74.14285714285714,197.71428571428572,550.0,716.8571428571429,578.0,797.1428571428571,1070.142857142857,1561.142857142857,2301.714285714286
3,AZ,04,0.0,144.71428571428572,274.0,509.0,3445.5714285714284,2423.0,438.57142857142856,480.42857142857144,1330.0,4324.571428571428,10952.857142857143
4,CA,06,1.4285714285714286,950.5714285714286,1562.2857142857142,2647.714285714286,5938.142857142857,8692.42857142857,4905.285714285715,3237.714285714286,4146.571428571428,14035.0,35764.71428571428
5,CO,08,0.0,304.85714285714283,488.85714285714283,332.57142857142856,267.85714285714283,496.85714285714283,282.14285714285717,571.4285714285714,2117.0,4410.428571428572,2139.0
6,CT,09,0.0,356.7142857142857,711.2857142857143,264.14285714285717,101.71428571428571,144.71428571428572,155.0,181.57142857142858,735.8571428571429,1612.142857142857,1849.142857142857
7,DC,11,0.0,50.714285714285715,161.42857142857142,90.28571428571429,33.857142857142854,60.714285714285715,52.142857142857146,36.0,86.0,182.28571428571428,259.42857142857144
8,DE,10,0.0,35.57142857142857,208.0,91.42857142857143,85.85714285714286,94.71428571428571,80.14285714285714,119.57142857142857,166.42857142857142,523.0,627.5714285714286
9,FL,12,0.0,797.2857142857143,597.7142857142857,726.2857142857143,7135.142857142857,9339.714285714286,3624.714285714286,2286.5714285714284,4101.142857142857,7804.714285714285,10827.857142857143
10,GA,13,0.0,433.7142857142857,659.7142857142857,721.7142857142857,1844.7142857142858,3321.714285714286,2132.0,1246.857142857143,1479.857142857143,2188.1428571428573,5292.285714285715
11,HI,15,0.0,21.571428571428573,2.2857142857142856,1.1428571428571428,12.571428571428571,82.42857142857143,238.14285714285714,104.71428571428571,65.28571428571429,79.0,0.0
12,IA,19,0.0,57.57142857142857,482.2857142857143,306.0,385.14285714285717,471.85714285714283,1178.5714285714287,895.7142857142857,2063.714285714286,2174.8571428571427,1198.142857142857
13,ID,16,0.0,76.71428571428571,24.285714285714285,39.857142857142854,246.57142857142858,469.14285714285717,270.42857142857144,475.0,913.4285714285714,1224.857142857143,1211.5714285714287
14,IL,17,0.14285714285714285,727.2857142857143,2321.4285714285716,1326.7142857142858,781.8571428571429,1512.142857142857,1863.7142857142858,2005.0,6147.142857142857,9276.42857142857,4676.571428571428
15,IN,18,0.0,298.0,716.0,444.85714285714283,402.2857142857143,800.2857142857143,1252.142857142857,1000.1428571428571,2793.0,5411.142857142857,4232.142857142857
16,KS,20,0.0,51.0,239.0,139.28571428571428,290.57142857142856,392.0,627.5714285714286,667.4285714285714,1228.7142857142858,2193.4285714285716,3819.4285714285716
17,KY,21,0.0,62.285714285714285,159.28571428571428,211.28571428571428,212.85714285714286,566.0,659.5714285714286,795.2857142857143,1670.5714285714287,2903.8571428571427,2140.285714285714
18,LA,22,0.0,658.4285714285714,366.57142857142856,372.0,1100.857142857143,1792.2857142857142,681.4285714285714,593.5714285714286,484.2857142857143,2238.0,2682.4285714285716
19,MA,25,0.0,830.1428571428571,1958.2857142857142,1071.5714285714287,210.85714285714286,398.85714285714283,333.85714285714283,512.5714285714286,1215.142857142857,2429.714285714286,1491.7142857142858
20,MD,24,0.0,223.85714285714286,978.4285714285714,806.0,410.7142857142857,802.4285714285714,545.2857142857143,530.0,838.0,2238.714285714286,2437.0
21,ME,23,0.0,28.142857142857142,22.428571428571427,49.142857142857146,44.285714285714285,17.428571428571427,25.714285714285715,30.571428571428573,73.14285714285714,168.57142857142858,477.14285714285717
22,MI,26,0.0,978.4285714285714,727.0,290.0,365.42857142857144,816.0,719.1428571428571,949.7142857142857,3032.5714285714284,6606.142857142857,2618.0
23,MN,27,0.0,57.142857142857146,394.0,546.5714285714286,422.14285714285717,705.0,801.1428571428571,1024.857142857143,2615.0,5622.714285714285,1556.5714285714287
24,MO,29,0.0,175.57142857142858,168.85714285714286,165.71428571428572,434.2857142857143,1505.2857142857142,1303.7142857142858,1378.142857142857,2451.714285714286,3225.4285714285716,2926.8571428571427
25,MS,28,0.0,98.28571428571429,254.28571428571428,325.0,639.7142857142857,1254.857142857143,625.4285714285714,510.7142857142857,728.5714285714286,1409.5714285714287,2029.7142857142858
26,MT,30,0.0,21.714285714285715,1.1428571428571428,5.714285714285714,33.142857142857146,117.28571428571429,126.42857142857143,322.57142857142856,796.5714285714286,814.7142857142857,379.57142857142856
27,NC,37,0.0,155.57142857142858,448.2857142857143,760.0,1512.0,1826.4285714285713,1669.0,2101.1428571428573,1841.857142857143,3613.285714285714,6757.0
28,ND,38,0.0,14.571428571428571,51.285714285714285,31.714285714285715,31.714285714285715,123.71428571428571,253.0,462.42857142857144,885.2857142857143,665.2857142857143,220.85714285714286
29,NE,31,0.0,20.285714285714285,381.57142857142856,280.42857142857144,157.0,257.2857142857143,319.85714285714283,486.14285714285717,1112.5714285714287,1771.7142857142858,929.2857142857143
30,NH,33,0.0,22.0,82.71428571428571,70.42857142857143,29.285714285714285,28.285714285714285,20.714285714285715,38.714285714285715,124.0,463.7142857142857,1040.857142857143
31,NJ,34,0.0,2039.142857142857,2706.1428571428573,866.1428571428571,304.2857142857143,456.42857142857144,323.2857142857143,620.5714285714286,1579.142857142857,3983.5714285714284,10998.714285714286
32,NM,35,0.0,35.714285714285715,141.71428571428572,105.28571428571429,180.42857142857142,246.28571428571428,131.71428571428572,204.28571428571428,754.7142857142857,1868.2857142857142,1067.142857142857
33,NV,32,0.0,120.57142857142857,100.28571428571429,104.71428571428571,677.5714285714286,1036.857142857143,402.14285714285717,456.14285714285717,727.4285714285714,2123.0,2070.285714285714
34,NY,36,0.0,7023.857142857143,5246.285714285715,1278.142857142857,644.7142857142857,652.4285714285714,676.5714285714286,1026.2857142857142,2038.7142857142858,6894.857142857143,12427.857142857143
35,OH,39,0.0,263.0,511.7142857142857,500.57142857142856,872.2857142857143,1271.857142857143,1159.2857142857142,1081.2857142857142,2983.5714285714284,8312.142857142857,6675.714285714285
36,OK,40,0.0,79.28571428571429,104.71428571428571,62.57142857142857,372.0,1089.2857142857142,739.1428571428571,1023.0,1053.857142857143,2695.714285714286,2610.1428571428573
37,OR,41,0.14285714285714285,67.14285714285714,57.285714285714285,50.857142857142854,212.57142857142858,335.0,222.14285714285714,285.0,475.42857142857144,1331.5714285714287,1012.5714285714286
38,PA,42,0.0,658.5714285714286,1188.0,585.5714285714286,578.7142857142857,901.5714285714286,680.0,960.8571428571429,2235.4285714285716,6581.428571428572,7209.428571428572
39,RI,44,0.14285714285714285,58.857142857142854,327.2857142857143,74.85714285714286,40.57142857142857,90.14285714285714,96.57142857142857,94.85714285714286,323.2857142857143,885.5714285714286,661.2857142857143
40,SC,45,0.0,124.14285714285714,169.42857142857142,280.85714285714283,1424.0,1486.0,908.2857142857143,801.7142857142857,1049.142857142857,1143.857142857143,3211.285714285714
41,SD,46,0.0,12.571428571428571,69.28571428571429,63.857142857142854,58.142857142857146,80.28571428571429,320.57142857142856,434.0,1159.7142857142858,864.7142857142857,500.14285714285717
42,TN,47,0.0,199.57142857142858,450.7142857142857,403.2857142857143,1069.4285714285713,2405.714285714286,1531.2857142857142,1364.2857142857142,1947.7142857142858,4665.142857142857,5301.857142857143
43,TX,48,0.0,436.7142857142857,901.4285714285714,1277.4285714285713,6021.142857142857,7983.428571428572,4414.428571428572,4153.714285714285,6130.0,9842.285714285714,16370.0
44,UT,49,0.0,95.71428571428571,150.71428571428572,214.14285714285714,561.7142857142857,443.7142857142857,375.2857142857143,980.8571428571429,1668.2857142857142,2311.1428571428573,3729.1428571428573
45,VA,51,0.0,156.14285714285714,647.5714285714286,1095.7142857142858,529.2857142857143,1027.4285714285713,997.1428571428571,746.7142857142857,1287.0,2353.5714285714284,3824.0
46,VT,50,0.0,26.142857142857142,7.428571428571429,3.0,3.5714285714285716,3.4285714285714284,9.0,4.428571428571429,17.571428571428573,68.28571428571429,90.14285714285714
47,WA,53,1.4285714285714286,430.14285714285717,240.0,271.2857142857143,491.7142857142857,805.2857142857143,458.57142857142856,548.5714285714286,773.7142857142857,2326.4285714285716,2354.1428571428573
48,WI,55,0.0,137.85714285714286,279.85714285714283,422.14285714285717,490.85714285714283,876.0,727.4285714285714,2489.0,4643.571428571428,4274.857142857143,2454.0
49,WV,54,0.0,20.0,18.857142857142858,35.42857142857143,45.857142857142854,130.57142857142858,158.85714285714286,188.28571428571428,424.7142857142857,962.7142857142857,-674.4285714285714
50,WY,56,0.0,12.571428571428571,10.142857142857142,9.571428571428571,33.57142857142857,46.285714285714285,33.142857142857146,111.14285714285714,676.4285714285714,549.4285714285714,249.28571428571428
