State,Year,(E019) Police & Fire Protection-Dir Exp,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
Alabama,2017,167017,515323,493337,21986,2634531,2513814,120717,8442205,7160741,1274855,41337,1233518,6609
Alaska,2017,116524,316195,313525,2670,175310,174902,408,2566994,2434894,121863,23175,98688,10237
Arizona,2017,251431,1040692,1028721,11971,502158,500704,1454,14387254,14118820,259819,136882,122937,8615
Arkansas,2017,105687,334026,334026,0,1247753,1228160,19593,7415910,7408152,6772,6740,32,986
California,2017,1882560,8376080,7930063,446017,14751566,14021068,730498,93559979,93547702,0,0,0,12277
Colorado,2017,192826,891691,866714,24977,1417006,1404711,12295,7522736,7490704,17099,0,17099,14933
Connecticut,2017,223119,622023,619348,2675,2342631,2284792,57839,3717906,3536656,178929,78942,99987,2321
"Data may be unavailable for some years, variables, and levels of government. Observations with missing values are displayed as N/A in the results above. See help page on data availability for more information.",,,,,,,,,,,,,,
DC,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2017,146756,327693,325146,2547,532909,526416,6493,2508183,2470570,36790,23371,13419,823
Florida,2017,606373,2592648,2570883,21765,5164542,5049273,115269,26989511,26778403,200015,200015,0,11093
Georgia,2017,416467,1289551,1246189,43362,2412777,2395891,16886,12039286,11921684,112744,82845,29899,4858
Hawaii,2017,44877,228646,225226,3420,1167983,1148336,19647,2984652,2964555,3797,552,3245,16300
Idaho,2017,63977,272790,264971,7819,198351,196161,2190,2491912,2422807,59186,0,59186,9919
Illinois,2017,409153,1380385,1365825,14560,2011719,1970174,41545,22082348,21953552,123576,120733,2843,5220
Indiana,2017,223462,632122,621684,10438,689849,683505,6344,13922934,13529688,365474,47848,317626,27772
Iowa,2017,95515,287238,286216,1022,1970065,1712102,257963,5569164,5330307,235407,60780,174627,3450
Kansas,2017,107868,309314,302499,6815,3023456,2819974,203482,4095937,4037551,55141,16587,38554,3245
Kentucky,2017,242013,643981,642733,1248,2251358,2099209,152149,11405853,11227218,177036,177036,0,1599
Louisiana,2017,242872,505650,491878,13772,778465,751818,26647,11226836,11193734,31700,31700,0,1402
Maine,2017,90368,162568,154900,7668,301492,300595,897,3146569,3100893,45604,45604,0,72
Maryland,2017,546535,1497876,1445521,52355,1593104,1555521,37583,13042965,11769336,1268025,1002480,265545,5604
Massachusetts,2017,856115,952578,910590,41988,2128829,2058724,70105,22154901,21644102,463428,382514,80914,47371
Michigan,2017,473644,1866187,1863451,2736,5873291,5870362,2929,15739922,15492126,247634,156090,91544,162
Minnesota,2017,357023,508747,503015,5732,719912,714754,5158,13428470,13020513,375393,103671,271722,32564
Mississippi,2017,135917,330761,326009,4752,1791022,1761580,29442,6341694,6278950,58463,10080,48383,4281
Missouri,2017,274074,732737,723890,8847,4229292,4128906,100386,9224218,9106681,83705,81637,2068,33832
Montana,2017,38161,212280,208753,3527,269933,264203,5730,2169871,2168050,0,0,0,1821
Nebraska,2017,82537,349865,346011,3854,456335,452956,3379,2719113,2643056,34471,34305,166,41586
Nevada,2017,88480,305278,286122,19156,538728,536420,2308,3532089,3484871,45321,41376,3945,1897
New Hampshire,2017,70914,145827,117212,28615,159319,156362,2957,2193581,2130841,48116,16287,31829,14624
New Jersey,2017,620161,1431990,1398463,33527,4801159,4741815,59344,16686513,16194019,483392,147949,335443,9102
New Mexico,2017,125181,481475,481475,0,1520882,1495308,25574,5923297,5866044,57253,45038,12215,0
New York,2017,865298,3120396,3050981,69415,8653445,8063491,589954,58041353,58015140,0,0,0,26213
