name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
SALUSCARE - EVANS CAMPUS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3763 EVANS AVENUE,"FORT MYERS, FL 33901",239-275-3222,Most private insurance and public insurance plans,1,ZAHEER ASLAM
WHITE SANDS TREATMENT CENTER,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",1870 Colonial Blvd,"Ft. Myers, FL 33907",239-899-0610,Most private insurance and public insurance plans,2,"STEVEN MANN,MARTIN ZFAZ"
Gulf Coast Certified Primary Care - Bonita Springs,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",10915 Bonita Beach Road Suite 1122,"Bonita Springs, FL 34135",239-498-5760,Most private insurance and public insurance plans,1,SCOTT JAFFE
LEE HEALTH RECOVERY MEDICINE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",12550 NEW BRITTANY BLVD STE 201,"FORT MYERS, FL 33907",239-343-9190,Most private insurance and public insurance plans,1,CLIFFORD THACKER
NEXTEP,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6313 Corporate Court 130,"Fort Myers, FL 33919",239-362-0144,"Most private insurance, no public insurance plans",1,JOSHUA HERSH
KORUNDA MEDICAL CENTER,,Outpatient Facility,,14131 Metropolis Ave Suite 103,"naples, FL 34119",239-591-2803,Most private insurance and public insurance plans,1,SHELDON CHO
Operation Par - Fort Myers,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",535 Pine Island Road,"North Fort Myers, FL 33903",239-656-7700,"Most public insurance, no private insurance plans",1,AWAIS SIDDIKI
"James A Halikas MD, LLC","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5445 Park Central Court,"Naples, FL 34109",239-592-7535,Most private insurance and public insurance plans,1,JAMES HALIKAS
David Lawrence Center,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",6075 BATHEY LN BLDG C,"NAPLES, FL 34116",239-354-1412,Most private insurance and public insurance plans,3,"EDWIN GOMEZ,KATHLEEN OWENS,JASON WAGNER"
Advance Medical of Naples,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","720 North Goodlette Road, Suite 500","Naples, FL 34102",239-566-7676,Most private insurance and public insurance plans,1,GREGORY LEACH
PARADISE FAMILY HEALTHCARE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1101 Tamiami Trail South, Suite 108","Venice, FL 34285",941-488-2332,"Limited health network, please contact office to learn more",1,KEVIN MILLER
