origin,count within 30,minutes
1001020100,5,28.37
1001020200,6,25.87
1001020300,6,24.3
1001020400,7,22.51
1001020500,7,19.55
1001020600,8,22.63
1001020700,7,21.91
1001021000,1,20.51
1001021100,1,0.0
1003010200,2,12.47
1003010300,2,21.43
1003010500,2,0.0
1003010600,3,6.46
1003010701,17,16.69
1003010703,13,21.19
1003010704,15,20.85
1003010705,17,19.16
1003010800,15,20.42
1003010903,3,0.0
1003010904,2,0.0
1003010905,3,14.97
1003010906,3,11.08
1003011000,3,10.92
1003011101,1,27.89
1003011102,1,27.23
1003011201,2,29.01
1003011300,1,29.44
1003011401,1,16.75
1003011403,1,14.46
1003011406,1,23.65
1003011407,1,24.84
1003011501,2,0.0
1003011502,1,10.46
1003011601,2,17.49
1003011602,2,29.3
1005950100,1,22.39
1005950200,1,0.0
1005950300,1,16.81
1005950500,2,0.0
1005950600,3,17.08
1005950700,2,12.53
1005950800,2,12.74
1005950900,2,12.23
1007010001,2,26.98
1007010002,2,0.0
1007010004,4,0.0
1009050101,1,20.2
1009050102,1,0.0
1009050200,1,11.12
1009050300,3,22.6
1009050400,1,29.43
1011952100,1,28.35
1015000200,2,4.73
1015000300,2,5.87
1015000400,2,10.62
1015000500,2,5.24
1015000600,2,5.46
1015000700,2,11.51
1015000800,3,0.0
1015000900,3,6.77
1015001000,3,7.03
1015001100,3,15.06
1015001201,3,7.91
1015001202,3,12.12
1015001300,2,6.0
1015001400,2,12.02
1015001500,2,16.98
1015001600,2,11.22
1015001700,2,11.54
1015001800,2,15.63
1015002000,3,19.2
1015002101,2,25.52
1015002102,2,25.18
1015002103,2,18.81
1015002501,7,18.33
1015002502,8,18.89
1015981903,2,18.4
1017953900,1,10.87
1017954200,1,9.16
1017954300,1,20.29
1017954400,1,5.86
1017954500,1,0.0
1017954600,1,5.87
1017954700,1,15.86
1019955701,1,0.0
1019955702,1,14.01
1019955800,1,25.91
1019955900,1,28.7
1019956000,1,11.86
1021060101,2,8.1
1021060102,2,0.0
1021060200,1,17.76
1021060300,1,16.87
1021060401,2,10.86
1021060402,2,20.89
1021060500,2,0.0
1021060600,2,21.92
1021060700,1,13.49
1023956800,1,28.2
1023956900,1,0.0
1023957000,1,25.76
1027958900,1,21.55
1027959000,1,0.0
1027959100,1,24.23
1029959600,3,0.0
1029959700,3,13.96
1031010300,1,14.55
1031010400,1,19.54
1031010500,1,25.3
1031010700,1,29.26
1031010800,1,23.59
1031010900,1,7.2
1031011000,1,7.91
1031011100,1,0.0
1031011201,1,11.23
1031011202,1,8.3
1031011300,1,6.72
1033020100,2,5.84
1033020200,2,6.06
1033020300,2,4.54
1033020400,2,12.08
1033020500,2,10.03
1033020600,4,5.13
1033020701,3,7.38
1033020703,3,4.31
1033020704,4,0.0
1033020801,2,23.57
1033020802,3,15.58
1033020901,3,19.46
1033020902,2,22.65
1035960300,2,27.13
1035960400,2,29.76
1035960500,2,17.74
1035960600,2,0.0
1037961200,1,0.0
1041963800,1,0.0
1041963900,1,18.32
1043964200,2,16.9
1043964300,1,20.63
1043964400,1,19.88
1043964500,1,23.27
1043964600,1,23.45
1043964700,1,8.64
1043964800,1,6.71
1043964900,1,9.01
1043965000,1,0.0
1043965100,1,9.57
1043965200,1,19.34
