origin,count within 30,minutes
1001,30,8.04
1002,6,0.0
1003,7,3.27
1005,1,29.7
1007,5,15.1
1008,4,18.59
1009,7,24.86
1010,7,17.61
1011,2,20.8
1012,4,13.27
1013,27,0.0
1020,29,8.18
1022,19,11.97
1026,1,16.65
1027,20,9.5
1028,39,6.58
1029,5,27.03
1030,27,11.33
1032,2,23.86
1033,17,13.72
1034,2,28.85
1035,6,8.62
1036,25,16.21
1038,9,13.51
1039,2,15.66
1040,29,0.0
1050,6,0.0
1053,8,8.64
1054,7,14.35
1056,26,11.91
1057,15,20.73
1060,23,0.0
1062,8,8.22
1063,20,1.19
1066,9,14.86
1068,1,27.42
1069,16,22.43
1070,1,27.47
1071,4,16.41
1072,3,20.48
1073,14,15.64
1075,19,7.19
1077,22,13.01
1079,14,24.1
1080,16,19.9
1081,7,16.87
1082,2,29.77
1083,2,25.92
1084,3,13.37
1085,19,0.0
1086,17,6.74
1088,9,11.64
1089,28,7.14
1092,2,29.33
1093,7,18.15
1095,24,10.36
1096,1,21.87
1097,12,9.78
1098,3,0.0
1103,31,0.0
1104,31,0.0
1105,31,0.0
1106,37,7.42
1107,31,0.0
1108,36,0.0
1109,31,0.0
1118,35,3.85
1119,26,0.0
1128,32,8.3
1129,24,6.29
1151,26,6.96
1199,31,1.19
1201,5,0.0
1220,2,0.0
1222,5,19.89
1223,1,24.07
1224,6,14.13
1225,6,12.66
1226,5,10.91
1229,10,11.97
1230,6,0.0
1235,5,21.6
1236,6,10.07
1237,5,15.63
1238,10,0.0
1240,10,9.81
1242,10,6.3
1243,2,28.22
1244,5,23.82
1245,6,17.41
1247,2,0.0
1253,1,26.09
1254,10,19.68
1255,3,29.5
1256,2,21.87
1257,5,14.11
1258,5,24.17
1260,10,10.87
1262,10,11.08
1264,6,14.1
1266,10,13.02
1267,2,14.31
1270,6,20.8
1301,5,0.0
1330,1,29.62
1331,2,12.24
1337,4,14.95
1340,3,23.68
1341,3,27.79
1342,7,10.43
1343,1,23.77
1344,5,15.52
1347,7,11.18
1349,7,9.7
1350,1,27.07
1351,7,9.86
1354,4,8.2
1355,3,13.26
1360,5,19.2
1364,1,0.0
1366,2,20.21
1368,2,20.61
1370,4,18.67
1373,10,15.85
1375,7,12.78
1376,4,0.0
1378,1,13.91
1379,2,19.6
1420,4,0.0
1430,3,15.24
1431,4,15.75
1432,10,21.68
1434,3,16.22
1436,2,11.8
1438,5,7.22
1440,4,0.0
1450,3,21.02
1451,4,20.7
1452,1,15.02
1453,10,0.0
1460,17,17.68
1462,3,12.58
1463,13,20.4
1464,3,17.48
1467,3,22.45
1468,5,9.97
1469,3,21.17
1473,4,11.05
1474,3,19.15
1475,1,14.99
1501,23,6.28
1503,21,17.4
1504,29,6.67
1505,17,9.64
1506,5,21.11
1507,20,12.32
1510,20,19.19
1515,9,19.6
1516,23,18.47
1518,2,11.3
1519,18,16.05
1520,17,8.49
1521,8,18.53
1522,17,21.19
1523,13,12.64
1524,20,8.34
1525,20,20.81
1527,24,7.46
1529,12,15.77
1532,20,13.82
1534,18,19.89
1535,5,28.68
1536,18,10.74
1537,23,12.04
1540,25,9.31
1541,21,21.97
1542,20,10.37
1543,17,20.51
1545,19,11.01
1550,12,0.0
1560,18,16.71
1561,9,19.77
1562,19,15.63
1564,20,12.87
1566,10,6.12
1568,22,13.66
1569,13,18.96
1570,26,0.0
1571,12,8.06
1581,20,19.38
1583,18,7.26
1585,2,27.7
1588,24,21.11
1590,23,15.92
1602,18,0.0
1603,20,0.0
1604,18,0.0
1605,18,0.0
1606,19,0.0
1607,18,4.43
1608,18,2.16
1609,18,0.0
1610,20,0.0
1611,20,5.2
1612,17,8.82
1701,8,0.0
1702,9,0.0
1718,9,20.96
1719,7,27.32
1720,11,25.87
1721,3,9.18
1730,23,20.09
1731,49,16.37
1740,21,21.72
1741,14,17.23
1742,13,22.6
1745,22,11.52
1746,3,15.2
1747,7,4.66
1748,18,12.2
1749,21,19.44
1752,20,16.97
1754,3,18.54
1756,6,10.69
1757,7,0.0
1760,23,10.04
1770,4,11.46
1772,21,14.66
1773,59,13.8
1775,6,24.52
1776,3,12.83
1778,37,10.1
1801,144,15.17
1803,116,17.33
1810,30,0.0
1821,28,11.11
1824,33,8.62
1826,33,7.24
1827,20,12.22
1830,26,0.0
1832,27,5.04
1833,24,16.0
1834,20,7.55
1835,26,5.15
1840,29,0.0
1841,29,0.0
1843,29,0.0
1844,28,0.0
1845,28,9.53
1850,33,5.07
1851,37,0.0
1852,37,0.0
1854,37,0.0
1860,22,10.05
1862,34,10.44
1863,37,7.31
1864,73,16.99
1867,137,16.12
1876,30,0.0
1879,28,0.0
1880,125,12.51
1886,28,12.36
1887,83,9.42
1890,122,11.58
1901,128,0.0
1902,128,0.0
1904,110,4.47
1905,128,0.0
1906,128,4.95
1907,106,5.29
1908,104,8.06
1913,24,14.58
1915,55,0.0
1921,32,23.51
1922,8,21.98
1923,59,8.19
1929,14,11.49
1930,14,0.0
1937,73,12.6
1938,14,21.69
1940,110,12.93
1944,43,10.84
1945,83,8.31
1949,68,14.04
1950,7,21.02
1951,4,27.15
1952,9,21.2
1960,71,0.0
1966,3,9.0
1969,16,22.6
1970,86,0.0
1982,43,11.29
1983,62,13.2
1984,43,8.75
1985,19,15.1
2019,21,10.53
2021,81,15.65
2025,8,11.53
2026,94,12.32
2030,24,23.46
2032,38,23.94
2035,18,22.96
2038,7,17.37
2043,35,11.79
2045,5,0.0
2048,16,21.04
2052,11,20.78
2053,8,14.09
2054,8,20.16
2056,7,26.57
2061,26,21.28
2062,68,19.51
2066,1,19.32
2067,19,20.98
2071,9,28.14
2072,56,10.78
2081,18,26.44
2090,76,18.82
2093,11,22.2
2108,132,2.38
2109,133,3.36
2110,132,0.0
2111,132,0.0
2113,132,0.0
2114,132,0.0
2115,129,2.74
2116,129,0.0
2118,129,0.0
2119,121,0.0
2120,121,0.0
2121,126,0.0
2122,126,0.0
2124,126,0.0
2125,121,0.0
2126,113,0.0
2127,129,0.0
2128,133,0.0
2129,132,0.0
2130,121,0.0
2131,97,6.36
2132,96,9.84
2134,123,0.0
2135,123,0.0
2136,97,6.23
2138,121,0.0
2139,121,0.0
2140,121,4.5
2141,132,4.14
2142,132,3.87
2143,129,0.0
2144,130,4.94
2145,134,4.62
2148,135,0.0
2149,134,4.08
2150,133,4.69
2151,133,0.0
2152,132,0.0
2155,137,6.25
2163,122,4.47
2169,97,0.0
2170,127,3.56
2171,127,0.0
2176,138,5.54
2180,151,10.5
2184,86,13.13
2186,96,5.06
2188,89,8.04
2189,74,11.69
2190,78,13.42
2191,74,11.17
2199,121,7.04
2203,132,0.0
2210,129,0.0
2215,129,0.0
2301,28,0.0
2302,27,4.92
2322,65,9.51
2324,7,17.07
2330,4,22.06
2332,1,24.56
2333,7,17.39
2338,6,29.09
2339,21,22.06
2341,5,21.54
2343,72,10.62
2346,3,21.9
2347,5,21.13
2351,26,13.76
2356,7,11.58
2357,16,11.41
2359,6,27.34
2360,3,0.0
2364,1,17.12
2366,1,18.28
2367,3,24.48
2368,87,14.62
2370,26,17.48
2375,7,16.61
2379,7,11.1
2382,9,11.5
2420,82,14.19
2421,97,10.35
2445,121,4.9
2446,121,3.08
2451,81,5.27
2452,85,5.2
2453,88,0.0
2457,75,15.2
2458,123,6.04
2459,94,9.37
2460,104,4.75
2461,94,9.15
2462,88,7.58
2464,92,11.8
2465,90,4.42
2466,90,4.67
2467,94,8.36
2468,94,8.5
2472,123,7.72
2474,123,8.85
2476,117,10.16
2478,119,8.07
2481,71,14.22
2482,71,14.64
2492,95,15.11
2493,76,9.0
2494,91,12.76
2532,5,0.0
2534,3,14.18
2536,5,10.1
2537,10,8.08
2538,2,14.74
2540,3,0.0
2542,4,16.14
2543,2,11.92
2553,4,12.54
2556,4,11.3
2558,2,8.5
2559,4,14.53
2561,10,11.93
2562,5,11.16
2563,9,0.0
2571,3,13.46
2576,3,19.15
2601,9,0.0
2630,9,10.15
2631,2,16.24
2632,8,0.0
2633,2,12.89
2635,8,6.1
2637,9,11.28
2638,7,6.28
2639,7,8.55
2641,7,8.12
2642,2,13.49
2643,2,26.31
2644,9,8.88
2645,7,8.86
2646,6,0.0
2647,9,5.79
2648,9,11.73
2649,9,0.0
2650,2,14.59
2651,1,10.86
2652,2,12.67
2653,3,19.61
2655,9,7.73
2657,2,0.0
2659,2,7.85
2660,7,0.0
2663,2,6.46
2664,9,8.88
2666,2,11.33
2667,2,0.0
2668,9,10.48
2669,2,10.2
2670,7,8.66
2671,7,5.94
2672,8,6.86
2673,9,8.47
2675,9,7.45
2702,8,12.53
2703,34,12.88
2715,6,16.13
2717,7,13.63
2718,10,11.75
2719,5,5.11
2720,20,0.0
2721,26,0.0
2723,26,4.63
2724,26,0.0
2725,34,7.89
2726,18,12.18
2738,3,21.19
2739,6,11.75
2740,5,0.0
2743,5,13.58
2744,5,5.26
2745,7,9.55
2746,5,4.93
2747,5,8.52
2748,5,9.24
2760,32,15.67
2762,20,21.51
2763,32,15.49
2764,23,11.23
2766,19,13.57
2767,9,10.17
2769,33,17.52
2771,43,12.33
2777,35,10.93
2779,5,13.6
2780,10,0.0
2790,5,16.66
2791,5,22.63
2802,32,9.77
2804,4,12.76
2806,32,0.0
2808,5,13.58
2809,16,13.95
2812,2,15.79
2813,3,19.46
2814,26,11.5
2815,15,9.46
2816,24,0.0
2817,8,16.82
2818,29,12.23
2822,7,20.75
2825,14,0.0
2826,17,12.55
2827,9,17.78
2828,42,8.23
2830,17,8.56
2831,23,12.38
2832,10,0.0
2833,4,11.66
2835,9,12.3
2836,4,20.27
2837,2,27.13
2838,38,5.86
2839,17,10.74
2840,8,0.0
2841,8,8.51
2842,9,8.17
2852,17,0.0
2857,43,0.0
2858,21,9.59
2859,15,0.0
2860,38,0.0
2861,40,7.23
2863,38,0.0
2864,32,11.02
2865,38,7.13
2871,13,18.13
2873,4,5.24
2874,10,13.67
2875,3,19.65
2876,29,12.64
2878,6,10.64
2879,3,0.0
2881,10,11.32
2882,10,7.97
2885,32,6.27
2886,36,0.0
2888,35,6.57
2889,34,0.0
2891,9,0.0
2892,3,20.37
2893,35,0.0
2894,3,12.9
2895,32,0.0
2896,29,11.06
2898,7,6.69
2903,42,0.0
2904,40,0.0
2905,42,0.0
2906,42,5.37
2907,42,0.0
2908,42,0.0
2909,43,0.0
2910,40,0.0
2911,40,0.0
2912,42,3.26
2914,44,7.58
2915,41,0.0
2916,43,8.81
2917,37,8.21
2919,43,0.0
2920,41,0.0
2921,35,10.69
3031,11,25.4
3032,9,17.47
3033,5,23.86
3034,9,15.1
3036,1,16.76
3037,1,22.4
3038,9,24.48
3042,5,13.85
3044,7,14.21
3045,8,13.68
3046,1,28.53
3048,2,27.48
3049,13,13.99
3051,20,10.6
3052,20,21.54
3053,17,17.42
3054,19,19.68
3055,4,24.31
3060,20,0.0
3062,20,0.0
3063,21,0.0
3064,22,0.0
3070,7,23.45
3076,38,14.75
3077,12,0.0
3079,32,12.35
3087,43,22.5
3101,13,0.0
3102,13,0.0
3103,13,0.0
3104,9,0.0
3106,9,12.09
3109,9,8.94
3110,12,11.64
3216,2,23.96
3217,3,16.38
3220,5,15.82
3222,1,0.0
