origin,count within 30,minutes
1001,9,10.4
1002,6,18.07
1003,5,20.03
1005,1,29.7
1007,5,18.88
1008,2,18.59
1009,7,7.56
1010,5,15.87
1012,3,18.82
1013,11,9.22
1020,11,8.4
1022,11,11.97
1027,11,9.5
1028,12,9.7
1029,2,27.51
1030,9,12.88
1031,2,13.85
1032,3,20.34
1033,9,13.72
1034,2,28.85
1035,5,13.71
1036,7,18.45
1037,1,23.05
1038,6,13.51
1039,3,9.84
1040,13,0.0
1050,5,23.03
1053,5,0.0
1054,2,26.89
1056,10,0.0
1057,6,11.2
1060,12,0.0
1062,5,7.9
1063,11,1.19
1066,6,14.86
1068,1,27.42
1069,10,0.0
1071,2,16.41
1073,10,15.64
1074,1,28.94
1075,12,7.19
1077,6,13.01
1079,9,4.24
1080,9,6.52
1081,3,16.87
1082,2,0.0
1083,3,16.55
1084,2,27.03
1085,10,0.0
1086,8,6.74
1088,6,11.64
1089,10,7.17
1092,4,12.76
1093,4,13.9
1094,1,22.63
1095,8,11.22
1096,3,16.05
1097,7,9.78
1103,11,3.1
1104,11,0.0
1105,11,4.28
1106,10,10.48
1107,11,0.0
1108,12,5.98
1109,11,0.0
1118,11,5.84
1119,10,7.18
1128,9,9.16
1129,8,8.49
1151,10,6.82
1199,11,1.19
1201,2,0.0
1222,1,19.89
1224,2,14.13
1225,2,21.84
1226,2,10.91
1229,3,16.29
1230,1,0.0
1235,2,21.6
1236,1,10.07
1237,2,15.63
1238,3,21.71
1240,3,13.34
1242,3,18.36
1244,1,23.82
1245,1,17.41
1254,3,20.24
1257,1,14.11
1258,1,24.17
1260,3,16.79
1262,3,16.88
1264,1,27.17
1266,3,19.2
1267,1,27.15
1270,2,22.83
1301,2,0.0
1330,2,26.1
1331,2,0.0
1337,3,14.95
1340,1,23.68
1341,3,27.79
1342,4,10.43
1344,2,19.14
1347,1,18.82
1349,1,15.09
1351,1,16.39
1354,1,10.99
1355,1,19.43
1360,3,19.2
1364,1,12.27
1366,2,17.55
1368,2,14.83
1370,1,18.67
1373,6,15.85
1375,4,19.39
1376,1,10.15
1378,1,24.6
1420,5,0.0
1430,2,15.24
1431,3,15.75
1432,6,0.0
1434,5,12.5
1436,2,11.8
1438,4,7.22
1440,4,0.0
1450,3,11.53
1451,6,11.68
1452,1,15.02
1453,9,0.0
1460,10,10.49
1462,4,12.58
1463,5,20.07
1464,4,14.31
1467,6,13.22
1468,4,9.97
1469,4,21.17
1473,4,11.05
1474,3,19.15
1475,3,14.99
1501,10,10.69
1503,14,9.25
1504,16,6.67
1505,10,9.64
1506,4,21.11
1507,8,12.32
1510,12,0.0
1515,4,19.6
1516,10,20.52
1518,3,11.3
1519,8,16.05
1520,9,11.98
1521,3,18.53
1522,6,24.12
1523,10,10.5
1524,8,9.16
1525,10,20.81
1527,10,9.88
1529,7,15.77
1531,1,25.76
1532,11,9.4
1534,8,22.35
1535,4,23.64
1536,11,10.74
1537,9,5.95
1540,9,12.71
1541,10,23.59
1542,8,0.0
1543,7,21.22
1545,11,11.13
1550,3,0.0
1560,9,17.39
1561,9,5.9
1562,8,15.1
1564,10,11.29
1566,3,6.12
1568,11,13.66
1569,4,18.96
1570,10,15.9
1571,3,19.17
1581,12,0.0
1583,11,11.8
1585,3,14.53
1588,10,21.54
1590,8,18.67
1602,10,0.0
1603,11,5.87
1604,10,0.0
1605,10,0.0
1606,11,5.93
1607,9,7.26
1608,10,4.16
1609,10,5.4
1610,11,4.98
1611,9,9.27
1612,7,8.82
1701,14,7.75
1702,15,0.0
1718,9,11.76
1719,7,17.28
1720,13,9.27
1721,7,9.18
1730,26,0.0
1731,38,10.8
1740,13,8.54
1741,13,10.49
1742,19,0.0
1745,19,10.24
1746,6,15.2
1747,6,4.66
1748,12,12.15
1749,14,7.14
1752,12,0.0
1754,11,11.1
1756,4,10.69
1757,5,0.0
1760,34,0.0
1770,14,10.09
1772,16,10.46
1773,42,11.31
1775,12,14.96
1776,9,16.36
1778,37,7.97
1801,51,0.0
1803,44,0.0
1810,16,12.33
1821,18,9.45
1824,14,10.88
1826,11,7.24
1827,7,18.59
1830,12,0.0
1832,13,5.04
1833,12,0.0
1834,10,7.55
1835,12,0.0
1840,16,3.21
1841,14,0.0
1843,18,4.64
1844,14,0.0
1845,12,11.6
1850,11,5.07
1851,14,4.76
1852,16,0.0
1854,12,0.0
1860,11,9.43
1862,19,11.27
1863,12,8.23
1864,22,19.5
1867,45,11.44
1876,16,0.0
1879,10,12.06
1880,44,8.27
1886,12,17.58
1887,33,9.42
1890,47,0.0
1901,41,5.06
1902,41,4.52
1904,33,0.0
1905,41,4.65
1906,44,6.87
1907,31,6.86
1908,27,12.35
1913,13,0.0
1915,11,0.0
1921,13,16.96
1922,10,12.72
1923,17,8.19
1929,6,11.49
1930,6,0.0
1937,18,12.6
1938,8,20.93
1940,36,12.53
1944,8,10.84
1945,20,8.31
1949,19,14.04
1950,8,0.0
1951,5,6.95
1952,9,10.87
1960,20,0.0
1966,3,9.0
1969,11,13.16
1970,27,0.0
1982,10,11.29
1983,17,13.2
1984,10,8.75
1985,9,12.94
2019,14,10.53
2021,43,0.0
2025,2,20.12
2026,51,0.0
2030,32,11.02
2032,29,5.25
2035,24,0.0
2038,8,17.37
2043,8,12.64
2045,2,21.3
2047,2,22.42
2048,15,8.35
2050,2,21.27
2052,20,12.35
2053,9,14.09
2054,12,18.68
2056,13,12.39
2061,8,14.4
2062,42,0.0
2066,2,26.26
2067,19,11.25
2071,14,9.54
2072,32,0.0
2081,24,8.39
2090,42,0.0
2093,13,13.4
2108,53,2.38
2109,52,6.36
2110,51,3.11
2111,53,1.92
2113,51,3.78
2114,50,0.0
2115,52,0.0
2116,51,0.0
2118,53,0.0
2119,52,3.77
2120,53,0.0
2121,53,5.27
2122,54,3.53
2124,51,0.0
2125,52,5.92
2126,52,4.52
2127,53,5.66
2128,52,5.5
2129,50,0.0
2130,50,0.0
2131,51,0.0
2132,50,0.0
2134,53,4.03
2135,51,0.0
2136,51,6.16
2138,48,0.0
2139,50,0.0
2140,48,4.5
2141,51,4.14
2142,50,4.44
2143,49,0.0
2144,49,4.94
2145,52,4.62
2148,51,3.8
2149,52,0.0
2150,51,5.16
2151,48,6.12
2152,44,11.8
2155,51,0.0
2163,51,4.89
2169,47,6.26
2170,51,9.18
2171,51,8.14
2176,48,0.0
2180,52,5.96
2184,36,0.0
2186,49,0.0
2188,39,6.44
2189,31,8.39
2190,35,0.0
2191,31,11.68
2199,48,7.34
2203,52,2.5
2210,44,10.85
2215,53,0.0
2301,20,0.0
2302,16,0.0
2322,28,8.99
2324,11,16.3
2330,7,16.18
2332,3,16.04
2333,11,15.94
2338,8,13.72
2339,10,13.57
2341,5,10.91
2343,34,7.94
2346,7,0.0
2347,9,14.79
2351,11,8.93
2356,15,11.58
2357,15,11.41
2359,6,0.0
2360,5,0.0
2364,4,14.82
2366,1,18.28
2367,6,15.82
2368,39,10.69
2370,11,10.25
2375,13,16.61
2379,14,10.51
2382,11,8.92
2420,46,10.73
2421,46,10.18
2445,50,3.83
2446,50,0.0
2451,47,5.27
2452,47,5.2
2453,48,0.0
2457,46,7.2
2458,51,6.04
2459,53,5.27
2460,51,4.75
2461,53,5.72
2462,52,0.0
2464,52,7.35
2465,50,4.42
2466,50,3.37
2467,50,0.0
2468,53,4.08
2472,49,3.38
2474,49,6.1
2476,46,5.58
2478,50,0.0
2481,47,7.61
2482,45,7.54
2492,52,0.0
2493,47,9.0
2494,52,2.8
2532,5,12.71
2534,4,7.64
2535,1,29.59
2536,3,10.1
2537,4,0.0
2538,5,9.22
2539,1,15.95
2540,2,0.0
2542,4,7.77
2543,2,11.92
2553,4,5.15
2554,1,0.0
2556,3,11.18
2557,1,0.0
2558,5,6.85
2559,4,0.0
2561,6,11.68
2562,4,15.02
2563,4,8.1
2564,1,15.14
2568,1,7.55
2571,6,0.0
2575,1,14.61
2576,6,7.3
2584,1,12.72
2601,2,0.0
2630,2,10.48
2632,2,8.9
2635,4,16.14
2637,2,11.62
2638,2,20.37
2639,1,20.39
2641,1,23.43
2644,3,13.06
2645,1,25.88
2646,1,28.05
2647,2,5.79
2648,3,16.38
2649,4,17.4
2655,3,13.9
2660,2,19.88
2664,2,13.25
2668,2,9.76
2670,2,16.54
2671,1,23.33
2672,2,6.86
2673,2,8.47
2675,2,13.38
2702,10,12.53
2703,19,0.0
2715,5,16.13
2717,10,7.27
2718,10,11.75
2719,7,5.11
2720,17,0.0
2721,18,3.02
2723,18,5.19
2724,18,0.0
2725,20,7.89
2726,15,12.18
2738,6,9.1
2739,7,11.75
2740,7,0.0
2743,7,8.8
2744,7,5.26
2745,11,0.0
2746,7,4.93
2747,6,0.0
2748,6,9.24
2760,19,11.6
2762,19,14.69
2763,22,8.71
2764,18,11.23
2766,22,11.49
2767,16,10.17
2769,20,17.17
2770,2,24.2
2771,21,11.62
2777,23,10.93
2779,8,13.6
2780,16,0.0
2790,6,14.66
2791,6,20.62
2802,17,9.77
2804,1,12.76
2806,18,7.06
2808,2,13.58
2809,12,18.39
2812,1,28.14
2813,2,19.46
2814,12,11.5
2815,3,26.38
2816,10,13.32
2817,2,22.14
2818,12,12.23
2822,1,27.56
2825,4,28.78
2826,10,12.55
2828,18,8.23
2830,7,8.56
2831,9,19.0
2832,2,21.81
2833,1,18.35
2835,3,12.3
2836,2,21.47
2837,1,27.13
2838,20,5.86
2839,7,10.74
2840,2,0.0
2841,2,8.51
2842,3,8.17
2852,5,20.31
2857,16,15.81
2858,9,9.59
2859,7,0.0
2860,18,0.0
2861,19,8.63
2863,18,8.7
2864,17,12.55
2865,18,10.01
2871,6,18.13
2873,1,26.15
2874,4,13.67
2875,2,25.11
2876,14,12.64
2878,6,10.64
2879,2,0.0
2881,3,11.32
2882,4,7.97
2885,17,10.7
2886,13,0.0
2888,15,6.57
2889,13,7.78
2891,3,0.0
2892,1,25.08
2893,13,7.61
2894,2,20.86
2895,17,0.0
2896,13,0.0
2898,2,25.27
2903,20,0.0
2904,19,5.72
2905,20,0.0
2906,21,0.0
2907,20,0.0
2908,20,0.0
2909,20,4.66
2910,16,5.77
2911,18,0.0
2912,21,3.26
2914,21,7.58
2915,19,0.0
2916,22,6.92
2917,18,8.21
2919,18,8.5
2920,16,0.0
2921,13,10.69
3031,5,11.3
3032,6,17.47
3033,2,15.82
3034,4,19.48
3036,2,17.85
3038,7,0.0
3042,2,19.03
