origin,count within 30,minutes
1001,11,8.84
1002,3,18.07
1003,3,20.03
1005,1,29.62
1007,3,21.6
1008,1,18.59
1009,3,16.94
1010,2,17.61
1012,2,23.19
1013,11,0.0
1020,11,8.18
1022,9,11.97
1026,1,13.42
1027,8,9.5
1028,11,9.12
1029,1,27.51
1030,10,12.79
1032,2,21.42
1033,8,13.72
1034,1,28.85
1035,3,13.71
1036,7,16.33
1038,6,13.51
1039,1,15.66
1040,11,0.0
1050,2,23.03
1053,3,8.64
1054,4,26.89
1056,11,0.0
1057,4,23.54
1060,11,0.0
1062,3,8.22
1063,8,1.19
1066,6,14.86
1069,8,14.87
1070,1,0.0
1071,1,16.41
1073,8,15.64
1075,9,7.19
1077,6,13.01
1079,7,16.19
1080,7,11.99
1081,1,24.31
1083,1,25.92
1084,1,23.28
1085,9,0.0
1086,7,6.74
1088,6,11.64
1089,12,7.17
1092,2,26.29
1093,4,18.15
1095,10,13.94
1096,1,21.87
1097,6,9.78
1098,1,27.49
1103,12,1.46
1104,12,0.0
1105,12,0.0
1106,14,8.14
1107,12,0.0
1108,12,3.96
1109,12,4.72
1118,11,5.92
1119,11,11.61
1128,10,10.84
1129,10,12.04
1151,11,6.82
1199,12,1.19
1201,2,0.0
1220,1,11.55
1222,2,12.15
1224,3,14.13
1225,3,20.84
1226,2,10.91
1229,3,16.29
1230,2,0.0
1235,2,21.6
1236,1,10.07
1237,2,15.63
1238,3,21.71
1240,3,13.34
1242,3,18.36
1244,2,23.15
1245,1,17.41
1247,1,0.0
1254,3,20.24
1256,2,18.3
1257,2,14.11
1258,1,24.17
1259,1,19.06
1260,3,16.79
1262,3,16.88
1264,1,27.17
1266,3,19.2
1267,1,14.31
1270,3,20.56
1301,4,0.0
1330,1,15.72
1331,2,17.26
1337,4,14.95
1338,1,24.96
1339,1,26.04
1340,3,23.68
1341,3,27.79
1342,4,10.43
1343,1,23.77
1344,3,19.14
1347,3,18.82
1349,3,15.09
1350,1,27.07
1351,3,16.39
1354,3,10.99
1355,1,27.51
1360,4,19.2
1364,1,26.67
1366,1,23.96
1368,1,17.69
1370,3,18.67
1373,6,15.85
1375,4,19.39
1376,3,10.15
1420,3,0.0
1430,3,16.38
1431,3,15.75
1432,3,21.68
1434,3,16.22
1436,2,0.0
1438,4,10.48
1440,4,11.4
1450,1,26.38
1451,3,20.7
1452,2,19.45
1453,5,0.0
1460,3,17.68
1462,3,12.58
1463,1,29.42
1464,2,17.48
1467,2,22.45
1468,4,9.71
1469,2,21.17
1473,4,0.0
1474,2,19.15
1475,2,11.46
1501,13,6.28
1503,13,17.4
1504,17,6.67
1505,10,9.64
1506,2,21.11
1507,10,12.32
1510,10,19.19
1515,4,19.6
1516,11,18.47
1518,1,11.3
1519,11,10.06
1520,10,11.41
1521,1,18.53
1522,6,22.35
1523,10,12.64
1524,10,8.34
1525,11,19.8
1527,13,0.0
1529,2,15.77
1532,12,9.4
1534,11,14.21
1535,2,28.68
1536,11,11.44
1537,11,12.04
1540,11,9.31
1541,9,16.3
1542,10,10.37
1543,6,21.66
1545,11,11.01
1550,6,0.0
1560,11,9.25
1561,4,19.77
1562,9,15.63
1564,9,12.87
1566,7,6.12
1568,13,13.66
1569,6,18.96
1570,11,0.0
1571,6,8.06
1581,12,0.0
1583,11,11.8
1585,1,27.7
1588,13,15.43
1590,10,9.89
1602,11,4.94
1603,12,0.0
1604,11,5.5
1605,11,0.0
1606,12,5.93
1607,11,4.43
1608,11,2.16
1609,11,0.0
1610,12,0.0
1611,12,5.2
1612,8,12.83
1701,7,7.75
1702,8,0.0
1718,4,20.96
1719,2,27.32
1720,4,23.96
1721,4,9.18
1730,7,15.9
1731,10,13.22
1740,11,21.37
1741,5,17.23
1742,5,18.73
1745,12,11.52
1746,4,15.2
1747,7,4.66
1748,11,12.15
1749,11,19.44
1752,10,15.71
1754,3,23.46
1756,6,10.69
1757,7,0.0
1760,12,10.04
1770,4,11.46
1772,12,10.52
1773,12,10.22
1775,5,28.68
1776,3,17.75
1778,11,13.52
1801,23,0.0
1803,18,6.78
1810,8,12.33
1821,6,11.11
1824,5,8.62
1826,4,9.58
1827,2,21.74
1830,5,0.0
1832,6,5.04
1833,8,0.0
1834,7,7.55
1835,8,5.15
1840,8,3.21
1841,7,0.0
1843,8,4.64
1844,8,6.39
1845,9,11.6
1850,4,6.6
1851,5,0.0
1852,7,5.72
1854,4,4.81
1860,5,10.05
1862,6,10.44
1863,4,7.31
1864,9,13.72
1867,19,11.44
1876,7,0.0
1879,3,12.21
1880,21,9.59
1886,3,15.51
1887,15,9.42
1890,21,6.55
1901,20,3.98
1902,19,4.27
1904,14,4.72
1905,20,0.0
1906,21,0.0
1907,13,8.88
1908,11,10.74
1913,6,14.58
1915,9,8.5
1921,8,16.96
1922,7,12.74
1923,10,0.0
1929,5,11.49
1930,4,0.0
