origin,count within 30,minutes
1001,115,0.0
1002,42,0.0
1003,39,3.27
1005,11,0.0
1007,45,0.0
1008,9,18.59
1009,55,7.56
1010,28,12.87
1012,12,22.75
1013,116,0.0
1020,128,0.0
1022,109,8.46
1026,1,27.7
1027,91,0.0
1028,132,0.0
1029,8,27.03
1030,115,0.0
1031,13,13.85
1032,10,25.19
1033,98,0.0
1034,12,20.98
1035,39,0.0
1036,88,12.26
1037,7,22.36
1038,40,13.06
1039,18,14.68
1040,133,0.0
1050,18,23.03
1053,35,7.67
1054,30,9.18
1056,109,0.0
1057,58,0.0
1060,95,0.0
1062,35,0.0
1063,88,1.19
1066,39,11.85
1068,20,14.24
1069,83,0.0
1071,19,16.41
1072,15,18.27
1073,76,0.0
1074,13,7.28
1075,112,0.0
1077,88,0.0
1079,77,4.24
1080,94,6.52
1081,12,15.74
1082,18,0.0
1083,19,14.8
1085,97,0.0
1086,73,6.74
1088,42,11.64
1089,124,0.0
1092,23,12.76
1093,31,7.84
1094,9,10.35
1095,101,0.0
1096,9,20.89
1097,56,9.78
1103,132,0.0
1104,130,0.0
1105,132,0.0
1106,124,0.0
1107,130,0.0
1108,135,0.0
1109,131,0.0
1118,125,0.0
1119,109,0.0
1128,112,0.0
1129,100,0.0
1151,113,6.82
1199,130,1.19
1201,15,0.0
1220,10,0.0
1222,6,7.64
1223,3,24.07
1224,20,9.43
1225,19,12.66
1226,16,0.0
1229,16,11.97
1230,8,0.0
1235,11,11.77
1236,6,10.07
1237,17,0.0
1238,17,0.0
1240,18,0.0
1242,17,5.01
1243,1,29.16
1244,5,20.91
1245,5,17.41
1247,8,0.0
1253,2,26.09
1254,17,15.89
1255,4,29.5
1256,8,21.87
1257,5,10.14
1258,3,24.17
1259,2,29.4
1260,16,10.87
1262,16,11.08
1264,6,14.1
1266,16,13.02
1267,17,0.0
1270,14,12.91
1301,19,0.0
1330,1,17.38
1331,15,0.0
1337,18,14.95
1338,1,16.3
1339,1,17.9
1340,9,11.42
1341,10,14.92
1342,30,9.69
1343,4,23.77
1344,14,15.52
1346,1,23.79
1347,21,11.18
1349,22,9.7
1350,4,27.07
1351,21,9.86
1354,13,8.2
