origin,count within 60,count within 30,minutes
1001020400,2,0,33.86
1001020500,2,2,33.86
1003010705,2,2,0.0
1003010800,1,1,0.0
1003010905,2,2,0.0
1003011101,1,0,59.03
1003011201,3,1,0.0
1003011202,3,2,0.0
1003011403,2,2,0.0
1003011501,3,3,0.0
1003011502,3,3,0.0
1007010004,5,5,0.0
1015000200,9,1,0.0
1015000300,9,1,28.66
1015000500,9,0,33.51
1015000800,9,8,0.0
1015000900,9,0,40.2
1015001100,2,2,0.0
1015001800,2,2,0.0
1015002101,2,0,46.07
1015002103,2,2,0.0
1017954600,1,1,0.0
1019955800,1,1,0.0
1019955900,2,2,0.0
1021060500,1,1,0.0
1025957602,3,3,0.0
1027958900,2,2,0.0
1027959000,2,2,0.0
1031010900,1,1,0.0
1031011000,1,0,48.23
1031011100,2,0,43.07
1031011202,1,1,0.0
1031011300,2,0,33.89
1033020100,4,1,24.68
1033020200,4,2,0.0
1033020300,5,2,0.0
1033020400,3,0,42.92
1033020500,2,0,45.09
1033020600,4,1,0.0
1033020703,2,2,26.2
1033020704,5,2,0.0
1035960600,1,1,0.0
1039962000,2,2,0.0
1039962400,2,2,0.0
1043964800,7,1,0.0
1043964900,6,5,0.0
1043965000,2,1,0.0
1045020700,1,0,51.39
1045020802,1,1,0.0
1049960800,1,1,0.0
1049960900,1,1,0.0
1049961100,1,1,0.0
1051030400,1,1,0.0
1051030600,2,2,0.0
1051031300,2,0,0.0
1053970100,1,1,0.0
1053970600,3,0,49.48
1053970700,3,3,0.0
1055000300,7,7,27.11
1055000500,1,0,51.08
1055000600,1,0,56.22
1055000700,7,0,35.59
1055000800,7,7,14.89
1055000900,7,0,30.17
1055001000,7,7,0.0
1055001100,10,5,0.0
1055001200,8,7,0.0
1055001300,8,1,22.83
1055001600,1,0,44.14
1055001700,1,0,51.27
1055010401,10,5,0.0
1055010402,5,0,58.12
1055010602,1,1,0.0
1055010800,1,1,0.0
1055011200,7,1,0.0
1059973400,2,2,0.0
1065040000,1,1,0.0
1069040201,15,9,0.0
1069040202,15,6,0.0
1069040301,2,0,43.94
1069040302,6,0,51.08
1069040400,2,2,28.11
