origin,count within 60,count within 30,minutes
1001,12,7,29.54
1002,1,0,52.34
1003,1,0,57.12
1005,1,0,56.47
1009,6,4,22.96
1012,1,0,46.74
1013,21,4,17.22
1020,21,11,0.0
1022,18,3,20.27
1026,2,0,41.76
1027,9,0,35.67
1028,12,2,0.0
1030,12,0,34.39
1031,2,0,43.76
1033,11,0,49.03
1035,2,0,34.07
1036,3,0,35.39
1038,2,0,38.21
1039,2,1,23.39
1040,19,10,0.0
1053,2,2,0.0
1056,17,1,18.58
1057,4,0,38.62
1060,2,2,0.0
1062,2,2,18.98
1063,2,2,3.81
1066,2,0,48.1
1069,6,4,0.0
1070,1,1,0.0
1071,3,0,58.76
1073,10,0,47.95
1075,11,7,28.9
1077,3,0,40.59
1079,6,4,11.7
1080,5,4,21.33
1082,6,2,0.0
1083,6,0,55.68
1084,1,0,37.9
1085,5,3,0.0
1086,3,3,19.75
1088,2,0,41.61
1089,23,7,0.0
1092,6,0,42.41
1093,1,0,49.07
1095,14,0,32.37
1096,1,0,46.1
1097,3,0,39.29
1098,1,1,0.0
1103,22,10,0.0
1104,22,11,0.0
1105,15,8,6.18
1106,13,6,23.99
1107,22,9,10.19
1108,17,9,14.02
1109,22,9,0.0
1118,15,8,0.0
1119,15,3,18.82
1128,13,3,15.05
1129,13,3,20.97
1151,13,2,0.0
1199,22,9,11.99
1201,8,8,0.0
1220,5,0,41.27
1222,2,2,29.41
1224,8,0,37.21
1226,8,0,34.12
1229,2,0,46.69
1230,2,2,0.0
1236,2,0,32.79
1237,8,0,45.34
1240,8,0,50.72
1242,8,0,58.78
1244,2,0,52.58
1245,2,0,57.49
1247,5,5,0.0
1254,8,0,58.51
1257,4,0,46.3
1259,2,0,54.51
1260,2,0,52.01
1262,2,0,53.18
1267,5,0,38.53
1301,6,6,0.0
1330,1,0,49.86
1331,3,2,0.0
1337,6,0,51.67
1342,6,0,31.56
1347,6,0,51.65
1349,6,0,47.6
1351,6,0,44.48
1354,6,0,36.76
1364,2,0,36.72
1366,3,1,0.0
1368,2,0,50.17
1370,6,0,59.29
1376,6,6,23.6
1420,14,5,0.0
1430,12,0,47.04
1431,7,2,0.0
1434,3,0,57.73
1436,1,0,34.97
1438,5,1,19.5
1440,5,1,0.0
1451,1,0,49.19
1452,2,0,45.34
1453,8,3,0.0
1460,2,0,54.79
1462,10,0,35.24
1463,1,0,51.84
1464,3,0,50.7
1468,7,0,31.9
1469,2,0,46.55
1473,11,4,0.0
1474,7,2,28.56
1475,1,0,59.87
1501,16,6,24.33
1503,4,0,31.18
1504,3,3,20.29
1505,10,0,38.08
1506,1,0,33.77
1507,6,0,41.81
1510,1,0,55.32
1515,1,1,0.0
1516,2,0,58.88
1518,5,0,41.73
1519,3,0,46.06
1520,17,0,34.02
1521,5,0,59.58
1522,1,0,48.09
1523,3,0,40.66
1524,12,0,31.12
1527,16,0,31.27
1529,3,0,34.8
1532,8,3,0.0
1535,1,0,31.04
1536,18,0,34.38
1537,7,0,44.64
1540,2,0,34.03
1541,5,1,0.0
1542,10,0,36.75
1543,1,0,45.99
1545,15,0,31.86
1550,5,5,0.0
1560,3,0,55.61
1561,3,0,54.66
1562,5,1,26.83
1564,4,0,43.11
1566,6,5,23.95
1568,5,0,38.99
1569,3,0,58.86
1570,2,2,0.0
1571,7,2,22.12
1581,3,3,0.0
1583,16,0,34.91
1585,3,0,50.04
1602,16,16,0.0
1603,16,11,0.0
1604,16,16,0.0
1605,17,12,0.0
1606,16,8,16.69
1607,16,7,15.23
1608,16,16,10.07
1609,16,16,0.0
1610,16,16,0.0
1611,16,6,16.64
1612,15,0,33.8
1701,5,4,0.0
1702,5,5,0.0
1718,5,0,55.61
1719,1,0,32.87
1720,4,0,37.96
1721,5,3,24.53
1730,13,1,0.0
1740,1,0,45.04
1741,6,0,33.92
1742,5,3,0.0
1745,7,0,37.05
1746,7,0,47.21
1747,3,3,14.35
1748,8,0,40.52
1749,2,1,28.51
1752,5,0,38.64
1754,4,1,23.47
1756,6,0,30.53
1757,3,3,0.0
1760,6,4,0.0
1770,6,1,29.34
1772,7,0,42.02
1773,10,0,36.08
1775,4,1,0.0
1776,8,0,39.53
1778,9,1,29.86
1801,15,6,0.0
1803,11,5,0.0
1810,15,4,23.22
1821,17,1,28.79
1824,11,2,0.0
1826,11,8,18.85
1827,4,0,30.17
1830,4,3,0.0
1832,10,3,17.21
1833,3,0,50.19
1834,3,3,25.53
1835,9,3,16.96
1840,10,6,0.0
1841,7,6,5.01
1843,9,6,0.0
1844,7,6,16.54
1845,9,6,25.9
1850,11,8,12.13
1851,11,9,0.0
1852,12,8,0.0
1854,11,8,0.0
1860,3,0,34.3
1862,14,0,32.52
1863,9,2,21.44
1864,3,0,40.82
1867,12,1,22.68
1876,17,3,0.0
1879,14,0,40.39
1880,23,2,15.15
1886,9,0,38.86
1887,15,3,0.0
1890,31,6,19.76
1901,16,12,0.0
1902,21,12,0.0
1904,21,12,0.0
1905,20,12,0.0
1906,24,12,0.0
1907,19,12,15.68
1908,13,9,24.55
1915,17,6,25.62
1923,11,6,0.0
1929,2,0,51.29
1930,2,2,0.0
1937,8,5,19.13
1940,20,1,0.0
1944,2,0,47.63
1945,18,1,23.48
1949,7,5,28.32
1960,20,7,0.0
1966,2,0,33.4
1970,20,2,0.0
1982,6,0,44.23
1983,6,0,37.26
1984,7,0,38.58
1985,3,0,44.85
2019,7,0,31.21
2021,24,8,0.0
2025,5,0,37.98
2026,38,2,22.05
2030,5,0,43.05
2032,11,2,16.94
2035,3,0,41.18
2038,2,1,0.0
2043,22,2,19.12
2045,3,1,0.0
2047,2,0,58.75
2048,1,1,29.33
2052,3,1,27.89
2053,5,0,33.33
2054,3,1,29.7
2056,4,1,0.0
2061,12,3,0.0
2062,13,2,0.0
2066,2,0,40.52
2067,10,0,30.73
2071,4,2,22.51
2072,22,8,0.0
2081,11,2,0.0
2090,8,1,15.55
2093,3,0,37.12
2108,59,24,6.85
2109,59,14,5.6
2110,59,19,0.0
2111,60,26,8.02
2113,59,19,6.07
2114,59,23,0.0
2115,57,37,0.0
2116,60,27,0.0
2118,69,34,0.0
2119,65,37,0.0
2120,66,41,0.0
2121,59,36,9.04
2122,59,27,0.0
2124,57,28,0.0
2125,60,35,0.0
2126,60,19,0.0
2127,62,26,0.0
2128,22,4,0.0
2129,56,13,14.81
2130,64,39,0.0
2131,60,15,0.0
2132,48,5,0.0
2134,63,35,0.0
2135,58,23,0.0
2136,57,10,16.67
2138,57,24,16.48
2139,60,25,13.81
2140,54,12,9.91
2141,56,20,12.9
2142,56,19,9.15
2143,62,15,17.47
2144,54,8,0.0
2145,56,7,15.29
2148,42,1,12.07
2149,60,4,0.0
2150,34,4,16.06
2151,22,4,22.01
2152,6,3,20.14
2155,46,4,14.85
2163,60,26,10.06
2169,47,15,0.0
2170,55,19,9.43
2171,53,20,0.0
2176,28,3,19.97
2180,20,5,0.0
2184,32,14,0.0
