origin,count within 60,count within 30,minutes
1015001100,1,1,0.0
1021060200,1,1,0.0
1043964800,1,1,0.0
1043964900,1,0,42.69
1043965000,1,0,48.26
1045020400,1,0,47.95
1045020500,1,1,0.0
1045020700,1,1,27.02
1049960800,1,1,0.0
1051030400,2,2,0.0
1051030600,1,1,0.0
1055001100,1,0,55.5
1055010401,2,1,0.0
1055010402,2,1,0.0
1069040301,1,0,30.97
1069040400,1,1,0.0
1069040500,1,0,33.98
1069040600,1,1,28.11
1069040700,1,0,42.73
1069041200,1,0,49.41
1069041500,1,0,58.23
1073001400,1,0,59.19
1073001500,1,0,44.95
1073002000,1,0,55.68
1073002200,1,0,56.73
1073002303,1,0,41.09
1073002305,1,0,41.76
1073002306,1,0,39.23
1073002400,1,0,51.14
1073002700,1,1,28.39
1073002900,1,0,49.13
1073003100,1,0,55.13
1073003600,1,0,55.37
1073003700,1,0,48.83
1073003802,1,0,45.38
1073003803,1,1,25.86
1073003900,1,0,42.03
1073004000,1,0,46.34
1073004200,2,0,35.68
1073004500,2,1,0.0
1073004701,1,1,27.96
1073004702,1,0,44.31
1073004800,2,1,24.77
1073004901,2,1,16.04
1073004902,2,1,14.81
1073005000,2,2,29.15
1073005101,2,0,43.48
1073005103,2,0,43.33
1073005104,2,0,36.18
1073005200,1,1,29.46
1073005600,1,1,0.0
1073005701,1,1,22.67
1073005702,1,1,0.0
1073005800,2,1,0.0
1073010701,1,1,12.96
1073010702,2,1,25.89
1073010703,2,0,47.49
1073010704,1,0,37.1
1073010705,1,1,22.47
1073010706,1,0,47.8
1073010801,1,0,46.44
1073010802,1,0,59.2
1073010803,1,0,37.23
1073011400,2,2,0.0
1073012906,3,0,56.92
1073012914,3,0,47.05
1073012915,3,3,26.97
1073013002,1,0,34.38
1073013100,1,0,43.74
1073013200,1,0,47.79
1073014404,3,3,0.0
1073014405,3,3,23.89
1077010100,1,1,0.0
1077010200,1,1,17.73
1077010300,1,1,25.11
1077010400,1,0,37.2
1077010600,1,1,10.14
1077010700,1,0,32.15
1077010800,1,0,54.12
1077010900,1,0,43.99
1077011000,1,0,38.51
1089000201,1,1,24.17
1089000202,1,1,0.0
1089000301,1,0,36.57
1089000502,1,0,58.48
1089000503,1,0,58.64
1089000601,1,0,46.01
1089000701,1,0,58.34
1089000702,1,0,52.72
1089000901,1,0,37.49
1089000902,1,1,17.29
1089001000,1,1,0.0
1089001200,1,0,49.66
1089001301,1,0,56.33
1089001700,1,1,24.46
1089001801,1,0,50.27
1089001903,1,0,56.52
1089002000,1,0,48.77
1089002100,1,0,55.45
1089002502,1,1,0.0
1089002600,1,0,47.5
1089002801,1,0,58.34
1089003000,2,0,32.48
1089003100,1,1,24.38
1089010612,1,0,47.57
1089010622,1,1,0.0
1089011011,1,1,0.0
1089011013,1,0,30.78
1089011014,2,2,0.0
1089011021,1,0,47.01
1089011022,1,1,0.0
1095030802,1,1,0.0
1097003605,2,0,48.54
1097003606,2,0,40.4
1097003607,2,0,46.44
1097003703,2,2,0.0
1097003704,2,0,31.39
1097003705,2,0,46.82
1097003706,2,0,47.14
1097003707,2,0,53.37
1097003708,1,0,50.8
1097006405,2,0,56.51
1097006802,1,1,0.0
1097006902,1,0,33.57
1101005406,1,0,56.11
1101005407,1,1,0.0
1101005408,1,0,52.25
1103005301,1,1,0.0
1113030200,2,0,43.63
1113030300,2,0,49.09
1117030215,1,1,0.0
1117030608,1,1,0.0
1125010204,1,1,0.0
1125010403,1,0,57.51
1125010404,2,0,40.98
1125010406,1,0,58.92
1125010407,2,0,45.06
1125011200,1,0,44.38
1125011401,1,0,33.76
1125011402,1,1,29.09
