origin,count within 60,count within 30,minutes
1001,164,71,29.54
1002,32,12,0.0
1003,32,12,0.0
1005,14,12,0.0
1007,3,1,0.0
1009,23,8,22.96
1010,5,0,42.0
1013,193,11,28.18
1020,193,42,24.79
1022,149,1,23.87
1026,8,0,41.76
1027,72,5,0.0
1028,147,18,0.0
1030,156,0,34.39
1031,10,1,25.35
1033,46,3,0.0
1035,49,12,0.0
1036,28,0,35.39
1037,13,1,0.0
1038,39,2,0.0
1039,38,11,23.39
1040,171,32,0.0
1053,43,36,0.0
1054,13,1,0.0
1056,98,11,0.0
1057,10,0,38.62
1060,54,36,0.0
1062,44,36,0.0
1063,55,36,3.81
1066,39,2,23.29
1068,12,0,49.5
1069,24,8,0.0
1070,8,8,0.0
1071,10,0,58.76
1072,3,0,42.79
1073,53,5,0.0
1074,13,12,22.82
1075,51,34,0.0
1077,11,0,36.92
1079,25,8,11.7
1080,23,8,21.33
1081,1,0,52.27
1082,18,7,0.0
1083,18,3,14.9
1085,47,10,0.0
1086,10,10,19.75
1088,38,2,23.74
1089,194,115,0.0
1092,18,1,0.0
1093,21,0,36.43
1094,13,0,34.4
1095,95,3,0.0
1096,11,0,46.1
1097,10,0,39.29
1103,203,147,0.0
1104,204,112,0.0
1105,172,116,0.0
1106,170,57,0.0
1107,195,143,0.0
1108,183,122,0.0
1109,203,117,0.0
1118,173,63,0.0
1119,172,18,0.0
1128,137,22,15.05
1129,136,18,11.65
1151,133,18,0.0
1199,196,143,2.07
1201,58,54,0.0
1220,6,0,41.27
1222,4,4,23.22
1224,56,0,35.22
1226,56,2,0.0
1229,8,0,33.6
1230,7,7,0.0
1235,2,0,35.17
1236,8,0,32.79
1237,54,0,45.34
1238,3,1,0.0
1240,57,2,0.0
1242,57,3,16.52
1244,4,0,52.58
1245,7,0,57.49
1247,8,6,0.0
1254,56,0,53.56
1257,11,0,40.3
1259,2,0,54.51
1260,10,0,30.25
1262,10,0,31.46
1264,1,0,39.41
1266,2,0,58.74
1267,8,2,0.0
1270,2,0,48.81
1301,38,38,0.0
1330,8,0,49.86
1331,11,6,0.0
1337,38,0,51.67
1338,2,0,51.46
1339,1,0,58.65
1340,2,0,39.95
1342,39,0,31.56
1346,1,0,41.72
1347,40,0,46.09
1349,39,0,47.6
1350,1,0,44.47
1351,40,0,41.16
1354,38,0,36.76
1355,4,0,49.27
1364,10,4,0.0
1366,19,1,0.0
1367,1,1,0.0
1368,6,0,50.17
1370,40,2,0.0
1373,6,1,20.43
1375,16,1,0.0
1376,38,38,23.6
1378,4,0,49.46
1379,4,0,55.97
1420,26,12,0.0
1430,19,0,47.04
1431,12,0,50.39
1432,8,6,0.0
1434,21,7,0.0
1436,8,2,0.0
1438,9,8,19.5
1440,9,6,0.0
1450,7,3,29.2
1451,8,1,0.0
1452,19,0,45.34
1453,31,13,0.0
1460,17,0,36.07
1462,29,0,35.24
1463,8,0,44.16
1464,20,4,0.0
1467,5,1,19.68
1468,15,2,27.43
1469,1,0,55.82
1473,20,1,0.0
1474,12,0,53.07
1475,9,0,38.14
1501,148,41,0.0
1503,16,0,31.18
1504,48,34,20.29
1505,115,11,0.0
1506,5,0,34.63
1507,12,1,0.0
1510,10,0,34.95
1515,5,0,50.09
1516,17,1,0.0
1518,11,2,20.14
1519,48,0,32.01
1520,158,4,0.0
1521,11,0,47.73
1522,3,0,40.37
1523,21,0,37.09
1524,84,0,31.12
1525,10,8,28.09
1527,155,5,0.0
1529,49,0,34.8
1531,15,0,46.69
1532,82,4,0.0
1534,14,1,23.65
1535,2,0,34.37
1536,152,0,30.61
1537,56,0,30.3
1540,10,0,34.03
1541,6,1,0.0
1542,56,0,36.75
1543,3,0,42.55
1545,162,11,0.0
1550,16,11,0.0
1560,50,1,28.32
1561,21,0,32.7
1562,4,0,53.93
1564,19,2,0.0
1566,12,11,0.0
1568,21,0,38.99
1569,21,8,0.0
1570,5,4,0.0
1571,13,4,0.0
