origin,count within 60,count within 30,minutes
1002,11,11,0.0
1003,11,11,0.0
1005,12,12,0.0
1007,1,1,0.0
1027,4,4,0.0
1028,10,6,0.0
1033,2,2,0.0
1035,1,1,0.0
1037,1,1,0.0
1038,2,2,0.0
1040,31,31,0.0
1053,18,11,0.0
1054,1,1,0.0
1056,11,6,0.0
1060,25,18,0.0
1062,36,7,0.0
1063,25,18,7.56
1069,8,8,0.0
1070,8,8,0.0
1073,1,1,0.0
1074,12,0,53.41
1075,1,1,0.0
1079,8,0,31.94
1082,7,7,0.0
1083,1,0,43.21
1085,10,10,0.0
1086,10,0,54.54
1088,2,0,49.52
1089,80,36,0.0
1092,1,1,0.0
1095,2,2,0.0
1103,107,87,0.0
1104,104,11,0.0
1105,111,43,0.0
1106,5,5,0.0
1107,134,79,0.0
1108,56,3,0.0
1109,68,6,0.0
1118,27,4,0.0
1119,12,1,0.0
1128,11,0,42.27
1129,1,0,33.64
1151,12,5,0.0
1199,98,44,4.98
1201,54,54,0.0
1226,2,2,0.0
1230,7,7,0.0
1238,1,1,0.0
1240,2,2,0.0
1242,3,0,49.02
1247,6,6,0.0
1267,2,2,0.0
1301,38,38,0.0
1331,6,6,0.0
1364,4,4,0.0
1366,1,1,0.0
1367,1,1,0.0
1370,2,2,0.0
1375,1,1,0.0
1420,12,12,0.0
1432,3,3,0.0
1434,4,3,0.0
1436,2,2,0.0
1438,6,0,56.48
1440,6,6,0.0
1451,1,1,0.0
1453,13,13,0.0
1464,4,1,0.0
1467,1,0,57.77
1473,1,1,0.0
1501,1,1,0.0
1504,34,0,58.04
1505,3,3,0.0
1507,1,1,0.0
1516,1,1,0.0
1518,2,0,58.62
1520,2,2,0.0
1527,4,4,0.0
1532,3,3,0.0
1541,1,1,0.0
1545,8,8,0.0
1550,9,9,0.0
1564,2,2,0.0
1566,2,2,0.0
1569,7,7,0.0
1570,1,1,0.0
1571,3,3,0.0
1581,1,1,0.0
1583,1,1,0.0
1585,2,2,0.0
1588,1,1,0.0
1602,54,9,0.0
1603,54,3,0.0
1604,67,29,0.0
1605,69,58,0.0
1606,60,2,0.0
1607,70,0,36.73
1608,141,38,0.0
1609,112,4,0.0
1610,83,38,0.0
1611,3,0,47.98
1701,3,3,0.0
1702,13,13,0.0
1730,8,8,0.0
1740,1,1,0.0
1741,3,3,0.0
1742,10,10,0.0
1745,1,0,56.55
1746,3,3,0.0
1747,12,0,41.89
1752,8,8,0.0
1754,1,1,0.0
1756,1,1,0.0
1757,11,11,0.0
1760,7,7,0.0
1770,1,1,0.0
1772,1,1,0.0
1773,1,1,0.0
1776,4,4,0.0
1778,2,2,0.0
1801,16,14,0.0
1803,14,14,0.0
1810,4,4,0.0
1821,1,1,0.0
1824,6,6,0.0
1826,9,0,51.25
1830,12,12,0.0
1832,12,0,50.31
1833,1,1,0.0
1835,12,0,49.62
1840,75,66,0.0
1841,75,50,0.0
1843,66,25,0.0
1844,59,9,0.0
1845,12,12,0.0
1850,40,0,34.57
1851,40,5,0.0
1852,40,26,0.0
1854,40,9,0.0
1862,6,6,0.0
1864,1,1,0.0
1867,3,3,0.0
1876,8,8,0.0
1879,1,1,0.0
1880,8,3,0.0
1887,1,1,0.0
1890,25,2,0.0
1901,60,48,0.0
1902,60,48,0.0
1904,57,7,0.0
1905,57,2,0.0
1906,2,0,43.66
1907,51,3,0.0
1908,1,1,0.0
1913,2,2,0.0
1915,18,18,0.0
1921,1,1,0.0
1922,1,1,0.0
1923,4,4,0.0
1930,4,4,0.0
1937,7,0,37.82
1938,1,1,0.0
1940,2,2,0.0
1945,5,5,0.0
1949,3,3,0.0
1950,5,5,0.0
1951,5,0,59.1
1960,15,15,0.0
1969,1,1,0.0
1970,53,53,0.0
1982,4,4,0.0
1984,4,0,41.82
2021,6,6,0.0
2025,1,1,0.0
2026,7,4,0.0
2032,23,0,43.72
2035,4,4,0.0
2038,3,3,0.0
2043,4,1,0.0
2047,1,0,53.09
2048,3,3,0.0
2050,1,1,0.0
2054,1,1,0.0
2056,6,6,0.0
2061,11,11,0.0
2062,15,15,0.0
2067,4,4,0.0
2071,1,1,0.0
2072,3,3,0.0
2081,8,8,0.0
2090,15,0,44.72
2108,563,304,8.33
2109,522,172,0.0
2110,522,173,0.0
2111,558,305,0.0
2113,533,172,0.0
2114,538,187,0.0
2115,594,282,0.0
2116,563,395,0.0
2118,588,289,0.0
2119,431,163,0.0
2120,575,294,0.0
2121,329,27,0.0
2122,90,32,0.0
2124,67,26,0.0
2125,335,21,0.0
2126,40,3,0.0
2127,474,12,0.0
2128,207,16,0.0
2129,253,150,0.0
2130,360,35,0.0
2131,45,4,0.0
2132,11,3,0.0
2134,257,38,0.0
2135,154,17,0.0
2136,14,0,43.52
2138,145,65,0.0
2139,582,68,0.0
2140,127,7,0.0
2141,540,189,0.0
2142,556,179,13.01
2143,244,14,0.0
2144,103,7,0.0
2145,244,11,20.25
2148,36,13,0.0
2149,55,10,0.0
2150,51,20,0.0
2151,25,5,0.0
2152,16,0,58.39
2155,48,8,0.0
2163,394,67,18.09
2169,46,26,0.0
2170,58,17,26.62
2171,58,17,0.0
2176,23,5,0.0
2180,13,5,0.0
2184,35,3,0.0
2186,19,5,0.0
2188,57,6,0.0
2189,10,3,0.0
2190,51,45,0.0
2191,29,0,51.34
2199,565,300,0.0
2203,538,185,0.0
2210,353,39,0.0
2215,612,159,0.0
2301,64,53,0.0
2302,64,11,0.0
2324,3,3,0.0
2332,1,1,0.0
2333,2,2,0.0
2339,2,2,0.0
2346,2,2,0.0
2347,2,2,0.0
2351,1,1,0.0
2356,2,2,0.0
2357,2,0,54.5
2359,5,5,0.0
2360,26,26,0.0
2366,2,2,0.0
2368,2,2,0.0
2370,1,0,51.87
2375,1,1,0.0
2420,5,3,0.0
2421,5,2,0.0
2445,295,26,0.0
2446,450,64,0.0
2451,15,7,0.0
2452,15,1,0.0
2453,24,7,0.0
2457,26,0,40.65
2458,75,21,0.0
2459,26,6,0.0
2460,41,7,0.0
2461,29,6,0.0
2462,28,16,0.0
2464,29,5,24.93
2465,51,5,0.0
2466,29,18,0.0
2467,38,12,0.0
2468,29,3,0.0
2472,62,44,0.0
2474,51,10,0.0
2476,34,10,0.0
2478,59,40,0.0
2481,22,6,0.0
2482,8,2,0.0
2492,4,4,0.0
2493,1,1,0.0
2494,23,4,0.0
2532,3,3,0.0
2534,1,0,46.43
2536,6,6,0.0
2537,1,0,55.48
2539,1,1,0.0
2540,4,4,0.0
2543,2,0,59.98
2554,3,3,0.0
2556,1,1,0.0
2557,7,7,0.0
2561,1,0,43.34
2562,1,1,0.0
2563,1,1,0.0
2568,2,2,0.0
2571,12,12,0.0
2575,1,1,0.0
2601,25,25,0.0
2632,2,2,0.0
2635,9,0,59.26
2637,1,0,55.79
2639,1,1,0.0
2645,2,2,0.0
2646,1,1,0.0
2647,25,0,48.07
2649,9,9,0.0
2655,2,0,54.44
2657,2,2,0.0
2659,1,0,59.5
2663,5,0,42.49
2664,3,2,0.0
2667,5,5,0.0
2670,3,0,38.43
2671,2,1,21.34
2672,2,0,58.38
2673,2,0,50.51
2675,3,1,0.0
2703,19,19,0.0
2715,1,1,0.0
2719,49,0,55.16
2720,50,33,0.0
2721,62,29,0.0
2723,62,0,34.25
2724,29,29,0.0
2725,36,1,0.0
2738,2,2,0.0
2739,1,1,0.0
2740,56,49,0.0
2743,1,0,56.38
2744,51,2,0.0
2745,6,1,0.0
2746,55,5,0.0
2747,16,16,0.0
2748,1,1,0.0
2766,16,16,0.0
2767,2,2,0.0
2771,1,1,0.0
2777,3,2,0.0
2780,13,13,0.0
2790,2,2,0.0
2791,1,1,0.0
2806,7,7,0.0
2809,2,2,0.0
2816,2,2,0.0
2818,4,4,0.0
2822,1,1,0.0
2825,1,1,0.0
2840,7,7,0.0
2841,7,0,42.04
2842,7,0,57.49
2852,6,6,0.0
2857,1,1,0.0
2859,7,7,0.0
2860,47,18,0.0
2861,36,0,42.86
2863,22,18,27.84
2864,1,1,0.0
2865,4,4,0.0
2874,2,2,0.0
2878,1,1,0.0
2879,12,12,0.0
2886,20,20,0.0
2888,26,7,0.0
2889,1,1,0.0
2891,3,3,0.0
2892,1,1,0.0
2893,20,20,0.0
2895,34,34,0.0
2896,6,6,0.0
2903,122,45,0.0
2904,64,12,0.0
2905,81,19,0.0
2906,129,29,0.0
2907,78,5,0.0
2908,113,20,0.0
2909,93,4,0.0
2910,46,5,0.0
2911,35,3,0.0
2912,127,74,16.86
2914,34,5,0.0
2915,10,10,0.0
2916,6,0,43.56
2917,2,2,0.0
2919,23,19,0.0
2920,22,17,0.0
2921,1,1,0.0
3031,1,1,0.0
3038,1,1,0.0
3045,2,2,0.0
3049,2,2,0.0
3051,1,1,0.0
3052,1,1,0.0
3053,2,2,0.0
3054,7,7,0.0
3060,32,25,0.0
3062,28,3,0.0
3063,10,6,0.0
3064,35,4,0.0
3077,2,2,0.0
3079,7,7,0.0
3101,52,9,0.0
3102,39,14,0.0
3103,39,13,0.0
3104,52,16,0.0
3109,14,1,0.0
3110,12,12,0.0
3220,3,3,0.0
3224,2,2,0.0
3229,1,1,0.0
3235,4,4,0.0
3244,1,1,0.0
3246,12,12,0.0
3249,3,3,0.0
