"","x","y","marks"
"1",394006.895196772,4438846.36683303,"MOUD - Buprenorphine"
"2",395285.387871461,4441585.9756096,"MOUD - Naltrexone"
"3",394059.391610597,4439339.94166894,"MOUD - Methadone"
"4",394426.969768903,4439834.13485381,"MOUD - Buprenorphine"
"5",393927.739700503,4441308.39267189,"MOUD - Buprenorphine"
"6",391934.976441108,4439603.04942085,"MOUD - Buprenorphine"
"7",392471.903670709,4444945.0084744,"MOUD - Naltrexone"
"8",389479.704087112,4457726.24911475,"MOUD - Buprenorphine"
"9",445928.959762092,4438723.64561198,"MOUD - Naltrexone"
"10",447359.69375777,4440999.00230527,"MOUD - Buprenorphine"
"11",378528.414739235,4448729.15265595,"MOUD - Buprenorphine"
"12",398829.768678205,4464690.19916246,"MOUD - Buprenorphine"
"13",393549.382990485,4437328.94082618,"MOUD - Buprenorphine"
"14",246306.479780841,4301109.44439904,"MOUD - Methadone"
"15",239384.281623831,4301911.39574371,"MOUD - Buprenorphine"
"16",242443.904828131,4308703.6693549,"MOUD - Buprenorphine"
"17",244982.643663918,4311221.78063078,"MOUD - Naltrexone"
"18",245009.316188573,4293899.73196071,"MOUD - Buprenorphine"
"19",218421.625369884,4315567.32216211,"MOUD - Buprenorphine"
"20",344831.626394088,4552540.53020415,"MOUD - Buprenorphine"
"21",435387.435174116,4611019.79321377,"MOUD - Buprenorphine"
"22",429173.331041169,4616567.03773532,"MOUD - Buprenorphine"
"23",442570.518688056,4591120.11817426,"MOUD - Buprenorphine"
"24",426553.843334411,4609795.7181212,"MOUD - Buprenorphine"
"25",440753.326059855,4591839.91229911,"MOUD - Buprenorphine"
"26",452089.888529474,4606810.89060652,"MOUD - Buprenorphine"
"27",223856.891765952,4286620.36900223,"MOUD - Buprenorphine"
"28",228689.352858386,4293830.57194164,"MOUD - Naltrexone"
"29",292461.12064335,4335484.40376996,"MOUD - Buprenorphine"
"30",216194.392791164,4538255.24867226,"MOUD - Buprenorphine"
"31",209912.960957866,4541574.28835256,"MOUD - Naltrexone"
"32",433979.251366444,4599776.27032527,"MOUD - Naltrexone"
"33",433125.591002482,4600266.00327543,"MOUD - Buprenorphine"
"34",439290.540709575,4602739.2395651,"MOUD - Buprenorphine"
"35",430880.530759684,4602782.05661683,"MOUD - Buprenorphine"
"36",403830.290640809,4612893.25166282,"MOUD - Buprenorphine"
"37",421110.585165026,4608527.71411329,"MOUD - Buprenorphine"
"38",431520.853700312,4626090.73442067,"MOUD - Buprenorphine"
"39",397080.916184965,4630269.21967046,"MOUD - Buprenorphine"
"40",396023.084027961,4616704.9191883,"MOUD - Buprenorphine"
"41",398054.473553593,4621788.25463806,"MOUD - Naltrexone"
"42",395683.170089802,4620055.73671807,"MOUD - Methadone"
"43",398909.63173798,4624652.42427424,"MOUD - Buprenorphine"
"44",396268.856749683,4622917.95172567,"MOUD - Buprenorphine"
"45",392398.275775188,4626982.21438639,"MOUD - Buprenorphine"
"46",392856.824693773,4622205.67804377,"MOUD - Buprenorphine"
"47",392393.613084063,4620863.75417704,"MOUD - Methadone"
"48",393433.929227192,4627816.89077763,"MOUD - Naltrexone"
"49",394298.075422682,4622479.96180793,"MOUD - Buprenorphine"
"50",386336.979247327,4627296.20606651,"MOUD - Naltrexone"
"51",385382.346786101,4624243.28650689,"MOUD - Methadone"
"52",385517.774188641,4625727.28585239,"MOUD - Buprenorphine"
"53",389905.436509418,4623862.6454493,"MOUD - Buprenorphine"
"54",385019.757383007,4633066.51720413,"MOUD - Buprenorphine"
"55",429974.185973581,4632111.25789609,"MOUD - Buprenorphine"
"56",416184.783299061,4630383.00502112,"MOUD - Buprenorphine"
"57",254566.626145457,4569304.41731997,"MOUD - Buprenorphine"
"58",189519.075626493,4485940.2289313,"MOUD - Buprenorphine"
"59",193731.950322231,4484671.6049563,"MOUD - Naltrexone"
"60",403635.411560329,4703319.00725744,"MOUD - Buprenorphine"
"61",419683.801315694,4659090.33862386,"MOUD - Buprenorphine"
"62",420246.735047805,4665016.6922505,"MOUD - Naltrexone"
"63",419259.309638078,4658293.63040759,"MOUD - Buprenorphine"
"64",417717.411744437,4651529.07548269,"MOUD - Naltrexone"
"65",417262.089699339,4650203.62615725,"MOUD - Buprenorphine"
"66",416467.182828971,4658489.39991869,"MOUD - Buprenorphine"
"67",403633.823820614,4663437.54200962,"MOUD - Buprenorphine"
"68",394763.556085671,4672253.43225049,"MOUD - Buprenorphine"
"69",438753.985526475,4638549.71670288,"MOUD - Buprenorphine"
