COUNTYFP,cntT,cntBupT,cntMetT,cntNalT,avBupTime,avMetTime,avNalTime,pctBupT,pctMetT,pctNalT
01001,12,11.0,1.0,0.0,14.96,39.64,40.97,0.92,0.08,0.0
01003,32,27.0,4.0,1.0,16.69,47.88,49.02,0.84,0.12,0.03
01005,9,0.0,0.0,0.0,64.97,81.58,68.08,0.0,0.0,0.0
01007,4,1.0,0.0,0.0,24.33,57.7,53.64,0.25,0.0,0.0
01009,9,3.0,0.0,2.0,36.37,46.48,39.84,0.33,0.0,0.22
01011,3,0.0,0.0,0.0,47.18,75.48,74.23,0.0,0.0,0.0
01013,9,0.0,0.0,0.0,54.44,76.97,78.29,0.0,0.0,0.0
01015,31,29.0,24.0,21.0,11.61,20.27,25.84,0.94,0.77,0.68
01017,9,8.0,0.0,1.0,13.09,42.4,38.8,0.89,0.0,0.11
01019,6,5.0,0.0,2.0,16.36,46.98,35.24,0.83,0.0,0.33
01021,9,6.0,6.0,6.0,26.47,23.62,23.62,0.67,0.67,0.67
01023,4,0.0,0.0,0.0,66.75,74.06,78.41,0.0,0.0,0.0
01025,9,3.0,0.0,0.0,38.54,111.0,116.62,0.33,0.0,0.0
01027,4,3.0,0.0,0.0,14.34,67.88,65.38,0.75,0.0,0.0
01029,4,3.0,2.0,2.0,31.48,38.27,39.05,0.75,0.5,0.5
01031,14,12.0,3.0,0.0,15.4,42.82,45.27,0.86,0.21,0.0
01033,14,14.0,13.0,13.0,9.84,14.1,17.3,1.0,0.93,0.93
01035,5,4.0,0.0,0.0,23.48,66.09,66.09,0.8,0.0,0.0
01037,3,1.0,0.0,0.0,30.88,78.22,51.94,0.33,0.0,0.0
01039,14,13.0,0.0,0.0,13.14,84.48,75.0,0.93,0.0,0.0
01041,6,0.0,0.0,0.0,45.42,80.1,81.44,0.0,0.0,0.0
01043,18,16.0,15.0,15.0,16.86,20.98,20.98,0.89,0.83,0.83
01045,14,13.0,6.0,13.0,15.8,35.06,17.77,0.93,0.43,0.93
01047,15,0.0,0.0,0.0,54.07,82.31,83.78,0.0,0.0,0.0
01049,14,12.0,1.0,6.0,17.08,47.13,31.15,0.86,0.07,0.43
01051,15,12.0,4.0,9.0,19.34,38.92,24.53,0.8,0.27,0.6
01053,9,9.0,2.0,2.0,12.35,33.86,33.86,1.0,0.22,0.22
01055,30,30.0,29.0,27.0,8.42,12.91,16.07,1.0,0.97,0.9
01057,5,1.0,0.0,0.0,34.15,57.26,56.36,0.2,0.0,0.0
01059,9,5.0,0.0,0.0,26.52,49.12,57.12,0.56,0.0,0.0
01061,6,3.0,1.0,2.0,29.05,43.26,45.31,0.5,0.17,0.33
01063,3,1.0,0.0,0.0,44.17,81.05,57.01,0.33,0.0,0.0
01065,6,3.0,0.0,1.0,25.62,94.69,52.76,0.5,0.0,0.17
01067,6,2.0,0.0,1.0,38.32,55.05,41.1,0.33,0.0,0.17
01069,22,21.0,16.0,20.0,8.83,24.97,13.28,0.95,0.73,0.91
01071,11,9.0,4.0,0.0,16.31,34.31,52.75,0.82,0.36,0.0
01073,163,161.0,142.0,156.0,6.3,21.84,13.71,0.99,0.87,0.96
01075,3,0.0,0.0,0.0,41.63,58.87,53.83,0.0,0.0,0.0
01077,22,21.0,17.0,18.0,11.68,21.81,16.3,0.95,0.77,0.82
01079,9,9.0,0.0,0.0,14.67,43.83,43.23,1.0,0.0,0.0
01081,27,27.0,6.0,6.0,9.6,44.27,43.78,1.0,0.22,0.22
01083,16,16.0,3.0,11.0,10.51,38.53,27.01,1.0,0.19,0.69
01085,4,0.0,0.0,0.0,45.06,56.42,58.13,0.0,0.0,0.0
01087,12,12.0,0.0,0.0,10.88,46.63,44.36,1.0,0.0,0.0
01089,73,73.0,68.0,70.0,7.36,14.99,11.38,1.0,0.93,0.96
01091,6,5.0,0.0,0.0,15.0,85.94,90.28,0.83,0.0,0.0
01093,8,8.0,5.0,0.0,11.89,27.19,58.18,1.0,0.62,0.0
01095,18,17.0,1.0,11.0,10.4,46.04,25.36,0.94,0.06,0.61
01097,115,108.0,103.0,102.0,9.37,16.42,19.5,0.94,0.9,0.89
01099,7,4.0,0.0,0.0,25.88,86.0,86.0,0.57,0.0,0.0
01101,65,63.0,62.0,61.0,7.87,16.23,18.01,0.97,0.95,0.94
01103,27,27.0,2.0,13.0,7.05,38.27,28.37,1.0,0.07,0.48
01105,3,0.0,0.0,0.0,43.49,99.99,88.36,0.0,0.0,0.0
01107,5,4.0,0.0,1.0,20.16,108.92,38.89,0.8,0.0,0.2
01109,8,6.0,0.0,0.0,18.38,77.46,57.41,0.75,0.0,0.0
01111,6,3.0,0.0,0.0,23.22,56.45,52.28,0.5,0.0,0.0
01113,13,11.0,11.0,11.0,14.78,18.62,18.61,0.85,0.85,0.85
01115,13,12.0,5.0,5.0,13.41,35.15,34.0,0.92,0.38,0.38
01117,48,44.0,28.0,40.0,12.1,29.04,21.64,0.92,0.58,0.83
01119,4,0.0,0.0,0.0,44.28,49.35,53.66,0.0,0.0,0.0
01121,22,15.0,4.0,4.0,20.88,50.85,40.66,0.68,0.18,0.18
01123,10,8.0,0.0,1.0,22.17,78.73,57.98,0.8,0.0,0.1
01125,47,46.0,0.0,45.0,7.76,67.61,12.73,0.98,0.0,0.96
01127,18,18.0,11.0,13.0,12.78,24.81,22.08,1.0,0.61,0.72
01129,5,0.0,0.0,0.0,68.15,82.95,88.55,0.0,0.0,0.0
01131,4,3.0,0.0,0.0,20.79,138.66,139.51,0.75,0.0,0.0
01133,7,3.0,0.0,0.0,19.5,48.98,48.06,0.43,0.0,0.0
02013,1,,,,,,,,,
02016,2,,,,,,,,,
02020,55,,,,,,,,,
02050,3,,,,,,,,,
02060,1,,,,,,,,,
02068,1,,,,,,,,,
02070,2,,,,,,,,,
02090,19,,,,,,,,,
02100,1,,,,,,,,,
02105,2,,,,,,,,,
02110,6,,,,,,,,,
02122,13,,,,,,,,,
02130,4,,,,,,,,,
02150,5,,,,,,,,,
02158,1,,,,,,,,,
02164,1,,,,,,,,,
02170,24,,,,,,,,,
02180,2,,,,,,,,,
02185,3,,,,,,,,,
02188,2,,,,,,,,,
02195,1,,,,,,,,,
02198,4,,,,,,,,,
02220,2,,,,,,,,,
02230,1,,,,,,,,,
02240,2,,,,,,,,,
02261,3,,,,,,,,,
02275,1,,,,,,,,,
02282,1,,,,,,,,,
02290,4,,,,,,,,,
04001,16,10.0,,0.0,26.46,,79.0,0.62,,0.0
04003,32,26.0,15.0,28.0,16.7,40.06,14.3,0.81,0.47,0.88
04005,28,20.0,,20.0,30.24,,26.24,0.71,,0.71
04007,16,10.0,4.0,10.0,28.14,69.6,29.83,0.62,0.25,0.62
04009,9,7.0,7.0,7.0,24.7,22.14,20.14,0.78,0.78,0.78
04011,3,0.0,0.0,0.0,71.76,65.47,61.46,0.0,0.0,0.0
04012,9,3.0,0.0,4.0,47.18,91.46,47.68,0.33,0.0,0.44
04013,916,908.0,878.0,906.0,3.89,12.44,6.05,0.99,0.96,0.99
04015,43,39.0,25.0,39.0,11.07,33.1,10.7,0.91,0.58,0.91
04017,31,13.0,,17.0,36.2,,37.81,0.42,,0.55
04019,248,,,,,,,,,
04021,75,73.0,33.0,61.0,9.02,31.7,17.35,0.97,0.44,0.81
04023,10,9.0,0.0,1.0,14.11,70.49,47.81,0.9,0.0,0.1
04025,42,37.0,19.0,34.0,12.17,43.7,14.94,0.88,0.45,0.81
04027,55,49.0,44.0,49.0,14.16,27.86,19.69,0.89,0.8,0.89
05001,8,4.0,0.0,0.0,23.24,102.65,72.0,0.5,0.0,0.0
05003,7,4.0,0.0,0.0,24.87,85.86,53.99,0.57,0.0,0.0
05005,9,9.0,0.0,0.0,13.39,86.91,58.03,1.0,0.0,0.0
05007,49,48.0,25.0,41.0,9.71,30.93,18.94,0.98,0.51,0.84
05009,7,7.0,0.0,7.0,12.03,99.36,13.84,1.0,0.0,1.0
05011,5,4.0,,4.0,28.28,,28.28,0.8,,0.8
05013,2,0.0,0.0,0.0,39.31,124.12,51.32,0.0,0.0,0.0
05015,5,5.0,0.0,0.0,10.99,80.65,47.01,1.0,0.0,0.0
05017,4,4.0,,0.0,0.69,,62.98,1.0,,0.0
05019,5,0.0,0.0,0.0,48.69,71.59,45.62,0.0,0.0,0.0
05021,6,4.0,0.0,4.0,21.18,58.52,21.18,0.67,0.0,0.67
05023,7,4.0,0.0,4.0,32.21,109.63,31.25,0.57,0.0,0.57
05025,2,0.0,0.0,0.0,50.13,106.48,69.71,0.0,0.0,0.0
05027,5,5.0,0.0,0.0,14.54,78.09,50.97,1.0,0.0,0.0
05029,6,4.0,0.0,6.0,25.85,68.38,14.48,0.67,0.0,1.0
05031,17,16.0,16.0,16.0,7.77,12.21,12.74,0.94,0.94,0.94
05033,11,10.0,8.0,9.0,16.88,26.81,22.99,0.91,0.73,0.82
05035,20,19.0,3.0,18.0,10.17,37.75,11.8,0.95,0.15,0.9
05037,6,2.0,0.0,5.0,36.31,76.8,16.34,0.33,0.0,0.83
05039,3,0.0,0.0,0.0,46.65,99.32,72.71,0.0,0.0,0.0
