ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
01001,2.55,8.0,8,2.1,1.88,8.0,233.0,0.73,1.85,8.0,27,2.2
01002,7.17,18.0,4,0.9,0.45,0.0,98.0,1.0,7.79,18.0,14,0.7
01003,7.42,20.0,5,0.7,0.18,0.0,129.0,1.0,7.7,20.0,15,0.5
01005,14.98,32.0,0,0.0,0.99,0.0,25.0,1.0,8.18,16.0,4,0.67
01007,11.2,25.0,2,0.33,1.52,0.0,91.0,1.0,7.96,18.0,17,1.17
01008,10.58,18.0,1,0.4,10.04,18.0,10.0,0.4,10.2,18.0,3,1.2
01009,14.45,29.0,1,0.03,2.95,7.0,146.0,0.77,2.95,7.0,18,2.3
01010,9.54,17.0,1,0.43,5.25,12.0,39.0,0.6,6.69,15.0,12,1.5
01011,15.92,34.0,0,0.0,11.27,34.0,0.0,0.0,8.56,34.0,0,0.0
01012,12.14,25.0,2,0.33,6.8,18.0,49.0,0.4,5.06,13.0,4,1.2
01013,1.32,0.0,10,2.4,1.3,9.0,264.0,0.7,1.32,8.0,32,2.2
01020,3.06,8.0,10,2.13,2.37,8.0,274.0,0.73,1.23,0.0,32,3.0
01022,4.33,11.0,9,1.83,2.46,9.0,261.0,0.7,2.46,8.0,30,2.2
01026,14.92,37.0,0,0.0,2.01,13.0,10.0,0.57,2.01,13.0,2,1.03
01027,4.36,9.0,9,1.97,1.83,0.0,257.0,1.0,4.85,9.0,26,1.83
01028,3.94,6.0,8,2.1,0.49,0.0,248.0,1.0,0.62,0.0,33,2.5
01029,15.91,27.0,1,0.1,13.78,27.0,11.0,0.1,15.36,27.0,3,0.3
01030,4.99,12.0,8,1.73,3.6,11.0,229.0,0.63,3.63,11.0,27,1.9
01031,18.92,40.0,0,0.0,3.74,9.0,33.0,0.7,4.88,13.0,8,1.4
01032,13.09,26.0,2,0.27,4.48,20.0,46.0,0.33,4.48,20.0,4,0.87
01033,6.72,13.0,8,1.47,1.3,0.0,251.0,1.0,5.88,13.0,28,1.7
01034,10.28,28.0,1,0.07,8.91,28.0,11.0,0.07,9.13,28.0,3,0.2
01035,4.4,13.0,4,1.33,0.94,0.0,92.0,1.0,4.75,13.0,9,1.13
01036,7.49,16.0,5,1.17,2.74,12.0,201.0,0.6,4.43,12.0,23,1.57
01037,19.79,48.0,0,0.0,0.54,0.0,24.0,1.0,8.48,22.0,3,0.73
01038,4.88,13.0,5,1.3,2.03,0.0,127.0,1.0,4.16,13.0,15,1.17
01039,6.34,15.0,2,1.0,2.49,9.0,45.0,0.7,2.97,9.0,3,1.23
01040,2.56,0.0,10,2.7,0.1,0.0,292.0,1.0,0.12,0.0,33,3.0
01050,10.91,23.0,3,0.3,5.72,23.0,51.0,0.23,10.97,20.0,6,0.8
01053,4.62,8.0,4,1.67,0.23,0.0,88.0,1.0,0.75,0.0,9,1.93
01054,10.32,26.0,3,0.27,2.63,0.0,77.0,1.0,10.07,26.0,7,0.4
01056,7.77,15.0,8,1.4,0.68,0.0,250.0,1.0,1.58,6.0,31,2.07
01057,12.68,26.0,3,0.27,4.2,11.0,113.0,0.63,4.24,11.0,24,1.9
01060,0.98,0.0,10,2.47,0.51,0.0,282.0,1.0,1.02,0.0,30,2.2
01062,2.82,8.0,4,1.7,0.9,0.0,88.0,1.0,1.41,7.0,9,1.73
01063,0.81,1.0,10,2.43,0.29,1.0,287.0,0.97,1.17,1.0,31,2.17
01066,6.87,14.0,5,1.27,0.93,9.0,126.0,0.7,5.02,14.0,15,1.1
01068,12.98,31.0,0,0.0,4.51,20.0,25.0,0.33,8.52,23.0,2,0.33
01069,13.98,25.0,7,0.47,1.08,0.0,232.0,1.0,1.08,0.0,34,3.0
01070,14.11,38.0,0,0.0,2.83,0.0,8.0,1.0,2.83,0.0,2,1.1
01071,6.64,16.0,1,0.47,6.34,16.0,47.0,0.47,6.49,16.0,5,1.4
01072,13.15,35.0,0,0.0,4.64,13.0,19.0,0.57,12.58,31.0,0,0.0
01073,6.04,15.0,9,1.43,2.07,0.0,231.0,1.0,4.99,15.0,24,1.5
01074,15.6,34.0,0,0.0,1.53,7.0,35.0,0.77,10.06,20.0,6,0.6
01075,5.63,7.0,9,2.07,1.56,0.0,280.0,1.0,2.55,7.0,31,2.3
01077,5.94,13.0,7,1.23,2.79,10.0,226.0,0.67,4.77,13.0,27,1.7
01079,14.14,28.0,5,0.17,1.65,4.0,191.0,0.87,1.65,4.0,26,2.6
01080,12.4,24.0,6,0.47,1.32,6.0,233.0,0.8,1.32,6.0,28,2.4
01081,9.9,24.0,1,0.2,8.32,16.0,26.0,0.47,8.49,21.0,9,0.9
01082,17.5,41.0,0,0.0,1.16,0.0,31.0,1.0,1.21,0.0,7,2.4
01083,12.57,25.0,1,0.17,1.71,5.0,37.0,0.83,3.75,16.0,12,1.4
01084,13.95,34.0,0,0.0,6.54,23.0,22.0,0.23,3.25,13.0,3,0.9
01085,0.67,0.0,9,1.8,0.67,0.0,244.0,1.0,0.65,0.0,26,3.0
01086,2.71,6.0,7,1.23,1.88,6.0,202.0,0.8,2.04,6.0,23,2.4
01088,5.43,11.0,5,1.5,1.68,9.0,127.0,0.7,3.74,11.0,15,1.37
01089,1.8,7.0,10,2.13,0.82,0.0,265.0,1.0,1.96,0.0,32,2.77
01092,13.71,29.0,1,0.03,0.18,0.0,44.0,1.0,3.23,12.0,13,1.8
01093,8.54,18.0,5,1.07,1.91,10.0,127.0,0.67,6.41,13.0,15,1.23
01094,17.05,41.0,0,0.0,3.28,10.0,24.0,0.67,8.7,22.0,4,0.7
01095,6.97,14.0,7,1.47,2.03,0.0,226.0,1.0,2.89,11.0,28,1.9
01096,9.37,21.0,2,0.6,4.56,16.0,42.0,0.47,5.51,16.0,3,0.77
