COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
01001,12,9.0,23.81,0.75
01003,32,26.0,20.29,0.81
01005,9,8.0,14.21,0.89
01007,4,3.0,14.44,0.75
01009,9,5.0,24.74,0.56
01011,3,1.0,37.81,0.33
01013,9,0.0,50.79,0.0
01015,31,25.0,16.49,0.81
01017,9,7.0,16.93,0.78
01019,6,5.0,18.52,0.83
01021,9,9.0,12.21,1.0
01023,4,3.0,26.06,0.75
01025,9,0.0,57.56,0.0
01027,4,3.0,19.73,0.75
01029,4,2.0,20.08,0.5
01031,14,11.0,18.96,0.79
01033,14,13.0,11.92,0.93
01035,5,4.0,23.24,0.8
01037,3,1.0,28.21,0.33
01039,14,0.0,44.72,0.0
01041,6,2.0,28.13,0.33
01043,18,16.0,18.74,0.89
01045,14,12.0,23.49,0.86
01047,15,14.0,13.92,0.93
01049,14,13.0,17.19,0.93
01051,15,10.0,26.88,0.67
01053,9,6.0,21.49,0.67
01055,30,30.0,9.75,1.0
01057,5,0.0,39.01,0.0
01059,9,6.0,26.79,0.67
01061,6,6.0,12.85,1.0
01063,3,3.0,18.68,1.0
01065,6,6.0,18.43,1.0
01067,6,6.0,17.18,1.0
01069,22,22.0,15.63,1.0
01071,11,9.0,13.59,0.82
01073,163,161.0,10.52,0.99
01075,3,3.0,15.39,1.0
01077,22,21.0,13.08,0.95
01079,9,6.0,23.35,0.67
01081,27,16.0,28.06,0.59
01083,16,16.0,15.19,1.0
01085,4,1.0,27.31,0.25
01087,12,12.0,12.26,1.0
01089,73,71.0,11.66,0.97
01091,6,4.0,22.25,0.67
01093,8,1.0,36.23,0.12
01095,18,9.0,29.23,0.5
01097,115,113.0,8.57,0.98
01099,7,4.0,21.23,0.57
01101,65,64.0,8.12,0.98
01103,27,23.0,16.15,0.85
01105,3,2.0,14.0,0.67
01107,5,5.0,9.58,1.0
01109,8,8.0,15.69,1.0
01111,6,1.0,30.85,0.17
01113,13,11.0,15.01,0.85
01115,13,4.0,33.92,0.31
01117,48,34.0,26.1,0.71
01119,4,2.0,29.09,0.5
01121,22,14.0,23.75,0.64
01123,10,0.0,44.61,0.0
01125,47,46.0,13.13,0.98
01127,18,14.0,14.88,0.78
01129,5,3.0,29.7,0.6
01131,4,3.0,15.77,0.75
01133,7,4.0,21.71,0.57
02013,1,1.0,23.94,1.0
02016,2,2.0,23.94,1.0
02020,55,53.0,10.07,0.96
02050,3,3.0,0.0,1.0
02060,1,1.0,0.0,1.0
02068,1,1.0,0.0,1.0
02070,2,2.0,0.0,1.0
02090,19,17.0,14.62,0.89
02100,1,1.0,0.0,1.0
02105,2,2.0,0.0,1.0
02110,6,6.0,11.56,1.0
02122,13,12.0,11.9,0.92
02130,4,4.0,0.0,1.0
02150,5,5.0,2.71,1.0
02158,1,,,
02164,1,1.0,10.45,1.0
02170,24,24.0,12.09,1.0
02180,2,2.0,0.0,1.0
02185,3,1.0,86.78,0.33
02188,2,2.0,0.0,1.0
02195,1,1.0,9.56,1.0
02198,4,3.0,12.73,0.75
02220,2,1.0,338.46,0.5
02230,1,1.0,0.0,1.0
02240,2,1.0,58.98,0.5
02261,3,3.0,0.0,1.0
02270,1,1.0,0.0,1.0
02275,1,1.0,0.0,1.0
02282,1,1.0,0.0,1.0
02290,4,4.0,0.0,1.0
04001,16,2.0,68.7,0.12
04003,32,27.0,15.48,0.84
04005,28,21.0,22.22,0.75
04007,16,9.0,33.71,0.56
04009,9,7.0,22.69,0.78
04011,3,3.0,4.96,1.0
04012,9,2.0,56.16,0.22
04013,916,909.0,8.67,0.99
04015,43,39.0,13.95,0.91
04017,31,14.0,42.88,0.45
04019,248,,,
04021,75,72.0,11.01,0.96
04023,10,10.0,6.18,1.0
04025,42,32.0,24.62,0.76
04027,55,50.0,16.7,0.91
05001,8,4.0,23.18,0.5
05003,7,7.0,13.98,1.0
05005,9,0.0,47.26,0.0
05007,49,46.0,12.49,0.94
05009,7,7.0,13.84,1.0
05011,5,5.0,10.75,1.0
05013,2,2.0,13.88,1.0
05015,5,3.0,23.9,0.6
05017,4,4.0,0.69,1.0
05019,5,4.0,9.73,0.8
05021,6,4.0,21.18,0.67
05023,7,3.0,31.91,0.43
05025,2,1.0,23.07,0.5
05027,5,0.0,41.48,0.0
05029,6,4.0,26.65,0.67
05031,17,17.0,8.84,1.0
05033,11,10.0,13.99,0.91
05035,20,20.0,8.12,1.0
05037,6,5.0,9.04,0.83
05039,3,1.0,42.56,0.33
05041,5,2.0,32.14,0.4
05043,5,5.0,11.49,1.0
05045,25,24.0,13.59,0.96
05047,3,2.0,35.01,0.67
05049,2,1.0,18.44,0.5
05051,20,18.0,14.92,0.9
05053,4,1.0,34.7,0.25
05055,9,9.0,11.69,1.0
05057,5,4.0,14.3,0.8
05059,7,6.0,14.21,0.86
05061,3,0.0,44.54,0.0
05063,8,8.0,8.99,1.0
05065,4,3.0,14.08,0.75
05067,5,4.0,11.13,0.8
05069,24,24.0,9.2,1.0
05071,6,6.0,12.02,1.0
05073,2,1.0,20.96,0.5
05075,6,4.0,16.82,0.67
05077,4,4.0,16.36,1.0
05079,4,3.0,14.57,0.75
05081,4,2.0,38.88,0.5
05083,6,2.0,24.78,0.33
05085,16,16.0,11.52,1.0
05087,4,3.0,22.11,0.75
05089,4,3.0,26.98,0.75
05091,12,11.0,8.93,0.92
05093,12,6.0,23.86,0.5
05095,3,3.0,7.62,1.0
05097,3,2.0,22.29,0.67
05099,3,1.0,30.46,0.33
05101,2,2.0,0.0,1.0
05103,6,5.0,21.38,0.83
05105,3,0.0,57.98,0.0
05107,6,6.0,4.72,1.0
05109,3,0.0,65.77,0.0
05111,7,5.0,15.42,0.71
05113,6,5.0,18.92,0.83
05115,11,2.0,31.97,0.18
05117,3,3.0,6.75,1.0
05119,95,94.0,9.04,0.99
05121,4,4.0,12.74,1.0
05123,6,6.0,10.58,1.0
05125,21,18.0,19.21,0.86
05127,3,3.0,9.59,1.0
05129,3,2.0,17.77,0.67
05131,26,24.0,9.36,0.92
05133,4,3.0,15.56,0.75
05135,4,3.0,24.94,0.75
05137,3,2.0,18.46,0.67
05139,10,4.0,29.8,0.4
05141,5,3.0,22.19,0.6
05143,32,30.0,11.7,0.94
05145,13,12.0,8.11,0.92
05147,2,2.0,0.0,1.0
05149,6,0.0,55.41,0.0
06001,361,361.0,3.78,1.0
06003,1,0.0,61.34,0.0
06005,9,4.0,36.57,0.44
06007,51,50.0,10.34,0.98
06009,10,0.0,73.42,0.0
06011,5,4.0,15.25,0.8
06013,208,208.0,7.72,1.0
06015,8,6.0,13.24,0.75
06017,43,26.0,28.2,0.6
06019,199,196.0,4.99,0.98
06021,6,4.0,15.67,0.67
06023,31,31.0,6.56,1.0
06025,31,30.0,9.95,0.97
06027,6,0.0,221.27,0.0
06029,151,144.0,5.87,0.95
06031,27,27.0,5.35,1.0
06033,15,6.0,29.55,0.4
06035,9,8.0,12.85,0.89
06037,2347,,,
06039,23,21.0,10.19,0.91
06041,56,55.0,6.87,0.98
06043,6,0.0,51.06,0.0
06045,21,19.0,12.21,0.9
06047,49,49.0,5.73,1.0
06049,4,0.0,116.42,0.0
06051,3,0.0,201.47,0.0
06053,94,91.0,7.26,0.97
06055,40,39.0,7.33,0.98
06057,20,19.0,14.75,0.95
06059,583,583.0,6.02,1.0
06061,85,81.0,13.31,0.95
06063,7,0.0,67.29,0.0
06065,453,448.0,7.12,0.99
06067,317,316.0,6.41,1.0
06069,11,10.0,9.46,0.91
06071,369,345.0,10.45,0.93
06073,628,628.0,5.85,1.0
06075,197,196.0,2.76,0.99
06077,139,139.0,6.01,1.0
06079,54,53.0,8.45,0.98
06081,158,157.0,6.45,0.99
06083,90,88.0,4.68,0.98
06085,372,372.0,5.56,1.0
06087,53,51.0,7.5,0.96
06089,48,47.0,7.91,0.98
06091,1,1.0,0.0,1.0
06093,14,10.0,13.45,0.71
06095,96,96.0,6.23,1.0
06097,100,97.0,6.68,0.97
06099,94,93.0,5.07,0.99
06101,21,20.0,7.78,0.95
06103,11,9.0,16.49,0.82
06105,5,1.0,62.59,0.2
06107,78,78.0,3.22,1.0
06109,11,0.0,71.44,0.0
06111,174,172.0,6.01,0.99
06113,41,41.0,3.99,1.0
06115,14,12.0,10.01,0.86
08001,97,96.0,8.17,0.99
08003,4,4.0,10.24,1.0
08005,147,147.0,8.04,1.0
08007,4,0.0,86.36,0.0
08009,2,0.0,68.3,0.0
08011,1,1.0,0.0,1.0
08013,68,66.0,9.63,0.97
08014,18,18.0,11.14,1.0
08015,5,2.0,27.43,0.4
08017,1,0.0,86.96,0.0
08019,3,0.0,39.06,0.0
08021,2,2.0,0.0,1.0
08023,2,1.0,18.91,0.5
08025,1,1.0,0.0,1.0
08027,1,0.0,63.71,0.0
08029,7,5.0,19.72,0.71
08031,144,144.0,3.26,1.0
08033,1,1.0,0.0,1.0
08035,61,54.0,19.5,0.89
08037,14,12.0,17.76,0.86
08039,7,3.0,29.8,0.43
08041,130,128.0,9.68,0.98
08043,14,13.0,13.04,0.93
08045,11,11.0,8.84,1.0
08047,1,0.0,51.55,0.0
08049,3,0.0,87.61,0.0
08051,4,0.0,130.97,0.0
08053,1,0.0,143.22,0.0
08055,2,1.0,18.86,0.5
08057,1,0.0,78.48,0.0
08059,138,128.0,10.38,0.93
08061,1,0.0,35.58,0.0
08063,3,1.0,39.94,0.33
08065,2,2.0,3.16,1.0
08067,10,7.0,18.07,0.7
08069,73,70.0,10.13,0.96
08071,6,4.0,18.93,0.67
08073,2,1.0,24.36,0.5
08075,6,5.0,17.24,0.83
08077,29,27.0,10.72,0.93
08079,1,0.0,82.55,0.0
08081,4,3.0,16.4,0.75
08083,7,7.0,13.25,1.0
08085,10,9.0,15.1,0.9
08087,8,8.0,9.24,1.0
08089,7,7.0,8.67,1.0
08091,1,0.0,44.08,0.0
08093,5,1.0,46.1,0.2
08095,2,0.0,64.44,0.0
08097,4,1.0,26.08,0.25
08099,5,5.0,0.66,1.0
08101,55,53.0,8.29,0.96
08103,2,0.0,75.04,0.0
08105,3,3.0,12.48,1.0
08107,8,6.0,19.9,0.75
08109,2,2.0,0.0,1.0
08111,1,0.0,62.74,0.0
08113,4,1.0,73.3,0.25
08115,1,0.0,70.06,0.0
08117,5,5.0,0.0,1.0
08119,6,4.0,27.22,0.67
08121,2,0.0,77.17,0.0
08123,77,76.0,11.07,0.99
08125,2,0.0,107.94,0.0
09001,211,211.0,5.87,1.0
09003,224,224.0,5.53,1.0
09005,51,47.0,13.45,0.92
09007,37,37.0,6.66,1.0
09009,190,190.0,4.93,1.0
09011,66,66.0,7.7,1.0
09013,29,29.0,9.65,1.0
09015,25,25.0,8.24,1.0
10001,33,33.0,11.59,1.0
10003,131,131.0,8.43,1.0
10005,54,53.0,14.6,0.98
11001,179,179.0,2.17,1.0
12001,56,56.0,11.64,1.0
12003,4,0.0,41.88,0.0
12005,44,43.0,13.1,0.98
12007,4,4.0,12.93,1.0
12009,114,112.0,11.82,0.98
12011,362,361.0,9.72,1.0
12013,3,3.0,18.14,1.0
12015,39,38.0,12.75,0.97
12017,28,28.0,14.69,1.0
12019,30,28.0,16.15,0.93
12021,74,68.0,10.82,0.92
12023,12,11.0,17.94,0.92
12027,9,9.0,12.2,1.0
12029,4,3.0,16.87,0.75
12031,174,173.0,10.55,0.99
12033,72,70.0,10.64,0.97
12035,21,21.0,15.84,1.0
12037,6,5.0,16.29,0.83
12039,9,8.0,13.52,0.89
12041,5,5.0,11.82,1.0
12043,4,4.0,14.3,1.0
12045,4,3.0,14.5,0.75
12047,3,1.0,28.37,0.33
12049,6,6.0,11.93,1.0
12051,7,6.0,12.59,0.86
12053,45,45.0,13.18,1.0
12055,27,16.0,27.75,0.59
12057,321,321.0,8.95,1.0
12059,4,3.0,18.57,0.75
12061,31,31.0,6.23,1.0
12063,11,10.0,17.78,0.91
12065,4,0.0,36.04,0.0
12067,2,2.0,14.77,1.0
12069,56,54.0,13.14,0.96
12071,167,163.0,10.82,0.98
12073,68,67.0,10.75,0.99
12075,10,8.0,22.09,0.8
12077,2,2.0,13.1,1.0
12079,5,5.0,13.88,1.0
12081,79,79.0,6.96,1.0
12083,63,55.0,15.69,0.87
12085,36,36.0,12.99,1.0
12086,519,517.0,3.64,1.0
12087,31,,,
12089,13,5.0,34.25,0.38
12091,43,42.0,13.33,0.98
12093,12,11.0,13.93,0.92
12095,207,207.0,9.06,1.0
12097,41,39.0,10.94,0.95
12099,338,334.0,10.39,0.99
12101,134,134.0,10.58,1.0
12103,246,246.0,7.78,1.0
12105,154,150.0,12.26,0.97
12107,17,17.0,13.31,1.0
12109,41,39.0,15.24,0.95
12111,45,45.0,9.39,1.0
12113,26,18.0,20.89,0.69
12115,95,95.0,10.22,1.0
12117,86,86.0,10.91,1.0
12119,19,17.0,22.33,0.89
12121,7,6.0,15.73,0.86
12123,5,3.0,21.74,0.6
12125,3,3.0,10.54,1.0
12127,114,106.0,14.25,0.93
12129,5,4.0,21.48,0.8
12131,12,11.0,16.09,0.92
12133,7,5.0,23.0,0.71
13001,5,5.0,14.87,1.0
13003,3,3.0,12.33,1.0
13005,3,3.0,12.97,1.0
13007,2,2.0,14.9,1.0
13009,9,9.0,7.08,1.0
13011,4,4.0,6.78,1.0
13013,18,18.0,10.83,1.0
13015,15,14.0,17.78,0.93
13017,5,5.0,8.24,1.0
13019,6,6.0,17.81,1.0
13021,44,44.0,8.5,1.0
13023,3,3.0,6.96,1.0
13025,3,3.0,12.65,1.0
13027,5,4.0,15.03,0.8
13029,7,5.0,25.74,0.71
13031,12,11.0,14.82,0.92
13033,6,4.0,16.66,0.67
13035,3,3.0,8.23,1.0
13037,2,2.0,9.32,1.0
13039,11,8.0,18.33,0.73
13043,3,3.0,8.48,1.0
13045,17,14.0,19.17,0.82
13047,11,11.0,10.86,1.0
13049,2,1.0,23.6,0.5
13051,72,72.0,7.75,1.0
13053,5,5.0,14.28,1.0
13055,6,6.0,12.09,1.0
13057,26,26.0,19.58,1.0
13059,30,30.0,6.93,1.0
13061,1,1.0,29.22,1.0
13063,50,50.0,9.95,1.0
13065,2,0.0,47.24,0.0
13067,120,120.0,13.84,1.0
13069,9,8.0,14.98,0.89
13071,10,10.0,7.82,1.0
13073,20,19.0,18.57,0.95
13075,4,4.0,14.76,1.0
