"ZCTA","minDisHosp","timeDrive","countDrive"
1001,5.39,10.4,9
1002,13.87,18.07,6
1003,10.6,20.03,5
1005,17.06,29.7,1
1007,10.97,18.88,5
1008,14.67,18.59,2
1009,3.75,7.56,7
1010,10.13,15.87,5
1012,11.87,18.82,3
1013,1.88,9.22,11
1020,4.85,8.4,11
1022,5.88,11.97,11
1027,6.6,9.5,11
1028,6.58,9.7,12
1029,21.26,27.51,2
1030,4.13,12.88,9
1031,7.72,13.85,2
1032,13.06,20.34,3
1033,10.05,13.72,9
1034,14.05,28.85,2
1035,6.28,13.71,5
1036,7.97,18.45,7
1037,11.34,23.05,1
1038,6.08,13.51,6
1039,5.37,9.84,3
1040,1.48,0,13
1050,14.19,23.03,5
1053,2.05,0,5
1054,13.56,26.89,2
1056,3.53,0,10
1057,7.37,11.2,6
1060,1.69,0,12
1062,2.68,7.9,5
1063,1.43,1.19,11
1066,5.76,14.86,6
1068,16.33,27.42,1
1069,3.04,0,10
1071,7.98,16.41,2
1073,8.19,15.64,10
1074,16.14,28.94,1
1075,6.25,7.19,12
1077,6.1,13.01,6
1079,2.45,4.24,9
1080,2.02,6.52,9
1081,12.6,16.87,3
1082,4.55,0,2
1083,5.71,16.55,3
1084,14.25,27.03,2
1085,3.38,0,10
1086,2.63,6.74,8
1088,4.48,11.64,6
1089,3.27,7.17,10
1092,5.05,12.76,4
1093,8.2,13.9,4
1094,12.25,22.63,1
1095,3.92,11.22,8
1096,7.83,16.05,3
1097,7.32,9.78,7
1103,1.04,3.1,11
1104,1.84,0,11
1105,1.79,4.28,11
1106,6.44,10.48,10
1107,0.16,0,11
1108,3.82,5.98,12
1109,0.22,0,11
1118,2.85,5.84,11
1119,2.53,7.18,10
1128,4.75,9.16,9
1129,3.42,8.49,8
1151,2.55,6.82,10
1199,0.13,1.19,11
1201,0.82,0,2
1222,12.82,19.89,1
1224,5.65,14.13,2
1225,11.64,21.84,2
1226,7.83,10.91,2
1229,8.57,16.29,3
1230,2.04,0,1
1235,12.55,21.6,2
1236,7.06,10.07,1
1237,8.47,15.63,2
1238,13.88,21.71,3
1240,8.06,13.34,3
1242,11.87,18.36,3
1244,10.3,23.82,1
1245,10.59,17.41,1
1254,9.39,20.24,3
1257,8.78,14.11,1
1258,10.33,24.17,1
1260,9.96,16.79,3
1262,10.28,16.88,3
1264,12.61,27.17,1
1266,10.96,19.2,3
1267,19.17,27.15,1
1270,15.28,22.83,2
1301,2.79,0,2
1330,17.15,26.1,2
1331,2.48,0,2
1337,9.4,14.95,3
1340,11.97,23.68,1
1341,11.59,27.79,3
1342,4.9,10.43,4
1344,11.37,19.14,2
1347,6.13,18.82,1
1349,7.84,15.09,1
1351,7.09,16.39,1
1354,6.66,10.99,1
1355,15.01,19.43,1
1360,12.62,19.2,3
1364,6.33,12.27,1
1366,9.96,17.55,2
1368,9.1,14.83,2
1370,9.43,18.67,1
1373,11.64,15.85,6
1375,12.53,19.39,4
1376,2.53,10.15,1
1378,12.66,24.6,1
1420,1.34,0,5
1430,8.22,15.24,2
1431,7.51,15.75,3
1432,1.22,0,6
1434,4.49,12.5,5
1436,7.24,11.8,2
1438,3.85,7.22,4
1440,0.11,0,4
1450,3.51,11.53,3
1451,7.16,11.68,6
