GEOID,NAME,pop,minDist_SUT
2020000701,"Census Tract 7.01, Anchorage Municipality, Alaska",6405,1.220265741
2020001701,"Census Tract 17.01, Anchorage Municipality, Alaska",6479,1.913271864
2020002811,"Census Tract 28.11, Anchorage Municipality, Alaska",6515,0.523605343
2050000100,"Census Tract 1, Bethel Census Area, Alaska",10209,30.16974933
2090001700,"Census Tract 17, Fairbanks North Star Borough, Alaska",1202,36.54722752
2122000100,"Census Tract 1, Kenai Peninsula Borough, Alaska",483,51.04203544
2122000400,"Census Tract 4, Kenai Peninsula Borough, Alaska",6583,26.91285784
2122001200,"Census Tract 12, Kenai Peninsula Borough, Alaska",930,17.10789746
2164000100,"Census Tract 1, Lake and Peninsula Borough, Alaska",1375,84.85385956
2180000100,"Census Tract 1, Nome Census Area, Alaska",5840,51.41474292
2188000100,"Census Tract 1, Northwest Arctic Borough, Alaska",4446,78.62562648
2195000200,"Census Tract 2, Petersburg Borough, Alaska",3255,49.43280248
2198000200,"Census Tract 2, Prince of Wales-Hyder Census Area, Alaska",2540,4.30937223
2240000400,"Census Tract 4, Southeast Fairbanks Census Area, Alaska",4644,12.02873671
2282000100,"Census Tract 1, Yakutat City and Borough, Alaska",689,176.821472
2290000100,"Census Tract 1, Yukon-Koyukuk Census Area, Alaska",1111,165.8270299
2290000400,"Census Tract 4, Yukon-Koyukuk Census Area, Alaska",978,223.1490591
2050000200,"Census Tract 2, Bethel Census Area, Alaska",6424,3.100699392
2050000300,"Census Tract 3, Bethel Census Area, Alaska",1407,171.6513563
2090001100,"Census Tract 11, Fairbanks North Star Borough, Alaska",9664,21.46266371
2016000200,"Census Tract 2, Aleutians West Census Area, Alaska",4781,228.8481645
2020000202,"Census Tract 2.02, Anchorage Municipality, Alaska",6353,1.139044986
2020000702,"Census Tract 7.02, Anchorage Municipality, Alaska",5744,1.198286528
2020000802,"Census Tract 8.02, Anchorage Municipality, Alaska",5135,0.587154076
2020001601,"Census Tract 16.01, Anchorage Municipality, Alaska",4058,0.359813288
2020002302,"Census Tract 23.02, Anchorage Municipality, Alaska",5083,1.655714572
2020002603,"Census Tract 26.03, Anchorage Municipality, Alaska",5647,1.00752443
2020002821,"Census Tract 28.21, Anchorage Municipality, Alaska",5041,2.622383042
2020002900,"Census Tract 29, Anchorage Municipality, Alaska",2349,2.277165711
2122000200,"Census Tract 2, Kenai Peninsula Borough, Alaska",5908,23.21443511
2122000300,"Census Tract 3, Kenai Peninsula Borough, Alaska",1194,27.71518512
2122000800,"Census Tract 8, Kenai Peninsula Borough, Alaska",3759,9.909875179
2122001100,"Census Tract 11, Kenai Peninsula Borough, Alaska",3038,18.93927379
2122001300,"Census Tract 13, Kenai Peninsula Borough, Alaska",4402,10.78599413
2158000100,"Census Tract 1, Kusilvak Census Area, Alaska",8198,108.4296836
2170000101,"Census Tract 1.01, Matanuska-Susitna Borough, Alaska",552,69.79963986
2170000102,"Census Tract 1.02, Matanuska-Susitna Borough, Alaska",1851,55.11195959
2170000604,"Census Tract 6.04, Matanuska-Susitna Borough, Alaska",4840,1.173073191
2170000705,"Census Tract 7.05, Matanuska-Susitna Borough, Alaska",4626,2.000755297
2170001300,"Census Tract 13, Matanuska-Susitna Borough, Alaska",6562,6.936213811
2180000200,"Census Tract 2, Nome Census Area, Alaska",4085,10.77486405
2185000300,"Census Tract 3, North Slope Borough, Alaska",2842,185.5720198
2290000300,"Census Tract 3, Yukon-Koyukuk Census Area, Alaska",1876,207.8983347
2020000201,"Census Tract 2.01, Anchorage Municipality, Alaska",4780,0.232421667
2020001802,"Census Tract 18.02, Anchorage Municipality, Alaska",5036,0.565961988
2090001900,"Census Tract 19, Fairbanks North Star Borough, Alaska",10918,37.29737141
2220000100,"Census Tract 1, Sitka City and Borough, Alaska",3331,12.90693233
2261000200,"Census Tract 2, Valdez-Cordova Census Area, Alaska",3059,41.92188245
2100000100,"Census Tract 1, Haines Borough, Alaska",2518,8.380549126
2020002602,"Census Tract 26.02, Anchorage Municipality, Alaska",6169,1.47430202
2110000500,"Census Tract 5, Juneau City and Borough, Alaska",3272,19.2866208
2170000502,"Census Tract 5.02, Matanuska-Susitna Borough, Alaska",1818,10.04083789
2198940100,"Census Tract 9401, Prince of Wales-Hyder Census Area, Alaska",1635,3.351931649
2020002303,"Census Tract 23.03, Anchorage Municipality, Alaska",9356,2.281493846
2016000100,"Census Tract 1, Aleutians West Census Area, Alaska",969,376.3461311
2020001801,"Census Tract 18.01, Anchorage Municipality, Alaska",5162,0.430723727
2070000200,"Census Tract 2, Dillingham Census Area, Alaska",2315,5.358357556
2110000600,"Census Tract 6, Juneau City and Borough, Alaska",6134,10.20645085
2170000402,"Census Tract 4.02, Matanuska-Susitna Borough, Alaska",2126,19.6388064
2170001001,"Census Tract 10.01, Matanuska-Susitna Borough, Alaska",3824,1.930273317
2185000200,"Census Tract 2, North Slope Borough, Alaska",2503,151.5277501
2013000100,"Census Tract 1, Aleutians East Borough, Alaska",3425,283.618642
2170000401,"Census Tract 4.01, Matanuska-Susitna Borough, Alaska",2172,11.85615603
2170000703,"Census Tract 7.03, Matanuska-Susitna Borough, Alaska",3750,4.807722805
2170000900,"Census Tract 9, Matanuska-Susitna Borough, Alaska",3161,0.906088306
2198000300,"Census Tract 3, Prince of Wales-Hyder Census Area, Alaska",15,71.50555532
2220000200,"Census Tract 2, Sitka City and Borough, Alaska",5407,0.953055262
2261000100,"Census Tract 1, Valdez-Cordova Census Area, Alaska",1929,50.20002723
2261000300,"Census Tract 3, Valdez-Cordova Census Area, Alaska",4313,40.0164316
2290000200,"Census Tract 2, Yukon-Koyukuk Census Area, Alaska",1450,112.0599797
2090001400,"Census Tract 14, Fairbanks North Star Borough, Alaska",6870,7.163990232
2105000300,"Census Tract 3, Hoonah-Angoon Census Area, Alaska",2085,37.23073028
2110000200,"Census Tract 2, Juneau City and Borough, Alaska",7146,1.356423504
2122000900,"Census Tract 9, Kenai Peninsula Borough, Alaska",2437,4.408033773
2170001004,"Census Tract 10.04, Matanuska-Susitna Borough, Alaska",5560,0.266625452
2020000101,"Census Tract 1.01, Anchorage Municipality, Alaska",5709,21.3724334
2020000400,"Census Tract 4, Anchorage Municipality, Alaska",5064,2.892982422
2020000703,"Census Tract 7.03, Anchorage Municipality, Alaska",5621,1.060989007
2020001000,"Census Tract 10, Anchorage Municipality, Alaska",3745,0.449123665
2020001500,"Census Tract 15, Anchorage Municipality, Alaska",5388,0.607052876
2020001731,"Census Tract 17.31, Anchorage Municipality, Alaska",6662,2.286488058
2020002000,"Census Tract 20, Anchorage Municipality, Alaska",3364,0.553146587
2020002202,"Census Tract 22.02, Anchorage Municipality, Alaska",3004,1.583545125
2020002813,"Census Tract 28.13, Anchorage Municipality, Alaska",4711,5.233925319
2090000200,"Census Tract 2, Fairbanks North Star Borough, Alaska",3425,1.131046868
