ZCTA,pop,STATEFP,minDist_SUT
99574,3111,2,12.28900085
99729,202,2,97.4011195
99517,16405,2,1.561553068
99639,1036,2,9.223771191
99768,207,2,175.2250779
99833,3255,2,39.31970907
99701,17510,2,164.5602859
99654,62135,2,6.97963831
99733,74,2,121.4413897
99709,30428,2,9.679703884
99754,62,2,195.8511206
99626,283,2,68.40496199
99786,299,2,181.1673458
99676,1353,2,60.24255124
99611,15657,2,13.51354381
99607,222,2,93.6211702
99590,176,2,155.779621
99778,225,2,52.40303973
99925,927,2,4.351970932
99740,533,2,215.059059
99557,698,2,171.4819884
99661,1389,2,270.7860722
99561,501,2,91.68468911
99572,580,2,33.0306262
99605,95,2,18.89509581
99552,416,2,19.59299186
99519,469,2,282.9907413
99625,76,2,69.6789869
99693,313,2,26.88670431
99576,2494,2,68.40146596
99830,595,2,47.63395045
99760,605,2,35.64048352
99785,407,2,66.48559108
99737,4821,2,26.53143569
99746,404,2,155.015834
99566,98,2,102.8312575
99903,0,2,35.49844663
99752,3370,2,31.36251691
99657,318,2,69.04127344
99627,308,2,182.7158609
99504,42504,2,1.940261998
99510,949,2,177.5233025
99513,0,2,0.675571184
99518,10450,2,0.764570678
99550,190,2,24.48180991
99563,1144,2,134.6867025
99569,48,2,12.77209352
99581,761,2,122.2435849
99588,803,2,45.48800932
99704,39,2,18.71288019
99772,597,2,103.3934935
99603,10509,2,12.70754116
99606,334,2,104.5478408
99613,455,2,105.873389
99614,613,2,94.54805957
99691,114,2,156.1010303
99649,91,2,112.5740863
99664,4575,2,1.83030121
99685,4566,2,224.3263918
99615,12971,2,40.30916316
99631,357,2,26.16037407
99641,869,2,21.47177608
99645,30450,2,4.471310305
99662,594,2,153.1636243
99663,390,2,17.41587068
99684,702,2,155.0954162
99770,839,2,85.56152733
99694,1705,2,12.04583745
99686,3870,2,15.89490282
99689,665,2,143.6858531
99695,0,2,216.8070463
99688,2624,2,30.1465467
99578,518,2,38.84129516
99640,151,2,123.7172704
99826,416,2,52.25467568
99927,38,2,41.10227383
99706,4,2,33.36617919
99726,77,2,195.9708331
99738,103,2,130.9550998
99748,172,2,198.9468962
99801,30106,2,15.67179108
99682,483,2,52.52402736
99674,1444,2,32.00067671
99656,21,2,158.003336
99638,26,2,257.145984
99650,576,2,87.90583592
99672,3435,2,20.02563366
99705,22944,2,12.44094352
99712,14489,2,47.13599722
99714,1204,2,39.13508876
99727,608,2,75.55423216
99730,49,2,89.41976097
99739,303,2,90.56767307
99827,2565,2,12.10431359
99832,124,2,62.89406883
99901,13818,2,29.07596962
99918,148,2,30.36637595
99926,1635,2,3.351931649
99743,1041,2,62.66364538
99745,90,2,181.1286471
99755,856,2,61.67820462
99757,14,2,124.1304817
