ZCTA,pop,minDist_SUT
36083,7542,4.31
35441,1089,8.68
35051,9000,9.7
35121,15426,1.27
35058,9234,5.53
35619,4428,17.51
35016,16112,12.03
36115,964,3.64
36353,1720,8.29
36728,287,31.18
35229,1219,2.28
36027,15496,4.79
35470,4676,5.44
86544,1175,27.91
35173,27371,6.16
35098,1068,10.15
71653,4506,21.56
81524,1817,18.46
93308,53702,11.2
20012,16351,1.44
83811,1255,20.74
04554,911,11.5
60034,2077,8.18
21529,457,2.44
02671,877,5.3
04019,23,8.0
49854,6194,13.82
56127,426,10.33
04766,395,10.71
39150,5730,23.06
59870,10121,19.18
59014,1733,23.35
02461,7404,2.77
88045,3450,58.98
85264,1388,10.65
86334,4351,25.04
85501,13020,10.06
85638,1871,15.68
85726,0,1.33
72756,41494,7.59
72950,335,15.16
71846,2810,14.98
93592,77,30.17
93060,34181,4.07
93960,26610,1.72
93235,4198,4.97
93622,10395,23.44
90018,53256,1.28
96057,1299,19.54
93666,952,15.08
94952,36184,4.65
94127,21423,1.96
96034,236,18.04
93620,8889,12.68
49934,882,5.5
28428,6533,10.89
39465,21187,8.29
65747,3785,13.04
64112,8352,0.59
39144,786,23.88
03076,13596,5.69
97368,3506,4.44
15316,109,12.97
19137,8482,1.14
29440,27897,2.15
69341,10614,7.85
11550,57652,0.38
78404,18376,0.32
84753,12,47.21
05450,5136,14.93
24171,8524,3.95
23092,690,11.63
24622,878,11.31
44123,16515,1.88
98382,28326,3.75
73505,48713,4.09
25425,13600,5.98
97630,5123,57.52
82225,2008,17.38
35079,9267,10.42
08073,203,3.01
87506,13209,4.86
88301,1185,33.08
87558,439,11.53
88042,198,39.35
88055,39,56.52
10171,0,0.26
10110,0,0.12
12758,3908,10.5
10282,5593,0.59
14212,10695,0.17
11956,212,7.62
14788,73,2.68
10040,44571,0.12
11501,19393,0.28
14035,77,8.11
13617,11034,1.38
13316,6179,19.54
34287,27532,1.25
33413,17473,1.08
32421,5256,17.35
30417,10777,12.56
30816,2024,9.75
30332,3115,1.34
30705,33460,3.53
31631,415,36.23
31038,566,18.66
30464,83,10.0
31018,2674,31.09
30428,2783,17.53
83553,1154,12.08
61414,937,13.74
13102,32,6.2
27893,39372,1.84
27295,38511,3.6
28504,21852,2.52
28787,21314,3.15
27825,41,5.92
28611,1162,11.64
28089,217,7.26
58205,338,14.48
43084,766,10.13
44493,29,6.48
44233,7927,8.26
43203,8368,0.35
44671,290,7.34
43330,119,19.6
01236,1140,2.11
01003,11238,7.15
49861,526,17.93
48625,13005,16.39
48233,0,1.14
48091,30031,0.74
49948,530,17.36
55029,84,4.07
56467,2561,4.66
56639,436,25.55
56671,3294,14.23
56001,48214,2.56
56313,92,5.1
39140,2368,17.79
39759,44145,9.89
38920,549,15.62
39170,10513,8.34
39069,5672,35.27
38945,46,5.86
39332,1509,11.34
64093,28045,1.78
90301,37291,0.43
95545,101,22.25
80023,21368,3.7
81227,6,34.01
80515,1069,11.02
06412,4268,10.47
06481,1214,3.24
19716,1159,1.02
34488,10499,8.66
34202,23739,7.19
62982,960,3.25
47708,329,0.09
51243,826,17.96
30660,1204,15.2
41073,5792,1.1
70357,2487,36.78
71254,6505,22.76
42464,1496,10.36
41083,1270,7.11
40444,14412,10.35
41035,11602,5.74
40057,3579,14.56
41612,160,7.76
40025,48,2.54
40313,3316,3.21
41725,241,1.46
40144,1446,3.63
71360,37527,4.92
71268,2433,14.28
70575,111,3.77
71479,684,16.41
04039,7562,5.59
04622,1101,11.59
04354,1462,7.15
04975,0,4.24
04920,1681,26.04
20899,260,0.33
21717,77,2.41
64125,1389,1.23
63653,1310,9.15
64066,38,12.03
65556,6247,11.31
65623,21,4.8
65612,1041,12.18
59456,413,26.87
59054,250,56.77
59735,255,34.35
59834,2718,16.84
68137,25984,0.92
69333,293,45.28
68841,482,13.39
68304,360,12.47
03280,1164,13.13
03753,2874,9.99
07621,27372,1.05
08740,1733,1.62
16244,284,12.71
15422,189,5.53
18444,13615,3.19
17576,271,2.75
15049,848,1.63
19102,4937,0.18
18617,1897,8.72
29108,20890,1.9
29030,1928,7.25
29483,81942,1.97
29591,5350,16.26
29117,1056,2.96
29368,96,8.56
57422,249,27.68
57054,495,11.54
37066,50328,0.94
38301,33168,2.82
37174,34873,3.13
60129,260,8.35
61839,610,6.87
61049,560,7.95
60144,69,10.18
60302,32048,0.73
60472,4870,1.51
47421,27370,1.42
47916,62,9.21
47860,384,5.83
46961,121,6.13
47281,1199,11.72
50230,1050,20.64
50227,22,18.08
50551,94,8.33
50105,955,4.9
52033,3172,22.26
50559,287,19.24
51230,331,13.45
67747,238,24.14
66621,689,0.51
67457,836,17.27
40372,2090,7.12
99109,5234,20.15
99166,3058,27.78
98304,634,27.55
98830,581,36.29
26405,1330,10.56
26554,42011,0.94
25271,9630,1.35
98638,1296,14.94
24844,1193,13.16
24845,285,14.39
24736,493,8.18
26250,5274,1.78
54521,7782,20.26
24847,286,13.02
54985,415,0.17
83116,672,1.49
26151,781,11.47
98305,310,8.02
24656,2812,9.26
19731,300,5.7
46376,263,8.32
54896,1406,26.28
33404,28717,0.71
35548,1704,9.97
36775,839,12.86
71651,97,23.35
53504,1982,11.74
03101,2701,0.14
21802,89,1.36
02141,14052,0.86
66019,380,9.95
61315,213,7.28
46987,978,4.06
48083,22981,0.99
04490,266,31.9
06059,0,6.05
80290,0,0.47
99124,315,38.76
05747,323,10.47
76483,1065,27.17
88134,57,39.78
07702,4088,0.35
17083,51,4.29
84629,2638,12.44
19103,24219,0.42
15015,1201,0.77
17250,95,3.62
43970,80,13.07
43529,328,12.61
12307,6115,0.06
36522,7685,17.56
30165,41961,5.3
85922,37,44.19
85620,639,4.19
84531,913,36.96
96120,1044,1.43
82063,214,30.43
93643,2960,11.69
96080,28487,6.68
95458,3019,4.98
74578,6138,1.09
97624,3459,34.5
97343,203,10.37
97148,3735,10.3
16616,122,4.63
97123,48770,5.34
97424,17854,3.55
17756,12242,10.34
97758,99,41.53
97494,36,6.48
19442,0,2.97
17887,232,1.16
15078,465,11.91
15737,64,4.12
15546,310,7.25
18428,11996,12.12
18814,210,7.04
17041,248,6.81
85019,26659,1.16
71665,5856,15.76
71671,8501,1.66
71998,384,22.09
72476,6607,3.21
71837,5312,15.78
71763,1604,22.62
71858,2285,18.69
93254,858,22.62
20520,0,0.17
20427,0,0.34
32714,37223,1.2
32134,7376,17.99
33498,14404,4.49
31021,28391,3.02
30521,5042,10.72
31804,5865,10.18
30252,46286,5.05
39842,8021,13.99
30474,16665,1.63
95835,40101,4.26
93203,22744,11.36
95364,0,28.71
91203,15000,1.25
95363,26900,16.48
93665,875,13.52
90071,0,0.45
95724,20,8.09
80302,29109,4.65
80746,64,8.77
81223,1439,20.42
81243,101,24.09
80218,19129,0.62
19977,25568,2.71
20202,0,0.71
34681,775,2.52
32097,18518,2.78
30513,11753,12.93
31318,432,13.91
31780,2100,9.74
30326,6030,0.69
30293,2948,7.16
83244,328,60.94
83544,6079,4.91
83218,327,12.73
83467,5978,11.27
62089,501,1.24
61243,248,12.74
62987,1424,10.56
60171,10148,2.07
60643,49870,1.06
62865,1977,8.53
61936,290,11.99
61039,1012,10.08
47457,170,8.34
47337,177,7.36
46183,15,5.65
46068,2811,4.92
47836,0,8.61
47683,180,12.7
47969,152,16.0
52060,8402,27.06
51244,78,5.77
50603,581,20.59
