ZCTA,pop,STATEFP,minDist_OTP
99574,3111,2,128.8525796
99729,202,2,115.5084866
99517,16405,2,1.682220055
99639,1036,2,93.48088212
99768,207,2,211.0810861
99833,3255,2,659.3034534
99701,17510,2,168.4617308
99654,62135,2,16.60402611
99733,74,2,121.8948755
99709,30428,2,14.66689424
99754,62,2,293.3297912
99626,283,2,347.4538649
99786,299,2,282.4307718
99676,1353,2,62.22137974
99611,15657,2,49.45532396
99607,222,2,328.7216876
99590,176,2,351.3432725
99778,225,2,543.154199
99925,927,2,640.4571242
99740,533,2,215.4383524
99557,698,2,204.4677013
99661,1389,2,566.9639085
99561,501,2,490.4546127
99572,580,2,47.49539488
99605,95,2,29.85131416
99552,416,2,379.2781286
99519,469,2,284.9456684
99625,76,2,266.8553841
99693,313,2,33.56323498
99576,2494,2,300.340947
99830,595,2,631.4443814
99760,605,2,46.16755985
99785,407,2,547.5835894
99737,4821,2,107.9235122
99746,404,2,306.7485377
99566,98,2,219.3383199
99903,0,2,627.4209612
99752,3370,2,435.0153404
99657,318,2,381.3468817
99627,308,2,215.5581325
99504,42504,2,3.980434612
99510,949,2,369.0994228
99513,0,2,0.740805266
99518,10450,2,2.196990915
99550,190,2,253.5497604
99563,1144,2,519.4073027
99569,48,2,340.6620673
99581,761,2,487.0647709
99588,803,2,101.3511722
99704,39,2,57.0924478
99772,597,2,526.5723241
99603,10509,2,124.6444019
99606,334,2,188.7354804
99613,455,2,248.1480485
99614,613,2,488.1031088
99691,114,2,164.2296107
99649,91,2,365.665858
99664,4575,2,76.55675904
99685,4566,2,793.9935058
99615,12971,2,279.7130818
99631,357,2,43.19701527
99641,869,2,420.6238149
99645,30450,2,13.73800877
99662,594,2,530.4831302
99663,390,2,138.3620181
99684,702,2,379.5853298
99770,839,2,359.5775992
99694,1705,2,13.85873034
99686,3870,2,90.49357264
99689,665,2,364.8217462
99695,0,2,503.0258735
99688,2624,2,31.58581173
99578,518,2,415.5041594
99640,151,2,190.4509717
99826,416,2,481.2484604
99927,38,2,677.743164
99706,4,2,108.3166456
99726,77,2,200.912744
99738,103,2,164.2748314
99748,172,2,330.0379529
99801,30106,2,572.3932984
99682,483,2,105.7932791
99674,1444,2,41.37863481
99656,21,2,256.3474797
99638,26,2,913.0361312
99650,576,2,430.1587281
99672,3435,2,42.58274728
99705,22944,2,13.41548102
99712,14489,2,47.62337542
99714,1204,2,42.29670045
99727,608,2,394.6124219
99730,49,2,89.86215299
99739,303,2,435.1346967
99827,2565,2,496.7692757
99832,124,2,520.1679586
99901,13818,2,586.8907538
99918,148,2,652.1874837
99926,1635,2,577.3799154
99743,1041,2,103.0447765
99745,90,2,205.6050088
99755,856,2,83.75998007
99757,14,2,168.9478857
99762,4307,2,492.2796786
99775,1358,2,3.126350505
99780,1559,2,181.4842949
99781,141,2,188.0052325
99789,469,2,373.6326012
99790,10,2,43.27711673
99791,164,2,457.8736464
99820,527,2,603.1361196
99556,2640,2,106.9968135
99782,508,2,511.5307971
99546,203,2,1196.028021
99660,425,2,769.9667637
99634,392,2,407.1071583
99764,439,2,213.5083601
99922,330,2,630.4498596
99554,837,2,489.9914846
99774,11,2,90.30457782
99751,143,2,296.3968488
99628,824,2,355.6039475
99516,20965,2,10.03978303
99551,567,2,385.7245417
99612,1074,2,619.2823362
99577,28308,2,20.60891611
99750,688,2,509.4915484
99766,625,2,539.8453304
99568,315,2,85.06866669
99547,35,2,1102.743229
99744,98,2,57.08473599
99609,574,2,422.8544622
99824,2224,2,565.6799797
99558,104,2,350.4604731
99929,2484,2,652.2157123
99721,265,2,253.8932663
99679,415,2,368.3183079
99585,299,2,410.0548192
99604,1101,2,536.634037
99690,189,2,503.9626217
99829,800,2,539.7065029
99747,178,2,378.7945808
99783,170,2,590.0475106
99602,183,2,333.2608539
99540,284,2,20.86909071
99681,339,2,512.6087508
99923,15,2,585.4772915
99773,288,2,302.8416003
99643,249,2,301.7947636
99666,167,2,502.9732108
99644,187,2,243.6661295
99723,4452,2,499.5839902
99658,762,2,443.3562933
99678,768,2,373.0057847
99741,510,2,269.6185759
99784,186,2,462.6025897
99575,90,2,274.5194727
99670,41,2,301.3374955
99756,83,2,123.5689192
99580,80,2,289.5504569
99501,17058,2,0.342135086
99507,38424,2,4.679318543
99548,51,2,467.5394282
99549,78,2,427.0450962
99553,758,2,762.5538575
99677,78,2,101.9038905
99692,215,2,795.3217956
99742,601,2,715.4131134
99749,299,2,388.7497195
99753,271,2,394.4766462
99624,52,2,292.5524932
99630,226,2,553.7916622
99632,828,2,455.7551436
99758,229,2,52.81880589
99763,597,2,401.9292614
99765,257,2,307.184436
99767,60,2,84.14239902
99653,151,2,165.2499647
99647,20,2,169.4482058
99648,86,2,494.1737992
99651,13,2,433.8052804
99659,468,2,422.7075485
99668,83,2,241.8693494
99669,16249,2,65.80972832
99633,464,2,294.2355742
99637,527,2,513.9647267
99655,796,2,420.1862496
99665,75,2,329.1973559
99621,653,2,386.234927
99579,83,2,332.9926376
99583,78,2,660.1029402
99610,1899,2,67.96191172
99620,811,2,458.8186778
99571,126,2,607.4132218
99591,78,2,769.9453046
99825,63,2,524.8932774
99559,7888,2,404.8467726
99567,9181,2,25.6498711
99769,921,2,678.2351318
99776,141,2,164.8513671
99777,242,2,129.3318082
99836,97,2,641.0858158
99921,1986,2,629.3724499
99722,153,2,232.1239061
99724,46,2,107.2036906
99736,154,2,440.9188175
99555,204,2,327.9580335
99720,174,2,187.033066
99589,192,2,425.7334502
99680,566,2,434.4238248
99671,473,2,426.7402398
99702,3006,2,24.12367007
99502,24671,2,3.848182489
99761,422,2,468.3257428
99636,557,2,279.2376106
99506,7029,2,3.769233071
99508,35605,2,1.97629646
99734,1458,2,381.5479693
99759,251,2,527.5044059
99771,294,2,401.4613726
99788,115,2,167.9673015
99515,23402,2,5.129461937
99565,75,2,458.843586
99573,540,2,111.3684262
99841,155,2,558.9935585
99587,2065,2,37.15405076
99505,6330,2,8.433412756
99503,13221,2,233.1345322
99732,13,2,178.9448054
99622,379,2,460.917503
99703,8859,2,3.081877663
99840,1061,2,495.982913
99835,8738,2,597.3033285
99919,689,2,631.3213946
99652,3183,2,19.45332301
99667,86,2,75.95370475
99586,302,2,186.6013951
99683,447,2,83.29899171
99564,61,2,456.437427
