ZCTA,pop,STATEFP,minDist_OTP
96777,2061,15,41.21930364
96746,19324,15,110.4765426
96786,44271,15,18.60572542
96790,9776,15,18.84483973
96853,599,15,3.942181018
96747,874,15,119.9738893
96740,39694,15,54.84696002
96857,2815,15,16.17416897
96730,1359,15,15.73199159
96727,5270,15,39.41430027
96755,3010,15,57.97257681
96772,2472,15,51.59469364
96751,69,15,106.4873719
96796,1952,15,128.108012
96743,14496,15,44.64554442
96815,25268,15,3.313183744
96752,3572,15,128.2604271
96863,46,15,11.2611792
96860,2203,15,4.749422032
96859,111,15,3.031642185
96850,0,15,0.609159355
96704,7871,15,55.77878105
96716,2982,15,120.7150121
96717,5148,15,16.38304651
96821,18539,15,6.961921853
96782,38335,15,7.690006865
96770,597,15,43.45138643
96781,1229,15,9.803065209
96778,15125,15,19.58754213
96769,294,15,148.9200789
96780,700,15,20.39308331
96725,2984,15,54.85922066
96814,19527,15,1.354258832
96705,2869,15,115.8325213
96768,18155,15,12.96519114
96816,49664,15,4.475883286
96734,50386,15,8.580380136
96726,480,15,53.2675293
96773,59,15,16.37484133
96738,6728,15,49.09050878
96789,53734,15,12.69311704
96791,7715,15,24.15310409
96795,9988,15,9.189779713
96742,75,15,35.19291114
96763,2826,15,29.08507239
96748,4380,15,29.41964645
96793,33074,15,3.534340877
96710,246,15,14.277777
96783,1645,15,10.09867962
96720,49405,15,10.86766701
96706,72799,15,9.218154127
96765,360,15,111.9557736
96760,2917,15,10.69626864
96731,2984,15,25.07782141
96759,360,15,16.27820038
96722,2213,15,119.1692788
96776,1302,15,29.01362612
96714,907,15,121.8138789
96813,25219,15,0.990434473
96741,6284,15,114.2684917
96708,10243,15,17.20277359
96819,53886,15,2.14504856
96753,27649,15,12.93321686
96732,29668,15,2.073606717
96757,580,15,37.33704193
96792,50127,15,21.0601622
96749,17484,15,8.048607143
96764,592,15,20.40961895
96766,18272,15,109.4641087
96771,7934,15,13.6584103
96701,40439,15,5.557709993
96785,3322,15,28.69152381
96761,23223,15,8.614413244
96756,6206,15,109.3625494
96797,74262,15,9.841243378
96825,29375,15,10.75596308
96728,453,15,11.13005512
96817,56496,15,2.336319173
96774,181,15,24.43032887
96818,59482,15,4.499631812
96779,2708,15,6.846436353
96754,3112,15,115.0420548
96737,4926,15,64.20547203
96762,6686,15,21.45040195
96712,7575,15,24.08652043
96750,3370,15,46.41719755
96744,51692,15,9.037204581
96826,31945,15,2.369719951
96707,47958,15,13.6148121
96703,2087,15,110.7490963
96719,1702,15,59.42453041
96713,1201,15,28.94532852
96729,1191,15,44.64189136
96822,46645,15,3.065622743
