ZCTA,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
"1001","7769","96.29","3.71","0.91","32.56","26.69",675.3081083
"1002","10947","90.23","9.77","0.14","24.29","53.65",198.8021065
"1003","60","60","40","0","23.38","88.89",84.34719128
"1005","2074","86.69","13.31","1.3","44.15","16.24",46.85742708
"1007","5925","92.41","7.59","5.96","37.04","18.01",112.6408906
"1008","634","80.44","19.56","0.47","40.18","4.9",11.7840135
"1009","206","50.97","49.03","0","68.27","0",253.5413531
"1010","1710","83.68","16.32","8.95","43.81","11.53",49.17710926
"1011","696","81.75","18.25","1.01","46.14","20.39",22.02893636
"1012","333","75.68","24.32","0","50.71","11.9",25.38807576
"1013","10192","91.1","8.9","0.09","24.92","53.52",1809.588131
"1020","13326","94.62","5.38","4.54","35.59","36.53",1063.953539
"1022","1161","95.43","4.57","0","23.67","28.7",243.2648697
"1026","520","86.35","13.65","0.58","42.14","19.6",21.66182203
"1027","8494","93.9","6.1","0.24","33.2","39.23",209.7307144
"1028","6175","96.47","3.53","0","35.57","17.76",477.3436766
"1029","1055","26.82","73.18","3.32","32.57","25.44",66.56344536
"1030","4615","95.21","4.79","0","52.53","17.09",390.4794346
"1031","653","77.64","22.36","1.07","28.4","41.22",80.48789867
"1032","367","62.13","37.87","0.82","48.41","9.65",31.19798176
"1033","2551","97.73","2.27","0","47.43","15.52",91.71524961
"1034","1226","68.6","31.4","0","44.47","8.2",17.11409069
"1035","2460","95.73","4.27","0.49","46.29","21.53",106.5718737
"1036","2109","94.12","5.88","0","50.55","10.83",108.2652025
"1037","266","92.86","7.14","0","57.58","8.91",18.85747318
"1038","1457","91.28","8.72","0","40.18","27.44",145.8588679
"1039","551","92.74","7.26","0.91","30.25","32.88",41.6941579
"1040","16855","90.63","9.37","0","20.68","59.24",796.3719424
"1050","1273","80.99","19.01","5.97","45.83","18.82",33.21483167
"1053","623","98.23","1.77","0","33.57","22.22",121.4132354
"1054","823","94.78","5.22","2.31","42.6","12.56",36.11191823
"1056","8498","93.68","6.32","0.89","40.2","26.13",312.4506424
"1057","3632","94.93","5.07","2.75","41.61","15.49",80.80228146
"1060","7022","92.37","7.63","0","22.09","59.59",642.7956322
"1062","4322","94.05","5.95","0","35.17","27.95",238.0898954
"1063","0",,,,,,0
"1066","9","100","0","0","0","100",12.65386442
"1068","711","94.23","5.77","0.56","48.77","5.37",34.14856973
"1069","3897","91.28","8.72","4.59","40.92","24.49",138.7369777
"1070","331","78.85","21.15","2.72","46.91","13.79",16.07110556
"1071","584","87.84","12.16","4.11","52.61","6.63",37.5224217
"1072","769","84.53","15.47","0","39.97","9.54",38.31089889
"1073","2449","97.88","2.12","0","36.76","8.76",86.99151943
"1074","198","76.26","23.74","0","0","88.08",2328.206153
"1075","6913","96.66","3.34","0.1","38.98","27.27",390.1960801
"1077","4054","93.76","6.24","0","40.34","16.84",131.5260462
"1079","319","100","0","0","11.25","41.38",283.6023725
"1080","1042","91.65","8.35","1.15","21.23","44.5",603.4532684
"1081","911","85.07","14.93","9.11","33.08","20.13",62.76079121
"1082","5181","88.11","11.89","2.91","33.47","29.68",112.3261238
"1083","1298","85.75","14.25","4.24","27.86","25.07",82.39879308
"1084","110","69.09","30.91","0","32.18","7.89",11.97068078
"1085","16341","95.2","4.8","2.73","33.59","31.63",273.6986067
"1086","0",,,,,,0
"1088","241","87.55","12.45","14.52","34.86","29.86",46.38272484
"1089","12463","96.58","3.42","1.85","30.01","41.57",745.1003258
"1092","673","80.24","19.76","0","38.87","22.22",100.316892
"1093","120","96.67","3.33","0","52.3","6.03",23.79718186
"1094","176","100","0","0","33.33","53.41",154.1406012
"1095","5492","97.47","2.53","0.29","40.89","12.07",244.1458416
"1096","1207","89.89","10.11","0","43.44","19.72",38.11826604
"1097","21","100","0","0","5.08","71.43",11.20857449
"1098","657","85.54","14.46","0.46","47.99","11.03",20.94821115
"1103","1727","83.9","16.1","0","5.25","91.51",3752.942914
"1104","9664","93.93","6.07","0","19.63","54.16",1852.728782
