COUNTYFP,rcaUrbP,rcaSubrbP,rcaRuralP,state,name,note,totPop10,urbPop10,rurlPop10,cenRuralP
01001,0.58,0.42,0.0,AL,"Autauga County, Alabama",,54571.0,31650.0,22921.0,0.42
01003,0.34,0.22,0.44,AL,"Baldwin County, Alabama",,182265.0,105205.0,77060.0,0.42
01005,0.0,0.0,1.0,AL,"Barbour County, Alabama",,27457.0,8844.0,18613.0,0.68
01007,0.0,1.0,0.0,AL,"Bibb County, Alabama",,22915.0,7252.0,15663.0,0.68
01009,0.0,0.44,0.56,AL,"Blount County, Alabama",,57322.0,5760.0,51562.0,0.9
01011,0.0,1.0,0.0,AL,"Bullock County, Alabama",,10914.0,5307.0,5607.0,0.51
01013,0.0,0.22,0.78,AL,"Butler County, Alabama",,20947.0,6026.0,14921.0,0.71
01015,0.68,0.29,0.03,AL,"Calhoun County, Alabama",,118572.0,78617.0,39955.0,0.34
01017,0.0,0.78,0.22,AL,"Chambers County, Alabama",,34215.0,17399.0,16816.0,0.49
01019,0.0,0.5,0.5,AL,"Cherokee County, Alabama",,25989.0,3707.0,22282.0,0.86
01021,0.0,0.33,0.67,AL,"Chilton County, Alabama",,43643.0,5785.0,37858.0,0.87
01023,0.0,0.0,1.0,AL,"Choctaw County, Alabama",,13859.0,0.0,13859.0,1.0
01025,0.0,0.11,0.89,AL,"Clarke County, Alabama",,25833.0,6205.0,19628.0,0.76
01027,0.0,0.5,0.5,AL,"Clay County, Alabama",,13932.0,0.0,13932.0,1.0
01029,0.0,0.75,0.25,AL,"Cleburne County, Alabama",,14972.0,0.0,14972.0,1.0
01031,0.0,0.43,0.57,AL,"Coffee County, Alabama",,49948.0,26375.0,23573.0,0.47
01033,0.64,0.36,0.0,AL,"Colbert County, Alabama",,54428.0,30537.0,23891.0,0.44
01035,0.0,0.0,1.0,AL,"Conecuh County, Alabama",,13228.0,2520.0,10708.0,0.81
01037,0.0,0.0,1.0,AL,"Coosa County, Alabama",,11539.0,0.0,11539.0,1.0
01039,0.0,0.07,0.93,AL,"Covington County, Alabama",,37765.0,11461.0,26304.0,0.7
01041,0.0,0.67,0.33,AL,"Crenshaw County, Alabama",,13906.0,0.0,13906.0,1.0
01043,0.0,0.22,0.78,AL,"Cullman County, Alabama",,80406.0,21517.0,58889.0,0.73
01045,0.07,0.79,0.14,AL,"Dale County, Alabama",,50251.0,24679.0,25572.0,0.51
01047,0.0,0.53,0.47,AL,"Dallas County, Alabama",,43820.0,23821.0,19999.0,0.46
01049,0.0,0.07,0.93,AL,"DeKalb County, Alabama",,71109.0,7018.0,64091.0,0.9
01051,0.47,0.47,0.07,AL,"Elmore County, Alabama",,79303.0,36330.0,42973.0,0.54
01053,0.0,0.0,1.0,AL,"Escambia County, Alabama",,38319.0,13982.0,24337.0,0.64
01055,0.73,0.17,0.1,AL,"Etowah County, Alabama",,104430.0,65286.0,39144.0,0.37
01057,0.0,0.2,0.8,AL,"Fayette County, Alabama",,17241.0,3408.0,13833.0,0.8
01059,0.0,0.56,0.44,AL,"Franklin County, Alabama",,31704.0,9395.0,22309.0,0.7
01061,0.0,0.83,0.17,AL,"Geneva County, Alabama",,26790.0,2775.0,24015.0,0.9
01063,0.0,1.0,0.0,AL,"Greene County, Alabama",,9045.0,0.0,9045.0,1.0
01065,0.0,1.0,0.0,AL,"Hale County, Alabama",,15760.0,1707.0,14053.0,0.89
01067,0.0,0.83,0.17,AL,"Henry County, Alabama",,17302.0,2119.0,15183.0,0.88
01069,0.68,0.32,0.0,AL,"Houston County, Alabama",,101547.0,67220.0,34327.0,0.34
