COUNTYFP,STATEFP,county,county_name,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
01001,01,1,Autauga,594.44,55200,3,0.01,0.0
01003,01,3,Baldwin,1589.79,208107,21,0.01,0.0
01005,01,5,Barbour,885.0,25782,3,0.0,0.0
01007,01,7,Bibb,622.46,22527,1,0.0,0.0
01009,01,9,Blount,644.83,57645,2,0.0,0.0
01011,01,11,Bullock,622.8,10352,1,0.0,0.0
01013,01,13,Butler,776.83,20025,2,0.0,0.0
01015,01,15,Calhoun,605.86,115098,7,0.01,0.0
01017,01,17,Chambers,596.56,33826,2,0.0,0.0
01019,01,19,Cherokee,553.52,25853,,,
01021,01,21,Chilton,692.85,43930,3,0.0,0.0
01023,01,23,Choctaw,913.46,13075,3,0.0,0.0
01025,01,25,Clarke,1238.41,24387,3,0.0,0.0
01027,01,27,Clay,603.96,13378,,,
01029,01,29,Cleburne,560.1,14938,1,0.0,0.0
01031,01,31,Coffee,678.98,51288,3,0.0,0.0
01033,01,33,Colbert,592.74,54495,9,0.02,0.0
01035,01,35,Conecuh,850.2,12514,1,0.0,0.0
01037,01,37,Coosa,650.91,10855,,,
01039,01,39,Covington,1030.55,37351,3,0.0,0.0
01041,01,41,Crenshaw,608.86,13865,1,0.0,0.0
01043,01,43,Cullman,734.78,82313,6,0.01,0.0
01045,01,45,Dale,561.1,49255,1,0.0,0.0
01047,01,47,Dallas,978.73,40029,6,0.01,0.0
01049,01,49,DeKalb,777.1,71200,3,0.0,0.0
01051,01,51,Elmore,618.44,81212,2,0.0,0.0
01053,01,53,Escambia,945.22,37328,2,0.0,0.0
01055,01,55,Etowah,535.28,102939,10,0.02,0.0
01057,01,57,Fayette,627.68,16585,,,
01059,01,59,Franklin,633.92,31542,3,0.0,0.0
01061,01,61,Geneva,574.48,26491,1,0.0,0.0
01063,01,63,Greene,647.02,8426,,,
01065,01,65,Hale,643.98,14887,1,0.0,0.0
01067,01,67,Henry,561.75,17124,2,0.0,0.0
01069,01,69,Houston,579.87,104352,10,0.02,0.0
01071,01,71,Jackson,1077.98,52094,6,0.01,0.0
01073,01,73,Jefferson,1111.38,659892,56,0.05,0.0
01075,01,75,Lamar,604.84,13933,,,
01077,01,77,Lauderdale,668.01,92585,9,0.01,0.0
01079,01,79,Lawrence,690.68,33171,,,
01081,01,81,Lee,607.55,159287,6,0.01,0.0
01083,01,83,Limestone,559.95,93052,2,0.0,0.0
01085,01,85,Lowndes,715.91,10236,1,0.0,0.0
01087,01,87,Macon,608.82,19054,3,0.0,0.0
01089,01,89,Madison,801.58,357560,38,0.05,0.0
01091,01,91,Marengo,976.89,19538,3,0.0,0.0
01093,01,93,Marion,742.34,29965,3,0.0,0.0
01095,01,95,Marshall,565.84,95145,5,0.01,0.0
01097,01,97,Mobile,1229.36,414659,40,0.03,0.0
01099,01,99,Monroe,1025.66,21512,1,0.0,0.0
01101,01,101,Montgomery,785.3,226941,22,0.03,0.0
01103,01,103,Morgan,579.39,119122,7,0.01,0.0
01105,01,105,Perry,719.65,9486,2,0.0,0.0
01107,01,107,Pickens,881.43,20298,,,
01109,01,109,Pike,672.06,33403,4,0.01,0.0
01111,01,111,Randolph,580.55,22574,1,0.0,0.0
01113,01,113,Russell,641.15,58213,3,0.0,0.0
01115,01,115,St. Clair,631.6,87306,2,0.0,0.0
01117,01,117,Shelby,785.37,211261,16,0.02,0.0
01119,01,119,Sumter,903.82,12985,1,0.0,0.0
01121,01,121,Talladega,736.78,80565,3,0.0,0.0
01123,01,123,Tallapoosa,716.52,40636,2,0.0,0.0
01125,01,125,Tuscaloosa,1320.85,206213,16,0.01,0.0
01127,01,127,Walker,791.0,64493,3,0.0,0.0
01129,01,129,Washington,1080.2,16643,1,0.0,0.0
01131,01,131,Wilcox,888.45,10809,3,0.0,0.0
01133,01,133,Winston,612.98,23875,3,0.0,0.0
02013,02,13,Aleutians East,6985.04,3425,,,
02016,02,16,Aleutians West,4392.09,5750,,,
02020,02,20,Anchorage,1706.39,296112,54,0.03,0.0
02050,02,50,Bethel,40628.89,18040,,,
02060,02,60,Bristol Bay,481.98,890,1,0.0,0.0
02068,02,68,Denali,12636.9,2232,2,0.0,0.0
02070,02,70,Dillingham,18331.28,4975,1,0.0,0.0
02090,02,90,Fairbanks North Star,7329.48,99653,16,0.0,0.0
02100,02,100,Haines,2339.58,2518,2,0.0,0.0
02105,02,105,Hoonah-Angoon,6556.59,2132,1,0.0,0.0
02110,02,110,Juneau,2703.85,32330,8,0.0,0.0
02122,02,122,Kenai Peninsula,16023.24,58220,11,0.0,0.0
02130,02,130,Ketchikan Gateway,4856.85,13804,4,0.0,0.0
02150,02,150,Kodiak Island,6615.34,13649,1,0.0,0.0
02158,02,158,Kusilvak,17073.83,8198,,,
02164,02,164,Lake and Peninsula,23897.28,1375,1,0.0,0.0
02170,02,170,Matanuska-Susitna,24713.68,103464,22,0.0,0.0
02180,02,180,Nome,22971.86,9925,,,
02185,02,185,North Slope,88823.99,9797,,,
02188,02,188,Northwest Arctic,35648.29,7734,,,
02195,02,195,Petersburg,2900.6,3255,3,0.0,0.0
02198,02,198,Prince of Wales-Hyder,5262.75,6474,3,0.0,0.0
02220,02,220,Sitka,2870.0,8738,4,0.0,0.0
02230,02,230,Skagway,433.93,1061,2,0.0,0.0
02240,02,240,Southeast Fairbanks,24822.66,6876,3,0.0,0.0
02261,02,261,Valdez-Cordova,34221.75,9301,5,0.0,0.0
02275,02,275,Wrangell,2555.98,2484,,,
02282,02,282,Yakutat,7623.24,689,1,0.0,0.0
02290,02,290,Yukon-Koyukuk,145573.22,5415,2,0.0,0.0
04001,04,1,Apache,11197.42,71522,2,0.0,0.0
04003,04,3,Cochise,6164.54,126279,9,0.0,0.0
04005,04,5,Coconino,18618.59,140217,9,0.0,0.0
04007,04,7,Gila,4757.97,53400,4,0.0,0.0
04009,04,9,Graham,4622.68,37879,1,0.0,0.0
04011,04,11,Greenlee,1841.97,9504,,,
04012,04,12,La Paz,4499.61,20701,2,0.0,0.0
04013,04,13,Maricopa,9199.21,4253913,170,0.02,0.0
04015,04,15,Mohave,13311.01,206064,7,0.0,0.0
04017,04,17,Navajo,9949.84,108705,3,0.0,0.0
04019,04,19,Pima,9187.18,1019722,44,0.0,0.0
04021,04,21,Pinal,5365.81,419721,10,0.0,0.0
04023,04,23,Santa Cruz,1236.92,46584,1,0.0,0.0
04025,04,25,Yavapai,8123.47,224645,23,0.0,0.0
04027,04,27,Yuma,5513.95,207829,13,0.0,0.0
05001,05,1,Arkansas,988.76,18124,6,0.01,0.0
05003,05,3,Ashley,925.35,20537,,,
05005,05,5,Baxter,554.22,41219,14,0.03,0.0
05007,05,7,Benton,847.55,258980,24,0.03,0.0
05009,05,9,Boone,589.99,37288,8,0.01,0.0
05011,05,11,Bradley,649.23,10948,,,
05013,05,13,Calhoun,628.56,5202,2,0.0,0.0
05015,05,15,Carroll,629.96,27887,5,0.01,0.0
05017,05,17,Chicot,644.33,10826,3,0.0,0.0
05019,05,19,Clark,866.07,22385,5,0.01,0.0
05021,05,21,Clay,639.47,15061,,,
05023,05,23,Cleburne,553.73,25230,,,
05025,05,25,Cleveland,597.78,8226,2,0.0,0.0
05027,05,27,Columbia,765.98,23892,2,0.0,0.0
05029,05,29,Conway,552.25,20906,11,0.02,0.0
05031,05,31,Craighead,707.28,105701,,,
05033,05,33,Crawford,591.19,62472,,,
05035,05,35,Crittenden,610.33,49013,7,0.01,0.0
05037,05,37,Cross,616.38,16998,3,0.0,0.0
05039,05,39,Dallas,667.38,7432,4,0.01,0.0
05041,05,41,Desha,768.13,11887,5,0.01,0.0
05043,05,43,Drew,828.35,18502,2,0.0,0.0
05045,05,45,Faulkner,647.94,122416,,,
05047,05,47,Franklin,608.85,17780,7,0.01,0.0
05049,05,49,Fulton,618.19,12139,,,
05051,05,51,Garland,677.72,98296,29,0.04,0.0
05053,05,53,Grant,631.81,18086,,,
05055,05,55,Greene,577.69,44623,7,0.01,0.0
05057,05,57,Hempstead,727.52,22018,1,0.0,0.0
