GEOID,TRACTCE,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
01001020100,020100,3.79,1923,0.0,0.0,0.0
01001020200,020200,1.28,2028,0.0,0.0,0.0
01001020300,020300,2.07,3476,1.0,0.48,0.0
01001020400,020400,2.46,3831,0.0,0.0,0.0
01001020500,020500,4.4,9883,0.0,0.0,0.0
01001020600,020600,3.1,3705,0.0,0.0,0.0
01001020700,020700,8.65,4029,0.0,0.0,0.0
01001020801,020801,47.98,2826,1.0,0.02,0.0
01001020802,020802,73.67,11603,0.0,0.0,0.0
01001020900,020900,113.03,6401,0.0,0.0,0.0
01001021000,021000,149.37,2550,1.0,0.01,0.0
01001021100,021100,184.61,2945,0.0,0.0,0.0
01003010100,010100,375.11,4255,0.0,0.0,0.0
01003010200,010200,85.7,3104,0.0,0.0,0.0
01003010300,010300,132.45,9413,0.0,0.0,0.0
01003010400,010400,284.76,4678,0.0,0.0,0.0
01003010500,010500,6.65,5444,0.0,0.0,0.0
01003010600,010600,7.17,3565,1.0,0.14,0.0
01003010701,010701,42.24,8324,0.0,0.0,0.0
01003010703,010703,55.6,19892,0.0,0.0,0.0
01003010704,010704,3.25,5880,0.0,0.0,0.0
01003010705,010705,6.73,9744,1.0,0.15,0.0
01003010800,010800,6.98,7036,2.0,0.29,0.0
01003010903,010903,21.46,5789,1.0,0.05,0.0
01003010904,010904,106.61,6223,0.0,0.0,0.0
01003010905,010905,27.46,8181,0.0,0.0,0.0
01003010906,010906,15.2,5251,0.0,0.0,0.0
01003011000,011000,50.38,4512,0.0,0.0,0.0
01003011101,011101,13.01,11095,2.0,0.15,0.0
01003011102,011102,17.07,4385,0.0,0.0,0.0
01003011201,011201,4.79,5021,0.0,0.0,0.0
01003011202,011202,5.2,6003,0.0,0.0,0.0
01003011300,011300,25.73,4921,0.0,0.0,0.0
01003011401,011401,63.61,11287,0.0,0.0,0.0
01003011403,011403,32.9,10629,1.0,0.03,0.0
01003011405,011405,5.99,4647,0.0,0.0,0.0
01003011406,011406,13.17,3098,7.0,0.53,0.0
01003011407,011407,13.02,4984,4.0,0.31,0.0
01003011408,011408,10.59,620,0.0,0.0,0.0
01003011501,011501,14.91,5867,0.0,0.0,0.0
01003011502,011502,20.04,12485,2.0,0.1,0.0
01003011601,011601,90.56,6216,0.0,0.0,0.0
01003011602,011602,31.46,5558,0.0,0.0,0.0
01003990000,,,0,,,
01005950100,950100,187.35,2969,0.0,0.0,0.0
01005950200,950200,199.62,3795,1.0,0.01,0.0
01005950300,950300,136.21,1679,0.0,0.0,0.0
01005950400,950400,132.56,3822,0.0,0.0,0.0
01005950500,950500,128.84,3587,0.0,0.0,0.0
01005950600,950600,39.26,1946,1.0,0.03,0.0
01005950700,950700,49.12,1643,1.0,0.02,0.0
01005950800,950800,5.69,2347,0.0,0.0,0.0
01005950900,950900,6.35,3994,0.0,0.0,0.0
01007010001,010001,91.0,2446,0.0,0.0,0.0
01007010002,010002,69.74,6041,0.0,0.0,0.0
01007010003,010003,267.05,4831,0.0,0.0,0.0
01007010004,010004,194.67,9209,1.0,0.01,0.0
01009050101,050101,83.07,7747,0.0,0.0,0.0
01009050102,050102,71.35,7073,1.0,0.01,0.0
01009050200,050200,44.97,3870,0.0,0.0,0.0
01009050300,050300,73.32,4749,0.0,0.0,0.0
01009050400,050400,94.64,4138,0.0,0.0,0.0
01009050500,050500,96.22,7455,1.0,0.01,0.0
01009050601,050601,32.37,4183,0.0,0.0,0.0
01009050602,050602,70.23,9414,0.0,0.0,0.0
01009050700,050700,78.66,9016,0.0,0.0,0.0
01011952100,952100,165.33,1659,0.0,0.0,0.0
01011952200,952200,153.87,5753,1.0,0.01,0.0
01011952500,952500,303.6,2940,0.0,0.0,0.0
01013952700,952700,51.67,2081,0.0,0.0,0.0
01013952800,952800,1.33,1245,0.0,0.0,0.0
01013952900,952900,22.18,2259,1.0,0.05,0.0
01013953000,953000,170.46,1640,0.0,0.0,0.0
01013953100,953100,12.43,3255,0.0,0.0,0.0
01013953200,953200,184.82,3385,1.0,0.01,0.0
01013953300,953300,136.01,1807,0.0,0.0,0.0
01013953400,953400,95.87,2905,0.0,0.0,0.0
01013953500,953500,102.07,1448,0.0,0.0,0.0
01015000200,000200,2.62,2554,0.0,0.0,0.0
01015000300,000300,1.01,2498,0.0,0.0,0.0
01015000400,000400,3.91,2740,0.0,0.0,0.0
01015000500,000500,0.9,1112,0.0,0.0,0.0
01015000600,000600,2.66,1996,0.0,0.0,0.0
01015000700,000700,17.68,2773,0.0,0.0,0.0
01015000800,000800,1.39,1026,0.0,0.0,0.0
01015000900,000900,4.68,3595,0.0,0.0,0.0
01015001000,001000,6.44,6194,0.0,0.0,0.0
01015001100,001100,18.75,6985,1.0,0.05,0.0
01015001201,001201,2.84,2978,0.0,0.0,0.0
01015001202,001202,9.07,4088,0.0,0.0,0.0
01015001300,001300,2.25,2042,0.0,0.0,0.0
01015001400,001400,8.14,3143,0.0,0.0,0.0
01015001500,001500,21.03,5220,0.0,0.0,0.0
01015001600,001600,5.45,3646,1.0,0.18,0.0
01015001700,001700,7.21,6774,0.0,0.0,0.0
01015001800,001800,15.88,6902,2.0,0.13,0.0
01015002000,002000,92.4,7130,1.0,0.01,0.0
01015002101,002101,5.29,3487,0.0,0.0,0.0
01015002102,002102,8.03,3254,0.0,0.0,0.0
01015002103,002103,9.7,6919,0.0,0.0,0.0
01015002200,002200,33.94,3481,0.0,0.0,0.0
01015002300,002300,34.17,3622,0.0,0.0,0.0
01015002400,002400,48.08,4758,0.0,0.0,0.0
01015002501,002501,37.5,7333,1.0,0.03,0.0
01015002502,002502,63.43,4493,0.0,0.0,0.0
01015002600,002600,68.6,4355,0.0,0.0,0.0
01015981901,981901,24.24,0,1.0,0.04,inf
01015981902,981902,34.65,0,0.0,0.0,
01015981903,981903,13.93,0,0.0,0.0,
