ZCTA,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
01001,11.5, 17621,  6,  0.52,0.00
01002,55.06, 30066,  6,  0.11,0.00
01003,0.71, 11238, NA,    NA,  NA
01005,44.26,  4991,  1,  0.02,0.00
01007,52.6, 14967,  4,  0.08,0.00
01008,53.8,  1197, NA,    NA,  NA
01009,0.81,   249, NA,    NA,  NA
01010,34.77,  3739, NA,    NA,  NA
01011,31.59,  1448, NA,    NA,  NA
01012,13.12,   560, NA,    NA,  NA
01013,5.63, 23065,  5,  0.89,0.00
01020,12.52, 30097,  8,  0.64,0.00
01022,4.77,  2499,  1,  0.21,0.00
01026,24.01,   954, NA,    NA,  NA
01027,40.5, 17848,  6,  0.15,0.00
01028,12.94, 16200,  4,  0.31,0.00
01029,15.85,   651, NA,    NA,  NA
01030,11.82, 11123, NA,    NA,  NA
01031,8.11,  1197, NA,    NA,  NA
01032,11.76,   533, NA,    NA,  NA
01033,27.81,  6333,  1,  0.04,0.00
01034,71.64,  2179, NA,    NA,  NA
01035,23.08,  5310,  4,  0.17,0.00
01036,19.48,  5191,  2,  0.10,0.00
01037,14.11,   798, NA,    NA,  NA
01038,9.99,  2867,  1,  0.10,0.00
01039,13.22,  1042, NA,    NA,  NA
01040,21.16, 40376,  9,  0.43,0.00
01050,38.33,  2422,  3,  0.08,0.00
01053,5.13,  1702, NA,    NA,  NA
01054,22.79,  1983, NA,    NA,  NA
01056,27.2, 21336,  2,  0.07,0.00
01057,44.95,  8745,  2,  0.04,0.00
01060,10.92, 15779,  6,  0.55,0.00
01062,18.15, 10495,  1,  0.06,0.00
01063,0.04,   592, NA,    NA,  NA
01066,0.71,     9, NA,    NA,  NA
01068,20.82,  1840, NA,    NA,  NA
01069,28.09,  8698,  4,  0.14,0.00
01070,20.6,   604, NA,    NA,  NA
01071,15.56,  1270,  1,  0.06,0.00
01072,20.07,  1536, NA,    NA,  NA
01073,28.15,  6140,  3,  0.11,0.00
01074,0.09,   548, NA,    NA,  NA
01075,17.72, 17763,  1,  0.06,0.00
01077,30.82,  9727,  3,  0.10,0.00
01079,1.12,   658, NA,    NA,  NA
01080,1.73,  2802, NA,    NA,  NA
01081,14.52,  1941, NA,    NA,  NA
01082,46.12, 10586,  4,  0.09,0.00
01083,15.75,  2986,  1,  0.06,0.00
01084,9.19,   174, NA,    NA,  NA
01085,59.7, 41942,  6,  0.10,0.00
01086,0.04,   372, NA,    NA,  NA
01088,5.2,   416, NA,    NA,  NA
01089,16.73, 28666,  3,  0.18,0.00
01092,6.71,  1425,  1,  0.15,0.00
01093,5.04,   283, NA,    NA,  NA
01094,1.14,   282, NA,    NA,  NA
01095,22.49, 14690,  2,  0.09,0.00
01096,31.66,  2695,  2,  0.06,0.00
01097,1.87,    59, NA,    NA,  NA
01098,31.36,  1196, NA,    NA,  NA
01103,0.46,  2389,  1,  2.17,0.00
01104,5.22, 23876,  6,  1.15,0.00
01105,1.24, 11957,  4,  3.22,0.00
01106,9.27, 16022,  3,  0.32,0.00
01107,1.51, 11582,  1,  0.66,0.00
01108,3.73, 27850,  3,  0.81,0.00
01109,5.44, 29903,  5,  0.92,0.00
01118,3.6, 14980,  4,  1.11,0.00
01119,3.55, 13626,  1,  0.28,0.00
01128,1.11,  2672, NA,    NA,  NA
01129,3.43,  6762,  1,  0.29,0.00
01151,2.37,  8807,  3,  1.27,0.00
01199,0.01,     0, NA,    NA,  NA
01201,52.94, 44607,  9,  0.17,0.00
01220,24.59,  8209,  3,  0.12,0.00
01222,3.31,   810, NA,    NA,  NA
01223,69.77,  2402, NA,    NA,  NA
01224,0.28,   210, NA,    NA,  NA
01225,25.11,  3135,  2,  0.08,0.00
01226,26.36,  6782,  2,  0.08,0.00
01229,0.73,    70, NA,    NA,  NA
01230,91.52,  8542,  5,  0.05,0.00
01235,45.65,  2640, NA,    NA,  NA
01236,4.8,  1140,  1,  0.21,0.00
01237,61.83,  2580,  1,  0.02,0.00
01238,34.83,  5903,  5,  0.14,0.00
01240,21.38,  4441,  3,  0.14,0.00
01242,0.5,   471,  1,  2.01,0.00
01243,18.63,   257, NA,    NA,  NA
01244,2.45,    74, NA,    NA,  NA
01245,27.99,   809, NA,    NA,  NA
01247,52.53, 15573,  5,  0.10,0.00
01253,18.29,   672, NA,    NA,  NA
01254,14.58,  1014, NA,    NA,  NA
01255,51.8,   972, NA,    NA,  NA
01256,35.85,   719, NA,    NA,  NA
01257,36.22,  2003,  1,  0.03,0.00
01258,25.83,   489, NA,    NA,  NA
01259,25.31,   528, NA,    NA,  NA
01260,2.51,   481, NA,    NA,  NA
01262,12.04,  1066,  2,  0.17,0.00
01264,11.34,   196, NA,    NA,  NA
01266,26.05,  1369,  1,  0.04,0.00
01267,54.53,  7955,  2,  0.04,0.00
01270,31.85,   770, NA,    NA,  NA
01301,25.49, 17713,  5,  0.20,0.00
01330,33.32,  1367, NA,    NA,  NA
01331,53.23, 13383,  3,  0.06,0.00
01337,37.24,  2498, NA,    NA,  NA
01338,3.45,   127, NA,    NA,  NA
01339,54.93,  1428,  1,  0.02,0.00
01340,43.79,  1808, NA,    NA,  NA
01341,35.72,  1836, NA,    NA,  NA
01342,17.85,  1439,  1,  0.06,0.00
01343,4.87,    45, NA,    NA,  NA
01344,13.61,  1459, NA,    NA,  NA
01346,21.36,   427, NA,    NA,  NA
01347,0.58,   175, NA,    NA,  NA
01349,7.69,  1292, NA,    NA,  NA
01350,10.71,    91, NA,    NA,  NA
01351,20.92,  2099, NA,    NA,  NA
01354,13.77,  1608,  1,  0.07,0.00
01355,47.36,   949, NA,    NA,  NA
01360,34.26,  2997, NA,    NA,  NA
01364,39.23,  7785,  4,  0.10,0.00
01366,40.38,  1269,  1,  0.02,0.00
01367,26.53,   595, NA,    NA,  NA
01368,41.84,  1170, NA,    NA,  NA
01370,49.82,  4041,  1,  0.02,0.00
01373,24.17,  4634,  1,  0.04,0.00
01375,14.22,  3659,  2,  0.14,0.00
01376,2.76,  5123,  2,  0.73,0.00
01378,34.03,   773, NA,    NA,  NA
01379,30.2,   830, NA,    NA,  NA
01420,30.32, 40737,  9,  0.30,0.00
01430,36.95,  6253,  1,  0.03,0.00
01431,23.66,  3215, NA,    NA,  NA
01432,8.47,  7762,  3,  0.35,0.00
01434,5.28,  1875, NA,    NA,  NA
01436,9.59,  3392, NA,    NA,  NA
01438,0.54,   711, NA,    NA,  NA
01440,24.03, 20555,  4,  0.17,0.00
01450,32.78, 11301,  2,  0.06,0.00
01451,19.14,  4625,  1,  0.05,0.00
01452,41.05,  4642, NA,    NA,  NA
01453,28.48, 41579,  9,  0.32,0.00
01460,16.52,  9935,  3,  0.18,0.00
01462,26.42, 11271,  1,  0.04,0.00
01463,22.58, 12083,  1,  0.04,0.00
01464,14.98,  7598, NA,    NA,  NA
01467,1.89,   363, NA,    NA,  NA
01468,21.4,  4024,  2,  0.09,0.00
01469,22.78,  7632,  2,  0.09,0.00
01473,35.44,  7665,  1,  0.03,0.00
01474,9.93,  1823, NA,    NA,  NA
01475,42.85, 10798, NA,    NA,  NA
01501,15.46, 16549,  5,  0.32,0.00
01503,12.97,  3144, NA,    NA,  NA
01504,11.11,  9246,  2,  0.18,0.00
01505,16.06,  4581,  1,  0.06,0.00
01506,15.53,  3431,  1,  0.06,0.00
01507,42.18, 13482, NA,    NA,  NA
01510,5.65, 13899,  3,  0.53,0.00
01515,9.87,  2159,  1,  0.10,0.00
01516,36.77,  8794,  1,  0.03,0.00
01518,8.88,  3919,  1,  0.11,0.00
01519,10.92,  6741, NA,    NA,  NA
01520,18.08, 15645,  1,  0.06,0.00
01521,12.29,  2539, NA,    NA,  NA
01522,16.38,  3176, NA,    NA,  NA
01523,25.2,  7749, NA,    NA,  NA
01524,15.98,  6902,  1,  0.06,0.00
01525,0.45,   400, NA,    NA,  NA
01527,15.58, 13630,  3,  0.19,0.00
01529,4.86,  3242, NA,    NA,  NA
01531,20.76,  1298, NA,    NA,  NA
01532,18.47, 14985,  4,  0.22,0.00
01534,8.76,  6311, NA,    NA,  NA
01535,21.27,  4764,  1,  0.05,0.00
01536,8.34,  7786,  2,  0.24,0.00
01537,6.98,  2289, NA,    NA,  NA
01540,19.35, 11484,  2,  0.10,0.00
01541,35.43,  3443, NA,    NA,  NA
01542,4.03,  2314,  1,  0.25,0.00
01543,35.12,  8586,  2,  0.06,0.00
01545,20.75, 36666,  4,  0.19,0.00
01550,20.24, 16894,  2,  0.10,0.00
01560,3.56,  4401, NA,    NA,  NA
01561,0.12,   294, NA,    NA,  NA
01562,32.84, 11913,  2,  0.06,0.00
01564,30.62,  8052, NA,    NA,  NA
01566,28.35,  5618,  1,  0.04,0.00
01568,21.46,  7762,  1,  0.05,0.00
01569,29.08, 13939,  3,  0.10,0.00
01570,12.36, 16971,  5,  0.40,0.00
01571,20.83, 11682,  3,  0.14,0.00
01581,20.6, 18982,  7,  0.34,0.00
01583,12.62,  7676,  2,  0.16,0.00
01585,25.55,  4574,  2,  0.08,0.00
01588,8.61,  9775,  4,  0.46,0.00
01590,32.02,  9385,  1,  0.03,0.00
01602,5.77, 23854,  4,  0.69,0.00
01603,4.51, 19336,  5,  1.11,0.00
01604,6.44, 37468,  8,  1.24,0.00
01605,5.64, 28820,  2,  0.35,0.00
01606,5.93, 19729,  4,  0.67,0.00
01607,3.16,  8583,  2,  0.63,0.00
01608,0.45,  3639,  2,  4.47,0.00
01609,3.82, 21142,  2,  0.52,0.00
01610,2.12, 23040,  6,  2.82,0.00
01611,3.44,  2241,  1,  0.29,0.00
01612,15.31,  4870,  1,  0.07,0.00
01701,16.97, 32570, 10,  0.59,0.00
01702,8.09, 39149,  6,  0.74,0.00
01718,0.05,   813, NA,    NA,  NA
01719,10.29,  5794,  2,  0.19,0.00
01720,19.71, 22684,  4,  0.20,0.00
01721,12.34, 17576,  3,  0.24,0.00
01730,13.7, 14053,  3,  0.22,0.00
01731,0.79,  2061, NA,    NA,  NA
01740,19.94,  5236,  1,  0.05,0.00
01741,15.27,  5186, NA,    NA,  NA
01742,24.44, 19350,  6,  0.25,0.00
01745,0.4,   588, NA,    NA,  NA
01746,18.65, 14634,  2,  0.11,0.00
01747,5.18,  5951,  1,  0.19,0.00
01748,26.23, 17178,  3,  0.11,0.00
01749,11.53, 19868,  7,  0.61,0.00
01752,20.86, 39776,  7,  0.34,0.00
01754,5.21, 10600,  5,  0.96,0.00
01756,17.77,  6068,  3,  0.17,0.00
01757,14.9, 28862,  7,  0.47,0.00
01760,14.82, 35763,  8,  0.54,0.00
01770,15.79,  4301,  1,  0.06,0.00
01772,13.6,  9486,  3,  0.22,0.00
01773,13.62,  4775, NA,    NA,  NA
01775,17.32,  7098,  2,  0.12,0.00
01776,24.24, 18940,  4,  0.17,0.00
01778,15.21, 13970,  3,  0.20,0.00
01801,12.66, 40350,  7,  0.55,0.00
01803,11.71, 27059,  6,  0.51,0.00
01810,30.83, 35609,  7,  0.23,0.00
01821,16.57, 33016,  7,  0.42,0.00
01824,17.76, 25955,  3,  0.17,0.00
01826,20.67, 31101,  5,  0.24,0.00
01827,16.45,  3345, NA,    NA,  NA
01830,13.82, 26695,  3,  0.22,0.00
01832,11.4, 23419,  3,  0.26,0.00
01833,12.86,  8649,  1,  0.08,0.00
01834,8.88,  6749,  2,  0.23,0.00
01835,7.81, 13166,  2,  0.26,0.00
01840,0.5,  5560,  2,  4.01,0.00
01841,3.09, 48827,  6,  1.94,0.00
01843,3.37, 25454,  7,  2.08,0.00
01844,22.21, 50019,  6,  0.27,0.00
01845,26.28, 30589,  9,  0.34,0.00
01850,1.36, 16267,  4,  2.94,0.00
01851,3.34, 30574,  5,  1.49,0.00
01852,4.97, 34939,  5,  1.01,0.00
01854,3.93, 29561,  5,  1.27,0.00
01860,8.5,  6839,  1,  0.12,0.00
01862,9.24, 10223,  6,  0.65,0.00
01863,4.62,  9131, NA,    NA,  NA
01864,13.16, 15642,  4,  0.30,0.00
01867,9.96, 25048,  2,  0.20,0.00
01876,20.46, 30807,  5,  0.24,0.00
01879,16.8, 12345,  2,  0.12,0.00
01880,6.91, 26648,  3,  0.43,0.00
01886,30.24, 24194,  4,  0.13,0.00
01887,16.98, 23658,  3,  0.18,0.00
01890,6.03, 22677,  1,  0.17,0.00
01901,0.25,  1759,  2,  8.08,0.00
01902,2.4, 49172,  5,  2.08,0.00
01904,4.52, 17142,  4,  0.88,0.00
01905,3.56, 25465,  5,  1.41,0.00
01906,10.8, 28165,  7,  0.65,0.00
01907,3.03, 14950,  4,  1.32,0.00
01908,1.05,  3495, NA,    NA,  NA
01913,12.29, 17378,  4,  0.33,0.00
01915,15.09, 41731,  8,  0.53,0.00
01921,23.55,  8270, NA,    NA,  NA
01922,9.59,  3276, NA,    NA,  NA
01923,13.21, 27457,  4,  0.30,0.00
01929,13.96,  3713,  2,  0.14,0.00
01930,26.2, 30049,  8,  0.31,0.00
01937,0.07,   174, NA,    NA,  NA
01938,30.43, 13901,  3,  0.10,0.00
01940,10.54, 13484,  2,  0.19,0.00
01944,9.23,  5370,  1,  0.11,0.00
