ZCTA,state,state_fips,cnty_fips,cnty_geoid,ndvi
00501,New York,36,103,36103,0.11
01001,Massachusetts,25,13,25013,0.21
01002,Massachusetts,25,11,25011,0.29
01002,Massachusetts,25,15,25015,0.26
01003,Massachusetts,25,15,25015,0.23
01004,Massachusetts,25,15,25015,0.24
01005,Massachusetts,25,27,25027,0.31
01007,Massachusetts,25,15,25015,0.3
01008,Massachusetts,25,3,25003,0.34
01008,Massachusetts,25,13,25013,0.34
01009,Massachusetts,25,13,25013,0.26
01010,Massachusetts,25,13,25013,0.31
01010,Massachusetts,25,27,25027,0.31
01011,Massachusetts,25,13,25013,0.34
01011,Massachusetts,25,15,25015,0.37
01012,Massachusetts,25,15,25015,0.35
01013,Massachusetts,25,13,25013,0.14
01014,Massachusetts,25,13,25013,0.1
01020,Massachusetts,25,13,25013,0.15
01021,Massachusetts,25,13,25013,0.13
01022,Massachusetts,25,13,25013,0.15
01026,Massachusetts,25,3,25003,0.36
01026,Massachusetts,25,15,25015,0.36
01027,Massachusetts,25,15,25015,0.27
01028,Massachusetts,25,13,25013,0.22
01029,Massachusetts,25,3,25003,0.34
01030,Massachusetts,25,13,25013,0.22
01031,Massachusetts,25,27,25027,0.31
01032,Massachusetts,25,11,25011,0.35
01032,Massachusetts,25,15,25015,0.34
01033,Massachusetts,25,13,25013,0.14
01033,Massachusetts,25,15,25015,0.29
01034,Massachusetts,25,13,25013,0.34
01035,Massachusetts,25,15,25015,0.23
01036,Massachusetts,25,13,25013,0.31
01037,Massachusetts,25,27,25027,0.31
01038,Massachusetts,25,15,25015,0.24
01039,Massachusetts,25,11,25011,0.29
01039,Massachusetts,25,15,25015,0.29
01040,Massachusetts,25,13,25013,0.15
01041,Massachusetts,25,13,25013,0.1
01050,Massachusetts,25,13,25013,0.34
01050,Massachusetts,25,15,25015,0.35
01053,Massachusetts,25,15,25015,0.31
01054,Massachusetts,25,11,25011,0.29
01056,Massachusetts,25,13,25013,0.2
01057,Massachusetts,25,13,25013,0.32
01059,Massachusetts,25,15,25015,0.28
01060,Massachusetts,25,15,25015,0.19
01061,Massachusetts,25,15,25015,0.13
01062,Massachusetts,25,15,25015,0.24
01063,Massachusetts,25,15,25015,0.16
01066,Massachusetts,25,15,25015,0.24
01068,Massachusetts,25,27,25027,0.32
01069,Massachusetts,25,13,25013,0.29
01069,Massachusetts,25,15,25015,0.26
01070,Massachusetts,25,3,25003,0.36
01070,Massachusetts,25,15,25015,0.37
01070,Vermont,25,11,25011,0.36
01071,Massachusetts,25,13,25013,0.34
01072,Massachusetts,25,11,25011,0.29
01073,Massachusetts,25,13,25013,0.21
01073,Massachusetts,25,15,25015,0.3
01074,Massachusetts,25,27,25027,0.32
01075,Massachusetts,25,15,25015,0.25
01077,Massachusetts,25,13,25013,0.27
01079,Massachusetts,25,13,25013,0.26
01080,Massachusetts,25,13,25013,0.27
01081,Massachusetts,25,13,25013,0.32
01082,Massachusetts,25,13,25013,0.29
01082,Massachusetts,25,15,25015,0.26
01082,Massachusetts,25,27,25027,0.31
01083,Massachusetts,25,27,25027,0.31
01084,Massachusetts,25,15,25015,0.35
01085,Massachusetts,25,13,25013,0.21
01088,Massachusetts,25,15,25015,0.24
01089,Massachusetts,25,13,25013,0.18
01090,Massachusetts,25,13,25013,0.14
01092,Massachusetts,25,27,25027,0.31
01093,Massachusetts,25,11,25011,0.29
01094,Massachusetts,25,27,25027,0.31
01095,Massachusetts,25,13,25013,0.24
01096,Massachusetts,25,11,25011,0.35
01096,Massachusetts,25,15,25015,0.35
01097,Massachusetts,25,13,25013,0.34
01098,Massachusetts,25,15,25015,0.36
01101,Massachusetts,25,13,25013,0.02
01103,Massachusetts,25,13,25013,0.08
01104,Massachusetts,25,13,25013,0.12
01105,Massachusetts,25,13,25013,0.09
01106,Massachusetts,25,13,25013,0.2
01107,Massachusetts,25,13,25013,0.12
01108,Massachusetts,25,13,25013,0.13
