"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","ovr65P","vetPercent","noHSP"
"1","Autauga County, Alabama","01001",1980,32259,76.27,22.07,1.13,33.54,8.75,11.99,23.39
"2","Baldwin County, Alabama","01003",1980,78556,83.03,15.22,1.01,30.8,12.54,13.15,21.54
"3","Barbour County, Alabama","01005",1980,24756,55.03,43.67,1.08,32.61,13.46,9.08,37.11
"4","Bibb County, Alabama","01007",1980,15723,76.09,22.69,1.12,32.24,13.12,8.99,34.93
"5","Blount County, Alabama","01009",1980,36459,97.58,1.64,0.56,29.7,11.84,10.69,32.2
"6","Bullock County, Alabama","01011",1980,10596,32.12,66.31,1.51,33.29,15.86,7.35,38.34
"7","Butler County, Alabama","01013",1980,21680,60.9,37.66,1.33,31.53,15.83,9.53,35.07
"8","Calhoun County, Alabama","01015",1980,119761,80.7,17.51,1.11,28.46,9.69,11.59,23.87
"9","Chambers County, Alabama","01017",1980,39191,64.1,34.87,0.91,30.23,14.57,9.96,31.32
"10","Cherokee County, Alabama","01019",1980,18760,91.23,8.11,0.53,28.58,12.46,9.8,33.98
"11","Chilton County, Alabama","01021",1980,30612,87.6,11.77,0.55,30.09,12.98,10.28,31.66
"12","Choctaw County, Alabama","01023",1980,16839,56.16,42.7,0.97,34.5,12.54,9.5,36.17
"13","Clarke County, Alabama","01025",1980,27702,56.82,41.87,1.11,34.25,12.83,8.82,28.48
"14","Clay County, Alabama","01027",1980,13703,82.95,16.29,0.69,30.43,15.16,10.91,30.85
"15","Cleburne County, Alabama","01029",1980,12595,94.13,5.14,0.56,29.81,12.65,8.86,38.05
"16","Coffee County, Alabama","01031",1980,38533,81.55,16.76,0.91,29.84,11.36,11.1,26.84
"17","Colbert County, Alabama","01033",1980,54519,82.59,16.63,0.51,29.03,11.21,11.38,24.49
"18","Conecuh County, Alabama","01035",1980,15884,58.27,40.27,1.23,31.52,15.87,7.9,36.75
"19","Coosa County, Alabama","01037",1980,11377,64.97,33.9,0.99,30.44,13.71,10.4,33.42
"20","Covington County, Alabama","01039",1980,36850,86.09,13.01,0.7,27.11,16.24,11.69,37.11
"21","Crenshaw County, Alabama","01041",1980,14110,73.29,25.55,0.91,29.35,16.71,8.6,41.12
"22","Cullman County, Alabama","01043",1980,61642,98.39,0.83,0.5,29.1,12.62,11.39,32.52
"23","Dale County, Alabama","01045",1980,47821,79.83,16.16,2.24,30.75,7.86,10.59,19.96
"24","Dallas County, Alabama","01047",1980,53981,44.64,53.76,1.1,34.29,12.37,9.17,27.5
"25","DeKalb County, Alabama","01049",1980,53658,97.48,1.73,0.52,29.28,13.42,9.64,35.28
"26","Elmore County, Alabama","01051",1980,43390,77.05,21.86,0.8,30.39,11.38,12.62,22.86
"27","Escambia County, Alabama","01053",1980,38440,67.44,29.23,0.73,31.01,12.12,10.38,29.66
"28","Etowah County, Alabama","01055",1980,103057,85.82,13.31,0.51,28.67,12.72,11.97,25.75
"29","Fayette County, Alabama","01057",1980,18809,86.58,12.66,0.61,29.16,14.47,8.99,34.97
"30","Franklin County, Alabama","01059",1980,28350,94.67,4.51,0.65,28.24,13.7,8.86,31.44
"31","Geneva County, Alabama","01061",1980,24253,86.18,12.46,0.87,29.67,14.55,10.46,34.6
"32","Greene County, Alabama","01063",1980,11021,21.68,76.55,1.59,35.64,16.24,5.56,41.57
"33","Hale County, Alabama","01065",1980,15604,36.82,61.02,1.97,34.29,15.5,7.09,42.79
"34","Henry County, Alabama","01067",1980,15302,61.7,37.22,0.89,30.67,14.34,9.52,34.55
"35","Houston County, Alabama","01069",1980,74632,76.47,22.01,0.77,31.03,10.3,11.1,24.96
"36","Jackson County, Alabama","01071",1980,51407,94.71,4.16,0.66,30.77,10.09,10.57,33.19
"37","Jefferson County, Alabama","01073",1980,671324,65.87,33.04,0.67,27.39,12.08,12.42,17.93
"38","Lamar County, Alabama","01075",1980,16453,87.16,11.77,0.95,29.72,14.62,10.28,36.99
"39","Lauderdale County, Alabama","01077",1980,80546,89.37,9.63,0.65,28.55,10.89,11.4,25.32
"40","Lawrence County, Alabama","01079",1980,30170,82.52,16.6,0.63,33.48,10.94,7.67,33.45
