"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","TotVetPop","noHSP","disb"
"1","Autauga County, Alabama","01001",1990,34222,78.89,19.89,0.67,29.51,20.76,13.9,9.85,24880,29.97,24722
"2","Baldwin County, Alabama","01003",1990,98280,85.27,12.81,1.04,25.98,20.24,15.41,15.14,75717,26.78,74962
"3","Barbour County, Alabama","01005",1990,25417,55.29,43.89,0.49,29.37,19.16,13.07,14.66,18790,44.36,18325
"4","Bibb County, Alabama","01007",1990,16576,78.63,20.92,0.24,28.92,19.87,12.9,12.67,12290,48.19,12121
"5","Blount County, Alabama","01009",1990,39248,97.52,1.32,0.73,25.57,21.06,15.15,13.04,30439,39.46,30258
"6","Bullock County, Alabama","01011",1990,11042,27.27,71.98,0.59,30.62,17.72,11.13,16.06,7967,50.96,7302
"7","Butler County, Alabama","01013",1990,21892,59.39,40.12,0.3,30.11,17.79,13.21,16.81,16077,47.25,15866
"8","Calhoun County, Alabama","01015",1990,116034,79.42,18.51,1.1,24.97,20.01,13.85,12.39,85624,32.62,84788
"9","Chambers County, Alabama","01017",1990,36876,63.75,35.76,0.34,26.12,18.77,14.13,16.86,28490,45.75,28121
"10","Cherokee County, Alabama","01019",1990,19543,92.71,6.61,0.29,24.01,20.39,16.66,14.79,15539,46.55,15469
"11","Chilton County, Alabama","01021",1990,32458,88.04,11.29,0.36,26.76,20,14.62,13.88,24756,43.42,24530
"12","Choctaw County, Alabama","01023",1990,16018,55.49,44.03,0.33,29.39,19.15,13.99,13.85,11893,45.71,11819
"13","Clarke County, Alabama","01025",1990,27240,56.83,42.48,0.38,29.94,18.45,13.51,13.13,20144,39.74,19833
"14","Clay County, Alabama","01027",1990,13252,83.16,16.34,0.2,25.04,18.79,15.26,16.84,10348,46.18,10187
"15","Cleburne County, Alabama","01029",1990,12730,94.83,4.61,0.3,26.02,20.44,14.83,13.39,9786,50.22,9716
"16","Coffee County, Alabama","01031",1990,40240,80.51,17.15,1.17,25.66,20.76,14.57,13.2,29620,32.81,29279
"17","Colbert County, Alabama","01033",1990,51666,82.65,16.54,0.36,24.29,20.4,15.98,14.69,40579,34.83,40320
"18","Conecuh County, Alabama","01035",1990,14054,57.11,41.9,0.58,27.88,17.89,14.13,17.29,10623,47.33,10518
"19","Coosa County, Alabama","01037",1990,11063,65.35,34.13,0.16,26.05,18.38,15.56,14.48,8539,46.14,8398
"20","Covington County, Alabama","01039",1990,36478,86.24,13.08,0.36,25.32,18.68,15.63,17.27,28255,42.71,27975
