"","FIPS","NAME","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP"
"1","01001","Autauga County, Alabama",2010,54571,77.25,17.58,2.4,26.78,23.04,17.84,12,15.41,14.67,NA
"2","01003","Baldwin County, Alabama",2010,182265,83.5,9.31,4.38,22.99,20.29,20.86,16.77,15.15,12.42,NA
"3","01005","Barbour County, Alabama",2010,27457,46.75,46.69,5.05,21.91,20.89,20.13,14.24,10.84,28.14,NA
"4","01007","Bibb County, Alabama",2010,22915,75.02,21.92,1.77,22.7,22.64,18.83,12.68,10.88,25.45,NA
"5","01009","Blount County, Alabama",2010,57322,88.89,1.26,8.07,24.61,21.09,19.54,14.72,9.55,25.34,NA
"6","01011","Bullock County, Alabama",2010,10914,21.92,69.97,7.12,22.26,20.22,20.7,13.46,11.19,25.31,NA
"7","01013","Butler County, Alabama",2010,20947,54.06,43.19,0.91,24.14,18.16,20.9,16.66,10.6,25.21,NA
"8","01015","Calhoun County, Alabama",2010,118572,73.61,20.39,3.28,22.88,19.33,20.08,14.33,13.06,21.48,NA
"9","01017","Chambers County, Alabama",2010,34215,58.14,38.6,1.57,22.51,19.97,21.67,16.68,10.93,28.15,NA
"10","01019","Cherokee County, Alabama",2010,25989,92.07,4.64,1.23,21.42,20.39,23.18,17.9,10.68,26.58,NA
"11","01021","Chilton County, Alabama",2010,43643,81.1,9.56,7.84,25.11,20.45,19.42,13.57,10.3,24.14,NA
"12","01023","Choctaw County, Alabama",2010,13859,55.56,43.22,0.53,22.66,19.9,21.99,18.18,6.87,28.91,NA
"13","01025","Clarke County, Alabama",2010,25833,53.97,43.67,1.05,24.73,20.18,20.11,16.16,8.45,23.86,NA
"14","01027","Clay County, Alabama",2010,13932,80.29,14.7,2.86,22.57,20.87,20.54,17.58,10.53,28.6,NA
"15","01029","Cleburne County, Alabama",2010,14972,93.21,3.3,2.05,23.72,21.18,20.65,15.77,10.01,29.69,NA
"16","01031","Coffee County, Alabama",2010,49948,72.34,16.53,6.37,24.19,20.15,18.79,14.44,16.96,20.72,NA
"17","01033","Colbert County, Alabama",2010,54428,79.62,15.99,2.01,22.11,20.16,21.01,17.39,10.87,19.91,NA
"18","01035","Conecuh County, Alabama",2010,13228,51.13,46.28,1.22,23,18.73,22.65,17.86,11.64,28.69,NA
"19","01037","Coosa County, Alabama",2010,11539,65.9,30.82,1.99,20.54,20.76,24.28,17.07,12.14,26.91,NA
"20","01039","Covington County, Alabama",2010,37765,84.08,12.41,1.28,22.57,19.2,21.19,18.37,12.97,23.54,NA
"21","01041","Crenshaw County, Alabama",2010,13906,72.06,23.31,1.47,23.79,20.42,21.16,15.89,11.86,26.33,NA
"22","01043","Cullman County, Alabama",2010,80406,92.74,1.02,4.3,23.18,20.27,20.09,15.93,10.97,23.15,NA
"23","01045","Dale County, Alabama",2010,50251,71.05,19,5.61,24.83,19.09,18.79,13.45,20.56,17.77,NA
"24","01047","Dallas County, Alabama",2010,43820,28.93,69.18,0.71,26.46,18.64,20.28,14.07,10.53,23.16,NA
"25","01049","DeKalb County, Alabama",2010,71109,81.56,1.45,13.63,25.83,20.42,18.96,13.89,8.71,31.9,NA
"26","01051","Elmore County, Alabama",2010,79303,74.96,19.94,2.68,23.59,22.69,19.35,11.9,14.34,16.19,NA
"27","01053","Escambia County, Alabama",2010,38319,61.35,31.74,1.87,22.65,20.79,19.8,15.17,10.88,27.03,NA
