GEOID,SDOH
36071000100,6
36119002700,4
36121970500,1
37017950100,1
37021000100,7
37025042603,3
37027031403,1
37039930400,1
37045951000,4
37051003314,3
37051003407,4
37051003700,1
37063002022,2
37065021200,1
37067000100,6
37071033500,1
37077970400,4
37077970702,1
37081015707,2
37085070901,1
37089931801,7
37101040100,1
37111970100,1
37111970700,1
37115010200,7
37115010400,1
37121950400,1
37127010601,3
37129010700,4
37131920402,7
37141920201,2
37149920200,1
37151031503,1
37163970100,1
37163970200,1
37167930500,1
01015000500,4
01017953900,1
01023956800,1
01033020703,1
01045020500,1
01047956600,4
01051031100,3
01063060000,1
01069040301,1
01073000300,4
01073004701,2
01073012802,2
01073012908,3
01083020500,1
01097000200,7
01097007500,4
01101005800,7
01121010600,4
01121010700,1
04001944000,5
04001944100,4
04001944202,4
04001944300,5
04001970502,1
04003001702,1
04003001800,1
04007000700,7
04015950100,3
04015951501,7
04015951900,1
04017960600,3
04019002901,3
04019004034,3
04019004057,1
04019004627,3
04021000312,1
04021002200,1
04025001403,7
04025002100,1
05001480100,7
05053470200,1
05081030300,1
05085020205,3
05091020802,1
05107480600,4
05115951502,1
05119003607,3
05123960200,1
05131001303,1
05133080400,1
05147490200,1
06007001703,1
06017030302,1
06019006402,2
06027000300,2
06027000500,1
06027000800,1
06029006002,7
06031000500,1
06031981800,5
06033000400,1
06039000300,1
06039000502,5
06039000603,5
06047000602,1
06047000802,1
06049000300,1
06053010701,2
06053010900,7
06053011302,5
06055201006,3
06059001201,5
06059052526,3
06065042621,3
06065044916,3
06067008509,3
06071008703,2
06071009112,3
06073020500,5
06079012702,3
06083001800,5
06085500400,2
06093000300,1
06093000500,1
06099002005,1
06099002803,1
06101050702,5
06103000100,1
06105000101,1
06107001800,3
06107002601,5
06107002602,5
06107002700,1
06107003901,5
06109004200,7
06111008306,3
08001008506,4
08005087300,3
08031015500,6
08041004601,3
08043978600,1
08043979000,1
08045952002,3
08067970701,3
08069001708,3
08087000700,3
