ZIP,ZCTA,SVIS,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4
36201,36201,0.78,0.91,0.89,0.39,0.5
36260,36260,0.63,0.72,0.89,0.17,0.48
36206,36206,0.78,0.79,0.94,0.48,0.57
36608,36608,0.4,0.45,0.4,0.45,0.41
36688,36688,0.82,0.74,0.42,0.89,0.82
35124,35124,0.35,0.34,0.31,0.59,0.33
99734,99734,,0.0,0.01,0.15,
85395,85395,0.3,0.23,0.32,0.54,0.36
85008,85008,0.83,0.78,0.39,0.88,0.84
85034,85034,0.81,0.81,0.34,0.85,0.83
85281,85281,0.58,0.71,0.05,0.7,0.81
85226,85226,0.27,0.24,0.2,0.55,0.39
85248,85248,0.16,0.15,0.37,0.38,0.23
85756,85756,0.87,0.89,0.78,0.88,0.66
85365,85365,0.68,0.65,0.57,0.75,0.58
85367,85367,0.44,0.5,0.54,0.43,0.34
72118,72118,0.67,0.67,0.75,0.52,0.52
93215,93215,0.9,0.93,0.42,0.98,0.75
93561,93561,0.58,0.54,0.59,0.54,0.56
93212,93212,0.98,0.97,0.89,0.94,0.86
93204,93204,0.94,0.99,0.65,0.98,0.68
90024,90024,0.43,0.43,0.12,0.66,0.7
90077,90077,0.11,0.08,0.2,0.47,0.17
90095,90095,0.51,0.54,0.0,0.56,0.88
91604,91604,0.23,0.23,0.12,0.49,0.44
91608,91608,0.04,0.18,0.01,0.2,0.25
91768,91768,0.86,0.85,0.48,0.93,0.77
91789,91789,0.35,0.33,0.15,0.93,0.27
90242,90242,0.73,0.67,0.38,0.92,0.63
90280,90280,0.82,0.89,0.52,0.98,0.46
90815,90815,0.25,0.27,0.19,0.56,0.31
90840,90840,,,0.0,0.77,
90822,90822,0.34,0.45,0.14,0.68,0.46
93536,93536,0.6,0.53,0.55,0.7,0.52
91384,91384,0.35,0.37,0.3,0.7,0.29
91505,91505,0.3,0.33,0.11,0.65,0.46
91605,91605,0.81,0.8,0.31,0.91,0.78
90744,90744,0.86,0.84,0.55,0.96,0.67
90745,90745,0.76,0.63,0.37,0.92,0.79
90810,90810,0.84,0.84,0.58,0.92,0.66
93535,93535,0.82,0.88,0.52,0.84,0.62
93550,93550,0.86,0.88,0.75,0.91,0.57
