COUNTYFP,county,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
20173,"Sedgwick County, Kansas",512064,505885,418486,10959,2.62,87399,16492,18.87,35082,6.85
20157,"Republic County, Kansas",4686,4588,3563,54,1.52,1025,95,9.27,457,9.75
20065,"Graham County, Kansas",2545,2501,1928,50,2.59,573,62,10.82,241,9.47
20045,"Douglas County, Kansas",119319,110833,76827,2136,2.78,34006,12831,37.73,10346,8.67
20179,"Sheridan County, Kansas",2506,2478,2027,35,1.73,451,44,9.76,222,8.86
20069,"Gray County, Kansas",6037,5951,5301,49,0.92,650,76,11.69,256,4.24
42023,"Cameron County, Pennsylvania",4686,4601,3465,151,4.36,1136,133,11.71,511,10.9
42017,"Bucks County, Pennsylvania",626370,616916,532912,9673,1.82,84004,14705,17.51,31161,4.97
42077,"Lehigh County, Pennsylvania",362613,353481,296708,9348,3.15,56773,11416,20.11,21192,5.84
42031,"Clarion County, Pennsylvania",38827,37548,30092,805,2.68,7456,1654,22.18,2875,7.4
42059,"Greene County, Pennsylvania",37144,33627,27917,646,2.31,5710,952,16.67,2253,6.07
42079,"Luzerne County, Pennsylvania",317884,305704,250415,7301,2.92,55289,8529,15.43,21176,6.66
42037,"Columbia County, Pennsylvania",66220,61657,48387,1478,3.05,13270,3146,23.71,4982,7.52
42065,"Jefferson County, Pennsylvania",44084,43335,36126,1023,2.83,7209,1013,14.05,2738,6.21
42099,"Perry County, Pennsylvania",45924,45315,39009,1168,2.99,6306,965,15.3,2671,5.82
42113,"Sullivan County, Pennsylvania",6177,5711,4362,126,2.89,1349,241,17.87,607,9.83
44003,"Kent County, Rhode Island",163861,162428,131326,3291,2.51,31102,5438,17.48,11107,6.78
44009,"Washington County, Rhode Island",126242,119605,97302,1878,1.93,22303,5742,25.75,7595,6.02
45071,"Newberry County, South Carolina",38068,36892,30877,737,2.39,6015,1043,17.34,2380,6.25
45027,"Clarendon County, South Carolina",34017,32466,27185,537,1.98,5281,730,13.82,2009,5.91
45085,"Sumter County, South Carolina",106995,104474,89351,2497,2.79,15123,1901,12.57,6234,5.83
45011,"Barnwell County, South Carolina",21577,21258,17799,239,1.34,3459,580,16.77,1318,6.11
45031,"Darlington County, South Carolina",67253,65964,54292,1237,2.28,11672,2045,17.52,4429,6.59
45091,"York County, South Carolina",258641,254717,218786,4617,2.11,35931,6819,18.98,13637,5.27
45021,"Cherokee County, South Carolina",56711,55898,45838,1153,2.52,10060,1342,13.34,3842,6.77
45053,"Jasper County, South Carolina",27900,27368,23999,842,3.51,3369,634,18.82,1341,4.81
45061,"Lee County, South Carolina",17606,15982,13568,254,1.87,2414,150,6.21,950,5.4
45001,"Abbeville County, South Carolina",24657,23769,19997,441,2.21,3772,495,13.12,1713,6.95
46085,"Lyman County, South Dakota",3869,3807,3290,104,3.16,517,94,18.18,236,6.1
46039,"Deuel County, South Dakota",4306,4240,3617,89,2.46,623,56,8.99,334,7.76
46015,"Brule County, South Dakota",5256,4954,4116,77,1.87,838,82,9.79,395,7.52
46053,"Gregory County, South Dakota",4201,4153,3391,89,2.62,762,61,8.01,368,8.76
46099,"Minnehaha County, South Dakota",186749,180681,144224,3473,2.41,36457,7558,20.73,14409,7.72
46025,"Clark County, South Dakota",3673,3537,2841,45,1.58,696,87,12.5,343,9.34
46077,"Kingsbury County, South Dakota",4967,4881,3920,49,1.25,961,108,11.24,460,9.26
46027,"Clay County, South Dakota",13925,11680,7728,75,0.97,3952,1426,36.08,1256,9.02
46041,"Dewey County, South Dakota",5779,5713,5133,179,3.49,580,87,15.0,263,4.55
46065,"Hughes County, South Dakota",17617,16413,12690,464,3.66,3723,414,11.12,1657,9.41
46111,"Sanborn County, South Dakota",2388,2340,1930,41,2.12,410,66,16.1,191,8.0
46059,"Hand County, South Dakota",3301,3246,2664,26,0.98,582,36,6.19,309,9.36
46135,"Yankton County, South Dakota",22717,20919,16748,265,1.58,4171,739,17.72,1864,8.21
46005,"Beadle County, South Dakota",18374,17740,14251,346,2.43,3489,439,12.58,1706,9.28
46035,"Davison County, South Dakota",19901,18890,14774,361,2.44,4116,703,17.08,1794,9.01
46073,"Jerauld County, South Dakota",2029,1986,1548,3,0.19,438,64,14.61,160,7.89
46117,"Stanley County, South Dakota",2997,2997,2652,70,2.64,345,73,21.16,140,4.67
46107,"Potter County, South Dakota",2326,2242,1835,8,0.44,407,34,8.35,207,8.9
46023,"Charles Mix County, South Dakota",9344,9061,7729,201,2.6,1332,230,17.27,593,6.35
46091,"Marshall County, South Dakota",4895,4820,4018,111,2.76,802,150,18.7,333,6.8
46105,"Perkins County, South Dakota",2907,2799,2285,29,1.27,514,60,11.67,211,7.26
26019,"Benzie County, Michigan",17552,17223,14339,421,2.94,2884,608,21.08,1026,5.85
26153,"Schoolcraft County, Michigan",8069,7923,6468,189,2.92,1455,274,18.83,544,6.74
26163,"Wayne County, Michigan",1761382,1738895,1426780,41405,2.9,312115,50125,16.06,124902,7.09
26055,"Grand Traverse County, Michigan",91746,89263,72238,2244,3.11,17025,3764,22.11,5913,6.44
26097,"Mackinac County, Michigan",10817,10527,8028,181,2.25,2499,400,16.01,1097,10.14
26049,"Genesee County, Michigan",409361,404024,331915,11291,3.4,72109,11582,16.06,27820,6.8
31131,"Otoe County, Nebraska",15896,15666,12994,369,2.84,2672,429,16.06,1103,6.94
31145,"Red Willow County, Nebraska",10806,10384,8618,118,1.37,1766,234,13.25,745,6.89
31027,"Cedar County, Nebraska",8523,8374,7090,96,1.35,1284,177,13.79,562,6.59
31045,"Dawes County, Nebraska",8896,7850,6030,120,1.99,1820,351,19.29,720,8.09
31097,"Johnson County, Nebraska",5197,4123,3486,91,2.61,637,58,9.11,235,4.52
31033,"Cheyenne County, Nebraska",9852,9742,7583,83,1.09,2159,233,10.79,1027,10.42
31047,"Dawson County, Nebraska",23804,23461,20396,526,2.58,3065,543,17.72,1344,5.65
31071,"Garfield County, Nebraska",1975,1925,1609,31,1.93,316,24,7.59,114,5.77
31117,"McPherson County, Nebraska",454,453,389,0,0.0,64,0,0.0,23,5.07
31125,"Nance County, Nebraska",3554,3406,2775,46,1.66,631,65,10.3,308,8.67
31167,"Stanton County, Nebraska",5992,5942,5195,90,1.73,747,118,15.8,385,6.43
31175,"Valley County, Nebraska",4224,4151,3475,124,3.57,676,73,10.8,295,6.98
32001,"Churchill County, Nevada",24010,23457,19242,539,2.8,4215,720,17.08,1810,7.54
32005,"Douglas County, Nevada",47828,47560,39441,1080,2.74,8119,1556,19.16,3481,7.28
32027,"Pershing County, Nevada",6611,4682,4004,81,2.02,678,96,14.16,306,4.63
32011,"Eureka County, Nevada",1830,1825,1543,0,0.0,282,57,20.21,106,5.79
32013,"Humboldt County, Nevada",16904,16690,14397,519,3.6,2293,250,10.9,1305,7.72
32033,"White Pine County, Nevada",9737,8248,6711,142,2.12,1537,223,14.51,695,7.14
32007,"Elko County, Nevada",52252,51392,44402,1667,3.75,6990,1779,25.45,2994,5.73
32023,"Nye County, Nevada",43705,43200,33398,1140,3.41,9802,2149,21.92,3763,8.61
32029,"Storey County, Nevada",3941,3904,3132,181,5.78,772,216,27.98,266,6.75
32003,"Clark County, Nevada",2141574,2118752,1743597,64165,3.68,375155,96068,25.61,146971,6.86
32019,"Lyon County, Nevada",53155,52920,43712,1530,3.5,9208,2168,23.54,3849,7.24
33005,"Cheshire County, New Hampshire",76263,71747,56166,1881,3.35,15581,3891,24.97,5475,7.18
33009,"Grafton County, New Hampshire",89811,83067,65730,2335,3.55,17337,4040,23.3,6281,6.99
33015,"Rockingham County, New Hampshire",305129,302556,256729,6394,2.49,45827,9841,21.47,16678,5.47
33019,"Sullivan County, New Hampshire",43125,42364,34720,1555,4.48,7644,1532,20.04,2883,6.69
33011,"Hillsborough County, New Hampshire",411087,402732,332510,10352,3.11,70222,16505,23.5,26990,6.57
33007,"Coos County, New Hampshire",32038,29662,23374,1027,4.39,6288,962,15.3,2601,8.12
33003,"Carroll County, New Hampshire",47840,47270,37778,936,2.48,9492,1983,20.89,3858,8.06
34021,"Mercer County, New Jersey",368762,351760,299248,7319,2.45,52512,10581,20.15,17540,4.76
34011,"Cumberland County, New Jersey",153400,140393,120348,4982,4.14,20045,4225,21.08,7207,4.7
34035,"Somerset County, New Jersey",330176,325734,287569,4491,1.56,38165,6450,16.9,12972,3.93
34029,"Ocean County, New Jersey",591939,585313,497262,11228,2.26,88051,12831,14.57,29453,4.98
34001,"Atlantic County, New Jersey",268539,262605,221371,6840,3.09,41234,7913,19.19,15095,5.62
34023,"Middlesex County, New Jersey",826698,796038,701565,14120,2.01,94473,18382,19.46,34013,4.11
34033,"Salem County, New Jersey",63336,61806,51615,1563,3.03,10191,1970,19.33,3476,5.49
34009,"Cape May County, New Jersey",93705,91144,75028,1736,2.31,16116,2339,14.51,6030,6.44
34007,"Camden County, New Jersey",507367,500508,424916,12254,2.88,75592,13550,17.93,27343,5.39
34039,"Union County, New Jersey",553066,545763,481799,15920,3.3,63964,10872,17.0,23297,4.21
34017,"Hudson County, New Jersey",668631,660680,526772,19503,3.7,133908,37253,27.82,48550,7.26
34019,"Hunterdon County, New Jersey",125051,120737,105935,1512,1.43,14802,2219,14.99,5616,4.49
34027,"Morris County, New Jersey",494383,485482,422421,6540,1.55,63061,11699,18.55,22287,4.51
35023,"Hidalgo County, New Mexico",4371,4267,3575,25,0.7,692,81,11.71,306,7.0
35031,"McKinley County, New Mexico",72849,72114,65000,1911,2.94,7114,1001,14.07,3022,4.15
35043,"Sandoval County, New Mexico",140769,139789,120071,2960,2.47,19718,4317,21.89,7230,5.14
35017,"Grant County, New Mexico",28061,27316,21558,546,2.53,5758,912,15.84,2392,8.52
35009,"Curry County, New Mexico",50199,49154,41161,1486,3.61,7993,1451,18.15,3621,7.21
35015,"Eddy County, New Mexico",57437,56778,49020,2050,4.18,7758,1513,19.5,3334,5.8
