STATEFP,state,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
28,Mississippi,2988762,2892341,2454767,58604,2.39,437574,72266,16.52,170560,5.71
29,Missouri,6090062,5915004,4842419,134824,2.78,1072585,216889,20.22,395393,6.49
30,Montana,1041732,1012863,802393,21211,2.64,210470,47459,22.55,81742,7.85
31,Nebraska,1904760,1852809,1514168,38545,2.55,338641,68612,20.26,132431,6.95
32,Nevada,2922849,2885149,2361405,85727,3.63,523744,130999,25.01,207301,7.09
33,New Hampshire,1343622,1301042,1067483,32131,3.01,233559,54386,23.29,85460,6.36
34,New Jersey,8881845,8697059,7477375,181326,2.42,1219684,228690,18.75,436243,4.91
35,New Mexico,2092434,2049476,1696686,51296,3.02,352790,69915,19.82,136335,6.52
36,New York,19618453,19043605,15622065,466452,2.99,3421540,739207,21.6,1200947,6.12
37,North Carolina,10155624,9882910,8187719,206150,2.52,1695191,350120,20.65,604987,5.96
38,North Dakota,752201,726653,566499,13937,2.46,160154,33539,20.94,69369,9.22
39,Ohio,11641879,11327784,9227188,254845,2.76,2100596,400281,19.06,805209,6.92
40,Oklahoma,3918137,3808014,3179742,89617,2.82,628272,129114,20.55,238778,6.09
41,Oregon,4081943,3993967,3188989,118962,3.73,804978,219012,27.21,270654,6.63
42,Pennsylvania,12791181,12366049,10141330,258567,2.55,2224719,431657,19.4,819908,6.41
44,Rhode Island,1056611,1014869,818541,22649,2.77,196328,41109,20.94,69218,6.55
45,South Carolina,4955925,4819128,4010241,95749,2.39,808887,163971,20.27,294731,5.95
46,South Dakota,864289,830281,675404,17849,2.64,154877,30297,19.56,62949,7.28
47,Tennessee,6651089,6496195,5406312,136296,2.52,1089883,218668,20.06,402292,6.05
48,Texas,27885195,27285450,23527965,571520,2.43,3757485,833764,22.19,1428355,5.12
50,Vermont,624977,599602,467830,15162,3.24,131772,30589,23.21,45811,7.33
49,Utah,3045350,2998673,2655546,61967,2.33,343127,102392,29.84,117903,3.87
51,Virginia,8413774,8169581,6798502,179862,2.65,1371079,327909,23.92,468913,5.57
53,Washington,7294336,7151776,5824884,195368,3.35,1326892,339765,25.61,481352,6.6
54,West Virginia,1829054,1781035,1461303,41681,2.85,319732,60891,19.04,122141,6.68
55,Wisconsin,5778394,5631740,4532164,120512,2.66,1099576,240902,21.91,414613,7.18
56,Wyoming,581836,567639,463039,12436,2.69,104600,22662,21.67,43101,7.41
72,Puerto Rico,3386941,3349697,2914371,83951,2.88,435326,58070,13.34,163073,4.81
01,Alabama,4864680,4745881,3986553,83982,2.11,759328,128964,16.98,287222,5.9
02,Alaska,738516,711117,592723,24189,4.08,118394,32565,27.51,48267,6.54
04,Arizona,6946685,6790680,5627827,179065,3.18,1162853,286679,24.65,427018,6.15
05,Arkansas,2990671,2906459,2430873,60819,2.5,475586,88227,18.55,182261,6.09
06,California,39148760,38329281,32682972,1164629,3.56,5646309,1596102,28.27,1919599,4.9
08,Colorado,5531141,5411306,4365896,122645,2.81,1045410,283706,27.14,375596,6.79
10,Delaware,949495,924444,770697,21552,2.8,153747,33883,22.04,53374,5.62
11,District of Columbia,684498,644878,417910,15472,3.7,226968,67434,29.71,71990,10.52
09,Connecticut,3581504,3466662,2875868,74552,2.59,590794,116360,19.7,209870,5.86
12,Florida,20598139,20166501,16610702,518503,3.12,3555799,851880,23.96,1231755,5.98
13,Georgia,10297484,10037150,8491451,217896,2.57,1545699,337979,21.87,551862,5.36
16,Idaho,1687809,1657779,1398397,37222,2.66,259382,59739,23.03,95758,5.67
15,Hawaii,1422029,1377998,1194942,52040,4.36,183056,45343,24.77,68111,4.79
17,Illinois,12821497,12523597,10375692,251621,2.43,2147905,435200,20.26,795428,6.2
18,Indiana,6637426,6449747,5331420,148410,2.78,1118327,232902,20.83,421911,6.36
19,Iowa,3132499,3032415,2451024,64671,2.64,581391,125046,21.51,220641,7.04
20,Kansas,2908776,2828708,2335159,58269,2.5,493549,100657,20.39,186506,6.41
21,Kentucky,4440204,4309065,3567809,98253,2.75,741256,148284,20.0,278089,6.26
22,Louisiana,4663616,4534221,3756693,96161,2.56,777528,155458,19.99,291767,6.26
23,Maine,1332813,1296802,1027753,35175,3.42,269049,60053,22.32,93622,7.02
24,Maryland,6003435,5862883,4930966,146260,2.97,931917,205953,22.1,317576,5.29
25,Massachusetts,6830193,6579553,5320205,143272,2.69,1259348,309242,24.56,421167,6.17
26,Michigan,9957488,9728101,7969637,219105,2.75,1758464,363335,20.66,663427,6.66
27,Minnesota,5527358,5394498,4392756,116456,2.65,1001742,229455,22.91,368893,6.67
