ZCTA,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
72827,166,166,157,0,0.0,9,0,0.0,0,0.0
72834,10642,10508,9622,275,2.86,886,118,13.32,263,2.47
72845,1018,1018,921,6,0.65,97,4,4.12,21,2.06
72860,611,611,578,11,1.9,33,0,0.0,33,5.4
72901,20985,20622,15168,866,5.71,5454,1116,20.46,2451,11.68
72921,14292,14209,12722,251,1.97,1487,166,11.16,526,3.68
72923,4857,4657,4003,132,3.3,654,129,19.72,264,5.44
72940,2881,2881,2586,97,3.75,295,46,15.59,94,3.26
72745,13618,13618,12087,155,1.28,1531,419,27.37,528,3.88
72824,1998,1998,1814,57,3.14,184,16,8.7,135,6.76
72855,6049,5871,4868,100,2.05,1003,298,29.71,282,4.66
72856,285,285,229,0,0.0,56,14,25.0,32,11.23
72952,2706,2706,2399,66,2.75,307,33,10.75,150,5.54
72956,35617,35146,30870,761,2.47,4276,574,13.42,1741,4.89
72959,2864,2864,2475,57,2.3,389,16,4.11,179,6.25
72326,1601,1601,1208,0,0.0,393,18,4.58,215,13.43
72339,126,126,109,6,5.5,17,0,0.0,8,6.35
72376,1755,1755,1474,50,3.39,281,71,25.27,95,5.41
72364,15784,15683,13499,313,2.32,2184,468,21.43,839,5.32
72365,2673,2544,2085,95,4.56,459,27,5.88,155,5.8
72367,52,52,45,0,0.0,7,0,0.0,7,13.46
72395,1124,1124,993,15,1.51,131,25,19.08,39,3.47
72410,360,360,297,20,6.73,63,2,3.17,53,14.72
72519,3789,3001,2575,16,0.62,426,26,6.1,182,4.8
72522,522,455,360,0,0.0,95,22,23.16,73,13.98
72533,406,406,332,0,0.0,74,6,8.11,38,9.36
72564,400,369,334,16,4.79,35,2,5.71,18,4.5
72581,956,956,789,0,0.0,167,10,5.99,68,7.11
72601,30460,29940,25511,531,2.08,4429,731,16.5,1752,5.75
72633,1348,1348,1083,87,8.03,265,17,6.42,117,8.68
72635,3918,3818,3253,38,1.17,565,111,19.65,236,6.02
72644,2502,2502,2135,15,0.7,367,53,14.44,174,6.95
72675,1226,1226,1028,4,0.39,198,18,9.09,124,10.11
72680,936,936,827,5,0.6,109,14,12.84,33,3.53
72701,43641,37000,23940,527,2.2,13060,4493,34.4,4541,10.41
72740,9674,9594,8493,226,2.66,1101,169,15.35,515,5.32
72417,5024,5024,4200,167,3.98,824,153,18.57,284,5.65
72422,4549,4549,3750,104,2.77,799,157,19.65,224,4.92
72455,12279,12035,10063,347,3.45,1972,146,7.4,969,7.89
72462,353,353,246,21,8.54,107,6,5.61,49,13.88
72478,370,254,161,0,0.0,93,0,0.0,48,12.97
72482,1106,1106,858,31,3.61,248,29,11.69,158,14.29
72515,0,0,0,0,,0,0,,0,
72528,7,7,0,0,,7,0,0.0,7,100.0
72531,1037,1037,882,53,6.01,155,13,8.39,100,9.64
72534,1550,1550,1419,121,8.53,131,39,29.77,80,5.16
72632,4272,4155,3045,104,3.42,1110,211,19.01,439,10.28
72638,7202,7202,6180,124,2.01,1022,200,19.57,425,5.9
72662,2843,2843,2465,55,2.23,378,73,19.31,168,5.91
72663,196,196,155,0,0.0,41,0,0.0,0,0.0
01501,16549,16421,13665,271,1.98,2756,446,16.18,1143,6.91
01503,3144,3139,2836,74,2.61,303,55,18.15,114,3.63
01504,9246,9194,8042,187,2.33,1152,159,13.8,386,4.17
01510,13899,13874,11164,273,2.45,2710,645,23.8,819,5.89
01003,11238,77,18,4,22.22,59,27,45.76,0,0.0
04451,194,194,143,9,6.29,51,2,3.92,19,9.79
04455,788,730,642,19,2.96,88,12,13.64,56,7.11
04923,514,514,391,5,1.28,123,18,14.63,54,10.51
04924,2364,2364,2068,51,2.47,296,64,21.62,124,5.25
04929,845,845,731,11,1.5,114,22,19.3,42,4.97
04943,1665,1638,1293,74,5.72,345,26,7.54,153,9.19
04956,920,920,764,9,1.18,156,49,31.41,63,6.85
04976,9752,9590,7546,263,3.49,2044,282,13.8,847,8.69
04984,600,600,481,15,3.12,119,15,12.61,47,7.83
04046,7818,7793,6391,110,1.72,1402,215,15.34,544,6.96
04002,7530,7151,5660,102,1.8,1491,380,25.49,514,6.83
04017,415,415,298,5,1.68,117,13,11.11,52,12.53
04042,4553,4541,3546,53,1.49,995,271,27.24,402,8.83
04047,1899,1899,1516,70,4.62,383,88,22.98,160,8.43
04050,282,282,221,3,1.36,61,10,16.39,20,7.09
04055,3920,3908,3329,219,6.58,579,129,22.28,206,5.26
04062,18270,17491,15121,589,3.9,2370,625,26.37,771,4.22
04074,19713,19366,16889,366,2.17,2477,381,15.38,746,3.78
04102,17494,16860,10662,300,2.81,6198,1993,32.16,1916,10.95
04103,30970,30377,20696,621,3.0,9681,3071,31.72,2770,8.94
04106,25823,25215,19602,635,3.24,5613,1149,20.47,1863,7.21
04107,9102,9102,7893,62,0.79,1209,164,13.56,398,4.37
04210,23064,22428,17044,633,3.71,5384,954,17.72,2030,8.8
04221,928,916,679,41,6.04,237,121,51.05,70,7.54
04231,279,279,217,21,9.68,62,9,14.52,33,11.83
04281,5131,4997,4246,299,7.04,751,191,25.43,135,2.63
04292,1034,1034,933,21,2.25,101,24,23.76,56,5.42
04352,1489,1489,1196,41,3.43,293,50,17.06,94,6.31
04354,1462,1462,1239,64,5.17,223,33,14.8,123,8.41
04421,1214,657,480,0,0.0,177,71,40.11,49,4.04
04430,1767,1748,1276,51,4.0,472,121,25.64,162,9.17
04442,22,22,17,0,0.0,5,0,0.0,5,22.73
04450,1214,1214,1043,64,6.14,171,29,16.96,48,3.95
04462,4618,4571,3451,146,4.23,1120,183,16.34,334,7.23
04463,3190,3190,2507,146,5.82,683,176,25.77,290,9.09
04468,9156,9126,6640,276,4.16,2486,769,30.93,766,8.37
