COUNTYFP,GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
07,021007,0,0,0
017,021017,135,102,135
031,021031,0,0,0
065,021065,4,4,4
069,021069,0,0,0
093,021093,79,50,48
099,021099,0,0,0
0131,021131,0,0,0
0151,021151,122,105,101
0155,021155,137,143,137
0179,021179,0,0,0
091,017091,88,86,88
0187,017187,0,0,0
0197,017197,716,539,716
027,018027,0,0,0
061,018061,32,21,32
01,01001,0,0,0
05,01005,0,0,0
023,01023,0,0,0
035,01035,0,0,0
051,01051,4,2,4
055,01055,69,48,57
065,01065,0,0,0
089,01089,820,666,818
0113,01113,0,0,0
0117,01117,47,36,47
016,02016,0,0,0
0130,02130,0,0,0
0180,02180,0,0,0
0282,02282,0,0,0
011,05011,0,0,0
015,05015,0,0,0
019,05019,0,0,0
025,05025,0,0,0
063,05063,0,0,0
067,05067,14,0,14
0121,05121,0,0,0
01,06001,6284,5758,6091
03,06003,0,0,0
05,06005,160,159,160
013,06013,2206,2061,2108
019,06019,2497,2216,2414
023,06023,667,573,649
033,06033,318,21,294
037,06037,56849,50249,55394
047,06047,623,447,608
057,06057,297,264,222
081,06081,2305,2331,2301
085,06085,7604,6712,7203
0115,06115,429,285,364
013,08013,1029,860,977
029,08029,48,21,0
049,08049,0,0,0
077,08077,764,726,732
083,08083,79,45,28
091,08091,0,0,0
09,09009,3651,3106,3459
01,011001,29452,22351,28669
09,012009,1129,822,1110
023,012023,239,182,239
039,012039,0,0,0
055,012055,189,189,189
065,012065,0,0,0
073,012073,1466,1391,1333
095,012095,3873,3173,3873
0107,012107,45,35,45
0123,012123,0,0,0
0127,012127,1159,992,1156
0131,012131,10,6,10
0133,012133,0,0,0
09,013009,58,43,58
027,013027,0,0,0
0103,013103,1,1,1
0121,013121,6066,4987,5847
0141,013141,0,0,0
0149,013149,0,0,0
0179,013179,197,184,197
0183,013183,1,1,1
0189,013189,0,0,0
0209,013209,0,0,0
0229,013229,0,0,0
0267,013267,0,0,0
0271,013271,1,1,1
0291,013291,16,16,16
0305,013305,25,18,25
0319,013319,1,1,1
07,015007,0,0,0
015,016015,0,0,0
023,016023,0,0,0
025,016025,0,0,0
027,016027,485,398,429
037,016037,201,110,201
039,016039,0,0,0
043,016043,0,0,0
061,016061,0,0,0
063,016063,0,0,0
085,016085,0,0,0
0175,019175,0,0,0
053,020053,0,0,0
095,020095,0,0,0
