STATEFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
02,3101,2684,3091
03,16945,14686,16167
04,5988,4904,5458
05,14979,13153,13454
05,3743,2983,3476
02,9940,8936,9872
02,24088,21649,23017
02,42177,39427,41181
01,3036,2408,2858
01,45338,39304,44549
03,5040,4166,4950
05,38897,32603,37597
03,5746,4716,5385
04,2215,1724,2182
04,41420,34848,40957
06,159548,139209,155026
01,6815,5642,6704
01,19215,16918,18904
04,33752,29483,31972
02,14225,11828,13357
08,17644,14667,16848
04,7405,6478,7157
04,12193,10531,11510
05,1048,731,1048
03,146422,138739,143470
02,5095,3823,4860
02,0,0,0
03,8095,6672,7327
01,29116,24595,28041
05,2602,2142,2045
03,2666,2249,2524
01,5749,4984,5251
04,6768,5392,6112
03,3118,2748,3039
04,18480,17052,18196
01,29452,22351,28669
03,21210,18742,18743
02,17678,15996,16544
02,5352,4531,5175
01,0,0,0
01,2226,1858,1917
04,3435,3119,3313
02,8536,7628,8016
03,34961,32628,33879
05,11245,9675,10348
04,18891,17254,18065
03,1685,1287,1629
05,3236,2556,3216
01,12594,10198,11750
02,26233,22736,25746
09,12270,11097,11702
