"","TRACTCE","GEOID","BedCt","PITCt","YrBed"
"1",300,28075000300,NA,NA,NA
"2",600,28075000600,39,39,39
"3",960100,28077960100,NA,NA,NA
"4",950301,28081950301,NA,NA,NA
"5",950600,28085950600,NA,NA,NA
"6",30202,28089030202,NA,NA,NA
"7",31000,28089031000,NA,NA,NA
"8",950502,28095950502,NA,NA,NA
"9",10500,28099010500,NA,NA,NA
"10",200,28035000200,NA,NA,NA
"11",30100,28045030100,NA,NA,NA
"12",100,28047000100,NA,NA,NA
"13",1700,28047001700,15,15,15
"14",3800,28047003800,NA,NA,NA
"15",950101,28111950101,NA,NA,NA
"16",20206,28121020206,NA,NA,NA
"17",20212,28121020212,NA,NA,NA
"18",300,28001000300,NA,NA,NA
"19",800,28001000800,NA,NA,NA
"20",60200,28007060200,NA,NA,NA
"21",950200,28021950200,16,11,16
"22",70324,28033070324,NA,NA,NA
"23",70412,28033070412,NA,NA,NA
"24",301,28049000301,NA,NA,NA
"25",1900,28049001900,NA,NA,NA
"26",3800,28049003800,NA,NA,NA
"27",11002,28049011002,NA,NA,NA
"28",950200,28051950200,NA,NA,NA
"29",950400,28051950400,NA,NA,NA
"30",950100,28055950100,NA,NA,NA
"31",42900,28059042900,NA,NA,NA
"32",980000,28067980000,NA,NA,NA
"33",200,28075000200,NA,NA,NA
"34",20704,28121020704,NA,NA,NA
"35",20202,28131020202,NA,NA,NA
"36",950100,28135950100,NA,NA,NA
"37",950100,28143950100,NA,NA,NA
"38",950200,28149950200,NA,NA,NA
"39",951102,28149951102,NA,NA,NA
"40",1000,28151001000,NA,NA,NA
"41",950200,28157950200,NA,NA,NA
"42",950400,28163950400,NA,NA,NA
"43",70522,28033070522,NA,NA,NA
"44",20301,28121020301,NA,NA,NA
"45",1600,28151001600,NA,NA,NA
"46",950100,28019950100,NA,NA,NA
"47",950100,28021950100,NA,NA,NA
"48",950300,28021950300,NA,NA,NA
"49",950400,28025950400,NA,NA,NA
"50",950400,28027950400,NA,NA,NA
"51",950200,28029950200,NA,NA,NA
"52",950500,28029950500,NA,NA,NA
"53",70210,28033070210,NA,NA,NA
"54",70310,28033070310,NA,NA,NA
"55",30106,28089030106,NA,NA,NA
"56",30400,28089030400,NA,NA,NA
"57",30800,28089030800,NA,NA,NA
"58",950500,28093950500,NA,NA,NA
"59",950600,28095950600,NA,NA,NA
"60",3900,28047003900,55,47,55
"61",500,28049000500,NA,NA,NA
"62",1100,28049001100,NA,NA,NA
"63",700,28001000700,32,32,32
"64",60600,28007060600,NA,NA,NA
"65",950200,28125950200,NA,NA,NA
"66",950100,28133950100,NA,NA,NA
"67",950400,28135950400,NA,NA,NA
"68",950301,28137950301,NA,NA,NA
"69",950400,28137950400,NA,NA,NA
"70",980000,28143980000,NA,NA,NA
"71",950300,28149950300,39,10,39
"72",100,28151000100,NA,NA,NA
"73",400,28151000400,20,20,20
"74",1200,28151001200,NA,NA,NA
"75",40204,28059040204,NA,NA,NA
"76",41500,28059041500,NA,NA,NA
"77",100,28001000100,NA,NA,NA
"78",2500,28049002500,NA,NA,NA
"79",3500,28049003500,NA,NA,NA
"80",10301,28049010301,NA,NA,NA
"81",10600,28049010600,NA,NA,NA
"82",11001,28049011001,NA,NA,NA
"83",950100,28051950100,NA,NA,NA
"84",200,28087000200,NA,NA,NA
"85",30104,28089030104,NA,NA,NA
"86",2300,28047002300,NA,NA,NA
"87",3204,28047003204,NA,NA,NA
"88",3700,28047003700,NA,NA,NA
"89",42500,28059042500,NA,NA,NA
"90",20213,28121020213,NA,NA,NA
"91",20701,28121020701,NA,NA,NA
"92",950300,28163950300,NA,NA,NA
"93",950600,28163950600,NA,NA,NA
"94",950401,28067950401,NA,NA,NA
"95",400,28075000400,NA,NA,NA
"96",980000,28075980000,NA,NA,NA
"97",950302,28081950302,NA,NA,NA
"98",951002,28081951002,NA,NA,NA
"99",70812,28033070812,NA,NA,NA
"100",300,28035000300,NA,NA,NA
"101",1202,28047001202,77,77,77
"102",950100,28103950100,NA,NA,NA
"103",950300,28105950300,NA,NA,NA
"104",950401,28109950401,NA,NA,NA
"105",950200,28119950200,NA,NA,NA
"106",950300,28145950300,NA,NA,NA
"107",1500,28151001500,NA,NA,NA
"108",30108,28089030108,NA,NA,NA
"109",30700,28089030700,NA,NA,NA
"110",20208,28121020208,NA,NA,NA
"111",950400,28149950400,NA,NA,NA
"112",600,28151000600,NA,NA,NA
"113",950100,28153950100,NA,NA,NA
"114",950100,28053950100,NA,NA,NA
"115",950500,28027950500,NA,NA,NA
"116",70610,28033070610,NA,NA,NA
"117",950100,28029950100,15,9,15
"118",70422,28033070422,NA,NA,NA
"119",900,28047000900,NA,NA,NA
"120",2400,28049002400,NA,NA,NA
"121",41600,28059041600,NA,NA,NA
"122",41800,28059041800,NA,NA,NA
"123",70102,28033070102,NA,NA,NA
"124",1201,28047001201,NA,NA,NA
"125",900,28049000900,NA,NA,NA
"126",3300,28049003300,NA,NA,NA
