ZCTA,GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
36083,036083,0,0,0
35441,035441,0,0,0
35051,035051,0,0,0
35121,035121,0,0,0
35058,035058,0,0,0
35619,035619,0,0,0
35016,035016,0,0,0
36115,036115,0,0,0
36353,036353,0,0,0
36728,036728,0,0,0
35229,035229,0,0,0
99574,099574,0,0,0
99729,099729,0,0,0
36027,036027,0,0,0
35470,035470,0,0,0
86544,086544,0,0,0
35173,035173,0,0,0
35098,035098,0,0,0
71653,071653,0,0,0
81524,081524,0,0,0
93308,093308,23,19,23
20012,020012,73,40,73
83811,083811,0,0,0
04554,04554,0,0,0
60034,060034,18,12,18
21529,021529,0,0,0
02671,02671,0,0,0
04019,04019,0,0,0
49854,049854,1,0,1
56127,056127,0,0,0
04766,04766,0,0,0
39150,039150,16,11,16
59870,059870,0,0,0
59014,059014,0,0,0
02461,02461,0,0,0
88045,088045,0,0,0
99517,099517,0,0,0
99639,099639,0,0,0
99768,099768,0,0,0
85264,085264,0,0,0
86334,086334,0,0,0
85501,085501,11,11,11
85638,085638,0,0,0
85726,085726,0,0,0
72756,072756,15,15,15
72950,072950,0,0,0
71846,071846,0,0,0
93592,093592,0,0,0
93060,093060,45,41,20
93960,093960,0,0,0
93235,093235,0,0,0
93622,093622,0,0,0
90018,090018,119,87,119
96057,096057,0,0,0
93666,093666,0,0,0
94952,094952,271,257,237
94127,094127,0,0,0
96034,096034,0,0,0
93620,093620,0,0,0
49934,049934,0,0,0
28428,028428,0,0,0
39465,039465,0,0,0
65747,065747,0,0,0
64112,064112,0,0,0
39144,039144,0,0,0
03076,03076,0,0,0
97368,097368,0,0,0
15316,015316,0,0,0
19137,019137,0,0,0
29440,029440,0,0,0
69341,069341,59,51,59
11550,011550,338,338,338
78404,078404,25,23,25
84753,084753,0,0,0
05450,05450,0,0,0
24171,024171,0,0,0
23092,023092,0,0,0
24622,024622,0,0,0
44123,044123,0,0,0
98382,098382,16,14,16
73505,073505,14,4,14
25425,025425,0,0,0
97630,097630,0,0,0
82225,082225,0,0,0
35079,035079,0,0,0
08073,08073,0,0,0
87506,087506,0,0,0
88301,088301,0,0,0
87558,087558,0,0,0
88042,088042,0,0,0
88055,088055,0,0,0
10171,010171,0,0,0
10110,010110,219,218,219
12758,012758,0,0,0
10282,010282,0,0,0
14212,014212,53,48,53
11956,011956,0,0,0
14788,014788,0,0,0
10040,010040,0,0,0
11501,011501,0,0,0
14035,014035,0,0,0
13617,013617,9,9,0
13316,013316,0,0,0
34287,034287,32,17,32
33413,033413,0,0,0
32421,032421,0,0,0
30417,030417,0,0,0
30816,030816,0,0,0
30332,030332,0,0,0
30705,030705,0,0,0
31631,031631,0,0,0
31038,031038,0,0,0
30464,030464,0,0,0
31018,031018,0,0,0
30428,030428,0,0,0
96777,096777,0,0,0
96746,096746,0,0,0
83553,083553,0,0,0
61414,061414,0,0,0
13102,013102,0,0,0
27893,027893,81,71,79
27295,027295,4,4,4
28504,028504,20,15,20
28787,028787,0,0,0
27825,027825,0,0,0
28611,028611,0,0,0
28089,028089,0,0,0
58205,058205,0,0,0
43084,043084,0,0,0
44493,044493,0,0,0
44233,044233,0,0,0
43203,043203,13,13,13
44671,044671,0,0,0
43330,043330,0,0,0
01236,01236,0,0,0
01003,01003,0,0,0
49861,049861,0,0,0
48625,048625,0,0,0
48233,048233,0,0,0
48091,048091,64,44,64
49948,049948,0,0,0
55029,055029,0,0,0
56467,056467,0,0,0
56639,056639,0,0,0
56671,056671,101,89,101
56001,056001,525,433,476
56313,056313,0,0,0
39140,039140,0,0,0
39759,039759,0,0,0
38920,038920,0,0,0
39170,039170,0,0,0
39069,039069,0,0,0
38945,038945,0,0,0
39332,039332,0,0,0
64093,064093,65,65,65
90301,090301,404,199,404
95545,095545,0,0,0
80023,080023,0,0,0
81227,081227,0,0,0
80515,080515,0,0,0
06412,06412,6,4,6
06481,06481,0,0,0
19716,019716,0,0,0
34488,034488,0,0,0
34202,034202,0,0,0
62982,062982,0,0,0
47708,047708,171,134,165
51243,051243,0,0,0
30660,030660,0,0,0
41073,041073,0,0,0
70357,070357,0,0,0
71254,071254,0,0,0
42464,042464,0,0,0
41083,041083,0,0,0
40444,040444,0,0,0
41035,041035,20,10,20
40057,040057,0,0,0
41612,041612,0,0,0
40025,040025,0,0,0
40313,040313,0,0,0
41725,041725,0,0,0
40144,040144,0,0,0
71360,071360,0,0,0
71268,071268,0,0,0
70575,070575,0,0,0
71479,071479,0,0,0
04039,04039,0,0,0
04622,04622,0,0,0
04354,04354,0,0,0
04975,04975,0,0,0
04920,04920,0,0,0
20899,020899,0,0,0
21717,021717,0,0,0
64125,064125,0,0,0
63653,063653,0,0,0
64066,064066,0,0,0
65556,065556,4,1,4
65623,065623,0,0,0
65612,065612,0,0,0
59456,059456,0,0,0
59054,059054,0,0,0
59735,059735,0,0,0
59834,059834,0,0,0
68137,068137,0,0,0
69333,069333,0,0,0
68841,068841,0,0,0
68304,068304,0,0,0
03280,03280,0,0,0
03753,03753,0,0,0
07621,07621,12,12,12
08740,08740,0,0,0
16244,016244,0,0,0
15422,015422,0,0,0
18444,018444,0,0,0
17576,017576,0,0,0
15049,015049,0,0,0
19102,019102,96,96,96
18617,018617,0,0,0
29108,029108,32,16,32
29030,029030,0,0,0
29483,029483,25,25,25
29591,029591,0,0,0
29117,029117,0,0,0
29368,029368,0,0,0
57422,057422,0,0,0
57054,057054,0,0,0
37066,037066,0,0,0
38301,038301,158,154,133
37174,037174,0,0,0
60129,060129,0,0,0
61839,061839,0,0,0
61049,061049,0,0,0
60144,060144,0,0,0
60302,060302,37,37,37
60472,060472,0,0,0
47421,047421,39,29,30
47916,047916,0,0,0
47860,047860,0,0,0
46961,046961,0,0,0
47281,047281,0,0,0
50230,050230,0,0,0
50227,050227,0,0,0
50551,050551,0,0,0
50105,050105,0,0,0
52033,052033,0,0,0
50559,050559,0,0,0
51230,051230,0,0,0
67747,067747,0,0,0
66621,066621,0,0,0
67457,067457,0,0,0
40372,040372,0,0,0
99109,099109,6,0,6
99166,099166,2,2,2
98304,098304,0,0,0
98830,098830,0,0,0
26405,026405,0,0,0
26554,026554,177,135,166
25271,025271,0,0,0
98638,098638,0,0,0
24844,024844,0,0,0
